<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSMD.US,D,20160225,000000,24.7259,24.7259,24.4504,24.686,2957.8639989461,0
JSMD.US,D,20160226,000000,25.3128,25.3128,24.8626,24.8906,1483.9419317206,0
JSMD.US,D,20160229,000000,24.9574,24.9574,24.9574,24.9574,100.19864495075,0
JSMD.US,D,20160301,000000,25.2238,25.2238,25.2238,25.2238,201.399276351,0
JSMD.US,D,20160302,000000,25.3896,25.4774,25.3606,25.4774,1143.266538888,0
JSMD.US,D,20160303,000000,25.671,25.69,25.5452,25.69,1526.0253625999,0
JSMD.US,D,20160304,000000,25.9365,25.9954,25.8486,25.8486,2612.178673866,0
JSMD.US,D,20160307,000000,25.9494,26.0054,25.9494,26.0054,2479.916462531,0
JSMD.US,D,20160308,000000,25.7588,25.7588,25.4664,25.4664,5730.3605047333,0
JSMD.US,D,20160309,000000,25.4974,25.5542,25.4974,25.5542,1819.6073923056,0
JSMD.US,D,20160310,000000,25.4674,25.4674,25.4674,25.4674,671.33092117001,0
JSMD.US,D,20160311,000000,25.9076,25.9076,25.9076,25.9076,704.39647400376,0
JSMD.US,D,20160314,000000,25.9764,25.9764,25.7788,25.9165,9272.3826037422,0
JSMD.US,D,20160316,000000,25.5154,25.5154,25.5154,25.5154,159.31584547169,0
JSMD.US,D,20160317,000000,25.7688,25.8786,25.652,25.8786,1471.9180943265,0
JSMD.US,D,20160318,000000,26.1121,26.2099,26.1121,26.168,1702.3749777132,0
JSMD.US,D,20160321,000000,26.1022,26.1022,26.1022,26.1022,756.49976937815,0
JSMD.US,D,20160323,000000,25.8976,25.8976,25.8976,25.8976,201.399276351,0
JSMD.US,D,20160324,000000,25.7299,25.7299,25.71,25.71,405.80451205053,0
JSMD.US,D,20160328,000000,25.69,25.69,25.69,25.69,180.35756091135,0
JSMD.US,D,20160330,000000,26.3856,26.3856,26.3756,26.3756,302.59990775126,0
JSMD.US,D,20160401,000000,26.4524,26.4524,26.3956,26.3956,5626.1539139845,0
JSMD.US,D,20160404,000000,26.5612,26.5612,26.5612,26.5612,735.45805393849,0
JSMD.US,D,20160406,000000,26.1131,26.1131,26.1131,26.1131,201.399276351,0
JSMD.US,D,20160407,000000,26.4046,26.4046,25.9824,25.9824,405.80451205053,0
JSMD.US,D,20160408,000000,26.4924,26.4924,26.153,26.153,549.0885743301,0
JSMD.US,D,20160412,000000,26.193,26.193,26.173,26.173,2040.0444111972,0
JSMD.US,D,20160413,000000,26.5513,26.5513,26.5513,26.5513,100.19864495075,0
JSMD.US,D,20160414,000000,26.8357,26.8956,26.8357,26.8956,1225.4294277477,0
JSMD.US,D,20160419,000000,27.0912,27.0912,27.0912,27.0912,752.49182358012,0
JSMD.US,D,20160421,000000,27.3267,27.3267,27.1211,27.1211,650.28920573036,0
JSMD.US,D,20160422,000000,27.2868,27.3267,27.2868,27.3267,252.50058527589,0
JSMD.US,D,20160425,000000,27.191,27.191,27.191,27.191,100.19864495075,0
JSMD.US,D,20160426,000000,27.3567,27.3567,27.3567,27.3567,100.19864495075,0
JSMD.US,D,20160427,000000,27.4924,27.5423,27.4425,27.5423,1189.3579155654,0
JSMD.US,D,20160428,000000,27.3757,27.3757,27.178,27.2269,1994.9550209694,0
JSMD.US,D,20160429,000000,28.5763,28.5763,26.6391,26.6391,9665.1612919492,0
JSMD.US,D,20160502,000000,26.7259,26.7259,26.7259,26.7259,405.80451205053,0
JSMD.US,D,20160503,000000,26.5712,26.5712,26.5712,26.5712,370.73498631777,0
JSMD.US,D,20160504,000000,26.4924,26.4924,26.196,26.2798,2099.1616117182,0
JSMD.US,D,20160505,000000,26.2798,26.3147,26.2798,26.3147,597.18392390646,0
JSMD.US,D,20160510,000000,26.5812,26.7189,26.5812,26.7189,793.57326800993,0
JSMD.US,D,20160511,000000,26.5912,26.5912,26.4924,26.5113,1123.2268098979,0
JSMD.US,D,20160512,000000,26.3676,26.3676,26.1161,26.3457,2508.9740695667,0
JSMD.US,D,20160517,000000,26.6291,26.6291,26.2109,26.2109,1836.6411619472,0
JSMD.US,D,20160518,000000,26.202,26.3277,26.202,26.206,581.15214071434,0
JSMD.US,D,20160519,000000,26.0163,26.0542,26.0163,26.0442,816.6189563486,0
JSMD.US,D,20160520,000000,26.5413,26.5413,26.5413,26.5413,509.0091163498,0
JSMD.US,D,20160524,000000,27.1381,27.1381,27.0323,27.0323,756.49976937815,0
JSMD.US,D,20160525,000000,27.2669,27.2669,27.2669,27.2669,1151.2824304841,0
JSMD.US,D,20160526,000000,27.2169,27.2868,27.2169,27.2868,1243.4651838388,0
JSMD.US,D,20160531,000000,27.5523,27.6391,27.5523,27.6391,968.92089667374,0
JSMD.US,D,20160601,000000,27.7189,27.7189,27.7089,27.7089,1020.0222055986,0
JSMD.US,D,20160602,000000,27.7259,27.8067,27.7259,27.8067,817.62094279811,0
JSMD.US,D,20160603,000000,27.8627,27.8627,27.6391,27.7489,1020.0222055986,0
JSMD.US,D,20160606,000000,27.9715,27.9715,27.9715,27.9715,110.21850944582,0
JSMD.US,D,20160607,000000,28.186,28.2059,28.0243,28.2059,3780.4948739917,0
JSMD.US,D,20160609,000000,28.0253,28.1361,28.0043,28.0433,2498.9542050717,0
JSMD.US,D,20160610,000000,27.6291,27.6291,27.6001,27.6001,1781.5319072243,0
JSMD.US,D,20160613,000000,27.4445,27.4445,27.3717,27.3717,664.31701602346,0
JSMD.US,D,20160614,000000,27.2868,27.3167,27.1651,27.3167,4999.9123830423,0
JSMD.US,D,20160615,000000,27.4834,27.4834,27.4834,27.4834,2271.5032810335,0
JSMD.US,D,20160616,000000,27.0792,27.2768,27.0792,27.2569,2882.715015233,0
JSMD.US,D,20160617,000000,27.1681,27.1681,27.1381,27.1381,2026.0166009041,0
JSMD.US,D,20160620,000000,27.6291,27.6291,27.5433,27.5433,1451.8783653363,0
JSMD.US,D,20160622,000000,27.5123,27.5123,27.4195,27.4195,1461.8982298314,0
JSMD.US,D,20160623,000000,27.7089,27.7089,27.6091,27.6501,2046.0563298943,0
JSMD.US,D,20160624,000000,27.0523,27.0523,27.0523,27.0523,100.19864495075,0
JSMD.US,D,20160627,000000,25.9874,25.9874,25.9874,25.9874,100.19864495075,0
JSMD.US,D,20160628,000000,26.0064,26.3377,26.0064,26.3377,2046.0563298943,0
JSMD.US,D,20160629,000000,26.8157,27.0033,26.8157,27.0033,960.90500507768,0
JSMD.US,D,20160630,000000,27.1271,27.1271,27.1271,27.1271,1029.0400836442,0
JSMD.US,D,20160701,000000,27.5773,27.5773,27.4814,27.5343,2327.6145222059,0
JSMD.US,D,20160705,000000,27.2838,27.2838,27.0403,27.0403,1499.9737149127,0
JSMD.US,D,20160706,000000,27.3217,27.3217,27.3217,27.3217,100.19864495075,0
JSMD.US,D,20160707,000000,27.5753,27.5753,27.5753,27.5753,111.22049589533,0
JSMD.US,D,20160708,000000,28.0063,28.0063,27.9495,27.9495,1019.0202191491,0
JSMD.US,D,20160711,000000,28.3207,28.3207,28.2719,28.2719,639.26735478577,0
JSMD.US,D,20160713,000000,28.2819,28.3517,28.2819,28.3507,816.6189563486,0
