<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSML.US,D,20160225,000000,24.6923,24.6923,24.323,24.4867,11956.973061142,0
JSML.US,D,20160226,000000,25.8358,25.8358,24.6593,24.6593,3609.8413348618,0
JSML.US,D,20160229,000000,24.781,24.841,24.5945,24.5945,2532.5011252625,0
JSML.US,D,20160301,000000,24.6623,24.8598,24.6623,24.8549,512.11241591182,0
JSML.US,D,20160302,000000,24.8858,24.9566,24.8858,24.9566,618.34317146299,0
JSML.US,D,20160303,000000,25.2071,25.3149,25.1173,25.3149,5544.0428274445,0
JSML.US,D,20160304,000000,25.5075,25.5075,25.4126,25.4216,7356.9809103887,0
JSML.US,D,20160307,000000,25.4416,25.4416,25.4416,25.4416,192.41797231912,0
JSML.US,D,20160308,000000,25.5763,25.5763,24.9826,24.9826,4381.5175780165,0
JSML.US,D,20160309,000000,24.9706,25.0325,24.9238,25.0325,5453.84690292,0
JSML.US,D,20160310,000000,24.7421,24.7421,24.7421,24.7421,720.56521925752,0
JSML.US,D,20160311,000000,25.0325,25.267,25.0325,25.267,1072.3293249034,0
JSML.US,D,20160314,000000,25.2471,25.25,25.2371,25.25,512.11241591182,0
JSML.US,D,20160315,000000,25.0325,25.0325,25.0325,25.0325,2116.5976955103,0
JSML.US,D,20160317,000000,24.7721,24.7721,24.7721,24.7721,100.21769391621,0
JSML.US,D,20160318,000000,25.3748,25.4126,25.3548,25.4126,4528.8375880734,0
JSML.US,D,20160321,000000,25.3748,25.4316,25.3748,25.4216,2135.6390573544,0
JSML.US,D,20160322,000000,25.3748,25.4416,25.3448,25.3448,2195.7696737041,0
JSML.US,D,20160323,000000,25.0126,25.0126,25.0126,25.0126,217.47239579817,0
JSML.US,D,20160324,000000,24.6723,24.6723,24.6483,24.6483,610.3257559497,0
JSML.US,D,20160328,000000,24.801,24.801,24.801,24.801,182.3962029275,0
JSML.US,D,20160329,000000,25.2471,25.5464,25.2471,25.5464,363.79022891583,0
JSML.US,D,20160331,000000,25.724,25.724,25.7071,25.7141,789.71542805971,0
JSML.US,D,20160401,000000,25.5823,25.6282,25.5823,25.6282,1065.3140863293,0
JSML.US,D,20160406,000000,25.5983,25.5983,25.5983,25.5983,512.11241591182,0
JSML.US,D,20160407,000000,25.3588,25.3958,25.3588,25.3958,202.43974171074,0
JSML.US,D,20160408,000000,25.6751,25.6751,25.5334,25.5334,307.66832032275,0
JSML.US,D,20160411,000000,25.263,25.263,25.263,25.263,311.6770280794,0
JSML.US,D,20160412,000000,25.2909,25.3708,25.2909,25.3708,1636.5549416517,0
JSML.US,D,20160413,000000,25.6083,26.0553,25.6083,26.0553,1545.3568401879,0
JSML.US,D,20160414,000000,26.0433,26.0433,26.0433,26.0433,260.56600418214,0
JSML.US,D,20160415,000000,25.8996,25.8996,25.8996,25.8996,135.29388678688,0
JSML.US,D,20160418,000000,26.1022,26.1361,26.1022,26.1361,363.79022891583,0
JSML.US,D,20160420,000000,26.2499,26.2658,26.1401,26.2658,671.45854923858,0
JSML.US,D,20160421,000000,26.2099,26.2099,26.1111,26.1421,1442.1326154542,0
JSML.US,D,20160422,000000,26.3616,26.4354,26.1999,26.3796,1599.4743949027,0
JSML.US,D,20160425,000000,26.1959,26.1959,26.1909,26.1909,425.92519914388,0
JSML.US,D,20160426,000000,26.3287,26.4065,26.2089,26.3866,5701.384606893,0
