<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWB.US,D,20111104,000000,16.3197,16.4427,16.2892,16.302,26181.866525469,0
KBWB.US,D,20111107,000000,16.4526,16.5343,16.296,16.426,67789.267710608,0
KBWB.US,D,20111108,000000,16.6889,16.6889,16.6494,16.6494,12688.205634332,0
KBWB.US,D,20111109,000000,16.4339,16.4427,15.8933,15.9494,4353600.4378732,0
KBWB.US,D,20111110,000000,16.1838,16.1838,16.176,16.176,7214.5632901583,0
KBWB.US,D,20111111,000000,16.4014,16.4427,16.3511,16.4339,5010678.2416152,0
KBWB.US,D,20111114,000000,16.2734,16.2803,15.9111,16.0401,281109.97886444,0
KBWB.US,D,20111115,000000,15.9494,16.1907,15.853,16.1592,35141.413587624,0
KBWB.US,D,20111116,000000,15.9918,16.1267,15.7575,15.7743,5622158.9490286,0
KBWB.US,D,20111117,000000,15.6108,15.6108,15.4267,15.4355,3210279.5542328,0
KBWB.US,D,20111118,000000,15.5193,15.6639,15.469,15.5724,1435527.456049,0
KBWB.US,D,20111121,000000,15.3007,15.3007,15.0831,15.1442,7856934.6794447,0
KBWB.US,D,20111122,000000,15.1372,15.1372,14.9138,14.9138,2427.538541951,0
KBWB.US,D,20111123,000000,14.6893,14.6893,14.4865,14.5406,14926.822766742,0
KBWB.US,D,20111128,000000,15.6797,15.6797,14.7395,14.7395,19797.135448187,0
KBWB.US,D,20111129,000000,14.7916,14.9295,14.7916,14.9295,4846.9514318788,0
KBWB.US,D,20111130,000000,15.3519,15.476,15.3519,15.4661,1433.1618756037,0
KBWB.US,D,20111201,000000,15.6866,15.6866,15.6866,15.6866,8710.6989689423,0
KBWB.US,D,20111202,000000,15.9347,16.2803,15.9347,16.2242,106103.74841332,0
KBWB.US,D,20111205,000000,16.3197,16.619,16.3197,16.619,313946.75439696,0
KBWB.US,D,20111206,000000,16.4427,16.4427,16.2892,16.2892,1498.1670917899,0
KBWB.US,D,20111207,000000,16.1592,16.1592,16.1592,16.1592,29356.965053561,0
KBWB.US,D,20111208,000000,16.302,16.302,15.7821,15.8304,395641.04413238,0
KBWB.US,D,20111209,000000,16.0864,16.3197,16.0765,16.2635,40609.977399283,0
KBWB.US,D,20111212,000000,15.9574,16.0085,15.7408,15.8599,46767.190219914,0
KBWB.US,D,20111213,000000,16.0528,16.0864,15.4267,15.6108,424527.7370751,0
KBWB.US,D,20111214,000000,15.6551,15.7575,15.4602,15.5321,39240.805033362,0
KBWB.US,D,20111215,000000,15.7821,15.8156,15.5635,15.5862,51897.523766104,0
KBWB.US,D,20111216,000000,15.5409,15.7496,15.3952,15.4267,26244.84032865,0
KBWB.US,D,20111219,000000,15.5114,15.5114,14.9856,15.0358,29478.84983391,0
KBWB.US,D,20111220,000000,15.3627,15.7319,15.3627,15.7034,19973.868379694,0
KBWB.US,D,20111221,000000,15.6285,15.8156,15.5478,15.7663,3858.669004549,0
KBWB.US,D,20111222,000000,15.853,16.3511,15.853,16.2892,14447.409297369,0
KBWB.US,D,20111223,000000,16.426,16.4339,16.2399,16.3777,48866.655561425,0
KBWB.US,D,20111227,000000,16.4092,16.426,16.2399,16.2547,33415.728239183,0
KBWB.US,D,20111228,000000,16.1119,16.1199,15.9426,15.9426,24004.191783234,0
KBWB.US,D,20111229,000000,16.0628,16.302,15.9426,16.2734,26604.400430679,0
KBWB.US,D,20111230,000000,16.1898,16.2488,16.1533,16.1592,18629.072969842,0
KBWB.US,D,20120103,000000,16.7873,16.8011,16.6642,16.6642,8958.531355652,0
KBWB.US,D,20120104,000000,16.5343,16.8247,16.4871,16.7794,326139.29525787,0
KBWB.US,D,20120105,000000,16.7923,17.2294,16.7923,17.1477,117791.48314228,0
KBWB.US,D,20120106,000000,17.0699,17.1073,16.9341,17.1004,340068.69423875,0
KBWB.US,D,20120109,000000,17.3259,17.3328,17.1477,17.2757,13244.812797925,0
KBWB.US,D,20120110,000000,17.4991,17.6399,17.4991,17.5828,6046.5008118136,0
KBWB.US,D,20120111,000000,17.5484,17.8408,17.4873,17.8074,3276967.7960943,0
KBWB.US,D,20120112,000000,17.8408,17.9264,17.6557,17.9186,1321122.3383874,0
KBWB.US,D,20120113,000000,17.5917,17.8969,17.4716,17.8969,2980002.6387195,0
KBWB.US,D,20120117,000000,17.8881,17.8881,17.5336,17.6261,4648705.8366412,0
KBWB.US,D,20120118,000000,17.5336,17.7758,17.4873,17.7679,369642.00477743,0
KBWB.US,D,20120119,000000,17.9865,17.9865,17.7601,17.8074,34952.492178084,0
KBWB.US,D,20120120,000000,17.6645,17.8575,17.6645,17.8408,9450.1333030596,0
KBWB.US,D,20120123,000000,17.9688,17.9688,17.8791,17.8791,2485.4338126168,0
KBWB.US,D,20120124,000000,17.7827,17.8791,17.6724,17.8645,6925.0869368294,0
KBWB.US,D,20120125,000000,17.8408,17.9264,17.7197,17.8791,827962.2972043,0
KBWB.US,D,20120126,000000,18.0318,18.3369,17.448,17.448,19151.146112338,0
KBWB.US,D,20120127,000000,17.4155,17.6261,17.4155,17.6261,9687.8086247402,0
KBWB.US,D,20120130,000000,17.3003,17.448,17.2757,17.448,2037924.7002069,0
KBWB.US,D,20120131,000000,17.5798,17.6232,17.445,17.5209,1243849.4190591,0
KBWB.US,D,20120201,000000,17.8074,18.079,17.7896,17.8152,819748.27871527,0
KBWB.US,D,20120202,000000,17.9688,17.9688,17.9028,17.9353,191182.37221643,0
KBWB.US,D,20120203,000000,18.3369,18.5152,18.3369,18.5152,94067.626353854,0
KBWB.US,D,20120206,000000,18.4531,18.4601,18.403,18.4601,2921.1719023645,0
KBWB.US,D,20120207,000000,18.3232,18.4994,18.2798,18.4679,941882.922864,0
KBWB.US,D,20120208,000000,18.523,18.5949,18.4108,18.5782,158408.57048709,0
KBWB.US,D,20120209,000000,18.7476,18.7476,18.4906,18.5782,10668.981106549,0
KBWB.US,D,20120210,000000,18.3301,18.3675,18.272,18.3301,16045.115626444,0
KBWB.US,D,20120213,000000,18.5152,18.523,18.4679,18.4847,107552.14588647,0
KBWB.US,D,20120214,000000,18.3369,18.394,18.1105,18.2179,10546.080619698,0
KBWB.US,D,20120215,000000,18.4266,18.4266,18.1638,18.1942,14777.513910814,0
KBWB.US,D,20120216,000000,18.3134,18.5713,18.3134,18.5713,5222.7628379549,0
KBWB.US,D,20120217,000000,18.6688,18.7574,18.6688,18.7574,124138.63307896,0
KBWB.US,D,20120221,000000,18.8352,18.8528,18.6845,18.7081,215301.33883449,0
