<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWD.US,D,20101207,000000,9.42583,9.44419,9.41133,9.41133,6523.8513263417,0
KBWD.US,D,20101208,000000,9.41133,9.41133,9.37364,9.37364,3962.9422014097,0
KBWD.US,D,20101209,000000,9.42003,9.44419,9.41809,9.44419,11522.538996056,0
KBWD.US,D,20101210,000000,9.50895,9.54759,9.50895,9.53889,5638.1389178803,0
KBWD.US,D,20101213,000000,9.57852,9.59011,9.57369,9.57852,13832.013406905,0
KBWD.US,D,20101214,000000,9.59011,9.59785,9.54953,9.54953,54018.109808563,0
KBWD.US,D,20101215,000000,9.58336,9.58336,9.52246,9.54759,4691.3785747237,0
KBWD.US,D,20101217,000000,9.47705,9.47705,9.47705,9.47705,4613.7752679076,0
KBWD.US,D,20101220,000000,9.58336,9.58336,9.51473,9.5302,93533.713639329,0
KBWD.US,D,20101221,000000,9.56693,9.62007,9.55243,9.61331,140944.16055019,0
KBWD.US,D,20101222,000000,9.63844,9.6684,9.62298,9.64521,135641.26791775,0
KBWD.US,D,20101223,000000,9.63458,9.6713,9.63458,9.66453,79391.287005161,0
KBWD.US,D,20101227,000000,9.65873,9.6858,9.65873,9.67806,21657.530866241,0
KBWD.US,D,20101228,000000,9.65005,9.65873,9.64521,9.65293,22751.220136971,0
KBWD.US,D,20101229,000000,9.64038,9.6771,9.58336,9.6771,47834.678321455,0
KBWD.US,D,20101230,000000,9.67902,9.7061,9.67902,9.70127,10769.269564562,0
KBWD.US,D,20101231,000000,9.68483,9.69835,9.66648,9.66648,17163.782046211,0
KBWD.US,D,20110103,000000,9.70512,9.74185,9.70512,9.72543,17513.514282261,0
KBWD.US,D,20110104,000000,9.62878,9.66453,9.46545,9.48961,131404.1273656,0
KBWD.US,D,20110105,000000,9.47705,9.53889,9.46738,9.52246,28103.778885767,0
KBWD.US,D,20110106,000000,9.59398,9.59398,9.5331,9.5447,72068.638973992,0
KBWD.US,D,20110107,000000,9.56693,9.57852,9.46738,9.51763,55638.466854883,0
KBWD.US,D,20110110,000000,9.4954,9.50315,9.45676,9.4954,41292.202201476,0
KBWD.US,D,20110111,000000,9.56982,9.56982,9.5331,9.5621,98696.920319495,0
KBWD.US,D,20110112,000000,9.75922,9.75922,9.59398,9.60269,34419.653349841,0
KBWD.US,D,20110113,000000,9.66453,9.66453,9.56693,9.56693,43930.714633225,0
KBWD.US,D,20110114,000000,9.50895,9.61331,9.48478,9.61331,175691.81721018,0
KBWD.US,D,20110118,000000,9.62007,9.63167,9.55243,9.63167,73355.819156383,0
KBWD.US,D,20110119,000000,9.58336,9.65293,9.43742,9.44129,37283.732726735,0
KBWD.US,D,20110120,000000,9.40262,9.40553,9.363,9.392,95646.593006244,0
KBWD.US,D,20110121,000000,9.47124,9.47124,9.41133,9.41809,63184.612409683,0
KBWD.US,D,20110124,000000,9.42583,9.50895,9.42003,9.50895,17189.649815148,0
KBWD.US,D,20110125,000000,9.4809,9.49251,9.46738,9.48478,90043.634254119,0
KBWD.US,D,20110126,000000,9.48961,9.56982,9.48961,9.55243,45486.919612578,0
KBWD.US,D,20110127,000000,9.58336,9.60849,9.56693,9.60849,12815.927442993,0
KBWD.US,D,20110128,000000,9.58819,9.58819,9.45676,9.45965,15169.894416414,0
KBWD.US,D,20110131,000000,9.44999,9.4867,9.44129,9.45868,13409.851417825,0
KBWD.US,D,20110201,000000,9.56693,9.61331,9.56693,9.61331,5730.2281753021,0
KBWD.US,D,20110202,000000,9.65293,9.65293,9.58819,9.59785,22583.596994248,0
KBWD.US,D,20110203,000000,9.60849,9.63458,9.56693,9.62298,17181.372129088,0
KBWD.US,D,20110204,000000,9.59785,9.61622,9.58336,9.61622,24114.968915419,0
KBWD.US,D,20110207,000000,9.62878,9.67806,9.62878,9.67806,11497.705937877,0
KBWD.US,D,20110208,000000,9.65584,9.69257,9.64231,9.69257,23066.806918022,0
KBWD.US,D,20110209,000000,9.69257,9.69643,9.6684,9.67806,205283.51016529,0
KBWD.US,D,20110210,000000,9.65005,9.65873,9.63458,9.64231,52398.787473,0
KBWD.US,D,20110211,000000,9.65005,9.71867,9.65005,9.71867,11025.877832434,0
KBWD.US,D,20110214,000000,9.82595,9.82595,9.68966,9.72543,75603.210921776,0
KBWD.US,D,20110215,000000,9.62007,9.62878,9.58336,9.59011,18172.625034818,0
KBWD.US,D,20110216,000000,9.61622,9.68966,9.61622,9.62878,14212.786965682,0
KBWD.US,D,20110218,000000,9.71867,9.72155,9.68001,9.70127,22018.644920627,0
KBWD.US,D,20110222,000000,9.72543,9.72543,9.53889,9.53889,54343.008986433,0
KBWD.US,D,20110223,000000,9.57369,9.57369,9.44805,9.50895,66536.040553381,0
KBWD.US,D,20110224,000000,9.57852,9.57852,9.50315,9.55435,3919.4843495927,0
KBWD.US,D,20110225,000000,9.60269,9.67806,9.59398,9.66453,33874.360780615,0
KBWD.US,D,20110228,000000,9.73798,9.75054,9.68483,9.7061,22421.147405313,0
KBWD.US,D,20110301,000000,9.81144,9.81144,9.60945,9.60945,41359.458400718,0
KBWD.US,D,20110302,000000,9.64714,9.64714,9.58819,9.61428,14759.114245669,0
KBWD.US,D,20110303,000000,9.69064,9.73896,9.69064,9.72252,6731.8281886088,0
KBWD.US,D,20110304,000000,9.71963,9.71963,9.64714,9.64714,12571.735704211,0
KBWD.US,D,20110307,000000,9.70127,9.70127,9.60849,9.60849,18871.054796165,0
KBWD.US,D,20110308,000000,9.65873,9.71092,9.65873,9.68966,7499.5835707095,0
KBWD.US,D,20110309,000000,9.71189,9.71963,9.68097,9.69064,11522.538996056,0
KBWD.US,D,20110310,000000,9.6655,9.6655,9.58336,9.58336,16799.563859553,0
KBWD.US,D,20110311,000000,9.53889,9.57466,9.5302,9.57466,16303.937406688,0
KBWD.US,D,20110314,000000,9.5302,9.55823,9.48961,9.52729,10375.044765937,0
KBWD.US,D,20110315,000000,9.30501,9.50024,9.30501,9.44708,55046.612301566,0
KBWD.US,D,20110316,000000,9.41616,9.47318,9.35526,9.37268,62166.457024256,0
KBWD.US,D,20110317,000000,9.41713,9.46158,9.40456,9.41713,36034.836842374,0
KBWD.US,D,20110318,000000,9.41616,9.46738,9.41616,9.46738,29297.835099978,0
KBWD.US,D,20110321,000000,9.55243,9.59882,9.55243,9.59495,40939.365833154,0
KBWD.US,D,20110322,000000,9.55243,9.55243,9.47124,9.4809,27012.159036554,0
KBWD.US,D,20110323,000000,9.47124,9.5621,8.67498,9.51473,61869.495036839,0
KBWD.US,D,20110324,000000,9.5621,9.5621,9.51763,9.5331,53988.103196594,0
KBWD.US,D,20110325,000000,9.60849,9.60849,9.54277,9.58915,5199.4215566798,0
KBWD.US,D,20110328,000000,9.55435,9.57852,9.48478,9.4954,26714.16233838,0
KBWD.US,D,20110329,000000,9.50315,9.53889,9.48961,9.50024,55439.802389434,0
KBWD.US,D,20110330,000000,9.54759,9.57466,9.5447,9.57466,24933.425124641,0
KBWD.US,D,20110331,000000,9.58143,9.59302,9.55435,9.59302,12634.853060421,0
KBWD.US,D,20110401,000000,9.57176,9.6655,9.57176,9.64231,24609.560657526,0
KBWD.US,D,20110404,000000,9.66068,9.68773,9.65391,9.68773,55673.64702064,0
KBWD.US,D,20110405,000000,9.68677,9.72252,9.67323,9.69257,64071.359528902,0
KBWD.US,D,20110406,000000,9.71479,9.74664,9.71189,9.74664,21599.587063819,0
