<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWP.US,D,20101216,000000,19.5672,19.5672,19.5455,19.5455,5194.2822856681,0
KBWP.US,D,20101221,000000,19.5286,19.5286,19.5286,19.5286,2594.6152323664,0
KBWP.US,D,20101222,000000,19.6929,19.6988,19.6929,19.6988,5324.6192657986,0
KBWP.US,D,20101223,000000,19.6988,19.7156,19.6988,19.7156,2594.6152323664,0
KBWP.US,D,20101227,000000,19.7592,19.7592,19.7058,19.7058,1560.0023048184,0
KBWP.US,D,20101228,000000,19.7156,19.7156,19.6929,19.6929,1560.0023048184,0
KBWP.US,D,20110106,000000,19.8235,19.8789,19.6929,19.6929,3896.9746694849,0
KBWP.US,D,20110119,000000,19.589,19.589,19.589,19.589,391.01094039167,0
KBWP.US,D,20110120,000000,19.4514,19.5286,19.4514,19.5286,1426.6342321267,0
KBWP.US,D,20110126,000000,20.0155,20.0155,20.0067,20.0067,1078.0585875915,0
KBWP.US,D,20110128,000000,20.0591,20.0591,20.0591,20.0591,1300.3387087444,0
KBWP.US,D,20110208,000000,20.1611,20.2283,20.1611,20.2283,520.33755633516,0
KBWP.US,D,20110209,000000,20.2283,20.2283,20.2205,20.2205,648.6538080916,0
KBWP.US,D,20110215,000000,20.1462,20.1611,20.1462,20.1531,885.0790278633,0
KBWP.US,D,20110216,000000,20.2205,20.2205,20.2205,20.2205,452.64315580224,0
KBWP.US,D,20110218,000000,20.3966,20.4688,20.3966,20.4688,648.6538080916,0
KBWP.US,D,20110222,000000,20.2442,20.2442,20.2205,20.2205,391.01094039167,0
KBWP.US,D,20110224,000000,19.8167,19.8167,19.8167,19.8167,257.64286769993,0
KBWP.US,D,20110225,000000,19.9671,19.9671,19.9671,19.9671,128.31625175644,0
KBWP.US,D,20110303,000000,20.1898,20.1898,20.1828,20.1828,648.6538080916,0
KBWP.US,D,20110311,000000,19.5672,19.5672,19.5672,19.5672,520.33755633516,0
KBWP.US,D,20110314,000000,19.6355,19.7156,19.6355,19.6929,648.6538080916,0
KBWP.US,D,20110317,000000,19.3782,19.3782,19.3782,19.3782,648.6538080916,0
KBWP.US,D,20110321,000000,19.5078,19.5078,19.4871,19.4999,5194.2822856681,0
KBWP.US,D,20110324,000000,19.5138,19.5138,19.5138,19.5138,205.10392997289,0
KBWP.US,D,20110325,000000,19.6117,19.6117,19.6117,19.6117,2594.6152323664,0
KBWP.US,D,20110331,000000,20.1027,20.1116,20.0165,20.1116,912.35886091389,0
KBWP.US,D,20110401,000000,20.1828,20.1828,20.1828,20.1828,1560.0023048184,0
KBWP.US,D,20110404,000000,20.3541,20.4688,20.3541,20.3541,776.97005984804,0
KBWP.US,D,20110425,000000,20.0294,20.0294,20.0294,20.0294,737.56585655275,0
KBWP.US,D,20110428,000000,20.5896,20.5896,20.5896,20.5896,128.31625175644,0
KBWP.US,D,20110429,000000,20.6747,20.6747,20.6421,20.65,391.01094039167,0
