<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWR.US,D,20111104,000000,18.7261,18.8259,18.6452,18.6827,13879.216032962,0
KBWR.US,D,20111107,000000,18.7005,18.9987,18.5594,18.9987,83050.44135144,0
KBWR.US,D,20111108,000000,19.1942,20.4046,18.9206,18.9276,19489.445734967,0
KBWR.US,D,20111109,000000,18.9987,18.9987,18.7509,18.7509,9043.8239771087,0
KBWR.US,D,20111111,000000,18.8654,18.8812,18.8407,18.8407,25423.790530788,0
KBWR.US,D,20111114,000000,18.662,18.7874,18.4399,18.4399,388490.42860476,0
KBWR.US,D,20111115,000000,18.4399,18.7963,18.2523,18.7805,36301.903366957,0
KBWR.US,D,20111116,000000,18.6304,19.052,18.5366,18.5662,135480.1092147,0
KBWR.US,D,20111117,000000,18.7874,18.8259,18.5288,18.5288,49164.208293074,0
KBWR.US,D,20111118,000000,18.4656,18.5198,18.4576,18.5198,9427.6977913459,0
KBWR.US,D,20111121,000000,18.0568,18.0568,18.0568,18.0568,129.64603752603,0
KBWR.US,D,20111125,000000,17.1939,17.5375,17.1535,17.1939,20379.749383291,0
KBWR.US,D,20111128,000000,17.7823,17.7823,17.727,17.727,22263.668366091,0
KBWR.US,D,20111130,000000,18.4488,18.9612,18.4488,18.9612,72907.664634364,0
KBWR.US,D,20111201,000000,18.975,18.9918,18.6452,18.6452,21016.838114571,0
KBWR.US,D,20111202,000000,18.8654,19.29,18.8654,19.2652,1780.6072966466,0
KBWR.US,D,20111205,000000,19.204,19.2514,19.204,19.2436,2675.9752433107,0
KBWR.US,D,20111208,000000,19.1793,19.1793,18.6531,18.662,43564.107187751,0
KBWR.US,D,20111209,000000,18.9987,19.3778,18.9138,19.2958,24580.078427201,0
KBWR.US,D,20111212,000000,18.9206,19.0441,18.8101,19.0372,39864.130819918,0
KBWR.US,D,20111213,000000,19.3284,19.3442,18.5594,18.6917,71935.319352919,0
KBWR.US,D,20111214,000000,18.584,18.8733,18.4991,18.5594,59199.621885323,0
KBWR.US,D,20111215,000000,18.8812,18.9276,18.7429,18.8575,49421.47464879,0
KBWR.US,D,20111216,000000,18.9622,19.3354,18.8259,18.898,143981.04040967,0
KBWR.US,D,20111219,000000,19.1399,19.1399,18.4656,18.5436,12481.469690885,0
KBWR.US,D,20111220,000000,18.9276,19.3354,18.9276,19.3116,25345.800336339,0
KBWR.US,D,20111221,000000,19.2436,19.5654,19.1793,19.5654,149141.560419,0
KBWR.US,D,20111222,000000,19.8487,20.1736,19.7658,19.9327,27131.471931326,0
KBWR.US,D,20111223,000000,19.9327,19.9811,19.8014,19.831,72656.475436658,0
KBWR.US,D,20111227,000000,19.7066,20.0334,19.6572,20.0038,33530.719314837,0
KBWR.US,D,20111228,000000,19.9485,19.9485,19.5723,19.5812,13754.634293777,0
KBWR.US,D,20111229,000000,19.8853,19.9741,19.831,19.9485,18236.538325438,0
KBWR.US,D,20111230,000000,19.8231,19.9277,19.6928,19.6928,15284.052392717,0
KBWR.US,D,20120103,000000,20.4451,20.4451,20.1212,20.1904,22926.078589075,0
KBWR.US,D,20120104,000000,20.0432,20.3385,19.8853,20.2654,27003.851613137,0
KBWR.US,D,20120105,000000,20.06,20.836,20.0522,20.6701,45602.993699781,0
KBWR.US,D,20120106,000000,20.3325,20.6623,20.3257,20.6169,155631.96517266,0
KBWR.US,D,20120109,000000,20.7107,20.8904,20.5596,20.8804,19795.329354756,0
KBWR.US,D,20120110,000000,21.1816,21.3178,21.0395,21.0395,13196.548616614,0
KBWR.US,D,20120111,000000,21.0009,21.0009,20.764,20.9082,12977.770928289,0
KBWR.US,D,20120112,000000,21.0533,21.1668,20.843,21.1342,119377.6662101,0
KBWR.US,D,20120113,000000,20.8163,21.0533,20.8074,21.0157,56363.614814442,0
KBWR.US,D,20120117,000000,21.3386,21.3386,20.8578,20.9743,17820.25300182,0
KBWR.US,D,20120119,000000,20.9871,21.0009,20.8578,20.9249,190892.64880073,0
KBWR.US,D,20120120,000000,21.0315,21.2517,20.9407,21.2517,12207.997580478,0
KBWR.US,D,20120123,000000,21.1105,21.3248,21.1105,21.1747,4990.3595850839,0
KBWR.US,D,20120124,000000,21.1342,21.15,20.9486,21.1105,15326.59249878,0
KBWR.US,D,20120125,000000,21.1579,21.2517,21.15,21.2211,7642.0261963585,0
KBWR.US,D,20120126,000000,21.1974,21.2764,20.5202,20.7185,51206.133384109,0
KBWR.US,D,20120127,000000,20.6485,20.7808,20.6485,20.7808,14182.061073745,0
KBWR.US,D,20120130,000000,20.6859,20.7906,20.6859,20.7107,3350.5397823133,0
KBWR.US,D,20120131,000000,20.8202,20.8341,20.7205,20.7591,20560.038404225,0
KBWR.US,D,20120201,000000,21.0079,21.1905,21.0079,21.15,33085.061060841,0
KBWR.US,D,20120202,000000,21.2428,21.4028,21.0927,21.3307,61501.851911079,0
KBWR.US,D,20120203,000000,21.7374,21.9053,21.5657,21.8885,104437.98610456,0
KBWR.US,D,20120206,000000,21.8175,21.8175,21.5578,21.5578,1665.1412944749,0
KBWR.US,D,20120207,000000,21.4817,21.6526,21.4817,21.6526,741.41327710198,0
KBWR.US,D,20120208,000000,21.8175,21.8175,21.4393,21.6358,3374.8484143494,0
KBWR.US,D,20120209,000000,21.6072,21.7197,21.5281,21.5578,3842.789581045,0
KBWR.US,D,20120210,000000,21.227,21.2517,21.1816,21.2122,6498.5076309922,0
KBWR.US,D,20120213,000000,21.4453,21.5439,21.4028,21.5439,6624.1022298456,0
KBWR.US,D,20120214,000000,21.235,21.2428,21.2122,21.2122,16558.229855278,0
KBWR.US,D,20120215,000000,21.4453,21.4453,21.2922,21.2922,4330.9879411039,0
KBWR.US,D,20120216,000000,21.621,21.8797,21.5746,21.8797,1780.6072966466,0
KBWR.US,D,20120217,000000,21.8797,22.0139,21.8471,21.9339,3309.0125359183,0
KBWR.US,D,20120221,000000,21.7473,21.9527,21.6772,21.7197,1531.4438182762,0
KBWR.US,D,20120222,000000,21.6072,21.6072,21.2764,21.2764,50813.143832858,0
KBWR.US,D,20120223,000000,21.227,21.5746,21.227,21.5746,2288.0499904008,0
KBWR.US,D,20120227,000000,21.6526,21.6614,21.5982,21.5982,2863.3542819225,0
KBWR.US,D,20120228,000000,21.6832,21.6832,21.5203,21.5203,5555.535279924,0
KBWR.US,D,20120229,000000,21.6358,21.6358,21.4936,21.5015,20379.749383291,0
KBWR.US,D,20120301,000000,21.6614,21.7809,21.5361,21.5361,15975.835546078,0
KBWR.US,D,20120302,000000,21.3988,21.5015,21.2004,21.2063,80499.047847314,0
KBWR.US,D,20120305,000000,21.0157,21.2211,21.0157,21.2122,23052.686047597,0
KBWR.US,D,20120306,000000,20.9634,21.0463,20.6811,20.7147,110032.01005187,0
KBWR.US,D,20120307,000000,20.9318,20.9733,20.9318,20.9733,640.12731028477,0
KBWR.US,D,20120308,000000,20.9733,21.2704,20.9733,21.1836,24265.079070399,0
KBWR.US,D,20120309,000000,21.772,21.772,21.6062,21.62,76346.323207809,0
KBWR.US,D,20120312,000000,21.5746,21.5844,21.5499,21.5499,4330.9879411039,0
KBWR.US,D,20120313,000000,21.8125,22.2163,21.8125,22.2163,52922.930521661,0
KBWR.US,D,20120314,000000,22.4868,22.5362,22.2163,22.4148,36387.996438751,0
KBWR.US,D,20120315,000000,22.5638,22.8788,22.5638,22.8383,44190.05446268,0
KBWR.US,D,20120316,000000,23.1227,23.1227,22.9163,22.9321,18227.422588425,0
KBWR.US,D,20120319,000000,23.1009,23.3665,22.6537,23.3517,1030850.0815981,0
KBWR.US,D,20120320,000000,23.0447,23.1009,22.7929,22.9647,58675.973436878,0
KBWR.US,D,20120321,000000,22.9163,23.0447,22.8926,22.9232,7330.0654185615,0
KBWR.US,D,20120322,000000,22.5885,22.8106,22.3674,22.5362,25027.762400533,0
KBWR.US,D,20120323,000000,22.5816,22.6873,22.5668,22.6793,3147.9678486789,0
KBWR.US,D,20120326,000000,22.8532,23.0189,22.8196,22.9795,2328.5643771277,0
KBWR.US,D,20120327,000000,23.0357,23.0447,22.9232,22.941,5803.6858986261,0
KBWR.US,D,20120328,000000,22.8926,22.8926,22.7415,22.8532,14073.685089251,0
KBWR.US,D,20120329,000000,22.6793,22.8768,22.6715,22.8768,22862.26842998,0
KBWR.US,D,20120330,000000,22.943,22.943,22.6389,22.6635,5950.5505505111,0
KBWR.US,D,20120402,000000,22.8028,22.8926,22.7929,22.8532,4402.9009775441,0
KBWR.US,D,20120403,000000,22.8106,22.86,22.7011,22.8532,44471.629450433,0
KBWR.US,D,20120404,000000,22.4246,22.4542,22.3772,22.3842,5595.0368069827,0
KBWR.US,D,20120405,000000,22.2577,22.2577,22.161,22.161,39707.137571351,0
KBWR.US,D,20120409,000000,21.7651,21.8817,21.7651,21.8184,3020.3475304892,0
KBWR.US,D,20120410,000000,22.0732,22.0732,21.3741,21.4433,8227.459084562,0
KBWR.US,D,20120411,000000,21.6694,21.8066,21.6694,21.7898,4971.1152513887,0
KBWR.US,D,20120412,000000,21.8915,22.1837,21.8915,22.1363,81742.839519829,0
KBWR.US,D,20120413,000000,21.62,21.6694,21.4511,21.4611,313931.80271127,0
KBWR.US,D,20120416,000000,21.4363,21.5489,21.4363,21.5489,1386.6048857276,0
KBWR.US,D,20120417,000000,22.2331,22.3012,22.2065,22.2065,3350.5397823133,0
KBWR.US,D,20120418,000000,21.9863,21.9863,21.8491,21.8491,1736.041471247,0
KBWR.US,D,20120419,000000,21.9547,22.0346,21.7197,21.8125,6170.3410985044,0
KBWR.US,D,20120420,000000,22.081,22.1432,22.0346,22.0346,3902.5483014671,0
KBWR.US,D,20120423,000000,21.7068,21.7068,21.7068,21.7068,882.2007709779,0
KBWR.US,D,20120424,000000,22.081,22.1521,22.0732,22.1028,5160.5200093369,0
KBWR.US,D,20120426,000000,22.3772,22.3772,22.3772,22.3772,128.63317785786,0
KBWR.US,D,20120430,000000,22.2983,22.3526,22.2983,22.3526,1758.3243839468,0
KBWR.US,D,20120501,000000,22.2805,22.2805,22.2805,22.2805,128.63317785786,0
KBWR.US,D,20120502,000000,22.1028,22.1926,22.0504,22.0504,2644.5765935974,0
KBWR.US,D,20120503,000000,22.2163,22.2163,22.1215,22.1294,6289.8585393488,0
KBWR.US,D,20120504,000000,21.7068,21.8491,21.7068,21.8491,133097.86327516,0
KBWR.US,D,20120507,000000,22.0346,22.0504,22.01,22.0504,506.42983408605,0
KBWR.US,D,20120508,000000,21.9863,22.0168,21.9863,22.0168,882.2007709779,0
KBWR.US,D,20120510,000000,22.0258,22.1432,22.01,22.01,809.27487486951,0
KBWR.US,D,20120511,000000,21.9468,21.9863,21.9468,21.9863,1258.9845675379,0
