<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWY.US,D,20101207,000000,12.6737,12.8105,12.6737,12.7626,17083.061577626,0
KBWY.US,D,20101208,000000,12.7626,12.7626,12.5986,12.5986,5155.201059388,0
KBWY.US,D,20101209,000000,12.533,12.5388,12.5075,12.5075,6351.1585982695,0
KBWY.US,D,20101210,000000,12.5194,12.6238,12.5194,12.6042,4177.1553731854,0
KBWY.US,D,20101213,000000,12.6513,12.6513,12.5986,12.5986,1986.7831826417,0
KBWY.US,D,20101214,000000,12.6092,12.6092,12.4206,12.4264,16266.659425336,0
KBWY.US,D,20101215,000000,12.3472,12.3472,12.3472,12.3472,410.24719682765,0
KBWY.US,D,20101217,000000,12.3268,12.3268,12.3268,12.3268,410.24719682765,0
KBWY.US,D,20101221,000000,12.6513,12.7002,12.6513,12.7002,7374.2189394856,0
KBWY.US,D,20101222,000000,12.839,12.839,12.839,12.839,1198.003659564,0
KBWY.US,D,20101229,000000,12.9954,12.9954,12.9954,12.9954,772.41055761816,0
KBWY.US,D,20101230,000000,13.0971,13.0971,13.0971,13.0971,772.41055761816,0
KBWY.US,D,20101231,000000,13.0599,13.0775,13.0246,13.0246,12278.770215276,0
KBWY.US,D,20110103,000000,13.1596,13.2163,13.1596,13.2163,1026.1295222397,0
KBWY.US,D,20110104,000000,13.1859,13.1947,12.8663,12.8663,71461.787894286,0
KBWY.US,D,20110105,000000,12.9524,12.9524,12.8321,12.9298,18360.863943805,0
KBWY.US,D,20110106,000000,13.0999,13.0999,12.8271,12.8321,28926.008087544,0
KBWY.US,D,20110107,000000,12.8321,12.8321,12.7383,12.8105,8726.7047105734,0
KBWY.US,D,20110110,000000,12.8936,12.8936,12.745,12.8467,26802.13481918,0
KBWY.US,D,20110111,000000,12.745,12.745,12.745,12.745,189.26616312498,0
KBWY.US,D,20110113,000000,12.8145,12.8145,12.8145,12.8145,521.7607740202,0
KBWY.US,D,20110114,000000,12.8105,12.8271,12.7676,12.8204,26293.673829595,0
KBWY.US,D,20110118,000000,12.8487,12.8487,12.7725,12.7862,4118.840933736,0
KBWY.US,D,20110119,000000,12.791,12.8019,12.7099,12.7099,12052.673879868,0
KBWY.US,D,20110120,000000,12.7002,12.7793,12.7002,12.7383,8346.1262636409,0
KBWY.US,D,20110121,000000,12.7207,12.7207,12.7207,12.7207,410.24719682765,0
KBWY.US,D,20110124,000000,12.7626,12.8566,12.7626,12.839,4285.5997693543,0
KBWY.US,D,20110125,000000,12.7862,12.9006,12.7862,12.9006,1354.53189177,0
KBWY.US,D,20110126,000000,13.005,13.008,12.9894,13.008,5392.5510585501,0
KBWY.US,D,20110127,000000,13.1283,13.14,13.1283,13.14,3967.428003236,0
KBWY.US,D,20110131,000000,13.008,13.008,13.008,13.008,2067.6049495977,0
KBWY.US,D,20110201,000000,13.008,13.0881,13.008,13.0881,4380.7443810874,0
KBWY.US,D,20110202,000000,13.0599,13.0638,13.0334,13.0334,3356.66097953,0
KBWY.US,D,20110203,000000,13.0003,13.0003,13.0003,13.0003,985.20710859111,0
KBWY.US,D,20110204,000000,12.9338,12.9894,12.9152,12.9748,7378.3111808505,0
KBWY.US,D,20110207,000000,13.0539,13.0775,13.0539,13.0775,3096.8036528612,0
KBWY.US,D,20110208,000000,13.0775,13.1596,13.0775,13.1596,3322.8999882699,0
KBWY.US,D,20110209,000000,13.1488,13.1644,13.1087,13.1087,24402.035258686,0
KBWY.US,D,20110210,000000,13.1546,13.1546,13.1546,13.1546,373.41702454388,0
KBWY.US,D,20110211,000000,13.1341,13.2495,13.1341,13.2329,8836.1721670835,0
KBWY.US,D,20110214,000000,13.2495,13.2699,13.2163,13.2525,9164.5745366138,0
KBWY.US,D,20110215,000000,13.1811,13.2035,13.1596,13.1596,5273.876058969,0
KBWY.US,D,20110216,000000,13.1898,13.2592,13.1752,13.1752,6691.8376918945,0
KBWY.US,D,20110218,000000,13.3217,13.3393,13.314,13.314,4112.7025716887,0
KBWY.US,D,20110222,000000,13.319,13.319,13.1283,13.1283,5087.6790768677,0
KBWY.US,D,20110223,000000,13.1283,13.1283,13.0169,13.0169,8926.2014771105,0
KBWY.US,D,20110224,000000,13.0842,13.0842,12.8956,12.9855,45804.457596927,0
KBWY.US,D,20110225,000000,13.0539,13.1898,13.0403,13.1898,33147.155055401,0
KBWY.US,D,20110228,000000,13.3589,13.4694,13.3589,13.4694,6070.8400647763,0
KBWY.US,D,20110301,000000,13.4401,13.4401,13.2035,13.2035,7754.797386418,0
KBWY.US,D,20110302,000000,13.0129,13.0549,13.008,13.0549,1777.0558126924,0
KBWY.US,D,20110303,000000,13.1351,13.1606,13.1351,13.1468,5185.8928696245,0
KBWY.US,D,20110304,000000,13.0276,13.0344,12.9807,12.9807,6719.4603211074,0
KBWY.US,D,20110307,000000,12.965,13.0276,12.9338,12.9944,8389.0947979721,0
KBWY.US,D,20110308,000000,13.2103,13.2329,13.0999,13.2074,6277.4982537019,0
KBWY.US,D,20110309,000000,13.1507,13.1566,13.1507,13.1566,977.02262586138,0
KBWY.US,D,20110310,000000,12.9474,12.9572,12.9474,12.9572,2479.8982671078,0
KBWY.US,D,20110311,000000,12.9474,13.1214,12.9474,12.9474,2977.1055929389,0
KBWY.US,D,20110314,000000,12.9192,12.9396,12.8878,12.9396,11924.791337215,0
KBWY.US,D,20110315,000000,12.6933,12.8712,12.6933,12.8135,14716.723008394,0
KBWY.US,D,20110316,000000,12.79,12.79,12.5906,12.5906,6121.9930818372,0
KBWY.US,D,20110317,000000,12.7207,12.7207,12.7099,12.7099,3943.897615388,0
KBWY.US,D,20110318,000000,12.6162,12.7441,12.6162,12.7441,2316.2086125132,0
KBWY.US,D,20110321,000000,12.9524,12.965,12.9053,12.965,3203.2019283476,0
KBWY.US,D,20110322,000000,12.8487,12.8487,12.8487,12.8487,409.22413648644,0
KBWY.US,D,20110323,000000,12.8195,12.8311,12.8009,12.8009,2964.8288688443,0
KBWY.US,D,20110325,000000,12.8624,12.9973,12.8624,12.967,7574.738766364,0
KBWY.US,D,20110328,000000,13.2329,13.2329,12.9298,12.9298,5336.2827397831,0
KBWY.US,D,20110329,000000,12.8261,12.8261,12.8261,12.8261,3943.897615388,0
KBWY.US,D,20110330,000000,13.0647,13.1712,13.0647,13.1468,15091.163093278,0
KBWY.US,D,20110331,000000,13.1987,13.1987,13.1987,13.1987,793.8948247837,0
KBWY.US,D,20110401,000000,13.2582,13.2582,13.1841,13.1987,1877.3157261315,0
KBWY.US,D,20110404,000000,13.2894,13.2894,13.2778,13.2778,479.81530003035,0
KBWY.US,D,20110405,000000,13.3033,13.3619,13.2984,13.3209,21104.711778947,0
KBWY.US,D,20110406,000000,13.354,13.3815,13.3502,13.3815,3220.5939541483,0
KBWY.US,D,20110407,000000,13.2515,13.2515,13.2309,13.2309,3045.6506358004,0
KBWY.US,D,20110408,000000,13.1683,13.2007,13.1029,13.1029,3020.0741272699,0
KBWY.US,D,20110411,000000,13.1664,13.1664,13.1664,13.1664,758.08771284114,0
KBWY.US,D,20110412,000000,13.1772,13.1811,13.14,13.14,1380.1084003005,0
KBWY.US,D,20110413,000000,13.0852,13.0852,13.0549,13.0852,7911.3256186241,0
KBWY.US,D,20110414,000000,13.1918,13.2329,13.1868,13.2329,3965.3818825536,0
KBWY.US,D,20110415,000000,13.4186,13.4333,13.3901,13.4333,3499.8894273003,0
KBWY.US,D,20110418,000000,13.2875,13.309,13.2515,13.2924,22444.92082594,0
