<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRMA.US,D,20160714,000000,14.2809,14.2809,14.2809,14.2809,2151.7210505789,0
KRMA.US,D,20160715,000000,14.252,14.252,14.1683,14.1683,2138443.2348193,0
KRMA.US,D,20160718,000000,14.2201,14.2201,14.2201,14.2201,335.3592304682,0
KRMA.US,D,20160719,000000,14.1893,14.1893,14.1893,14.1893,934.7887531913,0
KRMA.US,D,20160720,000000,14.241,14.2889,14.241,14.262,1865.5612281734,0
KRMA.US,D,20160721,000000,14.3177,14.3177,14.2152,14.2152,1566.348501588,0
KRMA.US,D,20160722,000000,14.2142,14.2908,14.2142,14.2908,3026.2656306322,0
KRMA.US,D,20160725,000000,14.262,14.262,14.259,14.259,568.3033666018,0
KRMA.US,D,20160726,000000,14.3167,14.3347,14.3167,14.3177,3274.2708100503,0
KRMA.US,D,20160727,000000,14.3446,14.3546,14.26,14.3347,2076.4158341564,0
KRMA.US,D,20160728,000000,14.2908,14.2908,14.2659,14.2659,1345.453200082,0
KRMA.US,D,20160729,000000,14.3207,14.3546,14.3207,14.3496,3890.7695151625,0
KRMA.US,D,20160801,000000,14.3088,14.3635,14.2241,14.3088,7698.2012574841,0
KRMA.US,D,20160802,000000,14.2341,14.2341,14.1355,14.1355,7238.3374025307,0
KRMA.US,D,20160803,000000,14.1424,14.2102,14.1424,14.2102,785.1823898986,0
KRMA.US,D,20160804,000000,14.255,14.255,14.255,14.255,3034.2981870506,0
KRMA.US,D,20160805,000000,14.3735,14.3735,14.3735,14.3735,255.0336662842,0
KRMA.US,D,20160808,000000,14.3944,14.4004,14.3944,14.4004,429.7417683844,0
KRMA.US,D,20160809,000000,14.4382,14.4382,14.4004,14.4004,591.3969663047,0
KRMA.US,D,20160810,000000,14.3735,14.3735,14.3317,14.3317,1128.5741767852,0
KRMA.US,D,20160811,000000,14.4651,14.495,14.4183,14.4801,9644.0880498415,0
KRMA.US,D,20160812,000000,14.4263,14.4741,14.4263,14.4741,6836.7095816107,0
KRMA.US,D,20160815,000000,14.5677,14.5757,14.5279,14.5578,3042.330743469,0
KRMA.US,D,20160816,000000,14.495,14.505,14.4751,14.4751,722.930077656,0
KRMA.US,D,20160817,000000,14.4293,14.4582,14.4004,14.4582,9101.8904915995,0
KRMA.US,D,20160818,000000,14.4851,14.5149,14.4791,14.5149,4191.9903808525,0
KRMA.US,D,20160819,000000,14.5269,14.5388,14.5269,14.5388,1597.4746577093,0
KRMA.US,D,20160823,000000,14.5727,14.5727,14.5727,14.5727,732.970773179,0
KRMA.US,D,20160824,000000,14.6404,14.6404,14.4801,14.4801,3444.9626339413,0
KRMA.US,D,20160825,000000,14.492,14.492,14.492,14.492,171.6958934433,0
KRMA.US,D,20160826,000000,14.5518,14.5946,14.4691,14.4691,384.5586385309,0
KRMA.US,D,20160829,000000,14.5976,14.5976,14.5707,14.5727,680.7591564594,0
KRMA.US,D,20160830,000000,14.5478,14.5478,14.5478,14.5478,269.0906400164,0
KRMA.US,D,20160831,000000,14.495,14.495,14.4452,14.489,3478.0969291672,0
KRMA.US,D,20160901,000000,14.4422,14.4422,14.4422,14.4422,194.7894931462,0
KRMA.US,D,20160902,000000,14.5677,14.5677,14.5139,14.5139,1876.6059932487,0
KRMA.US,D,20160906,000000,14.5388,14.5388,14.5388,14.5388,645.6167221289,0
KRMA.US,D,20160907,000000,14.5388,14.5388,14.5388,14.5388,344.3958564389,0
KRMA.US,D,20160908,000000,14.508,14.5309,14.495,14.5309,1469.9578245672,0
KRMA.US,D,20160909,000000,14.4004,14.4004,14.1962,14.1962,1840.4594893659,0
KRMA.US,D,20160912,000000,14.1873,14.3635,14.1873,14.3516,2208.95301506,0
KRMA.US,D,20160913,000000,14.2709,14.2709,14.1036,14.1136,2106.5379207254,0
KRMA.US,D,20160914,000000,14.1584,14.1584,14.0857,14.0936,5388.8412871941,0
KRMA.US,D,20160915,000000,14.1584,14.243,14.1584,14.2371,978.9678134925,0
KRMA.US,D,20160916,000000,14.1484,14.1773,14.1434,14.1773,1454.8967812827,0
KRMA.US,D,20160919,000000,14.2331,14.2331,14.2331,14.2331,1781.2193857802,0
KRMA.US,D,20160920,000000,14.243,14.243,14.2152,14.2241,645.6167221289,0
KRMA.US,D,20160921,000000,14.2739,14.3058,14.2231,14.3058,1512.1287457638,0
KRMA.US,D,20160922,000000,14.4253,14.4392,14.4253,14.4392,1042.2241952874,0
KRMA.US,D,20160923,000000,14.4283,14.4283,14.4283,14.4283,352.4284128573,0
KRMA.US,D,20160926,000000,14.3088,14.3347,14.264,14.3008,1693.8653347301,0
KRMA.US,D,20160927,000000,14.3635,14.3635,14.3635,14.3635,323.3103958406,0
KRMA.US,D,20160928,000000,14.3904,14.3904,14.3904,14.3904,1414.7339991907,0
KRMA.US,D,20160929,000000,14.4482,14.4482,14.3815,14.3815,489.9859415224,0
KRMA.US,D,20160930,000000,14.3904,14.4751,14.3865,14.4751,538.1812800328,0
KRMA.US,D,20161003,000000,14.4751,14.4751,14.4104,14.4104,666.7021827272,0
KRMA.US,D,20161004,000000,14.4193,14.4193,14.3635,14.3635,451.831298535,0
KRMA.US,D,20161005,000000,14.4004,14.4651,14.4004,14.4651,323.3103958406,0
KRMA.US,D,20161006,000000,14.3506,14.3506,14.3506,14.3506,161.6551979203,0
KRMA.US,D,20161007,000000,14.3904,14.3904,14.3606,14.3606,283.1476137486,0
KRMA.US,D,20161010,000000,14.4263,14.4263,14.4263,14.4263,194.7894931462,0
KRMA.US,D,20161011,000000,14.4004,14.4004,14.1355,14.1355,4025.3148351707,0
KRMA.US,D,20161012,000000,14.1683,14.2331,14.1683,14.2331,1477.9903809856,0
KRMA.US,D,20161013,000000,14.0329,14.1962,14.0329,14.1962,2570.418053888,0
KRMA.US,D,20161014,000000,14.2331,14.2331,14.1683,14.1773,1466.9456159103,0
KRMA.US,D,20161017,000000,14.1036,14.1036,14.1036,14.1036,429.7417683844,0
KRMA.US,D,20161018,000000,14.1584,14.1873,14.1584,14.1683,2002.1146872862,0
KRMA.US,D,20161019,000000,14.2331,14.243,14.2142,14.243,5557.5249719805,0
KRMA.US,D,20161020,000000,14.2152,14.2152,14.1415,14.1873,1738.0443950313,0
KRMA.US,D,20161021,000000,14.1225,14.2241,14.1136,14.1972,1783.2275248848,0
KRMA.US,D,20161024,000000,14.9014,14.9014,14.1972,14.2241,11476.514982789,0
KRMA.US,D,20161026,000000,14.0936,14.1584,14.0767,14.0767,2671.8290786703,0
KRMA.US,D,20161027,000000,14.0648,14.0847,14.0468,14.0468,3637.7439879829,0
KRMA.US,D,20161028,000000,14.1136,14.1683,14.1136,14.1584,950.8538660281,0
KRMA.US,D,20161031,000000,14.1325,14.1325,14.1315,14.1315,409.6603773384,0
KRMA.US,D,20161101,000000,13.9841,13.9841,13.9761,13.9761,3738.1509432129,0
KRMA.US,D,20161102,000000,13.9642,13.9642,13.9253,13.9253,1307.2985570946,0
KRMA.US,D,20161103,000000,13.8437,13.8626,13.8247,13.8247,1641.6537180105,0
KRMA.US,D,20161104,000000,13.8895,13.8895,13.8895,13.8895,440.7865334597,0
KRMA.US,D,20161107,000000,14.0697,14.0996,14.0648,14.0648,2221.0018496876,0
KRMA.US,D,20161108,000000,14.0897,14.1843,14.0897,14.1843,1197.8549758939,0
KRMA.US,D,20161109,000000,14.1683,14.3735,14.0747,14.3446,4849.655937609,0
