<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDEM.US,D,20200218,000000,49.5547,49.5835,49.4595,49.4694,6734.362842668,0
LDEM.US,D,20200219,000000,49.7839,49.8315,49.761,49.767,4057.7560541525,0
LDEM.US,D,20200220,000000,49.3345,49.3345,48.7433,48.9863,6597.2560542544,0
LDEM.US,D,20200221,000000,48.8574,48.9348,48.7096,48.7552,5146.5452562605,0
LDEM.US,D,20200224,000000,46.8904,47.0422,46.8904,47.0422,1427.5236205416,0
LDEM.US,D,20200225,000000,47.5679,47.5679,46.6315,46.6702,2438.6861850919,0
LDEM.US,D,20200226,000000,47.061,47.061,46.9757,46.9757,675.452560567,0
LDEM.US,D,20200227,000000,46.4222,46.4887,46.0919,46.4123,1079.7159587571,0
LDEM.US,D,20200228,000000,44.2439,45.5731,44.2439,45.5731,461.7272727458,0
LDEM.US,D,20200302,000000,45.706,46.3518,45.706,46.3518,623.0293767618,0
LDEM.US,D,20200304,000000,46.7089,46.7466,46.7089,46.7466,278.2461294276,0
LDEM.US,D,20200305,000000,46.5631,46.6127,45.9272,45.9272,1322.6772529312,0
LDEM.US,D,20200306,000000,45.0653,45.1883,45.0653,45.1883,373.011115537,0
LDEM.US,D,20200309,000000,42.2829,42.3622,42.028,42.144,707.7129813702,0
LDEM.US,D,20200310,000000,43.9801,44.0892,43.9801,44.0892,833.7302501327,0
LDEM.US,D,20200311,000000,42.1053,42.2849,42.1053,42.2849,1160.3670107651,0
LDEM.US,D,20200312,000000,38.8369,38.8369,38.1505,38.1505,1434.5805875923,0
LDEM.US,D,20200316,000000,36.0675,36.8987,35.6628,35.6628,2406.4257642887,0
LDEM.US,D,20200317,000000,35.9812,37.5097,35.9812,37.5097,3198.8223502673,0
LDEM.US,D,20200318,000000,34.6252,34.6252,34.0281,34.5389,2130.1959111613,0
LDEM.US,D,20200319,000000,34.8256,34.8256,34.5677,34.5677,1128.1065899619,0
LDEM.US,D,20200320,000000,36.6497,36.6497,34.8871,34.9188,3198.8223502673,0
LDEM.US,D,20200323,000000,33.918,34.3673,33.918,33.9884,3537.5567687009,0
LDEM.US,D,20200324,000000,35.762,36.0695,35.7391,36.0695,2065.6750695549,0
LDEM.US,D,20200325,000000,37.968,37.968,37.4532,37.4532,1572.695514156,0
LDEM.US,D,20200326,000000,38.1505,38.7129,38.1505,38.7129,1040.3985709032,0
LDEM.US,D,20200327,000000,37.0416,37.0416,36.9761,37.0148,415.3529178412,0
LDEM.US,D,20200402,000000,37.0792,37.0792,36.9463,37.0495,3882.3400160351,0
LDEM.US,D,20200403,000000,36.2678,36.3303,36.1964,36.3303,349.8239380847,0
LDEM.US,D,20200406,000000,37.7012,38.2497,37.7012,38.2497,484.9144501981,0
