<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDSF.US,D,20190107,000000,19.1631,19.1631,19.1631,19.1631,424.83168096956,0
LDSF.US,D,20190109,000000,19.2487,19.2487,19.1631,19.1631,1899.1884366748,0
LDSF.US,D,20190111,000000,19.1809,19.2089,19.1631,19.1909,3689.9092101233,0
LDSF.US,D,20190114,000000,19.1819,19.1819,19.1819,19.1819,325.40298967881,0
LDSF.US,D,20190115,000000,19.1729,19.1729,19.1441,19.1631,12267.893576934,0
LDSF.US,D,20190116,000000,19.1631,19.1641,19.1631,19.1641,1179.0836724782,0
LDSF.US,D,20190117,000000,19.1819,19.1909,19.1819,19.1909,7071.4890442239,0
LDSF.US,D,20190118,000000,19.1809,19.1809,19.1739,19.1739,7979.4035586363,0
LDSF.US,D,20190122,000000,19.1899,19.1899,19.1899,19.1899,188.81408043092,0
LDSF.US,D,20190123,000000,19.2099,19.2099,19.1739,19.1999,4781.6161538915,0
LDSF.US,D,20190124,000000,19.2089,20.3658,19.1939,19.2247,24995.770392365,0
LDSF.US,D,20190125,000000,19.1999,19.2297,19.1999,19.2247,9313.1540842335,0
LDSF.US,D,20190129,000000,19.2099,19.2099,19.2099,19.2099,1916.2620503308,0
LDSF.US,D,20190130,000000,19.2197,19.2197,19.2197,19.2197,526.26903269043,0
LDSF.US,D,20190131,000000,19.1909,19.1909,19.1909,19.1909,1420.1229240921,0
LDSF.US,D,20190201,000000,19.2357,19.2497,19.2297,19.2497,8058.7456456259,0
LDSF.US,D,20190204,000000,19.2507,19.2795,19.2447,19.2596,17371.89972986,0
LDSF.US,D,20190205,000000,19.2497,19.2695,19.2497,19.2695,17468.315430505,0
LDSF.US,D,20190206,000000,19.2685,19.3423,19.2497,19.2975,27722.526926248,0
LDSF.US,D,20190207,000000,19.3423,19.3423,19.2865,19.3064,18267.762281692,0
LDSF.US,D,20190208,000000,19.4647,19.4647,19.2497,19.3153,67488.981791472,0
LDSF.US,D,20190211,000000,19.3123,19.3123,19.2885,19.3123,6087.2454334669,0
LDSF.US,D,20190212,000000,19.3123,19.3223,19.2835,19.3223,46385.995312672,0
LDSF.US,D,20190213,000000,19.3064,19.3064,19.2795,19.2885,17441.198514698,0
LDSF.US,D,20190214,000000,19.3502,19.3801,19.3223,19.3323,38947.925739952,0
LDSF.US,D,20190215,000000,19.3223,19.3601,19.3223,19.3363,37309.863159193,0
LDSF.US,D,20190219,000000,19.3423,19.3502,19.3393,19.3502,52088.582273772,0
LDSF.US,D,20190220,000000,19.3223,19.3502,19.3064,19.3502,12563.166660162,0
LDSF.US,D,20190221,000000,19.4647,19.8421,19.3223,19.3323,118853.44198018,0
LDSF.US,D,20190222,000000,19.3223,19.3601,19.3223,19.3502,2884.4363776468,0
LDSF.US,D,20190225,000000,19.4847,19.4847,19.3323,19.3891,6128.4229722843,0
LDSF.US,D,20190226,000000,19.4169,19.4169,19.3701,19.4049,20197.080624818,0
LDSF.US,D,20190227,000000,19.399,19.4169,19.3711,19.4169,2237.6477191494,0
LDSF.US,D,20190228,000000,19.4169,19.4169,19.3851,19.3891,11643.200183168,0
LDSF.US,D,20190301,000000,19.5145,19.5145,19.3801,19.399,25535.095717851,0
LDSF.US,D,20190304,000000,19.5045,19.5045,19.3911,19.4369,56069.747246262,0
LDSF.US,D,20190305,000000,19.4159,19.4169,19.3801,19.402,25014.852666451,0
LDSF.US,D,20190306,000000,19.3831,19.4169,19.3811,19.4169,15986.928363294,0
LDSF.US,D,20190307,000000,19.398,19.4079,19.3851,19.3931,20535.539907293,0
LDSF.US,D,20190308,000000,19.3591,19.3891,19.3453,19.3891,6984.1123155138,0
LDSF.US,D,20190311,000000,19.3801,19.3801,19.3791,19.3801,5871.3144372295,0
LDSF.US,D,20190312,000000,19.3891,19.3891,19.3423,19.3891,17308.626926311,0
LDSF.US,D,20190313,000000,19.5145,19.5145,19.3951,19.3951,33239.312797561,0
LDSF.US,D,20190314,000000,19.398,19.4169,19.3601,19.402,51032.026887531,0
LDSF.US,D,20190315,000000,19.4109,19.4169,19.399,19.4169,27072.725277105,0
LDSF.US,D,20190318,000000,19.4169,19.4269,19.401,19.4029,56802.908303254,0
LDSF.US,D,20190319,000000,19.4269,19.4269,19.4119,19.4119,23279.370054831,0
LDSF.US,D,20190320,000000,19.5245,19.5245,19.4129,19.4547,12077.070836073,0
LDSF.US,D,20190321,000000,19.4557,19.4557,19.4379,19.4379,8330.9191339067,0
LDSF.US,D,20190322,000000,19.399,19.5245,19.3891,19.3891,25072.09948871,0
LDSF.US,D,20190325,000000,19.4647,19.4647,19.3801,19.3801,2946.7048509804,0
LDSF.US,D,20190326,000000,19.4458,19.4458,19.4099,19.4099,22791.265570313,0
LDSF.US,D,20190327,000000,19.4448,19.4448,19.4039,19.4369,41327.184019425,0
LDSF.US,D,20190328,000000,19.4359,19.4557,19.4359,19.4527,1997.6127977505,0
LDSF.US,D,20190329,000000,19.4269,19.4269,19.4119,19.4119,18672.50735836,0
LDSF.US,D,20190401,000000,19.4647,19.4647,19.3891,19.4647,573.47255279816,0
LDSF.US,D,20190402,000000,19.4428,19.5045,19.4428,19.4847,34157.270614125,0
LDSF.US,D,20190403,000000,19.4369,19.4747,19.4169,19.4747,9577.2929307937,0
LDSF.US,D,20190404,000000,19.4647,19.4817,19.4369,19.4777,1657.1448548458,0
LDSF.US,D,20190405,000000,19.5145,19.5145,19.4975,19.4975,2371.2236377521,0
LDSF.US,D,20190408,000000,19.5145,19.5145,19.5145,19.5145,9133.3789757381,0
LDSF.US,D,20190409,000000,19.5245,19.5245,19.5145,19.5165,31426.496759382,0
LDSF.US,D,20190410,000000,19.4707,19.5245,19.4707,19.5245,13752.29363479,0
LDSF.US,D,20190411,000000,19.5513,19.5523,19.5185,19.5344,30618.01093626,0
LDSF.US,D,20190412,000000,19.5245,19.5245,19.5145,19.5245,7170.9177355146,0
LDSF.US,D,20190415,000000,19.4965,19.5344,19.4926,19.4926,3828.5067798014,0
LDSF.US,D,20190416,000000,19.5623,19.5623,19.5055,19.5344,2556.0203973228,0
LDSF.US,D,20190417,000000,19.866,19.866,19.5045,19.5145,59675.29271832,0
LDSF.US,D,20190418,000000,19.5414,19.5424,19.5095,19.5414,34673.496344665,0
LDSF.US,D,20190422,000000,19.5145,19.5245,19.5005,19.5005,3941.9960941029,0
LDSF.US,D,20190423,000000,19.5145,19.5523,19.5015,19.5503,57356.294251752,0
LDSF.US,D,20190424,000000,19.5443,19.5523,19.5145,19.5225,31206.548442284,0
LDSF.US,D,20190425,000000,19.5623,19.5623,19.5344,19.5613,49391.955646341,0
LDSF.US,D,20190426,000000,19.5623,19.5623,19.5384,19.5623,21090.934516219,0
LDSF.US,D,20190430,000000,19.5443,19.5723,19.5344,19.5723,4616.9059986219,0
LDSF.US,D,20190501,000000,19.5812,19.5901,19.5344,19.5812,82347.042993041,0
LDSF.US,D,20190502,000000,19.5802,19.5812,19.5344,19.5792,8319.871501541,0
LDSF.US,D,20190503,000000,19.5763,19.5812,19.5613,19.5812,36902.105091878,0
LDSF.US,D,20190506,000000,19.6001,19.6001,19.5772,19.6001,5399.2792361522,0
