<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEGR.US,D,20180125,000000,27.7144,27.7516,27.5101,27.5413,92069.314805162,0
LEGR.US,D,20180126,000000,27.6127,27.9619,27.5677,27.9619,144876.97782335,0
LEGR.US,D,20180129,000000,27.952,28.0439,27.8601,28.0439,102686.67983978,0
LEGR.US,D,20180130,000000,27.7516,27.7516,27.3389,27.3839,96623.850475411,0
LEGR.US,D,20180131,000000,27.465,27.5951,27.465,27.5218,64217.521349714,0
LEGR.US,D,20180201,000000,27.3937,27.5403,27.3008,27.4064,53551.072859286,0
LEGR.US,D,20180202,000000,27.0729,27.1472,26.6279,26.6416,58724.264587124,0
LEGR.US,D,20180205,000000,26.3776,26.5331,25.3792,25.5424,66301.523077592,0
LEGR.US,D,20180206,000000,25.1132,26.139,25.0398,26.0647,45247.788251647,0
LEGR.US,D,20180207,000000,25.9737,26.2133,25.8681,25.9366,35910.683356039,0
LEGR.US,D,20180208,000000,25.918,25.9551,24.9029,24.9029,31307.064229981,0
LEGR.US,D,20180209,000000,25.3312,25.5259,24.5469,25.474,26824.108599453,0
LEGR.US,D,20180212,000000,25.6911,25.8271,25.5992,25.7214,42165.756255659,0
LEGR.US,D,20180213,000000,25.6343,25.8544,25.5884,25.8368,20241.812661107,0
LEGR.US,D,20180214,000000,25.6725,26.4206,25.6725,26.4001,24235.978877541,0
LEGR.US,D,20180215,000000,26.718,26.7786,26.4099,26.7551,44617.883902103,0
LEGR.US,D,20180216,000000,26.6993,26.9213,26.6505,26.7482,110804.87891614,0
LEGR.US,D,20180220,000000,26.5604,26.7883,26.5517,26.6064,32315.320218051,0
LEGR.US,D,20180221,000000,26.7444,26.9086,26.5233,26.5292,23993.629314486,0
LEGR.US,D,20180222,000000,26.6064,26.67,26.3786,26.3786,33094.520079015,0
LEGR.US,D,20180223,000000,26.8069,27.0446,26.7218,27.0182,27438.674369058,0
LEGR.US,D,20180226,000000,27.2274,27.3839,27.1208,27.3565,50665.374686533,0
LEGR.US,D,20180227,000000,27.3937,27.4837,27.1844,27.1844,29684.242472306,0
LEGR.US,D,20180228,000000,27.2548,27.2626,27.0191,27.0191,26378.267209191,0
LEGR.US,D,20180301,000000,26.9457,26.9457,26.2886,26.5604,23001.734478351,0
LEGR.US,D,20180302,000000,26.2475,26.8353,26.2378,26.8167,44896.023485018,0
LEGR.US,D,20180305,000000,26.6993,27.1521,26.6993,27.1111,28020.51783479,0
LEGR.US,D,20180306,000000,27.3106,27.4563,27.2548,27.3692,28730.182800025,0
LEGR.US,D,20180307,000000,27.2274,27.5776,27.2274,27.5394,41568.574209988,0
LEGR.US,D,20180308,000000,27.687,27.7418,27.4885,27.604,30243.589354126,0
LEGR.US,D,20180309,000000,27.7789,27.8327,27.6773,27.8327,41947.948420508,0
LEGR.US,D,20180312,000000,27.823,27.952,27.823,27.9159,33150.761538795,0
