<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMBS.US,D,20141107,000000,42.5183,42.5183,42.5183,42.5183,1187.4993921288,0
LMBS.US,D,20141113,000000,42.6468,42.6906,42.6468,42.6906,374.41865871856,0
LMBS.US,D,20141114,000000,42.5432,42.5432,42.5432,42.5432,470.7837826783,0
LMBS.US,D,20141124,000000,42.8281,42.869,42.8281,42.869,470.7837826783,0
LMBS.US,D,20141125,000000,42.9307,42.9307,42.9307,42.9307,100.38033745806,0
LMBS.US,D,20141202,000000,42.7245,42.7245,42.7245,42.7245,208.79110191276,0
LMBS.US,D,20141204,000000,42.9934,42.9934,42.9934,42.9934,280.06114150798,0
LMBS.US,D,20141205,000000,42.579,42.579,42.579,42.579,240.91280989934,0
LMBS.US,D,20141211,000000,42.861,42.861,42.861,42.861,240.91280989934,0
LMBS.US,D,20141215,000000,43.116,43.116,42.9746,42.9746,463.75715905623,0
LMBS.US,D,20141217,000000,42.8859,43.0353,42.8859,42.8859,370.40344522024,0
LMBS.US,D,20141218,000000,42.8151,42.8441,42.8151,42.8441,1027.8946555705,0
LMBS.US,D,20141226,000000,43.0334,43.0512,43.0334,43.0433,567.14890663803,0
LMBS.US,D,20150106,000000,43.372,43.372,43.372,43.372,237.9013997756,0
LMBS.US,D,20150107,000000,43.0702,43.0702,43.0702,43.0702,100.38033745806,0
LMBS.US,D,20150112,000000,43.2475,43.2475,43.2475,43.2475,165.6275568058,0
LMBS.US,D,20150128,000000,43.0592,43.0592,43.0592,43.0592,100.38033745806,0
LMBS.US,D,20150203,000000,43.0831,43.0831,43.0831,43.0831,100.38033745806,0
LMBS.US,D,20150205,000000,43.1479,43.1479,43.1479,43.1479,150.57050618709,0
LMBS.US,D,20150206,000000,42.8719,42.8729,42.8719,42.8729,234.88998965186,0
LMBS.US,D,20150209,000000,43.1917,43.1917,43.1907,43.1907,234.88998965186,0
LMBS.US,D,20150217,000000,43.1827,43.1827,43.1827,43.1827,100.38033745806,0
LMBS.US,D,20150220,000000,43.2246,43.2246,43.2246,43.2246,370.40344522024,0
LMBS.US,D,20150223,000000,43.2535,43.2535,43.2535,43.2535,100.38033745806,0
LMBS.US,D,20150225,000000,43.2345,43.2345,43.2345,43.2345,176.66939392618,0
LMBS.US,D,20150226,000000,43.1449,43.1449,43.1091,43.1091,1175.4537516339,0
LMBS.US,D,20150227,000000,43.1349,43.2425,43.1349,43.2425,445.68869831378,0
LMBS.US,D,20150303,000000,43.1797,43.1977,43.1797,43.1977,232.8823829027,0
LMBS.US,D,20150304,000000,43.1977,43.1977,43.1977,43.1977,370.40344522024,0
LMBS.US,D,20150305,000000,43.3123,43.3123,43.3123,43.3123,100.38033745806,0
LMBS.US,D,20150306,000000,43.1001,43.1539,43.0373,43.0901,1041.9479028146,0
LMBS.US,D,20150309,000000,43.2525,43.2874,43.2525,43.2874,1041.9479028146,0
LMBS.US,D,20150312,000000,43.378,43.5354,43.362,43.5115,2806.6342353273,0
LMBS.US,D,20150316,000000,43.3043,43.3043,43.3043,43.3043,100.38033745806,0
LMBS.US,D,20150317,000000,43.1887,43.1887,43.1887,43.1887,370.40344522024,0
LMBS.US,D,20150320,000000,43.5205,43.5295,43.388,43.5115,1509.7202753692,0
LMBS.US,D,20150323,000000,43.4128,43.4128,43.4128,43.4128,100.38033745806,0
LMBS.US,D,20150330,000000,43.385,43.4298,43.385,43.385,1869.0818834691,0
LMBS.US,D,20150331,000000,43.4208,43.4478,43.4208,43.4478,1292.8987464598,0
LMBS.US,D,20150401,000000,43.3013,43.4208,43.2933,43.2933,1171.4385381355,0
LMBS.US,D,20150406,000000,43.5424,43.5523,43.5424,43.5523,937.55235185827,0
LMBS.US,D,20150408,000000,43.4298,43.5334,43.4298,43.4627,1869.0818834691,0
LMBS.US,D,20150409,000000,43.367,43.367,43.3013,43.3013,653.47599685196,0
LMBS.US,D,20150410,000000,43.5105,43.5105,43.4816,43.4816,231.87857952812,0
LMBS.US,D,20150414,000000,43.385,43.4547,43.385,43.4547,469.77997930371,0
LMBS.US,D,20150416,000000,43.3093,43.3093,43.3093,43.3093,352.33498447779,0
LMBS.US,D,20150417,000000,43.2674,43.2674,43.2674,43.2674,231.87857952812,0
LMBS.US,D,20150420,000000,43.3093,43.3093,43.3093,43.3093,886.35837975466,0
LMBS.US,D,20150421,000000,43.4188,43.4278,43.4089,43.4188,1037.9326893163,0
LMBS.US,D,20150422,000000,43.2734,43.2734,43.2375,43.2375,2568.7328355517,0
LMBS.US,D,20150423,000000,43.3073,43.4617,43.3073,43.365,935.54474510911,0
LMBS.US,D,20150428,000000,43.2734,43.3232,43.1669,43.1669,18415.776710055,0
LMBS.US,D,20150429,000000,43.3152,43.3152,43.3152,43.3152,569.15651338719,0
