<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRGE.US,D,20170525,000000,25.142,25.142,25.142,25.142,606,0
LRGE.US,D,20170526,000000,25.112,25.112,25.112,25.112,101,0
LRGE.US,D,20170531,000000,25.023,25.023,25.023,25.023,203,0
LRGE.US,D,20170602,000000,25.537,25.537,25.537,25.537,403,0
LRGE.US,D,20170607,000000,25.492,25.492,25.492,25.492,203,0
LRGE.US,D,20170614,000000,25.349,25.379,25.349,25.369,1784,0
LRGE.US,D,20170626,000000,25.847,25.847,25.847,25.847,100,0
LRGE.US,D,20170707,000000,25.478,25.478,25.478,25.478,203,0
LRGE.US,D,20170710,000000,25.676,25.676,25.676,25.676,976,0
LRGE.US,D,20170711,000000,25.706,25.706,25.706,25.706,455,0
LRGE.US,D,20170717,000000,26.032,26.032,26.032,26.032,668,0
LRGE.US,D,20170728,000000,26.042,26.042,26.042,26.042,352,0
LRGE.US,D,20170905,000000,26.477,26.477,26.477,26.477,213,0
LRGE.US,D,20170928,000000,26.664,26.694,26.664,26.694,1012,0
LRGE.US,D,20171004,000000,27.03,27.03,27.03,27.03,511,0
LRGE.US,D,20171005,000000,27.109,27.109,27.109,27.109,436,0
LRGE.US,D,20171013,000000,27.163,27.247,27.163,27.247,529,0
LRGE.US,D,20171019,000000,27.386,27.386,27.386,27.386,249,0
LRGE.US,D,20171025,000000,27.17,27.17,27.17,27.17,511,0
LRGE.US,D,20171106,000000,27.554,27.581,27.554,27.581,403,0
LRGE.US,D,20171117,000000,27.841,27.841,27.841,27.841,1129,0
LRGE.US,D,20171121,000000,28.128,28.128,28.128,28.128,615,0
LRGE.US,D,20171127,000000,28.265,28.265,28.168,28.168,303,0
LRGE.US,D,20171130,000000,28.395,28.417,28.395,28.417,203,0
LRGE.US,D,20171207,000000,28.405,28.405,28.405,28.405,606,0
LRGE.US,D,20171213,000000,28.839,28.839,28.809,28.809,1471,0
LRGE.US,D,20171218,000000,29.296,29.296,29.296,29.296,253,0
LRGE.US,D,20171219,000000,29.265,29.265,29.221,29.221,343,0
LRGE.US,D,20171221,000000,29.236,29.236,29.126,29.126,1112,0
LRGE.US,D,20171222,000000,29.106,29.156,29.098,29.156,1700,0
LRGE.US,D,20171227,000000,29.116,29.116,29.116,29.116,252,0
LRGE.US,D,20171229,000000,29.236,29.236,29.166,29.166,1053,0
LRGE.US,D,20180102,000000,29.246,29.246,29.246,29.246,107,0
LRGE.US,D,20180103,000000,29.732,29.732,29.559,29.702,1334,0
LRGE.US,D,20180105,000000,30.019,30.019,30.007,30.007,693,0
LRGE.US,D,20180112,000000,30.543,30.543,30.543,30.543,352,0
LRGE.US,D,20180119,000000,30.674,30.683,30.674,30.683,203,0
LRGE.US,D,20180126,000000,31.557,31.647,31.557,31.634,484,0
LRGE.US,D,20180130,000000,30.942,31.094,30.897,31.094,1709,0
LRGE.US,D,20180131,000000,31.279,31.279,31.131,31.131,2842,0
LRGE.US,D,20180202,000000,30.843,30.843,30.585,30.585,6274,0
LRGE.US,D,20180205,000000,29.454,29.454,29.454,29.454,302,0
LRGE.US,D,20180206,000000,29.362,29.686,29.111,29.686,2225,0
LRGE.US,D,20180207,000000,30.039,30.039,29.772,29.772,221,0
LRGE.US,D,20180208,000000,29.007,29.007,28.759,28.759,3315,0
LRGE.US,D,20180209,000000,28.928,28.928,28.928,28.928,306,0
LRGE.US,D,20180212,000000,28.928,28.928,28.928,28.928,357,0
LRGE.US,D,20180214,000000,29.474,29.474,29.474,29.474,1222,0
LRGE.US,D,20180215,000000,29.842,29.842,29.842,29.842,633,0
LRGE.US,D,20180221,000000,30.267,30.267,30.267,30.267,101,0
LRGE.US,D,20180226,000000,30.783,30.783,30.752,30.752,1625,0
LRGE.US,D,20180307,000000,30.009,30.009,30.009,30.009,100,0
LRGE.US,D,20180309,000000,30.971,30.971,30.971,30.971,220,0
LRGE.US,D,20180312,000000,31.419,31.419,31.319,31.319,685,0
LRGE.US,D,20180314,000000,30.908,30.908,30.908,30.908,102,0
LRGE.US,D,20180321,000000,30.56,30.743,30.56,30.743,202,0
LRGE.US,D,20180322,000000,29.772,29.772,29.772,29.772,392,0
LRGE.US,D,20180323,000000,29.235,29.235,28.978,28.978,1225,0
LRGE.US,D,20180326,000000,29.408,29.408,29.408,29.408,872,0
LRGE.US,D,20180327,000000,29.146,29.146,29.146,29.146,100,0
LRGE.US,D,20180328,000000,29.066,29.066,29.066,29.066,100,0
LRGE.US,D,20180402,000000,28.968,28.968,28.968,28.968,676,0
LRGE.US,D,20180424,000000,29.712,29.712,29.672,29.672,353,0
LRGE.US,D,20180425,000000,29.697,29.697,29.697,29.697,202,0
LRGE.US,D,20180511,000000,31.369,31.369,31.359,31.359,1307,0
