<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVHD.US,D,20151231,000000,20.2984,20.3299,20.257,20.257,6746.9750205163,0
LVHD.US,D,20160104,000000,19.9705,19.9882,19.9054,19.9054,609.29936970346,0
LVHD.US,D,20160105,000000,20.0118,20.1054,19.9705,20.1054,6010.7382821246,0
LVHD.US,D,20160106,000000,19.8425,20.0886,19.8425,20.0552,1075.4133875266,0
LVHD.US,D,20160107,000000,19.8573,19.8573,19.7184,19.7184,581.8808980668,0
LVHD.US,D,20160108,000000,19.7204,19.7381,19.5647,19.5647,2761.1416437062,0
LVHD.US,D,20160111,000000,19.5983,19.5983,19.5983,19.5983,5151.6261708428,0
LVHD.US,D,20160112,000000,20.6963,20.6963,19.55,19.5647,9533.5041379601,0
LVHD.US,D,20160113,000000,19.6386,19.6386,19.6386,19.6386,1075.4133875266,0
LVHD.US,D,20160114,000000,19.4101,19.4101,19.4101,19.4101,123.8908718397,0
LVHD.US,D,20160115,000000,19.2241,19.2241,19.165,19.165,1562.8528832894,0
LVHD.US,D,20160119,000000,19.3196,19.3196,19.2871,19.3117,2333.6165859643,0
LVHD.US,D,20160121,000000,18.9375,19.1009,18.9375,19.1009,617.42336129951,0
LVHD.US,D,20160122,000000,19.2486,19.4023,19.2339,19.4023,2024.9049053145,0
LVHD.US,D,20160126,000000,19.4801,19.4801,19.3029,19.4801,1103.8473581128,0
LVHD.US,D,20160127,000000,19.6298,19.6298,19.424,19.424,516.88896529844,0
LVHD.US,D,20160128,000000,19.5884,19.678,19.5884,19.678,1544.5739021983,0
LVHD.US,D,20160129,000000,19.8898,20.0965,19.8573,20.0965,11418.270188242,0
LVHD.US,D,20160201,000000,20.2315,20.2482,20.0305,20.2482,16500.842430519,0
LVHD.US,D,20160202,000000,19.9537,20.07,19.9252,20.0305,6002.6142905286,0
LVHD.US,D,20160203,000000,19.9646,20.2315,19.9646,20.1754,8681.5005193248,0
LVHD.US,D,20160204,000000,20.2235,20.2482,20.2078,20.2482,3313.5730722373,0
LVHD.US,D,20160205,000000,20.4117,20.4117,20.1674,20.192,15022.275960039,0
LVHD.US,D,20160208,000000,19.9705,20.1054,19.8356,20.1054,7730.9935025874,0
LVHD.US,D,20160209,000000,19.9804,20.0108,19.8898,20.0108,1941.633991455,0
LVHD.US,D,20160210,000000,19.9804,19.9813,19.9804,19.9813,369.6416176201,0
LVHD.US,D,20160211,000000,19.7292,19.7539,19.6052,19.7539,3995.9883663052,0
LVHD.US,D,20160212,000000,19.7834,19.8809,19.7834,19.8809,1321.164133307,0
LVHD.US,D,20160216,000000,20.323,20.323,20.0385,20.2088,6054.4047369534,0
LVHD.US,D,20160217,000000,20.3712,20.5121,20.3712,20.4392,15242.639232082,0
LVHD.US,D,20160218,000000,20.6096,20.6096,20.4471,20.517,6144.7841434594,0
LVHD.US,D,20160219,000000,20.4205,20.5741,20.4155,20.4392,27529.161022152,0
LVHD.US,D,20160222,000000,20.649,20.7356,20.649,20.7208,4603.2567381096,0
LVHD.US,D,20160223,000000,20.8449,20.8449,20.6096,20.6184,8203.2005141076,0
LVHD.US,D,20160224,000000,20.6007,20.6234,20.3634,20.6234,5751.7860500007,0
LVHD.US,D,20160225,000000,20.8607,20.9158,20.6805,20.9158,22940.121269335,0
LVHD.US,D,20160226,000000,21.1226,21.1226,20.6244,20.6549,33885.168947109,0
LVHD.US,D,20160229,000000,20.6963,20.8194,20.5741,20.5741,15530.025434791,0
LVHD.US,D,20160301,000000,20.715,20.8282,20.715,20.8282,7898.5508292559,0
LVHD.US,D,20160302,000000,21.0497,21.0497,20.709,20.9395,29605.856373891,0
LVHD.US,D,20160303,000000,20.9355,21.1226,20.9355,21.1226,13305.067236424,0
LVHD.US,D,20160304,000000,21.1148,21.3018,21.0724,21.2487,66354.732358606,0
LVHD.US,D,20160307,000000,21.2497,21.4229,21.2497,21.3432,11100.419017047,0
LVHD.US,D,20160308,000000,21.293,21.357,21.2103,21.2507,13464.500571497,0
LVHD.US,D,20160309,000000,21.3895,21.4151,21.2842,21.3195,29904.413065046,0
LVHD.US,D,20160310,000000,21.5372,21.5372,21.1768,21.3186,17175.133732991,0
LVHD.US,D,20160311,000000,21.5205,21.547,21.4407,21.547,13593.468938085,0
LVHD.US,D,20160314,000000,21.7253,21.7253,21.4486,21.547,20853.270928101,0
LVHD.US,D,20160315,000000,21.5273,21.5273,21.3816,21.4742,19808.32250906,0
LVHD.US,D,20160316,000000,21.4407,21.6593,21.3895,21.6258,24820.82532382,0
LVHD.US,D,20160317,000000,21.7007,21.9557,21.6278,21.9301,27730.229814154,0
LVHD.US,D,20160318,000000,21.9242,21.9921,21.8966,21.9222,42911.939109265,0
LVHD.US,D,20160321,000000,21.872,21.9675,21.872,21.939,12750.604809995,0
LVHD.US,D,20160322,000000,22.1723,22.1723,21.8622,21.8877,28929.53407352,0
LVHD.US,D,20160323,000000,21.8877,21.8877,21.7893,21.7893,23230.553968894,0
LVHD.US,D,20160324,000000,21.8711,21.8711,21.678,21.7795,20968.022309395,0
LVHD.US,D,20160328,000000,22.9208,22.9208,21.748,21.8139,38035.513153739,0
LVHD.US,D,20160329,000000,21.748,22.0827,21.748,22.0749,61184.827206672,0
LVHD.US,D,20160330,000000,22.1261,22.1557,22.0827,22.0975,38317.821861701,0
LVHD.US,D,20160331,000000,22.1723,22.1802,22.0965,22.1517,24418.687739816,0
LVHD.US,D,20160401,000000,21.9843,22.2058,21.9843,22.2058,12735.372325752,0
LVHD.US,D,20160404,000000,22.1094,22.1497,22.0679,22.0679,9123.2425623598,0
LVHD.US,D,20160405,000000,21.9292,21.9518,21.8612,21.8612,13718.375308874,0
LVHD.US,D,20160406,000000,21.9212,21.9222,21.7647,21.9222,15747.342209986,0
LVHD.US,D,20160407,000000,21.9518,21.9518,21.7302,21.7647,36206.599545678,0
LVHD.US,D,20160408,000000,21.9124,21.9124,21.7883,21.8129,12741.465319449,0
LVHD.US,D,20160411,000000,21.9292,21.9685,21.8228,21.8228,9253.2264278965,0
LVHD.US,D,20160412,000000,21.8454,22,21.807,21.9597,46561.642333789,0
LVHD.US,D,20160413,000000,22.0188,22.0384,21.9843,22.0384,24609.601542322,0
LVHD.US,D,20160414,000000,22.1723,22.1723,22.0335,22.0651,42796.172229021,0
LVHD.US,D,20160415,000000,22.1497,22.1497,22.0798,22.1418,40698.151399343,0
LVHD.US,D,20160418,000000,22.1645,22.2383,22.0995,22.2383,11633.555965538,0
LVHD.US,D,20160419,000000,22.2944,22.2944,22.2147,22.2876,21057.386216952,0
LVHD.US,D,20160420,000000,22.3387,22.3387,22.1084,22.1084,32609.702266529,0
LVHD.US,D,20160421,000000,22.0561,22.0561,21.7795,21.807,15621.420340247,0
LVHD.US,D,20160422,000000,21.8612,21.9459,21.8376,21.9124,25379.349746048,0
LVHD.US,D,20160425,000000,21.8376,21.939,21.8228,21.939,77001.223345225,0
LVHD.US,D,20160426,000000,22.0561,22.0916,21.9843,22.0424,37977.629713617,0
LVHD.US,D,20160427,000000,22.1261,22.2481,22.0749,22.2363,25827.18478278,0
LVHD.US,D,20160428,000000,22.3525,22.3525,22.0896,22.0896,16520.13691056,0
LVHD.US,D,20160429,000000,22.0296,22.0896,21.8996,22.0729,58812.621660627,0
LVHD.US,D,20160502,000000,22.1557,22.2314,22.1172,22.2048,26554.282030626,0
LVHD.US,D,20160503,000000,22.2058,22.2058,22.0266,22.0995,21068.556705396,0
LVHD.US,D,20160504,000000,21.999,22.1723,21.9763,22.1418,21416.872845077,0
LVHD.US,D,20160505,000000,22.2876,22.2876,21.9597,22.001,43476.55652519,0
LVHD.US,D,20160506,000000,21.9212,22.0749,21.8986,22.0749,36774.263458452,0
LVHD.US,D,20160509,000000,22.1497,22.1723,22.0827,22.1557,18585.661773854,0
LVHD.US,D,20160510,000000,22.3309,22.3309,22.197,22.2934,130412.40609343,0
LVHD.US,D,20160511,000000,22.7937,22.7937,22.2147,22.2314,95696.559005626,0
LVHD.US,D,20160512,000000,22.3604,22.385,22.2383,22.3525,44946.999004075,0
LVHD.US,D,20160513,000000,22.2876,22.2876,22.1172,22.1497,12946.596107249,0
LVHD.US,D,20160516,000000,22.3309,22.3309,22.1379,22.2571,9081.6071054301,0
