<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBB.US,D,20070316,000000,78.8302,78.8372,78.8302,78.8372,239.96040843272,0
MBB.US,D,20070320,000000,78.9318,78.9318,78.9318,78.9318,100.40184453252,0
MBB.US,D,20070321,000000,78.9259,79.0443,78.9259,79.0275,13247.019367621,0
MBB.US,D,20070322,000000,79.0075,79.0075,78.9259,78.9259,995.9862977626,0
MBB.US,D,20070323,000000,78.8123,79.0005,78.8123,78.9318,2123.4990118628,0
MBB.US,D,20070326,000000,78.9318,78.9487,78.9318,78.9407,6616.4815546931,0
MBB.US,D,20070327,000000,78.9487,78.9487,78.893,78.9029,1622.4938076455,0
MBB.US,D,20070328,000000,78.9487,78.9487,78.893,78.893,5241.9803030429,0
MBB.US,D,20070329,000000,78.7884,78.7884,78.7884,78.7884,1999.0007246425,0
MBB.US,D,20070330,000000,78.8452,78.8711,78.8302,78.8302,8616.4862977809,0
MBB.US,D,20070402,000000,78.7466,78.7466,78.7078,78.7078,239.96040843272,0
MBB.US,D,20070403,000000,78.6828,78.7625,78.633,78.7078,33359.516864375,0
MBB.US,D,20070404,000000,78.7714,78.7714,78.7078,78.7078,4124.5077733959,0
MBB.US,D,20070405,000000,78.7078,78.7466,78.7078,78.7466,619.47938076565,0
MBB.US,D,20070409,000000,78.64,78.6828,78.64,78.6828,3872.4991436193,0
MBB.US,D,20070410,000000,78.6828,78.7316,78.6828,78.7316,383.53504611423,0
MBB.US,D,20070411,000000,78.6051,78.6051,78.5862,78.5952,619.47938076565,0
MBB.US,D,20070412,000000,78.5952,78.5952,78.5553,78.5623,2745.9904479644,0
MBB.US,D,20070413,000000,78.5553,78.5553,78.4687,78.4687,2873.5007905207,0
MBB.US,D,20070416,000000,78.64,78.64,78.64,78.64,2497.9978919691,0
MBB.US,D,20070417,000000,78.7884,78.7884,78.7884,78.7884,383.53504611423,0
MBB.US,D,20070418,000000,78.8611,78.889,78.8034,78.88,1750.0041502018,0
MBB.US,D,20070419,000000,78.9647,79.136,78.88,78.9259,32109.513899945,0
MBB.US,D,20070420,000000,78.8531,78.8711,78.7466,78.7466,619.47938076565,0
MBB.US,D,20070423,000000,78.8302,78.9487,78.8302,78.9407,8118.4931488996,0
MBB.US,D,20070424,000000,78.9487,79.0165,78.9487,79.0165,6871.5022398057,0
MBB.US,D,20070425,000000,79.0165,79.0443,79.0005,79.0005,2623.5001976348,0
MBB.US,D,20070426,000000,78.88,78.893,78.88,78.893,995.9862977626,0
MBB.US,D,20070427,000000,78.8711,78.8711,78.8531,78.8531,383.53504611423,0
MBB.US,D,20070430,000000,78.9727,79.0165,78.9727,79.0075,1368.4771409783,0
MBB.US,D,20070501,000000,78.7714,78.7714,78.4945,78.6768,6251.0188405947,0
MBB.US,D,20070502,000000,78.6768,78.7078,78.6768,78.6828,12244.00494074,0
MBB.US,D,20070503,000000,78.6768,78.6918,78.5703,78.5952,5001.0158761648,0
MBB.US,D,20070504,000000,78.6639,78.7884,78.6639,78.7884,23108.488537605,0
MBB.US,D,20070507,000000,78.7884,78.7884,78.7078,78.7884,2245.9892621925,0
MBB.US,D,20070508,000000,78.7884,78.8711,78.7884,78.8711,1872.4944005315,0
MBB.US,D,20070509,000000,78.7466,78.7466,78.6639,78.6639,9616.4886693248,0
MBB.US,D,20070510,000000,78.7884,78.7954,78.7804,78.7954,3623.5025691787,0
MBB.US,D,20070511,000000,78.8302,78.8302,78.7147,78.7147,2497.9978919691,0
MBB.US,D,20070514,000000,78.6768,78.6768,78.6768,78.6768,3123.5013834067,0
MBB.US,D,20070515,000000,78.7078,78.7714,78.6768,78.6768,8118.4931488996,0
MBB.US,D,20070516,000000,78.6768,78.7078,78.6768,78.7078,877.51212121423,0
MBB.US,D,20070517,000000,78.6241,78.6241,78.5553,78.5553,1622.4938076455,0
MBB.US,D,20070518,000000,78.64,78.64,77.9955,77.9955,4124.5077733959,0
MBB.US,D,20070521,000000,78.3542,78.394,78.3542,78.394,995.9862977626,0
MBB.US,D,20070522,000000,78.4537,78.4687,77.8691,78.3472,9247.0098814451,0
MBB.US,D,20070523,000000,78.394,78.4368,78.2356,78.2844,11499.02325431,0
MBB.US,D,20070524,000000,78.2436,78.2844,78.0453,78.2844,20237.99980242,0
MBB.US,D,20070525,000000,78.2844,78.2844,78.2436,78.2436,496.98913043598,0
MBB.US,D,20070529,000000,78.2436,78.2436,78.1629,78.2356,9756.047233225,0
MBB.US,D,20070530,000000,78.3252,78.3252,78.2526,78.2764,995.9862977626,0
MBB.US,D,20070531,000000,78.146,78.1878,78.1081,78.1788,6374.5131093697,0
MBB.US,D,20070601,000000,77.8124,77.8124,77.6221,77.6619,12244.00494074,0
MBB.US,D,20070604,000000,77.8044,77.8044,77.7028,77.7028,2369.4835309675,0
MBB.US,D,20070605,000000,77.7246,77.7246,77.4936,77.5912,19480.969894645,0
MBB.US,D,20070606,000000,77.5175,77.5513,77.5175,77.5335,10497.012845876,0
MBB.US,D,20070607,000000,77.3412,77.3412,77.0593,77.0593,48216.981818297,0
MBB.US,D,20070608,000000,76.9358,77.2536,76.7974,77.2536,4124.5077733959,0
MBB.US,D,20070611,000000,76.9358,77.0045,76.9358,76.9837,5001.0158761648,0
MBB.US,D,20070612,000000,76.8134,76.8134,76.5006,76.5006,71461.012846022,0
MBB.US,D,20070613,000000,76.5245,76.7058,76.5245,76.7058,2873.5007905207,0
MBB.US,D,20070614,000000,76.7217,76.7586,76.6729,76.6978,10876.531818208,0
MBB.US,D,20070615,000000,76.6799,76.9458,76.6799,76.9458,11235.970421634,0
MBB.US,D,20070618,000000,76.8622,77.2237,76.8622,77.0205,10621.511133096,0
MBB.US,D,20070619,000000,77.3631,77.3631,77.2237,77.3631,9756.047233225,0
MBB.US,D,20070620,000000,77.2446,77.2685,77.1051,77.1539,6116.4803689211,0
MBB.US,D,20070621,000000,77.0275,77.0743,76.9737,76.9737,6493.9913043634,0
MBB.US,D,20070622,000000,76.8542,77.0275,76.8312,77.0275,13247.019367621,0
MBB.US,D,20070625,000000,77.2147,77.2446,77.2058,77.2296,13489.99183139,0
MBB.US,D,20070626,000000,77.3084,77.3084,77.1968,77.2366,10497.012845876,0
MBB.US,D,20070627,000000,77.3552,77.3552,77.2864,77.2864,10497.012845876,0
MBB.US,D,20070628,000000,77.2366,77.2366,77.1539,77.1539,20608.482608745,0
MBB.US,D,20070629,000000,77.3183,77.3183,77.2934,77.2934,1999.0007246425,0
MBB.US,D,20070702,000000,77.2536,77.2536,77.0903,77.2237,7365.4793149057,0
MBB.US,D,20070703,000000,77.2296,77.3183,77.1609,77.1609,7627.5281291356,0
MBB.US,D,20070705,000000,76.9886,76.9886,76.885,76.894,30358.505731298,0
MBB.US,D,20070706,000000,76.7904,76.7904,76.6888,76.7217,2745.9904479644,0
MBB.US,D,20070709,000000,76.6799,76.7834,76.6799,76.7834,995.9862977626,0
MBB.US,D,20070710,000000,76.91,77.0434,76.91,77.0434,17119.51851124,0
MBB.US,D,20070711,000000,77.0355,77.1291,76.9837,76.9837,13120.513043509,0
MBB.US,D,20070712,000000,76.9528,76.9528,76.9279,76.9279,877.51212121423,0
MBB.US,D,20070713,000000,77.0125,77.0125,76.8691,76.8691,10621.511133096,0
MBB.US,D,20070716,000000,77.0125,77.1051,76.9358,77.0593,153287.51212158,0
MBB.US,D,20070717,000000,77.0355,77.0355,76.9528,77.0045,64467.020355886,0
MBB.US,D,20070718,000000,77.0355,77.1789,77.0275,77.1051,11499.02325431,0
MBB.US,D,20070719,000000,77.1111,77.1699,77.0513,77.147,5627.5233860478,0
MBB.US,D,20070720,000000,77.2147,77.406,77.1609,77.3412,27360.506653557,0
MBB.US,D,20070723,000000,77.3183,77.3412,77.3004,77.3412,34356.507180583,0
MBB.US,D,20070724,000000,77.2536,77.3352,77.2536,77.3352,3123.5013834067,0
MBB.US,D,20070725,000000,77.3352,77.3631,77.3352,77.3412,10740.989328089,0
MBB.US,D,20070726,000000,77.4388,77.647,77.406,77.647,10497.012845876,0
MBB.US,D,20070727,000000,77.4537,77.5424,77.4139,77.5245,46851.516732655,0
MBB.US,D,20070730,000000,77.5085,77.6221,77.4767,77.4767,10621.511133096,0
MBB.US,D,20070731,000000,77.5015,77.5175,77.5015,77.5175,758.03392622053,0
MBB.US,D,20070801,000000,77.3004,77.3412,77.2536,77.3412,5494.9929512648,0
MBB.US,D,20070802,000000,77.3272,77.3711,77.3272,77.3711,2745.9904479644,0
MBB.US,D,20070803,000000,77.6221,77.9797,77.5991,77.6709,26230.985902566,0
MBB.US,D,20070806,000000,77.5912,77.6221,77.4857,77.5245,31229.993741841,0
MBB.US,D,20070807,000000,77.6221,77.6788,77.5335,77.6709,25241.023715476,0
MBB.US,D,20070808,000000,77.3711,77.4388,77.3272,77.396,7627.5281291356,0
MBB.US,D,20070809,000000,77.6539,77.6539,77.5175,77.5673,2745.9904479644,0
MBB.US,D,20070810,000000,77.6539,77.6539,77.4677,77.5015,13364.489525723,0
MBB.US,D,20070813,000000,77.4139,77.4857,77.406,77.4857,5374.5107378258,0
MBB.US,D,20070814,000000,77.379,77.5513,77.379,77.5513,2245.9892621925,0
MBB.US,D,20070815,000000,77.4607,77.4677,77.2685,77.2685,30604.490250403,0
MBB.US,D,20070816,000000,77.4537,77.6071,77.3084,77.5991,60961.991963255,0
MBB.US,D,20070817,000000,77.379,77.7645,77.379,77.7645,3123.5013834067,0
MBB.US,D,20070820,000000,77.7814,77.8522,77.7814,77.8522,11499.02325431,0
MBB.US,D,20070821,000000,78.0215,78.1141,78.0135,78.0135,8366.4857048949,0
MBB.US,D,20070822,000000,77.9647,78.0135,77.8522,77.9418,29106.494729978,0
MBB.US,D,20070823,000000,77.9955,78.0385,77.9079,78.0385,44477.013109461,0
MBB.US,D,20070824,000000,77.9259,78.1081,77.9259,78.1081,35353.497496791,0
MBB.US,D,20070827,000000,78.2764,78.385,78.1968,78.385,22609.491370279,0
