<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCHI.US,D,20110405,000000,45.4339,45.4838,45.3491,45.3641,4403.2548035037,0
MCHI.US,D,20110406,000000,45.6614,45.833,45.4589,45.5956,5425.6358414217,0
MCHI.US,D,20110407,000000,45.7073,45.7741,45.3422,45.5108,8620.07541774,0
MCHI.US,D,20110408,000000,45.8739,45.8739,45.4429,45.6195,7337.087448588,0
MCHI.US,D,20110411,000000,45.6983,45.7652,44.9421,44.9511,21683.49901302,0
MCHI.US,D,20110412,000000,44.6597,44.7884,44.3814,44.6368,8416.6015445073,0
MCHI.US,D,20110413,000000,45.1716,45.1716,44.8832,45.0848,2281.3129826484,0
MCHI.US,D,20110414,000000,45.0848,45.3052,45.0169,45.2204,5501.8132520901,0
MCHI.US,D,20110415,000000,45.406,45.5357,45.1546,45.5357,11364.466870504,0
MCHI.US,D,20110418,000000,44.6687,44.8643,44.3634,44.8214,2199.1215658746,0
MCHI.US,D,20110419,000000,44.8483,44.8832,44.6019,44.7545,4521.5302569099,0
MCHI.US,D,20110420,000000,45.6295,45.6714,45.3821,45.5527,6233.5173282471,0
MCHI.US,D,20110421,000000,45.9009,46.0705,45.7911,46.0705,2476.7681810739,0
MCHI.US,D,20110425,000000,45.8649,46.0774,45.5108,45.5956,1126.6238104116,0
MCHI.US,D,20110426,000000,45.7392,45.7652,45.425,45.6385,5065.7978094486,0
MCHI.US,D,20110427,000000,45.5686,45.5686,44.7306,44.9331,17780.409050615,0
MCHI.US,D,20110428,000000,44.5819,44.8483,44.5819,44.7106,1083.5234333229,0
MCHI.US,D,20110429,000000,44.6019,44.8214,44.2607,44.8134,2118.9348178026,0
MCHI.US,D,20110502,000000,45.0079,45.2963,44.9421,45.0169,6532.2129648153,0
MCHI.US,D,20110503,000000,44.3964,44.3964,43.8297,43.8626,7769.0935538259,0
MCHI.US,D,20110504,000000,43.4286,43.4625,43.2071,43.3708,2288.3293231047,0
MCHI.US,D,20110505,000000,43.0744,43.1812,43.0744,43.1812,471.097144923,0
MCHI.US,D,20110506,000000,44.0073,44.0073,43.3269,43.3269,9069.1212069432,0
MCHI.US,D,20110509,000000,43.5902,43.9813,43.4715,43.8197,31875.234692971,0
MCHI.US,D,20110510,000000,43.9305,44.0402,43.9305,43.9983,5672.2100917431,0
MCHI.US,D,20110511,000000,43.9564,43.9564,43.1902,43.1902,2473.7611780212,0
MCHI.US,D,20110512,000000,43.2959,43.2959,43.2959,43.2959,116.2707847044,0
