<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDIV.US,D,20120817,000000,12.4829,12.4829,12.4024,12.4134,142744.12277052,0
MDIV.US,D,20120820,000000,12.6778,12.6778,12.3905,12.4214,84212.302210833,0
MDIV.US,D,20120821,000000,12.3945,12.4491,12.3885,12.4014,64111.166007143,0
MDIV.US,D,20120822,000000,12.4014,12.4014,12.3468,12.3885,73574.725802355,0
MDIV.US,D,20120823,000000,12.3945,12.3945,12.3458,12.3617,150752.9884588,0
MDIV.US,D,20120824,000000,12.3815,12.4064,12.3358,12.4064,149760.0540995,0
MDIV.US,D,20120827,000000,12.4064,12.4214,12.3885,12.4134,103779.24576529,0
MDIV.US,D,20120828,000000,12.3945,12.4422,12.3945,12.4302,270303.49253275,0
MDIV.US,D,20120829,000000,12.4422,12.4889,12.4064,12.4422,160990.17188349,0
MDIV.US,D,20120830,000000,12.4571,12.4571,12.4014,12.4302,118185.34508149,0
MDIV.US,D,20120831,000000,12.4571,12.5078,12.4214,12.4322,87487.878982728,0
MDIV.US,D,20120904,000000,12.4491,12.5008,12.4024,12.4889,220452.55402611,0
MDIV.US,D,20120905,000000,12.5078,12.5208,12.4362,12.4621,71907.763053267,0
MDIV.US,D,20120906,000000,12.5008,12.5376,12.4939,12.5208,94954.503921608,0
MDIV.US,D,20120907,000000,12.5585,12.5585,12.5078,12.5257,160986.1478334,0
MDIV.US,D,20120910,000000,12.5297,12.9521,12.5138,12.5257,124055.42814783,0
MDIV.US,D,20120911,000000,13.0436,13.0436,12.5138,12.5297,82669.079001961,0
MDIV.US,D,20120912,000000,12.7722,12.7722,12.5257,12.5545,162275.85588671,0
MDIV.US,D,20120913,000000,12.5695,12.8497,12.5376,12.641,186793.38706233,0
MDIV.US,D,20120914,000000,12.637,12.6838,12.637,12.6639,67265.015263866,0
MDIV.US,D,20120917,000000,12.6838,12.8925,12.6102,12.6321,70530.531910539,0
MDIV.US,D,20120918,000000,12.8259,12.8259,12.5982,12.6102,102479.47758677,0
MDIV.US,D,20120919,000000,12.6321,12.637,12.5734,12.6102,204676.26565483,0
MDIV.US,D,20120920,000000,12.641,12.641,12.5843,12.6102,146574.01244208,0
MDIV.US,D,20120921,000000,12.6459,12.6519,12.6211,12.6291,150729.8501708,0
MDIV.US,D,20120924,000000,12.6291,12.796,12.6142,12.6459,52033.985679568,0
MDIV.US,D,20120925,000000,12.636,12.636,12.5247,12.5416,168431.64650932,0
MDIV.US,D,20120926,000000,12.5565,12.5565,12.4799,12.4909,67154.353886437,0
MDIV.US,D,20120927,000000,12.5287,12.6629,12.4909,12.5465,88212.207998625,0
MDIV.US,D,20120928,000000,12.5287,12.5465,12.5038,12.5237,76876.458899822,0
MDIV.US,D,20121001,000000,12.5098,12.5675,12.5058,12.5287,62387.866556819,0
MDIV.US,D,20121002,000000,12.5465,12.5615,12.5237,12.5615,105962.29293822,0
MDIV.US,D,20121003,000000,12.5883,12.6152,12.5485,12.5883,85733.393144218,0
MDIV.US,D,20121004,000000,12.6152,12.6291,12.5675,12.6152,124650.9875609,0
MDIV.US,D,20121005,000000,12.6291,12.7325,12.6042,12.6291,54153.654063591,0
MDIV.US,D,20121008,000000,12.6291,12.6291,12.6012,12.6291,89941.543524081,0
MDIV.US,D,20121009,000000,12.641,12.641,12.5675,12.5675,62594.099123846,0
MDIV.US,D,20121010,000000,12.5952,12.5952,12.5287,12.5525,115809.14350434,0
MDIV.US,D,20121011,000000,12.5952,12.6012,12.5525,12.5714,101244.09420966,0
MDIV.US,D,20121012,000000,12.6629,12.6629,12.5058,12.5336,104648.44058438,0
MDIV.US,D,20121015,000000,12.5565,12.5675,12.4909,12.5675,57369.876096682,0
MDIV.US,D,20121016,000000,12.6012,12.6519,12.6012,12.6519,111441.03713347,0
MDIV.US,D,20121017,000000,12.6868,12.7116,12.6698,12.7116,90002.910287928,0
MDIV.US,D,20121018,000000,12.7255,12.7643,12.7056,12.7255,94921.305508379,0
MDIV.US,D,20121019,000000,12.7175,12.7812,12.6152,12.6459,104474.40041806,0
MDIV.US,D,20121022,000000,12.6291,12.6589,12.5982,12.636,46199.113051501,0
MDIV.US,D,20121023,000000,12.5952,12.5952,12.4949,12.5675,229967.42045994,0
MDIV.US,D,20121024,000000,12.5814,12.6152,12.5396,12.5465,105194.70538387,0
MDIV.US,D,20121025,000000,12.5883,12.6152,12.5237,12.5465,68207.648997055,0
MDIV.US,D,20121026,000000,12.5565,12.6698,12.4472,12.4809,116874.51076522,0
MDIV.US,D,20121031,000000,12.5465,12.6211,12.4968,12.5952,122226.49738269,0
MDIV.US,D,20121101,000000,12.5952,12.6926,12.5465,12.6012,121946.82590155,0
MDIV.US,D,20121102,000000,12.6459,12.6459,12.5416,12.5525,64931.066212639,0
MDIV.US,D,20121105,000000,12.5525,12.6519,12.473,12.5098,51021.937082355,0
MDIV.US,D,20121106,000000,12.5287,12.5675,12.5098,12.5485,125436.68334065,0
MDIV.US,D,20121107,000000,12.5287,12.5287,12.3288,12.3785,130758.48958245,0
MDIV.US,D,20121108,000000,12.3348,12.4282,12.307,12.307,91076.325648989,0
MDIV.US,D,20121109,000000,12.2394,12.314,12.2394,12.2573,74455.992771697,0
MDIV.US,D,20121112,000000,12.2613,12.2613,12.1688,12.1937,60376.847525181,0
MDIV.US,D,20121113,000000,12.1688,12.2007,11.7175,12.1559,212092.58996761,0
MDIV.US,D,20121114,000000,12.1619,12.1619,11.9472,11.97,155188.49766865,0
MDIV.US,D,20121115,000000,11.966,12.0039,11.8249,11.9153,115709.54826465,0
