<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MILN.US,D,20160506,000000,14.634,14.693,14.545,14.683,2485,0
MILN.US,D,20160509,000000,14.713,14.83,14.708,14.792,18205,0
MILN.US,D,20160510,000000,14.862,14.96,14.802,14.951,46781,0
MILN.US,D,20160511,000000,14.912,14.912,14.643,14.663,29516,0
MILN.US,D,20160512,000000,14.743,14.743,14.516,14.624,11664,0
MILN.US,D,20160513,000000,14.624,14.643,14.526,14.555,8676,0
MILN.US,D,20160516,000000,14.574,14.626,14.509,14.624,5918,0
MILN.US,D,20160517,000000,14.565,14.584,14.497,14.497,4727,0
MILN.US,D,20160518,000000,14.397,14.497,14.341,14.377,2772,0
MILN.US,D,20160519,000000,14.251,14.308,14.251,14.299,2626,0
MILN.US,D,20160520,000000,14.299,14.506,14.299,14.468,2736,0
MILN.US,D,20160523,000000,14.545,14.565,14.521,14.535,4917,0
MILN.US,D,20160524,000000,14.555,14.703,14.555,14.693,3038,0
MILN.US,D,20160525,000000,14.733,14.733,14.677,14.733,2991,0
MILN.US,D,20160526,000000,14.762,14.772,14.762,14.772,829,0
MILN.US,D,20160527,000000,14.822,14.852,14.792,14.792,1178,0
MILN.US,D,20160531,000000,14.872,14.892,14.812,14.862,3048,0
MILN.US,D,20160601,000000,14.792,14.862,14.792,14.852,4566,0
MILN.US,D,20160602,000000,14.872,14.921,14.812,14.912,22971,0
MILN.US,D,20160603,000000,14.792,14.842,14.743,14.842,3799,0
MILN.US,D,20160606,000000,14.912,14.912,14.802,14.824,10769,0
MILN.US,D,20160607,000000,14.921,14.97,14.872,14.97,639,0
MILN.US,D,20160608,000000,14.93,14.93,14.842,14.862,600,0
MILN.US,D,20160609,000000,14.87,14.902,14.832,14.902,4693,0
MILN.US,D,20160610,000000,14.792,14.792,14.673,14.723,574,0
MILN.US,D,20160613,000000,14.951,14.951,14.832,14.832,1927,0
MILN.US,D,20160614,000000,14.743,14.752,14.743,14.752,353,0
MILN.US,D,20160615,000000,14.894,14.951,14.892,14.892,3315,0
MILN.US,D,20160616,000000,14.733,14.772,14.733,14.772,1135,0
MILN.US,D,20160617,000000,14.831,14.831,14.802,14.802,600,0
MILN.US,D,20160620,000000,14.931,14.931,14.931,14.931,100,0
MILN.US,D,20160621,000000,14.951,14.951,14.951,14.951,683,0
MILN.US,D,20160622,000000,14.935,14.98,14.935,14.951,1654,0
MILN.US,D,20160623,000000,15.068,15.078,14.981,15.078,2202,0
MILN.US,D,20160624,000000,14.752,14.762,14.584,14.643,4128,0
MILN.US,D,20160627,000000,14.535,14.535,14.201,14.279,6565,0
MILN.US,D,20160628,000000,14.545,14.545,14.545,14.545,452,0
MILN.US,D,20160629,000000,14.822,14.822,14.822,14.822,230,0
MILN.US,D,20160630,000000,14.941,14.97,14.916,14.97,2901,0
MILN.US,D,20160705,000000,14.953,14.985,14.953,14.98,969,0
MILN.US,D,20160706,000000,15.038,15.098,15.038,15.098,222,0
MILN.US,D,20160707,000000,15.154,15.154,15.154,15.154,105,0
MILN.US,D,20160708,000000,15.353,15.502,15.353,15.501,6794,0
MILN.US,D,20160711,000000,15.58,15.61,15.531,15.61,4051,0
MILN.US,D,20160712,000000,15.72,15.72,15.65,15.7,13721,0
MILN.US,D,20160713,000000,15.693,15.693,15.693,15.693,100,0
MILN.US,D,20160714,000000,15.837,15.837,15.72,15.759,1080,0
MILN.US,D,20160715,000000,15.685,15.69,15.67,15.67,2926,0
MILN.US,D,20160718,000000,15.72,15.749,15.64,15.741,4222,0
MILN.US,D,20160719,000000,15.64,15.68,15.64,15.68,3368,0
MILN.US,D,20160720,000000,15.699,15.769,15.699,15.769,1344,0
MILN.US,D,20160721,000000,15.779,15.827,15.705,15.705,3373,0
MILN.US,D,20160722,000000,15.68,15.799,15.68,15.799,1162,0
MILN.US,D,20160725,000000,15.799,15.847,15.799,15.847,2144,0
MILN.US,D,20160726,000000,15.936,15.936,15.821,15.837,1282,0
MILN.US,D,20160727,000000,15.766,15.808,15.693,15.739,2035,0
MILN.US,D,20160728,000000,15.739,15.791,15.71,15.791,1374,0
MILN.US,D,20160729,000000,15.779,15.827,15.779,15.827,382,0
MILN.US,D,20160801,000000,15.877,15.926,15.814,15.837,1866,0
MILN.US,D,20160802,000000,15.897,15.897,15.631,15.643,2659,0
MILN.US,D,20160803,000000,15.531,15.68,15.492,15.68,1795,0
MILN.US,D,20160804,000000,15.72,15.72,15.67,15.67,303,0
MILN.US,D,20160805,000000,15.808,15.867,15.804,15.847,988,0
MILN.US,D,20160808,000000,15.877,15.878,15.789,15.847,3152,0
MILN.US,D,20160809,000000,15.897,15.897,15.802,15.819,1571,0
MILN.US,D,20160810,000000,15.835,15.835,15.806,15.806,610,0
MILN.US,D,20160811,000000,15.936,15.936,15.887,15.906,8347,0
MILN.US,D,20160812,000000,15.906,15.926,15.876,15.906,1911,0
MILN.US,D,20160815,000000,15.946,15.995,15.946,15.994,1882,0
MILN.US,D,20160816,000000,15.936,15.936,15.906,15.926,3119,0
MILN.US,D,20160817,000000,15.946,15.946,15.779,15.799,2338,0
MILN.US,D,20160818,000000,15.827,15.857,15.827,15.837,1892,0
MILN.US,D,20160819,000000,15.847,15.867,15.847,15.867,574,0
MILN.US,D,20160822,000000,15.769,15.887,15.769,15.857,2633,0
MILN.US,D,20160823,000000,15.956,15.956,15.847,15.926,1540,0
MILN.US,D,20160824,000000,15.975,15.975,15.779,15.779,1533,0
MILN.US,D,20160825,000000,15.827,15.856,15.814,15.856,2194,0
MILN.US,D,20160826,000000,15.887,15.887,15.739,15.793,2157,0
MILN.US,D,20160829,000000,15.837,15.867,15.789,15.848,2177,0
MILN.US,D,20160830,000000,15.877,15.877,15.749,15.749,1625,0
MILN.US,D,20160831,000000,15.757,15.757,15.71,15.749,760,0
MILN.US,D,20160901,000000,15.749,15.749,15.656,15.688,951,0
MILN.US,D,20160902,000000,15.837,15.837,15.732,15.759,1413,0
MILN.US,D,20160906,000000,15.817,15.817,15.731,15.799,1708,0
MILN.US,D,20160907,000000,15.835,15.881,15.779,15.847,2208,0
MILN.US,D,20160908,000000,15.847,15.847,15.71,15.71,3960,0
MILN.US,D,20160909,000000,15.551,15.582,15.377,15.423,6566,0
MILN.US,D,20160912,000000,15.323,15.531,15.283,15.522,2197,0
MILN.US,D,20160913,000000,15.502,15.502,15.293,15.359,3902,0
MILN.US,D,20160914,000000,15.376,15.433,15.353,15.353,3224,0
MILN.US,D,20160915,000000,15.403,15.478,15.383,15.478,1827,0
MILN.US,D,20160916,000000,15.413,15.476,15.413,15.476,671,0
MILN.US,D,20160919,000000,15.59,15.59,15.461,15.461,1751,0
