<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFTY.US,D,20120416,000000,24.17,24.17,24.17,24.17,125.6156257,0
NFTY.US,D,20120423,000000,23.36,23.36,23.36,23.36,121.5959256776,0
NFTY.US,D,20120502,000000,24.2953,24.2953,24.2953,24.2953,184.9062010304,0
NFTY.US,D,20120503,000000,24.3342,24.3342,24.3342,24.3342,184.9062010304,0
NFTY.US,D,20120509,000000,23.5908,23.5908,23.5908,23.5908,121.5959256776,0
NFTY.US,D,20120517,000000,22.8783,22.9042,22.8385,22.8385,631.0929035168,0
NFTY.US,D,20120524,000000,22.3211,22.3211,22.3211,22.3211,361.773002016,0
NFTY.US,D,20120525,000000,22.134,22.134,22.134,22.134,244.1967763608,0
NFTY.US,D,20120718,000000,21.9469,21.9469,21.9469,21.9469,132.6501007392,0
NFTY.US,D,20120723,000000,21.6086,21.6086,21.6086,21.6086,121.5959256776,0
NFTY.US,D,20120725,000000,21.4941,21.4941,21.4941,21.4941,149.7338258344,0
NFTY.US,D,20120803,000000,22.6087,22.6087,22.6087,22.6087,3053.9670920184,0
NFTY.US,D,20120808,000000,22.9679,22.9679,22.9679,22.9679,263.2903514672,0
NFTY.US,D,20120809,000000,23.3012,23.3012,23.3012,23.3012,3053.9670920184,0
NFTY.US,D,20120921,000000,24.0585,24.0585,24.0585,24.0585,4884.9404522216,0
NFTY.US,D,20120927,000000,23.4823,23.4823,23.4356,23.4744,2557.534139252,0
NFTY.US,D,20121004,000000,23.4823,23.4823,23.4823,23.4823,1078.2845310088,0
NFTY.US,D,20121008,000000,23.3012,23.3012,23.3012,23.3012,244.1967763608,0
NFTY.US,D,20121107,000000,22.3479,22.3479,22.3479,22.3479,2105.317886732,0
NFTY.US,D,20121109,000000,22.9112,22.9112,22.8385,22.8385,336.649876876,0
NFTY.US,D,20121114,000000,22.3629,22.3629,22.3629,22.3629,3543.3655697456,0
NFTY.US,D,20121211,000000,24.0585,24.0585,24.0585,24.0585,216.058876204,0
NFTY.US,D,20130124,000000,23.7361,23.7361,23.7361,23.7361,207.0145511536,0
NFTY.US,D,20130131,000000,23.7212,23.762,23.7212,23.762,477.33937766,0
NFTY.US,D,20130212,000000,24.1043,24.1043,24.1043,24.1043,334.6400268648,0
NFTY.US,D,20130215,000000,24.1471,24.1471,24.1471,24.1471,2054.0667114464,0
NFTY.US,D,20130306,000000,24.6536,24.6536,24.6536,24.6536,1797.8108350184,0
NFTY.US,D,20130315,000000,24.4914,24.5401,24.4914,24.4914,733.595254088,0
NFTY.US,D,20130405,000000,24.6625,24.6625,24.6625,24.6625,221.083501232,0
NFTY.US,D,20130410,000000,24.4257,24.4257,24.4257,24.4257,221.083501232,0
NFTY.US,D,20130426,000000,25.0058,25.0307,25.0058,25.0307,4625.6698007768,0
NFTY.US,D,20130503,000000,25.9253,25.9253,25.9253,25.9253,121.5959256776,0
NFTY.US,D,20130507,000000,25.7999,25.7999,25.7999,25.7999,158.7781508848,0
NFTY.US,D,20130508,000000,26.1522,26.1522,26.1522,26.1522,121.5959256776,0
NFTY.US,D,20130520,000000,25.987,25.987,25.987,25.987,4518.1428251776,0
NFTY.US,D,20130607,000000,25.4079,25.4477,25.4079,25.4228,1221.9888068096,0
NFTY.US,D,20130710,000000,24.574,24.574,24.574,24.574,160.788000896,0
NFTY.US,D,20130718,000000,24.8974,24.8974,24.8974,24.8974,244.1967763608,0
NFTY.US,D,20130731,000000,24.4406,24.4406,24.4406,24.4406,123.6057756888,0
NFTY.US,D,20130822,000000,23.6446,23.6863,23.6446,23.6863,488.3935527216,0
NFTY.US,D,20130910,000000,26,26.0059,25.8328,25.8646,117773.1909563,0
NFTY.US,D,20130911,000000,25.7193,25.7751,25.5691,25.6377,13806.664651938,0
NFTY.US,D,20130912,000000,25.6288,25.6626,25.4158,25.4397,37016.412581276,0
NFTY.US,D,20130913,000000,25.5561,25.6079,25.4666,25.4835,54975.427356354,0
NFTY.US,D,20130916,000000,25.5691,25.8726,25.5691,25.7591,3634.8137452552,0
NFTY.US,D,20130917,000000,25.6686,25.6686,25.4586,25.4586,28219.299082254,0
NFTY.US,D,20130918,000000,25.5989,25.5989,25.5243,25.5243,244.1967763608,0
NFTY.US,D,20130919,000000,26.4,26.4,26.4,26.4,146.7190508176,0
NFTY.US,D,20130924,000000,26.1492,26.1492,26.0139,26.0139,239.1721513328,0
NFTY.US,D,20131002,000000,25.8328,25.8328,25.8328,25.8328,128.6304007168,0
NFTY.US,D,20131004,000000,26.4826,26.5811,26.4676,26.4746,21256.173718451,0
NFTY.US,D,20131007,000000,26.1661,26.5731,26.1094,26.1094,11904.341616338,0
NFTY.US,D,20131009,000000,25.9263,26.0328,25.9174,25.99,33501.184911687,0
NFTY.US,D,20131010,000000,26.4676,26.5075,26.3164,26.4079,18850.383255045,0
NFTY.US,D,20131011,000000,26.2666,26.2666,26.1492,26.2318,719.5263040096,0
NFTY.US,D,20131014,000000,25.7989,25.9263,25.7004,25.8248,13567.492500606,0
NFTY.US,D,20131015,000000,25.8586,25.983,25.7651,25.7651,16333.046116017,0
NFTY.US,D,20131016,000000,25.8497,25.8815,25.7412,25.8586,35066.858070412,0
NFTY.US,D,20131021,000000,26.1333,26.1333,26.0467,26.0467,840.1173046816,0
NFTY.US,D,20131108,000000,24.984,24.9919,24.984,24.9919,959.703380348,0
NFTY.US,D,20131122,000000,24.7581,24.7581,24.7581,24.7581,119.5860756664,0
NFTY.US,D,20131213,000000,25.5482,25.6427,25.5392,25.5561,42784.68211342,0
NFTY.US,D,20131216,000000,25.6686,25.6775,25.6686,25.6686,6967.1450638248,0
NFTY.US,D,20131217,000000,25.5243,25.5243,25.5243,25.5243,800.9252294632,0
NFTY.US,D,20131218,000000,26.1094,26.1094,26.1094,26.1094,600.9451533488,0
NFTY.US,D,20131219,000000,25.5243,25.5243,25.5243,25.5243,840.1173046816,0
NFTY.US,D,20131223,000000,25.8915,25.9343,25.8915,25.9343,837.1025296648,0
NFTY.US,D,20131230,000000,26.5731,26.7005,26.5731,26.6408,659.2308036736,0
NFTY.US,D,20140102,000000,26.5254,26.5254,26.5254,26.5254,473.3196776376,0
NFTY.US,D,20140103,000000,26.3084,26.3084,26.2487,26.2746,2056.0765614576,0
NFTY.US,D,20140106,000000,26.0915,26.0915,26.0915,26.0915,1534.5204835512,0
NFTY.US,D,20140110,000000,26.6159,26.6159,26.6159,26.6159,719.5263040096,0
NFTY.US,D,20140116,000000,26.4676,26.4676,26.4497,26.4497,239.1721513328,0
NFTY.US,D,20140130,000000,25.0825,25.0825,25.0825,25.0825,262.2854264616,0
NFTY.US,D,20140204,000000,25.1263,25.1263,25.1263,25.1263,600.9451533488,0
NFTY.US,D,20140207,000000,25.8248,25.8248,25.8248,25.8248,366.797627044,0
NFTY.US,D,20140307,000000,26.4428,26.4428,26.4428,26.4428,182.8963510192,0
