<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXTG.US,D,20110308,000000,25.6154,25.8053,25.4244,25.7285,15217.689119044,0
NXTG.US,D,20110309,000000,25.5209,25.7896,25.261,25.261,8319.5859322115,0
NXTG.US,D,20110310,000000,24.8812,24.9747,24.5603,24.5701,25810.224945046,0
NXTG.US,D,20110311,000000,24.4383,24.6942,24.3152,24.6882,12880.726778535,0
NXTG.US,D,20110314,000000,24.2739,24.4294,24.0377,24.265,9938.1863706596,0
NXTG.US,D,20110315,000000,23.1904,23.8822,23.0604,23.8822,28670.463635712,0
NXTG.US,D,20110316,000000,23.8035,23.8911,23.1716,23.3192,28141.090862058,0
NXTG.US,D,20110317,000000,23.6529,23.6529,23.4108,23.4629,12109.529206167,0
NXTG.US,D,20110318,000000,23.71,23.71,23.518,23.6056,10610.825096493,0
NXTG.US,D,20110321,000000,23.9698,24.0545,23.7257,23.9698,11162.551422969,0
NXTG.US,D,20110322,000000,24.0121,24.0121,23.8212,23.8665,9344.8011502869,0
NXTG.US,D,20110323,000000,23.6145,24.145,23.6145,24.145,9202.5512686908,0
NXTG.US,D,20110324,000000,24.2562,24.516,24.1696,24.4974,17188.866049734,0
NXTG.US,D,20110325,000000,24.4974,24.5328,24.3615,24.3861,8453.7072491451,0
NXTG.US,D,20110328,000000,24.4383,24.516,24.2739,24.3152,3861.0682147538,0
NXTG.US,D,20110329,000000,24.2287,24.455,24.2287,24.4039,19386.626720395,0
NXTG.US,D,20110330,000000,24.6696,24.7118,24.5328,24.6696,6358.5697073498,0
NXTG.US,D,20110331,000000,24.6223,24.6646,24.579,24.6135,12067.870312271,0
NXTG.US,D,20110401,000000,24.7571,24.7571,24.5328,24.6125,2085.9929065499,0
NXTG.US,D,20110404,000000,24.6046,24.6046,24.2818,24.3438,4619.0568695449,0
NXTG.US,D,20110405,000000,24.6381,24.8477,24.5328,24.6696,26128.255037472,0
NXTG.US,D,20110406,000000,24.8015,24.8388,24.6302,24.8388,55487.614528343,0
