<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDBC.US,D,20141111,000000,12.5661,12.7019,12.5661,12.671,15858.92757372,0
PDBC.US,D,20141112,000000,12.7116,12.7116,12.6613,12.6613,1598.3711696260002,0
PDBC.US,D,20141113,000000,12.5855,12.5855,12.373,12.388,5750.279246866001,0
PDBC.US,D,20141118,000000,12.47,12.47,12.4048,12.4242,23722.596095968,0
PDBC.US,D,20141119,000000,12.4647,12.4647,12.3845,12.3845,5171.734678726,0
PDBC.US,D,20141121,000000,12.6058,12.6102,12.5044,12.5855,16481.713785306,0
PDBC.US,D,20141124,000000,12.5608,12.5608,12.4806,12.4947,1785.547353436,0
PDBC.US,D,20141125,000000,12.5802,12.5802,12.4339,12.4392,13008.177574238001,0
PDBC.US,D,20141126,000000,12.4744,12.4744,12.4744,12.4744,264.315459562,0
PDBC.US,D,20141128,000000,12.0663,12.0663,11.8591,11.8591,6125.7660156,0
PDBC.US,D,20141201,000000,11.8944,11.8944,11.8291,11.8944,11887.389273606,0
PDBC.US,D,20141202,000000,11.9006,11.9958,11.8344,11.8344,2454.844010696,0
PDBC.US,D,20141203,000000,11.8344,11.8591,11.7842,11.7842,2383.376740514,0
PDBC.US,D,20141204,000000,11.7683,11.7992,11.7472,11.7586,43642.679657808,0
PDBC.US,D,20141208,000000,11.5356,11.5576,11.5259,11.5259,2576.224929894,0
PDBC.US,D,20141209,000000,11.5471,11.6423,11.5259,11.6176,55515.321716932005,0
PDBC.US,D,20141210,000000,11.7533,11.7533,11.4862,11.4862,395.905988786,0
PDBC.US,D,20141211,000000,11.3998,11.4201,11.3593,11.3646,62227.57310847,0
PDBC.US,D,20141212,000000,11.3399,11.3399,11.2597,11.2641,102463.646220936,0
PDBC.US,D,20141215,000000,11.2641,11.2641,11.0675,11.0675,3361.2305007820005,0
PDBC.US,D,20141216,000000,10.997,11.1178,10.9767,11.0208,27918.745816654002,0
PDBC.US,D,20141217,000000,12.6102,12.6102,10.9767,11.1028,12188.005568816001,0
PDBC.US,D,20141218,000000,11.2165,11.2235,11.0622,11.1142,26288.611415836003,0
PDBC.US,D,20141219,000000,11.1283,11.2332,11.0675,11.2332,6859.723536358,0
PDBC.US,D,20141222,000000,11.2332,11.2332,10.997,10.997,7257.8983273720005,0
PDBC.US,D,20141223,000000,11.0261,11.1574,11.0261,11.1327,107602.48326735602,0
PDBC.US,D,20141224,000000,11.0014,11.0067,10.9608,10.9688,31123.428963704002,0
PDBC.US,D,20141226,000000,11.0261,11.0261,10.937,10.9608,24543.902502504003,0
PDBC.US,D,20141229,000000,11.0314,11.0314,10.8656,10.8656,30067.30152657,0
PDBC.US,D,20141230,000000,10.8859,10.8859,10.8559,10.8656,20411.279244202,0
PDBC.US,D,20141231,000000,10.7043,10.7643,10.6937,10.7643,17997.27367361,0
PDBC.US,D,20150102,000000,11.2888,11.2888,10.6541,10.6735,13181.740944680001,0
PDBC.US,D,20150105,000000,10.6179,10.6179,10.5227,10.543,5045.816155072001,0
PDBC.US,D,20150106,000000,10.4919,10.5474,10.4152,10.4152,10887.981892172002,0
PDBC.US,D,20150107,000000,10.4363,10.4363,10.3508,10.3544,2331.1942892700004,0
PDBC.US,D,20150108,000000,10.3561,10.3808,10.3306,10.3605,5567.640667512001,0
PDBC.US,D,20150109,000000,10.573,10.573,10.3112,10.3112,3768.4805007080004,0
PDBC.US,D,20150112,000000,10.1745,10.2706,10.1745,10.1878,1655.091225326,0
PDBC.US,D,20150113,000000,10.1498,10.1498,10.1287,10.1287,1311.367687784,0
PDBC.US,D,20150114,000000,10.0687,10.2292,10.0308,10.2283,10183.518800378,0
PDBC.US,D,20150115,000000,10.1137,10.1296,10.0934,10.0978,14537.350275910001,0
PDBC.US,D,20150116,000000,10.1842,10.2618,10.1534,10.2618,3375.9777152640004,0
PDBC.US,D,20150120,000000,10.1296,10.1595,10.089,10.134,8185.838438624,0
PDBC.US,D,20150121,000000,10.387,10.387,10.1745,10.1789,3769.6149018220003,0
PDBC.US,D,20150122,000000,10.171,10.2098,10.1692,10.2063,3222.8335648740003,0
PDBC.US,D,20150123,000000,10.1534,10.2001,10.1296,10.1296,7940.807798000001,0
PDBC.US,D,20150126,000000,10.1102,10.1234,10.0934,10.1093,2369.7639271460002,0
PDBC.US,D,20150127,000000,10.1137,10.1692,10.089,10.1692,4075.9032026020004,0
PDBC.US,D,20150128,000000,10.0282,10.0282,10.0282,10.0282,1982.9331472720003,0
PDBC.US,D,20150130,000000,9.94269,10.2098,9.9374,10.2098,3800.2437319000005,0
PDBC.US,D,20150202,000000,10.2398,10.3341,10.2186,10.3341,10270.867686156002,0
PDBC.US,D,20150203,000000,10.5139,10.6682,10.5139,10.6682,8451.2882993,0
