<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDP.US,D,20070301,000000,22.8168,23.2993,22.7289,23.1254,274095.53370831,0
PDP.US,D,20070302,000000,23.0286,23.0965,22.663,22.6999,97870.024311769,0
PDP.US,D,20070305,000000,22.4512,22.613,22.2394,22.2394,45663.401106081,0
PDP.US,D,20070306,000000,22.643,22.9217,22.5661,22.8348,47533.465194524,0
PDP.US,D,20070307,000000,22.8258,23.0565,22.7868,22.8348,141562.24972719,0
PDP.US,D,20070308,000000,23.1754,23.3772,23.1254,23.1754,85723.61768164,0
PDP.US,D,20070309,000000,23.3672,23.3672,23.1754,23.2993,42033.394476159,0
PDP.US,D,20070312,000000,23.2893,23.4261,23.1454,23.3772,69431.635360802,0
PDP.US,D,20070313,000000,23.2893,23.3672,22.8168,22.8168,51268.587846549,0
PDP.US,D,20070314,000000,22.9516,22.9516,22.5761,22.9317,39542.645304828,0
PDP.US,D,20070315,000000,23.0286,23.1354,22.9317,23.0965,21898.170166278,0
PDP.US,D,20070316,000000,23.1454,23.1554,22.8637,22.9616,51371.701658706,0
PDP.US,D,20070319,000000,23.1654,23.2893,23.0665,23.2893,31342.594475899,0
PDP.US,D,20070320,000000,23.3292,23.504,23.2793,23.4841,53865.454144954,0
PDP.US,D,20070321,000000,23.5779,23.9326,23.4841,23.8956,255518.02873549,0
PDP.US,D,20070322,000000,24.0414,25.6127,23.8067,23.9046,167299.65746263,0
PDP.US,D,20070323,000000,23.9625,24.0594,23.9425,24.0015,89982.318234229,0
PDP.US,D,20070326,000000,24.0894,24.0984,23.7098,23.9625,101396.91712953,0
PDP.US,D,20070327,000000,23.9725,23.9725,23.8357,23.9046,99843.202212369,0
PDP.US,D,20070328,000000,23.7488,23.8267,23.6159,23.6529,50023.213260883,0
PDP.US,D,20070329,000000,23.8956,23.9625,23.559,23.7867,64139.794476696,0
PDP.US,D,20070330,000000,23.8457,23.9915,23.7008,23.8267,43902.45745963,0
PDP.US,D,20070402,000000,23.9226,24.0414,23.8267,24.0115,57391.345857747,0
PDP.US,D,20070403,000000,24.1463,24.3011,24.1463,24.2432,219090.82210477,0
PDP.US,D,20070404,000000,24.3301,24.3471,24.1963,24.3401,276064.70718902,0
PDP.US,D,20070405,000000,24.3571,24.407,24.2332,24.3771,228011.66851382,0
PDP.US,D,20070409,000000,24.6188,24.6188,24.416,24.4929,214935.23536434,0
PDP.US,D,20070410,000000,24.5798,24.6767,24.4839,24.5619,127446.66961635,0
PDP.US,D,20070411,000000,24.6088,24.6088,24.2732,24.3401,101603.14475385,0
PDP.US,D,20070412,000000,24.3571,24.464,24.2532,24.454,67251.228730915,0
PDP.US,D,20070413,000000,24.5129,24.5329,24.3571,24.5329,152355.16243464,0
PDP.US,D,20070416,000000,24.7157,24.8495,24.5708,24.7546,159204.7226558,0
PDP.US,D,20070417,000000,24.7447,25.322,24.6578,24.7646,75035.820996297,0
PDP.US,D,20070418,000000,24.6188,24.7646,24.474,24.6867,141873.59337361,0
PDP.US,D,20070419,000000,24.6188,24.7157,24.426,24.6288,44733.374586722,0
PDP.US,D,20070420,000000,24.8775,24.9844,24.7157,24.8575,96103.074035483,0
PDP.US,D,20070423,000000,24.9165,25.0603,24.9065,25.0124,79394.632046127,0
PDP.US,D,20070424,000000,25.0403,25.0403,24.8116,24.9554,84791.588952335,0
PDP.US,D,20070425,000000,25.0214,25.5638,24.9065,25.0693,57702.689504164,0
PDP.US,D,20070426,000000,25.1862,25.2341,25.0403,25.1862,75035.820996297,0
PDP.US,D,20070427,000000,25.0503,25.1672,24.9744,25.1282,44836.488398879,0
PDP.US,D,20070430,000000,25.0603,25.0993,24.6967,24.7347,97558.680665352,0
PDP.US,D,20070501,000000,24.6288,24.7157,24.407,24.5708,50440.674034374,0
PDP.US,D,20070502,000000,24.5998,25.1182,24.5998,25.0603,65174.937018157,0
PDP.US,D,20070503,000000,25.0993,25.0993,24.8875,24.9844,76176.079559861,0
PDP.US,D,20070504,000000,25.0503,25.6327,24.9934,25.0893,35389.06077434,0
PDP.US,D,20070507,000000,25.2141,25.2141,25.0303,25.1093,68394.490609396,0
PDP.US,D,20070508,000000,25.0503,25.1572,24.8116,25.1382,106898.99005784,0
PDP.US,D,20070509,000000,25.1472,25.4858,25.1382,25.4669,63930.563537464,0
PDP.US,D,20070510,000000,25.36,25.36,24.9554,25.0214,87074.108289407,0
PDP.US,D,20070511,000000,24.9554,25.369,24.9554,25.36,47637.580111654,0
PDP.US,D,20070514,000000,25.4669,25.4669,25.2141,25.2921,30513.679558752,0
PDP.US,D,20070515,000000,25.342,25.4569,25.0893,25.1572,66735.659670129,0
PDP.US,D,20070516,000000,25.2831,25.2831,25.0024,25.1962,79185.401106895,0
PDP.US,D,20070517,000000,25.1472,25.2431,25.0403,25.1762,38090.041989875,0
PDP.US,D,20070518,000000,25.2631,25.36,25.0893,25.2921,34041.57348149,0
PDP.US,D,20070521,000000,25.3889,25.9204,25.322,25.4768,118831.16022388,0
PDP.US,D,20070522,000000,25.5827,25.5927,25.4279,25.4669,95686.614366964,0
PDP.US,D,20070523,000000,25.5448,25.7086,25.4369,25.4369,45457.173481767,0
PDP.US,D,20070524,000000,25.4768,25.6327,24.9165,25.0024,91226.691714922,0
PDP.US,D,20070525,000000,25.1182,25.5248,25.0603,25.1862,39644.758012012,0
PDP.US,D,20070529,000000,25.36,25.36,25.1962,25.322,46079.8607746,0
PDP.US,D,20070530,000000,25.0993,25.7086,25.0993,25.7086,112918.63425689,0
PDP.US,D,20070531,000000,25.8365,25.9014,25.6986,25.7975,59469.63978045,0
PDP.US,D,20070601,000000,26.0153,26.0252,25.8365,25.8824,87592.68066511,0
PDP.US,D,20070604,000000,25.9483,26.0153,25.8165,25.9573,83129.754698151,0
PDP.US,D,20070605,000000,26.0153,26.0153,25.6986,25.8624,87800.91049937,0
