<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEZ.US,D,20061012,000000,23.8192,24.0008,23.7713,23.9808,11447.248489455,0
PEZ.US,D,20061013,000000,24.1034,24.1034,24.0646,24.0646,636.51513054325,0
PEZ.US,D,20061016,000000,24.1573,24.1573,24.1414,24.1414,2014.7959250267,0
PEZ.US,D,20061017,000000,24.1034,24.1034,23.886,24.0088,1375.2736363864,0
PEZ.US,D,20061018,000000,24.29,24.29,24.1314,24.1414,847.01619733708,0
PEZ.US,D,20061019,000000,24.1314,24.1314,24.1314,24.1314,209.49868076148,0
PEZ.US,D,20061020,000000,24.1314,24.1314,24.1314,24.1314,102.24337529986,0
PEZ.US,D,20061023,000000,24.0167,24.2801,23.9439,24.2342,160815.79832825,0
PEZ.US,D,20061024,000000,24.3,24.3928,24.3,24.3928,11130.494503232,0
PEZ.US,D,20061025,000000,24.5265,24.5265,24.2511,24.2511,63710.653830233,0
PEZ.US,D,20061026,000000,24.6681,24.6681,24.6681,24.6681,209.49868076148,0
PEZ.US,D,20061027,000000,24.4696,24.5914,24.4207,24.4207,32860.218912549,0
PEZ.US,D,20061030,000000,24.2711,24.6103,24.2431,24.6103,2758.5663610315,0
PEZ.US,D,20061031,000000,24.716,24.716,24.4207,24.4207,4667.1093666289,0
PEZ.US,D,20061101,000000,24.5624,24.5624,24.1034,24.1034,6253.8864558414,0
PEZ.US,D,20061102,000000,23.916,23.9629,23.8671,23.9629,2865.8216664931,0
PEZ.US,D,20061103,000000,23.896,23.896,23.896,23.896,421.00213358766,0
PEZ.US,D,20061106,000000,24.1962,24.1962,24.1962,24.1962,209.49868076148,0
PEZ.US,D,20061107,000000,24.4008,24.4307,24.3449,24.3449,4667.1093666289,0
PEZ.US,D,20061108,000000,24.4108,24.4108,24.4108,24.4108,102.24337529986,0
PEZ.US,D,20061110,000000,24.4307,24.4307,24.4307,24.4307,102.24337529986,0
PEZ.US,D,20061113,000000,24.5365,24.5365,24.5365,24.5365,209.49868076148,0
PEZ.US,D,20061114,000000,24.5265,24.8946,24.4886,24.8946,30850.434917684,0
PEZ.US,D,20061115,000000,25.167,25.167,25.0952,25.1131,26925.091214996,0
PEZ.US,D,20061116,000000,25.0383,25.0383,25.0383,25.0383,10599.229906086,0
PEZ.US,D,20061117,000000,24.8846,24.9315,24.8846,24.9315,636.51513054325,0
PEZ.US,D,20061120,000000,25.0952,25.0952,24.9704,25.0093,11238.752194726,0
PEZ.US,D,20061122,000000,25.4153,25.4153,25.4153,25.4153,209.49868076148,0
PEZ.US,D,20061124,000000,25.3275,25.3565,25.3275,25.3565,312.74444209369,0
PEZ.US,D,20061127,000000,25.177,25.177,24.8846,24.8846,32225.708554071,0
PEZ.US,D,20061128,000000,24.6871,24.8208,24.6871,24.8208,11025.243969835,0
PEZ.US,D,20061129,000000,25.1321,25.1321,25.1321,25.1321,102.24337529986,0
PEZ.US,D,20061130,000000,24.9704,25.1411,24.9704,25.1131,1272.0278750541,0
PEZ.US,D,20061201,000000,24.9126,24.9415,24.8008,24.8307,17386.385731137,0
PEZ.US,D,20061204,000000,25.2407,25.5171,25.2407,25.4892,26819.840681598,0
PEZ.US,D,20061205,000000,25.575,25.575,25.5361,25.5361,956.2762748634,0
PEZ.US,D,20061206,000000,25.5361,25.5361,25.5361,25.5361,102.24337529986,0
PEZ.US,D,20061207,000000,25.4692,25.4692,25.3465,25.3754,32966.471831978,0
PEZ.US,D,20061208,000000,25.2118,25.2886,25.2118,25.2886,1272.0278750541,0
PEZ.US,D,20061212,000000,25.2697,25.2697,25.2308,25.2308,636.51513054325,0
PEZ.US,D,20061213,000000,25.3365,25.3754,25.3365,25.3665,34031.005798336,0
PEZ.US,D,20061214,000000,25.6578,25.6578,25.6488,25.6488,740.76327790781,0
PEZ.US,D,20061215,000000,25.5361,25.5361,25.4513,25.4513,312.74444209369,0
PEZ.US,D,20061218,000000,25.167,25.167,25.1411,25.1411,1272.0278750541,0
PEZ.US,D,20061219,000000,24.9804,25.158,24.9215,25.158,8268.6823808681,0
PEZ.US,D,20061220,000000,25.2886,25.3176,25.2886,25.3176,312.74444209369,0
PEZ.US,D,20061221,000000,25.0952,25.2886,25.0952,25.1131,21838.984486843,0
PEZ.US,D,20061222,000000,25.177,25.186,25.167,25.186,1060.524422228,0
PEZ.US,D,20061226,000000,25.0672,25.15,25.0672,25.1041,2014.7959250267,0
PEZ.US,D,20061227,000000,25.3275,25.4423,25.3275,25.4423,1590.7866333419,0
PEZ.US,D,20061228,000000,25.4423,25.4423,25.3854,25.3854,636.51513054325,0
PEZ.US,D,20061229,000000,25.3854,25.3854,25.2118,25.2308,2542.0509780436,0
PEZ.US,D,20070103,000000,25.3365,25.4233,25.3365,25.4233,3604.5801723362,0
PEZ.US,D,20070109,000000,25.594,25.6488,25.594,25.6488,847.01619733708,0
PEZ.US,D,20070110,000000,25.565,25.7067,25.565,25.7067,421.00213358766,0
PEZ.US,D,20070111,000000,26.0628,26.0628,26.0628,26.0628,530.26221111398,0
PEZ.US,D,20070116,000000,26.412,26.4509,26.1855,26.2324,113106.23273246,0
PEZ.US,D,20070117,000000,26.2983,26.2983,26.1107,26.1586,42298.685793171,0
PEZ.US,D,20070118,000000,26.1676,26.2704,26.1007,26.1007,256962.66177936,0
PEZ.US,D,20070119,000000,26.1287,26.1287,25.97,25.97,6784.1486669554,0
PEZ.US,D,20070122,000000,26.1387,26.1387,25.9311,25.9311,1800.2853141034,0
PEZ.US,D,20070123,000000,25.989,26.0728,25.8862,25.961,13462.044414482,0
PEZ.US,D,20070124,000000,26.0628,26.1676,26.0628,26.1586,5406.8702585044,0
PEZ.US,D,20070125,000000,26.1586,26.1586,25.6877,25.7446,10494.981758721,0
PEZ.US,D,20070126,000000,25.8483,25.8483,25.6678,25.7715,847.01619733708,0
PEZ.US,D,20070129,000000,25.8952,25.8952,25.7715,25.8762,6253.8864558414,0
PEZ.US,D,20070130,000000,25.9311,25.9311,25.8663,25.8952,2650.3086695376,0
PEZ.US,D,20070131,000000,25.9411,26.1676,25.9411,26.1676,1800.2853141034,0
PEZ.US,D,20070201,000000,26.2604,26.384,26.2604,26.384,6148.6359224445,0
PEZ.US,D,20070202,000000,26.6035,26.6035,26.384,26.4509,4561.858833232,0
PEZ.US,D,20070205,000000,26.394,26.4319,26.384,26.384,2437.802830679,0
PEZ.US,D,20070206,000000,26.5576,26.5576,26.412,26.5277,13571.304492008,0
PEZ.US,D,20070207,000000,26.6873,26.6873,26.6494,26.6494,1800.2853141034,0
PEZ.US,D,20070208,000000,26.6873,26.7931,26.6873,26.7632,8905.1975114113,0
PEZ.US,D,20070209,000000,26.6394,26.6394,26.384,26.384,312.74444209369,0
PEZ.US,D,20070212,000000,26.3082,26.3371,26.3082,26.3371,740.76327790781,0
PEZ.US,D,20070213,000000,26.4219,26.4319,26.4219,26.4319,956.2762748634,0
PEZ.US,D,20070214,000000,26.6394,26.6584,26.6394,26.6584,209.49868076148,0
PEZ.US,D,20070215,000000,26.7442,26.8758,26.7163,26.848,1590.7866333419,0
PEZ.US,D,20070216,000000,26.8101,26.8101,26.7442,26.7442,1272.0278750541,0
PEZ.US,D,20070220,000000,27.1412,27.2251,27.1412,27.1792,1590.7866333419,0
PEZ.US,D,20070221,000000,27.1871,27.1871,27.1033,27.1602,2014.7959250267,0
PEZ.US,D,20070222,000000,27.1033,27.1971,27.0644,27.0644,2758.5663610315,0
PEZ.US,D,20070223,000000,27.0455,27.0455,27.0355,27.0355,1166.7773416572,0
PEZ.US,D,20070226,000000,27.0554,27.0554,26.7632,26.7632,1696.0371667389,0
PEZ.US,D,20070227,000000,26.1676,26.1766,25.7814,25.7914,3921.3341585593,0
PEZ.US,D,20070228,000000,26.0439,26.1387,25.998,26.1387,636.51513054325,0
PEZ.US,D,20070301,000000,25.6409,26.0628,25.6409,26.0359,1375.2736363864,0
PEZ.US,D,20070302,000000,25.8952,25.9231,25.8094,25.8762,6571.6428280969,0
PEZ.US,D,20070305,000000,25.565,25.594,25.4333,25.4333,6253.8864558414,0
