<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFF.US,D,20070330,000000,28.3899,28.4057,28.3821,28.3821,3533.8615257286,0
PFF.US,D,20070402,000000,28.4177,28.4731,28.4177,28.4464,20666.725337858,0
PFF.US,D,20070403,000000,28.4464,28.5196,28.4464,28.5196,8475.0040992958,0
PFF.US,D,20070404,000000,28.5088,28.5196,28.4345,28.4345,12708.970266914,0
PFF.US,D,20070405,000000,28.4731,28.4978,28.4602,28.481,12364.474332016,0
PFF.US,D,20070409,000000,28.5088,28.5196,28.4394,28.5028,12708.970266914,0
PFF.US,D,20070410,000000,28.5196,28.5434,28.481,28.5256,14836.560996813,0
PFF.US,D,20070411,000000,28.5394,28.5394,28.4394,28.4731,14312.240204401,0
PFF.US,D,20070412,000000,28.486,28.486,28.4394,28.4543,7421.3112544317,0
PFF.US,D,20070413,000000,28.4394,28.4672,28.3118,28.4464,12186.66997852,0
PFF.US,D,20070416,000000,28.481,28.4978,28.3691,28.4345,32498.796861396,0
PFF.US,D,20070417,000000,28.4602,28.481,28.4177,28.4672,35854.854033628,0
PFF.US,D,20070418,000000,28.4602,28.4731,28.4394,28.4602,16253.944564736,0
PFF.US,D,20070419,000000,28.4731,28.4731,28.3821,28.3959,24559.226326604,0
PFF.US,D,20070420,000000,28.4464,28.4672,28.4177,28.4672,8475.0040992958,0
PFF.US,D,20070423,000000,28.4602,28.5028,28.3118,28.4394,21903.273796261,0
PFF.US,D,20070424,000000,28.486,28.4928,28.4394,28.4602,35502.276082663,0
PFF.US,D,20070425,000000,28.4464,28.5088,28.3899,28.4394,51746.118127313,0
PFF.US,D,20070426,000000,28.4345,28.4543,28.4177,28.4464,23669.194307117,0
PFF.US,D,20070427,000000,28.5146,28.5146,28.4543,28.486,13607.08430247,0
PFF.US,D,20070430,000000,28.5028,28.5196,28.4928,28.4928,13070.640485956,0
PFF.US,D,20070501,000000,28.3434,28.3434,28.283,28.3157,23669.194307117,0
PFF.US,D,20070502,000000,28.3325,28.3821,28.3325,28.3821,20839.478431311,0
PFF.US,D,20070503,000000,28.4226,28.4226,28.3821,28.4057,34625.377339285,0
PFF.US,D,20070504,000000,28.4177,28.4177,28.3959,28.4019,58114.74678889,0
PFF.US,D,20070507,000000,28.4295,28.4394,28.4019,28.4177,97848.968535153,0
PFF.US,D,20070508,000000,28.4602,28.4672,28.4057,28.4602,43099.371186573,0
PFF.US,D,20070509,000000,28.5088,28.5088,28.4394,28.4394,37263.145333475,0
PFF.US,D,20070510,000000,28.481,28.481,28.4057,28.4057,18026.936839651,0
PFF.US,D,20070511,000000,28.481,28.5256,28.481,28.5196,9715.5935657323,0
PFF.US,D,20070514,000000,28.6167,28.6167,28.5761,28.5761,25083.547119015,0
PFF.US,D,20070515,000000,28.5939,28.6305,28.5602,28.5651,16604.502011685,0
PFF.US,D,20070516,000000,28.5602,28.5651,28.4464,28.4978,23136.791498638,0
PFF.US,D,20070517,000000,28.4464,28.4602,28.4107,28.4394,18904.845835037,0
PFF.US,D,20070518,000000,28.4226,28.4345,28.3821,28.4107,35854.854033628,0
PFF.US,D,20070521,000000,28.3711,28.4345,28.3711,28.4345,17307.637409601,0
PFF.US,D,20070522,000000,28.4226,28.5939,28.4177,28.481,36211.472992628,0
PFF.US,D,20070523,000000,28.481,28.5256,28.4672,28.481,9715.5935657323,0
PFF.US,D,20070524,000000,28.4394,28.4543,28.3691,28.4295,26667.622268341,0
PFF.US,D,20070525,000000,28.3632,28.4107,28.3325,28.3771,21903.273796261,0
PFF.US,D,20070529,000000,28.4019,28.4345,28.3821,28.3821,7946.642298851,0
PFF.US,D,20070530,000000,28.4107,28.481,28.4107,28.4602,13420.187680897,0
PFF.US,D,20070531,000000,28.4731,28.5146,28.4345,28.5028,26848.457377862,0
PFF.US,D,20070601,000000,28.486,28.486,28.2474,28.2474,27195.984068786,0
PFF.US,D,20070604,000000,28.3583,28.3583,28.1989,28.2157,33912.139421285,0
PFF.US,D,20070605,000000,28.2662,28.2662,28.1088,28.1346,83018.469050392,0
PFF.US,D,20070606,000000,28.2117,28.2117,28.0217,28.0504,63938.849617885,0
PFF.US,D,20070607,000000,28.0109,28.0455,27.8029,27.8029,26312.01356135,0
PFF.US,D,20070608,000000,27.7703,27.8446,27.7139,27.8446,26848.457377862,0
PFF.US,D,20070611,000000,27.8604,27.8604,27.7703,27.8198,22429.615092689,0
PFF.US,D,20070612,000000,27.7663,27.7663,27.6149,27.6149,28969.98659571,0
PFF.US,D,20070613,000000,27.7139,27.7663,27.6742,27.7475,40977.841968726,0
PFF.US,D,20070614,000000,27.8604,27.9069,27.7901,27.8446,29498.348396155,0
PFF.US,D,20070615,000000,27.9366,28.1217,27.9366,28.1217,64297.489080902,0
PFF.US,D,20070618,000000,28.1801,28.1801,28.085,28.1435,54048.482454682,0
PFF.US,D,20070619,000000,28.2197,28.2197,28.1276,28.1673,32683.672978951,0
PFF.US,D,20070620,000000,28.2355,28.2355,28.0336,28.0336,10591.4820571,0
PFF.US,D,20070621,000000,28.0109,28.0109,27.896,27.9445,25789.713272955,0
PFF.US,D,20070622,000000,27.9307,27.9821,27.889,27.9821,7596.0848519019,0
PFF.US,D,20070625,000000,28.0148,28.0336,27.896,27.9366,55108.236811597,0
PFF.US,D,20070626,000000,27.9683,27.9821,27.9257,27.9633,50340.857583492,0
PFF.US,D,20070627,000000,27.9633,27.9633,27.8287,27.9554,113396.74694595,0
PFF.US,D,20070628,000000,28.0148,28.1217,28.0148,28.0336,7421.3112544317,0
PFF.US,D,20070629,000000,28.1088,28.1385,28.0623,28.089,22429.615092689,0
PFF.US,D,20070702,000000,28.0217,28.1613,28.0217,28.1148,33743.427335866,0
PFF.US,D,20070703,000000,28.1435,28.291,28.1435,28.2474,18372.443026558,0
PFF.US,D,20070705,000000,28.3028,28.3028,28.1613,28.2117,25083.547119015,0
PFF.US,D,20070706,000000,28.2197,28.2197,28.1346,28.1543,24559.226326604,0
PFF.US,D,20070709,000000,28.1673,28.1881,28.1088,28.1801,52454.304785271,0
PFF.US,D,20070710,000000,28.0554,28.2474,28.0217,28.0554,270432.339651,0
PFF.US,D,20070711,000000,28.0039,28.085,28.0039,28.0109,26848.457377862,0
PFF.US,D,20070712,000000,28.0039,28.0782,27.995,28.0782,43799.475828463,0
PFF.US,D,20070713,000000,27.9554,28.089,27.9554,28.0732,14132.415346889,0
PFF.US,D,20070716,000000,28.0287,28.1088,28.0287,28.0455,20139.373789422,0
PFF.US,D,20070717,000000,28.085,28.085,27.9683,28.0287,10769.286410596,0
PFF.US,D,20070718,000000,28.0287,28.0287,27.9257,27.9683,6181.7320400037,0
PFF.US,D,20070719,000000,27.9366,27.9761,27.9257,27.9485,5121.9776830886,0
PFF.US,D,20070720,000000,27.8644,27.8644,27.7901,27.8198,7773.8892053977,0
PFF.US,D,20070723,000000,27.8198,27.8198,27.7901,27.7901,2299.3335713431,0
PFF.US,D,20070724,000000,27.6802,27.6802,27.4684,27.4684,12013.916885067,0
PFF.US,D,20070725,000000,27.3843,27.407,27.2654,27.3021,58993.666036284,0
PFF.US,D,20070726,000000,27.1199,27.1199,26.9903,26.9903,21016.272532799,0
PFF.US,D,20070727,000000,27.0012,27.1705,27.0012,27.1269,15192.169703803,0
PFF.US,D,20070730,000000,27.0398,27.0923,26.9171,27.0636,72595.69907871,0
PFF.US,D,20070731,000000,27.2308,27.3071,27.1883,27.2358,42044.6680897,0
PFF.US,D,20070801,000000,26.9636,26.9636,26.8042,26.8448,6709.0835884401,0
PFF.US,D,20070802,000000,26.8923,26.9863,26.822,26.9339,12186.66997852,0
PFF.US,D,20070803,000000,26.9229,26.9229,26.7171,26.827,6006.9584425334,0
PFF.US,D,20070806,000000,26.625,26.6993,26.4558,26.5291,18026.936839651,0
PFF.US,D,20070807,000000,26.5023,26.6399,26.5023,26.632,45922.015298318,0
PFF.US,D,20070808,000000,26.7349,26.8923,26.7349,26.8923,7773.8892053977,0
PFF.US,D,20070809,000000,26.833,26.833,26.7043,26.7458,35854.854033628,0
PFF.US,D,20070810,000000,26.4924,26.4924,26.3241,26.4657,11129.94637763,0
PFF.US,D,20070813,000000,26.6042,26.6042,26.3845,26.4122,5653.3702395589,0
PFF.US,D,20070814,000000,26.3241,26.3617,26.1618,26.1618,5827.1335850207,0
PFF.US,D,20070815,000000,25.8955,25.9588,25.755,25.755,42044.6680897,0
PFF.US,D,20070816,000000,25.3075,25.4729,24.8532,25.4679,25789.713272955,0
PFF.US,D,20070817,000000,25.9103,26.1568,25.7609,26.14,22254.841495219,0
PFF.US,D,20070820,000000,26.043,26.2529,26.043,26.2529,6006.9584425334,0
PFF.US,D,20070821,000000,26.2222,26.4815,26.2222,26.4815,35157.780147764,0
PFF.US,D,20070822,000000,26.7171,26.7171,26.5023,26.5093,15532.624630668,0
PFF.US,D,20070823,000000,26.8923,26.8923,26.7517,26.7992,6006.9584425334,0
