<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFI.US,D,20061012,000000,21.1541,21.255,21.1373,21.2461,25588.752122114,0
PFI.US,D,20061013,000000,21.3718,21.3718,21.3718,21.3718,475.8301650091,0
PFI.US,D,20061016,000000,21.3718,21.3718,21.3323,21.3323,944.58854412635,0
PFI.US,D,20061017,000000,21.1868,21.2807,21.1689,21.2807,2129.6178085758,0
PFI.US,D,20061018,000000,21.4382,21.4382,21.3145,21.3411,1538.6185590422,0
PFI.US,D,20061019,000000,21.1788,21.1788,21.1788,21.1788,593.01975978841,0
PFI.US,D,20061020,000000,21.2729,21.2729,21.2461,21.2461,1297.1675835917,0
PFI.US,D,20061023,000000,21.162,21.162,21.162,21.162,237.40995494085,0
PFI.US,D,20061024,000000,21.1461,21.1788,21.1461,21.1788,3555.0877933483,0
PFI.US,D,20061025,000000,21.2214,21.2214,21.1025,21.1025,1185.0292644494,0
PFI.US,D,20061026,000000,21.2293,21.3639,21.2293,21.3639,72973.758618052,0
PFI.US,D,20061027,000000,21.2461,21.2461,21.2461,21.2461,1779.0592793652,0
PFI.US,D,20061030,000000,21.1204,21.1204,21.1204,21.1204,111.12806401486,0
PFI.US,D,20061031,000000,21.2907,21.2907,21.0867,21.0867,2842.8579285257,0
PFI.US,D,20061101,000000,21.0284,21.0284,20.8759,20.8759,8174.9844909844,0
PFI.US,D,20061102,000000,20.7898,20.7898,20.7413,20.7581,827.39894934704,0
PFI.US,D,20061103,000000,20.8759,20.8759,20.8166,20.8403,2374.0995494085,0
PFI.US,D,20061106,000000,20.9947,21.0947,20.9947,21.0947,2842.8579285257,0
PFI.US,D,20061107,000000,21.1461,21.2461,21.1461,21.1788,1656.8184089489,0
PFI.US,D,20061108,000000,21.1541,21.2995,21.062,21.2995,1656.8184089489,0
PFI.US,D,20061109,000000,21.2114,21.2114,21.2114,21.2114,237.40995494085,0
PFI.US,D,20061110,000000,21.0947,21.1283,21.0789,21.0789,1426.4802398999,0
PFI.US,D,20061113,000000,21.255,21.2729,21.2114,21.2114,85293.819896791,0
PFI.US,D,20061114,000000,21.1461,21.3145,21.1461,21.3145,17295.567781223,0
PFI.US,D,20061115,000000,21.4579,21.4757,21.4579,21.4757,1185.0292644494,0
PFI.US,D,20061116,000000,21.5035,21.5361,21.5035,21.5273,593.01975978841,0
PFI.US,D,20061117,000000,21.5836,21.5836,21.5273,21.5441,2251.8586789921,0
PFI.US,D,20061120,000000,21.5758,21.5758,21.5273,21.5609,2251.8586789921,0
PFI.US,D,20061121,000000,21.6381,21.6381,21.5758,21.5836,2723.6478234916,0
PFI.US,D,20061122,000000,21.647,21.647,21.647,21.647,593.01975978841,0
PFI.US,D,20061124,000000,21.5668,21.5668,21.5668,21.5668,593.01975978841,0
PFI.US,D,20061127,000000,21.6014,21.6014,21.2293,21.2362,1063.7986491605,0
PFI.US,D,20061128,000000,21.1936,21.2995,21.1936,21.2907,1063.7986491605,0
PFI.US,D,20061129,000000,21.3798,21.4223,21.3798,21.4154,944.58854412635,0
PFI.US,D,20061130,000000,21.3323,21.3323,21.3323,21.3323,237.40995494085,0
PFI.US,D,20061201,000000,21.4312,21.4312,21.2362,21.2639,708.18884431291,0
PFI.US,D,20061204,000000,21.448,21.5441,21.448,21.5124,74277.997987536,0
PFI.US,D,20061205,000000,21.5916,21.6678,21.5916,21.6292,74157.777627374,0
PFI.US,D,20061206,000000,21.7045,21.7045,21.6767,21.6767,1895.2386190171,0
PFI.US,D,20061207,000000,21.6381,21.6381,21.6014,21.6014,1297.1675835917,0
PFI.US,D,20061208,000000,21.5758,21.6292,21.5668,21.6014,1538.6185590422,0
PFI.US,D,20061211,000000,21.6609,21.6609,21.6539,21.6539,475.8301650091,0
PFI.US,D,20061212,000000,21.6857,21.7045,21.6857,21.7045,355.60980484757,0
PFI.US,D,20061213,000000,21.7578,21.7578,21.6767,21.7282,4149.1178082641,0
PFI.US,D,20061214,000000,21.8381,21.8657,21.8381,21.8657,1297.1675835917,0
PFI.US,D,20061215,000000,21.7836,21.8469,21.7836,21.8469,1538.6185590422,0
PFI.US,D,20061218,000000,21.8885,21.8885,21.742,21.742,5327.0752868217,0
PFI.US,D,20061219,000000,21.7282,21.7578,21.6678,21.6857,6987.9347162802,0
PFI.US,D,20061220,000000,21.8569,21.8569,21.7926,21.8381,3435.8776883141,0
PFI.US,D,20061222,000000,21.8381,21.8381,21.8014,21.8014,593.01975978841,0
PFI.US,D,20061227,000000,22.1251,22.1251,22.0925,22.1083,7937.5745360436,0
PFI.US,D,20061228,000000,22.0925,22.1251,22.0925,22.1013,827.39894934704,0
PFI.US,D,20061229,000000,22.041,22.041,21.9053,21.9053,1895.2386190171,0
PFI.US,D,20070103,000000,22.1864,22.1864,22.0232,22.0232,1426.4802398999,0
PFI.US,D,20070104,000000,21.9053,22.0063,21.9053,22.0063,1895.2386190171,0
PFI.US,D,20070105,000000,21.8291,21.8291,21.7223,21.7223,475.8301650091,0
PFI.US,D,20070109,000000,21.7836,21.7836,21.6767,21.7045,2374.0995494085,0
PFI.US,D,20070110,000000,21.6945,21.6945,21.6945,21.6945,111.12806401486,0
PFI.US,D,20070111,000000,21.7926,21.9202,21.7926,21.9202,1895.2386190171,0
PFI.US,D,20070112,000000,21.8807,21.946,21.8381,21.946,1779.0592793652,0
PFI.US,D,20070116,000000,21.9974,21.9974,21.9202,21.9202,1063.7986491605,0
PFI.US,D,20070117,000000,21.938,21.938,21.8291,21.8291,3315.6573281526,0
PFI.US,D,20070118,000000,21.8469,21.8569,21.7658,21.7658,475.8301650091,0
PFI.US,D,20070119,000000,21.7578,21.8381,21.7578,21.8381,355.60980484757,0
PFI.US,D,20070122,000000,21.6945,21.6945,21.6945,21.6945,475.8301650091,0
PFI.US,D,20070123,000000,21.8192,21.8192,21.8192,21.8192,111.12806401486,0
PFI.US,D,20070124,000000,21.9143,22.0063,21.9143,22.0063,7700.1645811027,0
PFI.US,D,20070125,000000,22.0677,22.0677,21.6767,21.6767,2964.0885438147,0
PFI.US,D,20070126,000000,21.6193,21.7519,21.6094,21.7519,2609.4889940945,0
PFI.US,D,20070129,000000,21.7519,21.8381,21.7519,21.7926,1538.6185590422,0
PFI.US,D,20070130,000000,21.8569,21.946,21.8569,21.946,355.60980484757,0
PFI.US,D,20070131,000000,21.946,21.9796,21.8975,21.9796,1779.0592793652,0
PFI.US,D,20070201,000000,22.0677,22.1954,22.0677,22.1954,1297.1675835917,0
PFI.US,D,20070202,000000,22.2745,22.3082,22.2281,22.3082,2723.6478234916,0
PFI.US,D,20070205,000000,22.3171,22.3171,22.2281,22.236,944.58854412635,0
PFI.US,D,20070206,000000,22.3944,22.3944,22.327,22.3686,708.18884431291,0
PFI.US,D,20070207,000000,22.531,22.531,22.531,22.531,237.40995494085,0
PFI.US,D,20070208,000000,22.5141,22.5141,22.43,22.4627,21915.464478859,0
PFI.US,D,20070209,000000,22.4973,22.4973,22.1598,22.1598,944.58854412635,0
PFI.US,D,20070212,000000,22.133,22.2043,22.133,22.2043,827.39894934704,0
PFI.US,D,20070213,000000,22.2201,22.3082,22.2201,22.2983,2374.0995494085,0
PFI.US,D,20070214,000000,22.4627,22.4627,22.4627,22.4627,355.60980484757,0
PFI.US,D,20070215,000000,22.4627,22.4805,22.4537,22.4537,1426.4802398999,0
PFI.US,D,20070216,000000,22.4537,22.4537,22.3944,22.4122,2486.2378685507,0
PFI.US,D,20070220,000000,22.4468,22.5716,22.4468,22.5716,827.39894934704,0
PFI.US,D,20070221,000000,22.4805,22.4805,22.4805,22.4805,111.12806401486,0
PFI.US,D,20070222,000000,22.4627,22.4627,22.3944,22.4627,4265.297147916,0
PFI.US,D,20070223,000000,22.3597,22.3597,22.3438,22.3438,708.18884431291,0
PFI.US,D,20070226,000000,22.3686,22.3686,22.3686,22.3686,2374.0995494085,0
PFI.US,D,20070227,000000,22.0321,22.0321,21.8104,21.8104,3908.677087941,0
PFI.US,D,20070228,000000,21.4312,21.6193,21.4154,21.6193,1297.1675835917,0
PFI.US,D,20070301,000000,21.3145,21.5609,21.1541,21.5273,10190.443470163,0
PFI.US,D,20070302,000000,21.4312,21.4847,21.4312,21.4847,593.01975978841,0
PFI.US,D,20070305,000000,21.2729,21.3065,21.1461,21.1461,3196.4472231185,0
PFI.US,D,20070306,000000,21.1461,21.3323,21.0947,21.3323,21915.464478859,0
PFI.US,D,20070307,000000,21.2907,21.3491,21.2114,21.2907,39922.251869777,0
PFI.US,D,20070308,000000,21.2995,21.4669,21.2995,21.3639,50110.674829685,0
PFI.US,D,20070309,000000,21.4579,21.4757,21.358,21.3986,45372.578282142,0
PFI.US,D,20070312,000000,21.4312,21.4312,21.3323,21.4312,4265.297147916,0
PFI.US,D,20070313,000000,21.3145,21.3145,20.9264,20.9264,1656.8184089489,0
PFI.US,D,20070314,000000,20.8829,20.9759,20.674,20.9759,9830.7926448059,0
PFI.US,D,20070315,000000,21.1461,21.1541,21.0789,21.1541,1185.0292644494,0
PFI.US,D,20070316,000000,21.0789,21.0789,21.0541,21.0541,2374.0995494085,0
PFI.US,D,20070319,000000,21.2907,21.2907,21.2907,21.2907,1538.6185590422,0
PFI.US,D,20070320,000000,21.3145,21.3986,21.3145,21.3986,2723.6478234916,0
PFI.US,D,20070321,000000,21.4847,21.7926,21.4847,21.7926,14808.319657544,0
PFI.US,D,20070322,000000,21.7836,21.7836,21.7836,21.7836,237.40995494085,0
PFI.US,D,20070323,000000,21.8291,21.8657,21.8291,21.8657,4734.0555270332,0
PFI.US,D,20070326,000000,21.8192,21.8291,21.7331,21.8291,4974.4962473563,0
PFI.US,D,20070327,000000,21.6857,21.7123,21.6857,21.6945,4025.8666827203,0
PFI.US,D,20070328,000000,21.4757,21.6014,21.4757,21.4757,3908.677087941,0
PFI.US,D,20070329,000000,21.551,21.551,21.551,21.551,355.60980484757,0
PFI.US,D,20070330,000000,21.6292,21.6292,21.5758,21.5758,944.58854412635,0
PFI.US,D,20070402,000000,21.6193,21.6193,21.5609,21.6193,3196.4472231185,0
PFI.US,D,20070403,000000,21.7519,21.8807,21.7519,21.8569,2723.6478234916,0
PFI.US,D,20070404,000000,21.8104,21.8104,21.8014,21.8014,475.8301650091,0
PFI.US,D,20070405,000000,21.7747,21.8747,21.7747,21.8747,593.01975978841,0
PFI.US,D,20070409,000000,21.8014,21.8569,21.7747,21.7747,2014.4487240513,0
PFI.US,D,20070410,000000,21.8657,21.8807,21.8569,21.8569,2014.4487240513,0
PFI.US,D,20070411,000000,21.7926,21.7926,21.7658,21.7658,708.18884431291,0
PFI.US,D,20070412,000000,21.7578,21.8291,21.7519,21.8291,1185.0292644494,0
PFI.US,D,20070413,000000,21.946,21.946,21.9202,21.938,1063.7986491605,0
PFI.US,D,20070416,000000,22.0677,22.2983,22.0677,22.2983,6755.5760369764,0
PFI.US,D,20070417,000000,22.3686,22.4468,22.3686,22.4389,8999.3526749492,0
PFI.US,D,20070418,000000,22.43,22.4973,22.43,22.4973,3315.6573281526,0
PFI.US,D,20070419,000000,22.3438,22.4032,22.3438,22.3518,1063.7986491605,0
PFI.US,D,20070420,000000,22.5716,22.5716,22.5062,22.5488,2486.2378685507,0
PFI.US,D,20070423,000000,22.5943,22.5943,22.4805,22.4805,2129.6178085758,0
PFI.US,D,20070424,000000,22.4627,22.5716,22.4032,22.5716,1426.4802398999,0
PFI.US,D,20070425,000000,22.6982,22.8091,22.6982,22.8091,6042.3359170264,0
PFI.US,D,20070426,000000,22.716,22.7428,22.6635,22.6635,2251.8586789921,0
PFI.US,D,20070427,000000,22.6457,22.6883,22.6121,22.6705,2014.4487240513,0
PFI.US,D,20070430,000000,22.6705,22.6705,22.3597,22.3597,6042.3359170264,0
PFI.US,D,20070501,000000,22.335,22.43,22.335,22.4122,3315.6573281526,0
PFI.US,D,20070502,000000,22.5943,22.6457,22.5943,22.621,3555.0877933483,0
PFI.US,D,20070503,000000,22.7506,22.7506,22.6457,22.6982,1297.1675835917,0
PFI.US,D,20070504,000000,22.8002,22.8002,22.716,22.716,9948.9924947126,0
PFI.US,D,20070507,000000,23.009,23.009,22.9536,22.9684,10664.253124917,0
PFI.US,D,20070508,000000,22.91,22.9684,22.91,22.9684,2486.2378685507,0
PFI.US,D,20070509,000000,22.9606,23.114,22.9536,23.0517,1779.0592793652,0
PFI.US,D,20070510,000000,22.9536,22.9536,22.8784,22.8784,1063.7986491605,0
PFI.US,D,20070511,000000,22.9606,23.0011,22.9606,23.0011,2014.4487240513,0
PFI.US,D,20070514,000000,23.0952,23.0952,23.0011,23.0011,7820.3849412643,0
PFI.US,D,20070515,000000,23.0773,23.0773,22.8091,22.8091,1063.7986491605,0
PFI.US,D,20070516,000000,22.9021,22.9021,22.9021,22.9021,111.12806401486,0
PFI.US,D,20070517,000000,22.9536,22.9536,22.9536,22.9536,593.01975978841,0
PFI.US,D,20070518,000000,23.1556,23.1556,23.0853,23.1041,1426.4802398999,0
PFI.US,D,20070521,000000,23.1813,23.1892,23.1644,23.1644,4381.4764875679,0
PFI.US,D,20070522,000000,23.1714,23.2902,23.1556,23.2822,3435.8776883141,0
PFI.US,D,20070523,000000,23.2902,23.2902,23.2139,23.2139,1185.0292644494,0
PFI.US,D,20070524,000000,23.1714,23.1714,22.9606,22.9606,2486.2378685507,0
PFI.US,D,20070525,000000,22.9447,22.9843,22.9368,22.9843,708.18884431291,0
PFI.US,D,20070529,000000,23.0773,23.0773,23.0347,23.0773,2014.4487240513,0
PFI.US,D,20070530,000000,23.114,23.1556,23.114,23.1556,593.01975978841,0
PFI.US,D,20070531,000000,23.2902,23.3,23.2297,23.2297,9592.3724347376,0
PFI.US,D,20070601,000000,23.3713,23.3713,23.3713,23.3713,355.60980484757,0
PFI.US,D,20070604,000000,23.3416,23.3891,23.3248,23.3891,8174.9844909844,0
PFI.US,D,20070605,000000,23.1714,23.1892,23.1476,23.1892,708.18884431291,0
PFI.US,D,20070606,000000,23.0437,23.0685,23.0347,23.0605,1779.0592793652,0
PFI.US,D,20070607,000000,23.0773,23.0773,22.6705,22.6705,10422.802149467,0
PFI.US,D,20070608,000000,22.6635,22.7942,22.6457,22.7676,7227.3651814758,0
PFI.US,D,20070611,000000,22.8091,22.91,22.8091,22.9021,827.39894934704,0
PFI.US,D,20070612,000000,22.8002,22.8605,22.725,22.725,1779.0592793652,0
PFI.US,D,20070614,000000,22.9368,22.9932,22.9368,22.9932,2129.6178085758,0
PFI.US,D,20070615,000000,23.1556,23.1556,23.0952,23.0952,944.58854412635,0
PFI.US,D,20070619,000000,23.0169,23.1556,23.0169,23.1556,944.58854412635,0
PFI.US,D,20070620,000000,23.1238,23.1238,23.0517,23.0517,2842.8579285257,0
PFI.US,D,20070621,000000,22.7844,22.8784,22.7844,22.8784,237.40995494085,0
PFI.US,D,20070622,000000,22.8605,22.8605,22.6804,22.716,3077.2371180843,0
PFI.US,D,20070625,000000,22.725,22.725,22.621,22.621,475.8301650091,0
PFI.US,D,20070626,000000,22.725,22.725,22.6022,22.6022,1779.0592793652,0
PFI.US,D,20070627,000000,22.4537,22.7081,22.4537,22.6982,4502.7071028568,0
PFI.US,D,20070628,000000,22.725,22.9536,22.725,22.9368,2374.0995494085,0
PFI.US,D,20070629,000000,22.8091,22.8091,22.6883,22.7338,6398.9559770014,0
PFI.US,D,20070702,000000,22.8952,22.9843,22.8952,22.9774,593.01975978841,0
PFI.US,D,20070703,000000,23.1238,23.1318,23.0773,23.1238,4265.297147916,0
PFI.US,D,20070705,000000,23.1406,23.1406,22.8853,22.8853,6755.5760369764,0
PFI.US,D,20070706,000000,22.8605,23.0437,22.8605,23.0437,2129.6178085758,0
PFI.US,D,20070709,000000,23.0605,23.0605,22.9932,22.9932,237.40995494085,0
PFI.US,D,20070710,000000,22.8091,22.8091,22.5408,22.5408,5096.7371177727,0
PFI.US,D,20070711,000000,22.43,22.5943,22.43,22.5804,14100.130813232,0
PFI.US,D,20070712,000000,22.7081,22.817,22.7081,22.7942,7820.3849412643,0
PFI.US,D,20070713,000000,22.8259,22.8259,22.7676,22.7942,1895.2386190171,0
PFI.US,D,20070716,000000,22.7506,22.7586,22.6369,22.6635,2129.6178085758,0
PFI.US,D,20070717,000000,22.6022,22.6022,22.5804,22.5804,4974.4962473563,0
PFI.US,D,20070718,000000,22.3686,22.3686,22.2201,22.3438,3315.6573281526,0
PFI.US,D,20070719,000000,22.4537,22.4537,22.3597,22.3597,2374.0995494085,0
PFI.US,D,20070720,000000,22.2914,22.2914,21.8657,21.9706,9713.6030500266,0
PFI.US,D,20070723,000000,22.1598,22.1864,22.0677,22.0766,9235.7523747627,0
PFI.US,D,20070724,000000,21.9291,21.9291,21.3896,21.3896,9948.9924947126,0
PFI.US,D,20070725,000000,21.7331,21.7836,21.5124,21.6945,12323.092044121,0
PFI.US,D,20070726,000000,21.3411,21.3639,20.9423,21.1936,23690.482737714,0
PFI.US,D,20070727,000000,21.1541,21.1541,20.7492,20.7492,5805.936217213,0
PFI.US,D,20070730,000000,20.6047,20.867,20.5463,20.867,75461.00674173,0
PFI.US,D,20070731,000000,20.9601,21.1283,20.5879,20.5879,13033.301398688,0
PFI.US,D,20070801,000000,20.7413,20.767,20.3197,20.767,49635.854919803,0
PFI.US,D,20070802,000000,20.9759,21.0026,20.767,20.8829,8056.7846410777,0
PFI.US,D,20070803,000000,20.6829,20.6829,20.0652,20.0821,3555.0877933483,0
PFI.US,D,20070806,000000,20.0563,20.6552,20.0563,20.6482,33290.937213471,0
PFI.US,D,20070807,000000,20.5137,21.946,20.479,21.946,24163.282137341,0
PFI.US,D,20070808,000000,21.4382,21.4382,20.5295,20.6314,56389.410446525,0
PFI.US,D,20070809,000000,20.378,20.5463,20.0563,20.1335,19903.036265062,0
PFI.US,D,20070810,000000,19.794,20.5295,19.6604,20.4622,16823.778636723,0
PFI.US,D,20070813,000000,20.7413,20.867,20.6997,20.7324,15044.719357358,0
PFI.US,D,20070814,000000,20.4622,20.4622,20.2582,20.2582,7820.3849412643,0
PFI.US,D,20070815,000000,20.1642,20.3197,19.8544,19.8544,5565.4954968899,0
