<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFM.US,D,20050915,000000,11.5684,11.5684,11.5258,11.5386,46679.004230672,0
PFM.US,D,20050916,000000,11.6208,11.6604,11.5862,11.6604,23532.983410334,0
PFM.US,D,20050919,000000,11.6287,11.6287,11.5614,11.5614,13245.638524363,0
PFM.US,D,20050920,000000,11.604,11.6287,11.4882,11.5119,15945.283538635,0
PFM.US,D,20050921,000000,11.4733,11.4733,11.3783,11.3783,22630.744264472,0
PFM.US,D,20050922,000000,11.3575,11.4466,11.3575,11.4466,216660.65724192,0
PFM.US,D,20050923,000000,11.4466,11.4733,11.4228,11.4466,9387.1264324837,0
PFM.US,D,20050926,000000,11.5258,11.5258,11.4228,11.4228,8867.8084918641,0
PFM.US,D,20050927,000000,11.4545,11.4882,11.406,11.4882,10415.658851843,0
PFM.US,D,20050928,000000,11.5119,11.5119,11.406,11.4466,15040.013354209,0
PFM.US,D,20050929,000000,11.3833,11.5386,11.3783,11.5386,24044.218581449,0
PFM.US,D,20050930,000000,11.5524,11.5524,11.505,11.5258,13886.19800754,0
PFM.US,D,20051003,000000,11.5614,11.5614,11.4822,11.5119,46289.010602114,0
PFM.US,D,20051004,000000,11.5317,11.5317,11.4228,11.4228,17361.788894177,0
PFM.US,D,20051005,000000,11.3783,11.3921,11.3258,11.3258,16718.198372436,0
PFM.US,D,20051006,000000,11.3327,11.3505,11.209,11.209,16330.225436254,0
PFM.US,D,20051007,000000,11.3327,11.3327,11.2674,11.2823,24430.170825256,0
PFM.US,D,20051010,000000,11.308,11.308,11.2446,11.2446,26104.314458732,0
PFM.US,D,20051011,000000,11.1992,11.2763,11.1992,11.2446,37417.160725498,0
PFM.US,D,20051012,000000,11.1992,11.2605,11.1516,11.209,39605.570568654,0
PFM.US,D,20051013,000000,11.2238,11.2308,11.1516,11.216,32404.83328695,0
PFM.US,D,20051014,000000,11.2605,11.2823,11.209,11.2605,22117.488400979,0
PFM.US,D,20051017,000000,11.3159,11.3159,11.2674,11.2674,5530.6350329798,0
PFM.US,D,20051018,000000,11.2763,11.2912,11.2238,11.2238,17617.406479735,0
PFM.US,D,20051019,000000,11.1774,11.3635,11.1774,11.3635,15685.624568326,0
PFM.US,D,20051020,000000,11.3575,11.3635,11.209,11.2238,17231.454235929,0
PFM.US,D,20051021,000000,11.2446,11.2446,11.1852,11.209,3729.1877798189,0
PFM.US,D,20051024,000000,11.2674,11.3258,11.2546,11.3258,15560.341641016,0
PFM.US,D,20051025,000000,11.3327,11.3575,11.2605,11.2823,8485.8976328092,0
PFM.US,D,20051026,000000,11.2605,11.3505,11.2605,11.3327,10929.925061522,0
PFM.US,D,20051027,000000,11.3159,11.3159,11.209,11.209,33687.972945679,0
PFM.US,D,20051028,000000,11.2674,11.3635,11.2546,11.3635,11443.180925015,0
PFM.US,D,20051031,000000,11.4545,11.4634,11.4228,11.4307,17869.993026729,0
PFM.US,D,20051101,000000,11.3921,11.4011,11.3921,11.4011,6685.4607258362,0
PFM.US,D,20051102,000000,11.4011,11.4822,11.4011,11.4822,20058.402869885,0
PFM.US,D,20051103,000000,11.5317,11.5386,11.4634,11.4634,21087.945635432,0
PFM.US,D,20051104,000000,11.5386,11.5386,11.4634,11.5198,16455.508363563,0
PFM.US,D,20051107,000000,11.5684,11.5684,11.5198,11.5456,23402.648752085,0
PFM.US,D,20051108,000000,11.5456,11.5456,11.4882,11.5198,25586.0068643,0
PFM.US,D,20051109,000000,11.5386,11.595,11.496,11.5386,32017.870696955,0
PFM.US,D,20051110,000000,11.5614,11.697,11.5258,11.697,29054.525327622,0
PFM.US,D,20051111,000000,11.7109,11.7109,11.6742,11.697,16844.491645934,0
PFM.US,D,20051114,000000,11.7345,11.7345,11.6653,11.6742,9258.8124666108,0
PFM.US,D,20051115,000000,11.6901,11.7029,11.6208,11.6515,15818.990265138,0
PFM.US,D,20051116,000000,11.6901,11.6901,11.5862,11.6138,15430.006982768,0
PFM.US,D,20051117,000000,11.6653,11.697,11.6208,11.6901,60178.239648218,0
PFM.US,D,20051118,000000,11.7989,11.7989,11.7109,11.7109,15560.341641016,0
PFM.US,D,20051121,000000,11.7573,11.8524,11.7573,11.8524,5916.5872767866,0
PFM.US,D,20051122,000000,11.8405,11.8752,11.7989,11.8752,9258.8124666108,0
PFM.US,D,20051123,000000,11.8682,11.9632,11.8524,11.9286,16455.508363563,0
PFM.US,D,20051125,000000,11.9544,11.9544,11.9454,11.9454,769.8837952376,0
