<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHO.US,D,20051206,000000,14.3035,14.5859,14.3035,14.547,1230491.6414197,0
PHO.US,D,20051207,000000,14.4352,14.4352,14.3114,14.3214,627050.56919446,0
PHO.US,D,20051208,000000,14.3035,14.3873,14.2006,14.2945,640126.99897242,0
PHO.US,D,20051209,000000,14.4073,14.7197,14.3114,14.5021,2526808.1911869,0
PHO.US,D,20051212,000000,14.6329,14.6329,14.5191,14.566,1019319.421296,0
PHO.US,D,20051213,000000,14.6907,14.7477,14.566,14.7377,1102999.9570983,0
PHO.US,D,20051214,000000,14.7007,14.8515,14.6907,14.8145,817600.41611147,0
PHO.US,D,20051215,000000,14.8145,14.8145,14.5949,14.6518,605041.81795715,0
PHO.US,D,20051216,000000,14.9084,14.9084,14.6419,14.6518,568991.98228613,0
PHO.US,D,20051219,000000,14.6618,14.6618,14.3214,14.3313,433094.88029452,0
PHO.US,D,20051220,000000,14.4173,14.5021,14.3114,14.3593,233506.52978576,0
PHO.US,D,20051221,000000,14.4073,14.4452,14.3214,14.3693,324956.39218198,0
PHO.US,D,20051222,000000,14.5859,14.5859,14.3873,14.4551,244246.95265073,0
PHO.US,D,20051223,000000,14.5021,14.5949,14.4173,14.5759,255413.10576358,0
PHO.US,D,20051227,000000,14.6419,14.6419,14.3593,14.4272,300503.44846281,0
PHO.US,D,20051228,000000,14.4731,14.5101,14.3593,14.5101,275509.57689929,0
PHO.US,D,20051229,000000,14.4731,14.4731,14.3313,14.3693,183105.07702963,0
PHO.US,D,20051230,000000,14.3873,14.4073,14.2475,14.2945,228936.69121926,0
PHO.US,D,20060103,000000,14.3973,14.556,14.1617,14.4921,513486.77514676,0
PHO.US,D,20060104,000000,14.5021,14.7676,14.4352,14.7676,803989.06879853,0
PHO.US,D,20060105,000000,14.7007,14.7776,14.6419,14.7287,540493.09863489,0
PHO.US,D,20060106,000000,14.7676,14.8615,14.6708,14.8515,598977.41579108,0
PHO.US,D,20060109,000000,14.8894,15.0482,14.8515,15.0102,670434.98574753,0
PHO.US,D,20060110,000000,15.0012,15.16,14.9633,15.121,486584.63035458,0
PHO.US,D,20060111,000000,15.1869,15.2348,15.0851,15.2348,485625.98600821,0
PHO.US,D,20060112,000000,15.2348,15.3376,15.16,15.2438,1097576.6545996,0
PHO.US,D,20060113,000000,15.2708,15.3376,15.1869,15.3376,662459.30519811,0
PHO.US,D,20060117,000000,15.4225,15.4704,15.103,15.1969,633430.51260306,0
PHO.US,D,20060118,000000,15.1969,15.2538,15.14,15.2258,492961.56860849,0
PHO.US,D,20060119,000000,15.2708,15.5194,15.2348,15.5094,956790.16592598,0
PHO.US,D,20060120,000000,15.5194,15.6012,15.14,15.2068,504340.08598615,0
PHO.US,D,20060123,000000,15.2538,15.3476,15.2348,15.2438,434161.71020976,0
PHO.US,D,20060124,000000,15.3276,15.4804,15.2908,15.4804,622371.54334086,0
PHO.US,D,20060125,000000,15.5194,15.5812,15.4324,15.4994,671601.9874858,0
PHO.US,D,20060126,000000,15.6112,15.684,15.5442,15.674,917344.50545434,0
PHO.US,D,20060127,000000,15.684,15.9396,15.684,15.9396,1125221.0726004,0
PHO.US,D,20060130,000000,16.4148,16.4767,15.9496,16.1562,1461238.437481,0
PHO.US,D,20060131,000000,15.9855,16.1273,15.7908,16.0225,1232299.7428253,0
PHO.US,D,20060201,000000,15.9855,16.0225,15.8468,15.9766,679686.85532233,0
PHO.US,D,20060202,000000,15.9396,15.9496,15.703,15.8388,630239.03832141,0
PHO.US,D,20060203,000000,15.8188,15.9206,15.6012,15.752,589406.99981907,0
PHO.US,D,20060206,000000,15.732,15.732,15.6012,15.732,455534.37037084,0
PHO.US,D,20060207,000000,15.752,15.8388,15.4604,15.5712,531244.23421479,0
PHO.US,D,20060208,000000,15.5622,15.722,15.4225,15.722,510187.11529625,0
PHO.US,D,20060209,000000,15.742,15.9496,15.6112,15.6541,920323.61547116,0
PHO.US,D,20060210,000000,15.674,15.8008,15.4894,15.7908,364192.6935435,0
PHO.US,D,20060213,000000,15.703,15.703,15.4804,15.4804,494134.58065613,0
PHO.US,D,20060214,000000,15.6541,15.703,15.4704,15.6112,375573.21435761,0
PHO.US,D,20060215,000000,15.6541,15.9766,15.6541,15.9686,1391800.3314768,0
PHO.US,D,20060216,000000,16.1762,16.1762,16.0314,16.1473,1383399.9223977,0
PHO.US,D,20060217,000000,16.1373,16.2621,16.0414,16.1473,851411.41153784,0
PHO.US,D,20060221,000000,16.3669,16.4148,15.9586,16.0993,1082481.7625876,0
PHO.US,D,20060222,000000,16.1273,16.291,16.0804,16.1942,681069.2264801,0
PHO.US,D,20060223,000000,16.2721,16.3669,16.1762,16.301,854284.33942226,0
PHO.US,D,20060224,000000,16.3669,16.6285,16.2231,16.6285,931486.76342931,0
PHO.US,D,20060227,000000,17.2284,17.2284,16.6085,16.8351,1876792.2298452,0
PHO.US,D,20060228,000000,16.7583,16.8351,16.4597,16.6085,1198381.5635482,0
PHO.US,D,20060301,000000,16.6444,16.8151,16.5137,16.8061,1145641.0987245,0
PHO.US,D,20060302,000000,16.9249,16.9249,16.6444,16.7771,925742.91109693,0
PHO.US,D,20060303,000000,16.7103,16.7971,16.5715,16.7103,1047812.2946378,0
PHO.US,D,20060306,000000,16.6923,16.7193,16.4677,16.4767,673943.00298994,0
PHO.US,D,20060307,000000,16.4597,16.5137,16.2421,16.3269,635134.43531275,0
PHO.US,D,20060308,000000,16.3179,16.3179,16.0804,16.291,637258.07796093,0
PHO.US,D,20060309,000000,16.309,16.3369,16.0614,16.1473,446601.04719327,0
PHO.US,D,20060310,000000,16.1473,16.3369,16.0414,16.301,450425.60739645,0
PHO.US,D,20060313,000000,16.3958,16.4867,16.2721,16.3369,550703.61255605,0
PHO.US,D,20060314,000000,16.3669,16.6085,16.3669,16.6005,1005598.886696,0
PHO.US,D,20060315,000000,16.6185,16.7383,16.5057,16.7383,571010.44452012,0
PHO.US,D,20060316,000000,16.9439,16.9719,16.6733,16.7971,1254208.3222395,0
