<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PID.US,D,20050915,000000,9.88556,9.90514,9.88067,9.89143,377797.63163077,0
PID.US,D,20050916,000000,9.97661,10.005,9.94523,10.005,142162.56005732,0
PID.US,D,20050919,000000,9.98928,9.98928,9.95701,9.95701,167878.0486513,0
PID.US,D,20050920,000000,9.98146,10.0118,9.93157,9.93741,274040.76354082,0
PID.US,D,20050921,000000,9.94523,9.94523,9.88556,9.88556,190562.47675513,0
PID.US,D,20050922,000000,9.89143,9.93157,9.82487,9.87381,549910.17496753,0
PID.US,D,20050923,000000,9.86696,9.91791,9.83172,9.91098,74558.775784812,0
PID.US,D,20050926,000000,9.97077,10.0197,9.93741,10.005,301121.09770774,0
PID.US,D,20050927,000000,9.98146,9.98146,9.91791,9.96285,129461.11918297,0
PID.US,D,20050928,000000,10.0197,10.0197,9.97077,9.99621,94522.707061778,0
PID.US,D,20050929,000000,10.0118,10.0657,9.97077,10.0657,125076.45062086,0
PID.US,D,20050930,000000,10.0774,10.0892,10.0197,10.0774,193434.16904966,0
PID.US,D,20051003,000000,10.0892,10.0892,10.0118,10.0589,190413.32446947,0
PID.US,D,20051004,000000,10.0774,10.0774,9.98928,9.98928,181338.53163694,0
PID.US,D,20051005,000000,9.98146,9.98146,9.83857,9.8464,125834.47114114,0
PID.US,D,20051006,000000,9.85228,9.85228,9.72014,9.79256,479281.45975085,0
PID.US,D,20051007,000000,9.79256,9.80333,9.77201,9.78473,167726.85318364,0
PID.US,D,20051010,000000,9.79746,9.80333,9.75928,9.75928,113284.22573445,0
PID.US,D,20051011,000000,9.72014,9.75928,9.72014,9.74657,65032.439731302,0
PID.US,D,20051012,000000,9.75928,9.75928,9.64085,9.67511,119929.67517446,0
PID.US,D,20051013,000000,9.64085,9.64085,9.50869,9.57526,166062.6814484,0
PID.US,D,20051014,000000,9.59288,9.64476,9.55274,9.64476,80758.811549826,0
PID.US,D,20051017,000000,9.64476,9.64476,9.60658,9.6291,253026.63671823,0
PID.US,D,20051018,000000,9.58505,9.58505,9.51652,9.51652,107831.99457976,0
PID.US,D,20051019,000000,9.43626,9.55862,9.38928,9.55862,61406.813280481,0
PID.US,D,20051020,000000,9.54785,9.54785,9.38928,9.38928,100571.54735913,0
PID.US,D,20051021,000000,9.47444,9.47444,9.3834,9.4441,98760.26652022,0
PID.US,D,20051024,000000,9.49499,9.55274,9.48129,9.53708,133695.61386842,0
PID.US,D,20051025,000000,9.58505,9.6291,9.54785,9.55274,75770.38270808,0
PID.US,D,20051026,000000,9.58505,9.60658,9.52338,9.53708,74861.16672013,0
PID.US,D,20051027,000000,9.49499,9.52338,9.42158,9.43626,69269.999189743,0
PID.US,D,20051028,000000,9.48717,9.48717,9.40005,9.47444,80617.831992144,0
PID.US,D,20051031,000000,9.58113,9.59973,9.54785,9.58113,78495.987489931,0
PID.US,D,20051101,000000,9.61246,9.63497,9.54393,9.62029,54898.257034162,0
PID.US,D,20051102,000000,9.65063,9.6986,9.60658,9.6986,88022.323543442,0
PID.US,D,20051103,000000,9.74657,9.74657,9.66728,9.68196,83336.285637012,0
PID.US,D,20051104,000000,9.6986,9.6986,9.57526,9.6291,81517.853661115,0
PID.US,D,20051107,000000,9.64476,9.64476,9.59973,9.64085,57168.232231041,0
PID.US,D,20051108,000000,9.64085,9.64085,9.57526,9.61246,85904.565405218,0
PID.US,D,20051109,000000,9.59973,9.64085,9.58505,9.64085,47943.265521851,0
PID.US,D,20051110,000000,9.67511,9.70643,9.6291,9.69175,60798.966636851,0
PID.US,D,20051111,000000,9.73286,9.77886,9.69175,9.76613,36143.889498468,0
PID.US,D,20051114,000000,9.80333,9.80333,9.75146,9.78473,37208.387318066,0
PID.US,D,20051115,000000,9.80333,9.81802,9.75146,9.77201,81819.223005434,0
