<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIE.US,D,20071228,000000,21.0054,21.6732,20.9869,21.0801,71008.384026567,0
PIE.US,D,20071231,000000,21.1209,21.2558,21.0889,21.1957,58577.847484993,0
PIE.US,D,20080102,000000,21.1044,21.1626,20.8209,20.8899,37777.869631985,0
PIE.US,D,20080103,000000,21.0054,22.1022,20.9704,21.0957,70769.374870455,0
PIE.US,D,20080104,000000,21.3141,21.3141,21.0122,21.0122,13744.05668831,0
PIE.US,D,20080107,000000,21.5286,23.4214,21.1626,21.2821,56904.78339221,0
PIE.US,D,20080108,000000,21.3063,21.4151,21.0889,21.0889,58935.331007281,0
PIE.US,D,20080109,000000,21.6984,21.7072,20.6618,21.0122,90854.385678887,0
PIE.US,D,20080110,000000,21.0889,22.5682,21.0054,21.5121,102087.81601614,0
PIE.US,D,20080111,000000,21.3548,25.5297,21.1626,21.2287,46504.794465706,0
PIE.US,D,20080114,000000,21.3296,21.5383,21.1957,21.3801,29288.923742496,0
PIE.US,D,20080115,000000,20.8987,20.9471,20.125,20.1939,39687.88245712,0
PIE.US,D,20080116,000000,19.5164,19.7435,19.1737,19.4417,39806.356823296,0
PIE.US,D,20080117,000000,19.5164,19.7921,18.7379,18.8641,27376.850493601,0
PIE.US,D,20080118,000000,19.1068,19.2398,18.9883,19.1659,15422.271840491,0
PIE.US,D,20080122,000000,19.2543,19.6503,17.0732,18.1021,59770.832841792,0
PIE.US,D,20080123,000000,17.9283,19.396,17.4673,18.471,13867.682113885,0
PIE.US,D,20080124,000000,18.5302,18.9029,18.3021,18.9029,50089.931807383,0
PIE.US,D,20080125,000000,20.3123,20.3123,19.0718,19.1388,26417.723233515,0
PIE.US,D,20080128,000000,18.8729,19.2815,18.7554,19.2815,48535.342080777,0
PIE.US,D,20080129,000000,19.4649,20.0327,19.2815,19.4038,141423.36601038,0
PIE.US,D,20080130,000000,19.5241,19.56,19.1465,19.2543,75072.569892348,0
PIE.US,D,20080131,000000,19.1388,19.826,19.0718,19.7192,68977.836411497,0
PIE.US,D,20080201,000000,19.992,20.0599,19.6503,19.9241,62643.063562654,0
PIE.US,D,20080204,000000,19.9386,20.1939,19.9007,19.9561,45429.253263203,0
PIE.US,D,20080205,000000,20.0153,20.0153,19.4591,19.4649,42437.517964286,0
PIE.US,D,20080206,000000,19.5338,19.5338,19.1388,19.1562,27257.345915546,0
PIE.US,D,20080207,000000,19.0291,19.3815,19.0291,19.231,17812.36340161,0
