<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIZ.US,D,20071228,000000,20.4701,20.7667,20.4701,20.6901,62533.089659872,0
PIZ.US,D,20071231,000000,20.7167,21.7559,20.6567,20.7972,65341.678345535,0
PIZ.US,D,20080102,000000,20.7078,20.7078,20.5202,20.5585,28824.935564781,0
PIZ.US,D,20080103,000000,20.4966,20.5752,20.4613,20.5496,41037.562770979,0
PIZ.US,D,20080104,000000,20.5202,20.5202,20.312,20.312,39814.976684904,0
PIZ.US,D,20080107,000000,19.9937,20.8718,19.8561,20.0998,137401.98131063,0
PIZ.US,D,20080108,000000,20.2177,20.312,19.8708,19.8708,89891.125516049,0
PIZ.US,D,20080109,000000,19.8148,19.8148,19.4209,19.6823,104181.43648718,0
PIZ.US,D,20080110,000000,19.8561,20.1754,19.806,20.1253,34073.606555459,0
PIZ.US,D,20080111,000000,19.9033,19.9691,19.8708,19.9033,172090.44381613,0
PIZ.US,D,20080114,000000,20.0015,20.0604,19.8797,19.9691,33344.737581578,0
PIZ.US,D,20080115,000000,19.6105,19.6194,19.249,19.2569,27479.174694015,0
PIZ.US,D,20080116,000000,19.0614,19.1203,18.5948,18.7019,21494.508915466,0
PIZ.US,D,20080117,000000,18.2028,18.2028,17.6301,17.6596,22350.624567747,0
PIZ.US,D,20080118,000000,18.7323,18.806,18.3826,18.4484,40794.267121877,0
PIZ.US,D,20080122,000000,17.3757,18.6763,17.1596,17.8747,36150.27234696,0
PIZ.US,D,20080123,000000,17.1674,17.7598,16.8433,17.6852,57890.112858383,0
PIZ.US,D,20080124,000000,18.0683,18.3826,18.0683,18.3826,13068.742858478,0
PIZ.US,D,20080125,000000,18.9288,18.9288,18.4061,18.4946,30044.467730575,0
PIZ.US,D,20080128,000000,19.6499,19.6499,18.0761,18.5545,71690.778611023,0
PIZ.US,D,20080129,000000,18.8227,19.0702,18.7824,19.0054,142290.28970808,0
PIZ.US,D,20080130,000000,19.0142,20.364,18.8306,19.1115,112242.76805722,0
PIZ.US,D,20080131,000000,18.3895,19.0958,18.3895,19.0958,155355.97864628,0
PIZ.US,D,20080201,000000,19.4612,19.7569,19.3374,19.7569,39935.097549314,0
PIZ.US,D,20080204,000000,19.4612,20.304,19.4612,19.5772,19297.722259555,0
PIZ.US,D,20080205,000000,18.9445,18.9445,18.6851,18.749,94046.493045906,0
PIZ.US,D,20080206,000000,18.6429,18.8306,18.5044,18.5044,49950.938099599,0
