<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKW.US,D,20061220,000000,21.8356,21.8763,21.7859,21.8197,106151.67668094,0
PKW.US,D,20061221,000000,21.8197,21.8356,21.6757,21.7125,45509.399672898,0
PKW.US,D,20061222,000000,21.6658,21.6658,21.6241,21.6399,21438.578551047,0
PKW.US,D,20061226,000000,21.6241,21.7303,21.6241,21.7303,53191.640901923,0
PKW.US,D,20061227,000000,21.8356,21.8694,21.8197,21.8694,44365.471761485,0
PKW.US,D,20061228,000000,21.8594,21.8932,21.8118,21.8356,40353.668241177,0
PKW.US,D,20061229,000000,21.8029,21.8495,21.7671,21.7761,76123.569006337,0
PKW.US,D,20070103,000000,21.8267,21.919,21.6658,21.6837,89529.477707609,0
PKW.US,D,20070104,000000,21.6837,21.8594,21.6499,21.8356,76461.913881544,0
PKW.US,D,20070105,000000,21.8118,21.8118,21.6311,21.7125,49751.801337321,0
PKW.US,D,20070108,000000,21.7224,21.8356,21.6927,21.8029,57546.824191415,0
PKW.US,D,20070109,000000,21.8763,21.929,21.7591,21.929,33359.193529313,0
PKW.US,D,20070110,000000,21.8197,21.9846,21.7671,21.9657,47572.699224382,0
PKW.US,D,20070111,000000,21.9846,22.1564,21.9846,22.1038,51696.277390965,0
PKW.US,D,20070112,000000,22.1216,22.219,22.0858,22.2,31869.871891126,0
PKW.US,D,20070116,000000,22.2259,22.2259,22.1296,22.1822,76001.724572112,0
PKW.US,D,20070117,000000,22.1484,22.2,22.1126,22.1216,200954.70233931,0
PKW.US,D,20070118,000000,22.1564,22.1564,21.9846,22.0094,44822.640134532,0
PKW.US,D,20070119,000000,21.9935,22.0432,21.8932,22.0432,78065.024123595,0
PKW.US,D,20070122,000000,22.0253,22.0253,21.8495,21.9578,40814.864529404,0
PKW.US,D,20070123,000000,22.0014,22.1296,21.9746,22.0531,35423.500059593,0
PKW.US,D,20070124,000000,22.0342,22.2358,22.0342,22.2358,41384.814527521,0
PKW.US,D,20070125,000000,22.2696,22.2696,21.9746,22.0094,64769.883089802,0
PKW.US,D,20070126,000000,22.0094,22.0094,21.8853,21.9746,43791.493848188,0
PKW.US,D,20070129,000000,22.0432,22.079,21.9935,22.0253,37255.194488167,0
PKW.US,D,20070130,000000,22.069,22.1126,22.0014,22.1126,38058.763566783,0
PKW.US,D,20070131,000000,22.1038,22.4553,22.0164,22.21,63508.138659343,0
PKW.US,D,20070201,000000,22.3321,22.3321,22.1822,22.2875,36912.821697779,0
PKW.US,D,20070202,000000,22.3759,22.5497,22.3222,22.3759,89643.266311473,0
PKW.US,D,20070205,000000,22.3858,22.5497,22.2448,22.3053,145704.79677988,0
PKW.US,D,20070206,000000,22.4195,22.4623,22.2517,22.3222,30263.74071269,0
PKW.US,D,20070207,000000,22.5049,22.5049,22.358,22.4295,67177.569389263,0
PKW.US,D,20070208,000000,22.4623,22.5923,22.3759,22.4781,35767.886807571,0
PKW.US,D,20070209,000000,22.5923,22.5923,22.2,22.2875,66489.802872102,0
PKW.US,D,20070212,000000,22.3053,22.3759,22.1385,22.1722,37476.729823124,0
PKW.US,D,20070213,000000,22.3759,22.5407,22.1822,22.3321,64705.436446905,0
PKW.US,D,20070214,000000,22.4969,22.5239,22.3679,22.5049,38315.543159574,0
PKW.US,D,20070215,000000,22.4374,22.6112,22.4195,22.5317,54332.54787695,0
PKW.US,D,20070216,000000,22.5923,22.7403,22.4195,22.4781,31064.288854919,0
PKW.US,D,20070220,000000,22.4374,22.7224,22.3759,22.5585,100761.31918992,0
PKW.US,D,20070221,000000,22.4881,22.6191,22.4623,22.5923,48031.88155502,0
PKW.US,D,20070222,000000,22.8128,22.8128,22.5239,22.6023,70385.803830957,0
PKW.US,D,20070223,000000,22.5755,22.5755,22.4623,22.4969,25674.938342698,0
PKW.US,D,20070226,000000,22.5497,22.5497,22.3679,22.4037,51648.949387588,0
PKW.US,D,20070227,000000,22.0938,22.1564,21.3202,21.5913,92974.352166188,0
PKW.US,D,20070228,000000,21.8118,21.8763,21.5218,21.7591,54222.787188267,0
PKW.US,D,20070301,000000,21.3381,21.7025,21.1126,21.6161,48237.305229253,0
PKW.US,D,20070302,000000,21.6311,21.6311,21.3788,21.3967,32442.842825628,0
PKW.US,D,20070305,000000,21.2775,21.3868,21.1534,21.1534,70728.176621345,0
PKW.US,D,20070306,000000,21.4136,21.6757,21.2676,21.4205,25790.740904152,0
PKW.US,D,20070307,000000,21.3609,21.5029,21.3202,21.3788,37944.974962918,0
PKW.US,D,20070308,000000,21.5823,21.6082,21.4662,21.5029,52847.254153945,0
PKW.US,D,20070309,000000,21.6241,21.6757,21.4394,21.5119,31408.675602898,0
PKW.US,D,20070312,000000,21.5665,21.6082,21.4483,21.5755,16853.804096236,0
PKW.US,D,20070313,000000,21.4573,21.5317,21.0848,21.1614,42760.347561844,0
PKW.US,D,20070314,000000,21.2586,21.2775,20.8902,21.2586,38174.566128238,0
PKW.US,D,20070315,000000,21.3609,21.3788,21.2586,21.3698,18570.702942151,0
PKW.US,D,20070316,000000,21.354,21.5755,21.1782,21.2308,25790.740904152,0
PKW.US,D,20070319,000000,21.4205,21.4851,21.354,21.4662,34046.960046475,0
PKW.US,D,20070320,000000,21.4483,21.5913,21.4394,21.5755,30150.95908762,0
PKW.US,D,20070321,000000,21.6003,22.0253,21.5665,21.919,74054.227582082,0
PKW.US,D,20070322,000000,22.069,22.069,21.8426,21.8932,25790.740904152,0
PKW.US,D,20070323,000000,21.9032,21.9389,21.8694,21.9032,28771.398138116,0
PKW.US,D,20070326,000000,21.9746,22.2696,21.7025,21.8853,28087.659536136,0
PKW.US,D,20070327,000000,21.7929,21.9746,21.6927,21.7859,179749.74286876,0
PKW.US,D,20070328,000000,21.6399,21.6658,21.5486,21.5665,33015.81376013,0
PKW.US,D,20070329,000000,21.6569,21.7224,21.4851,21.5913,35305.683540547,0
PKW.US,D,20070330,000000,21.6311,21.6927,21.5218,21.5755,13526.746156703,0
PKW.US,D,20070402,000000,21.7224,21.8118,21.6161,21.7502,10315.490778625,0
PKW.US,D,20070403,000000,21.8029,22.0938,21.6082,21.9389,27971.856974682,0
PKW.US,D,20070404,000000,21.9657,22.069,21.8426,22.061,38058.763566783,0
PKW.US,D,20070405,000000,21.8495,22.2,21.8495,22.1126,19946.235976474,0
PKW.US,D,20070409,000000,22.1624,22.2259,21.9657,22.2,48490.056906863,0
PKW.US,D,20070410,000000,22.219,22.2259,22.0432,22.2,22582.50646246,0
PKW.US,D,20070411,000000,22.219,22.2259,21.9657,22.079,27625.456269113,0
PKW.US,D,20070412,000000,22.2259,22.2696,22.0164,22.2696,24417.221827421,0
PKW.US,D,20070413,000000,22.1564,22.5049,22.079,22.2448,27398.88604018,0
PKW.US,D,20070416,000000,22.4195,22.788,22.3401,22.5407,27510.660686454,0
PKW.US,D,20070417,000000,22.5239,22.8565,22.4463,22.5665,34161.755629134,0
PKW.US,D,20070418,000000,22.5049,22.6191,22.4553,22.6023,24644.799035149,0
PKW.US,D,20070419,000000,22.5407,22.6271,22.4623,22.4881,29576.981174323,0
