<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNQI.US,D,20080613,000000,4.8682,4.9062,4.8222,4.9042,119190,0
PNQI.US,D,20080616,000000,5.3898,5.3898,4.9542,4.9842,19015,0
PNQI.US,D,20080617,000000,5.0162,5.0162,4.9562,4.9982,16170,0
PNQI.US,D,20080618,000000,4.9502,4.9502,4.8902,4.9322,17500,0
PNQI.US,D,20080619,000000,4.9262,4.9982,4.8942,4.9922,39460,0
PNQI.US,D,20080620,000000,4.9602,4.9602,4.8242,4.8382,87290,0
PNQI.US,D,20080623,000000,4.8542,4.8542,4.7884,4.8262,23725,0
PNQI.US,D,20080624,000000,4.7504,4.7584,4.6664,4.7044,29225,0
PNQI.US,D,20080625,000000,4.7304,4.8342,4.7304,4.8024,38930,0
PNQI.US,D,20080626,000000,4.7264,4.7264,4.6424,4.6424,31325,0
PNQI.US,D,20080627,000000,4.6384,4.6384,4.5484,4.5564,44220,0
PNQI.US,D,20080630,000000,4.5824,4.6004,4.5324,4.5324,14460,0
PNQI.US,D,20080701,000000,4.4684,4.5264,4.4404,4.5244,36880,0
PNQI.US,D,20080702,000000,4.5724,4.5724,4.4584,4.4584,14940,0
PNQI.US,D,20080703,000000,4.4744,4.4744,4.4166,4.4644,8005,0
PNQI.US,D,20080707,000000,4.4904,4.5084,4.3826,4.4624,70755,0
PNQI.US,D,20080708,000000,4.4404,4.5304,4.4286,4.5264,36370,0
PNQI.US,D,20080710,000000,4.5024,4.5344,4.4246,4.4604,42070,0
PNQI.US,D,20080711,000000,4.4046,4.4764,4.3726,4.4326,20335,0
PNQI.US,D,20080714,000000,4.3306,4.3326,4.3186,4.3326,3800,0
PNQI.US,D,20080715,000000,4.1948,4.3426,4.1528,4.3066,33325,0
PNQI.US,D,20080716,000000,4.3426,4.5264,4.3306,4.5184,27820,0
PNQI.US,D,20080721,000000,4.3846,4.3846,4.3486,4.3486,9005,0
PNQI.US,D,20080724,000000,4.4944,4.5004,4.4944,4.5004,15515,0
PNQI.US,D,20080725,000000,4.4844,4.4944,4.4824,4.4864,17035,0
PNQI.US,D,20080728,000000,4.3946,4.3946,4.3646,4.3646,9005,0
PNQI.US,D,20080729,000000,4.4684,4.4724,4.4684,4.4724,5905,0
PNQI.US,D,20080730,000000,4.5224,4.5224,4.5004,4.5004,22015,0
PNQI.US,D,20080731,000000,4.4724,4.4724,4.4106,4.4186,10010,0
PNQI.US,D,20080801,000000,4.4166,4.4166,4.3486,4.3966,33025,0
PNQI.US,D,20080804,000000,4.3766,4.3826,4.3446,4.3446,9505,0
PNQI.US,D,20080805,000000,4.3846,4.4464,4.3846,4.4464,30025,0
PNQI.US,D,20080806,000000,4.3826,4.4504,4.3786,4.4504,48625,0
PNQI.US,D,20080807,000000,4.3546,4.3686,4.3526,4.3546,31025,0
PNQI.US,D,20080808,000000,4.3366,4.4404,4.3326,4.4404,11360,0
PNQI.US,D,20080811,000000,4.5024,4.5584,4.5024,4.5564,12010,0
PNQI.US,D,20080812,000000,4.8882,4.8882,4.5184,4.5324,8040,0
PNQI.US,D,20080813,000000,4.5104,4.5284,4.5064,4.5064,9505,0
PNQI.US,D,20080814,000000,4.5004,4.5804,4.5004,4.5804,9605,0
PNQI.US,D,20080815,000000,4.6004,4.6004,4.5484,4.5724,22265,0
PNQI.US,D,20080818,000000,4.5244,4.5244,4.5244,4.5244,1000,0
PNQI.US,D,20080819,000000,4.4364,4.4384,4.4266,4.4266,12010,0
PNQI.US,D,20080820,000000,4.4166,4.4246,4.4166,4.4246,9005,0
PNQI.US,D,20080902,000000,4.4644,4.4644,4.3506,4.3506,5755,0
PNQI.US,D,20080903,000000,4.3506,4.3626,4.3186,4.3186,4500,0
PNQI.US,D,20080908,000000,4.2368,4.2368,4.2368,4.2368,590,0
PNQI.US,D,20080909,000000,4.1668,4.1728,4.1488,4.1548,22515,0
PNQI.US,D,20080910,000000,3.995,3.995,3.995,3.995,500,0
PNQI.US,D,20080911,000000,3.965,3.965,3.959,3.959,18515,0
PNQI.US,D,20080912,000000,4.0828,4.0828,4.0828,4.0828,500,0
PNQI.US,D,20080917,000000,3.981,3.981,3.981,3.981,500,0
PNQI.US,D,20080918,000000,3.863,4.0608,3.795,4.0608,22015,0
PNQI.US,D,20080923,000000,3.973,3.977,3.973,3.973,5505,0
