<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPH.US,D,20050225,000000,25.5026,25.7072,25.4788,25.6862,1177586.4690164,0
PPH.US,D,20050228,000000,25.6277,25.6644,25.3914,25.4688,3756945.0795554,0
PPH.US,D,20050301,000000,25.6644,25.8064,25.6277,25.7538,3224383.8598477,0
PPH.US,D,20050302,000000,25.72,25.8739,25.5949,25.7339,1417543.5777458,0
PPH.US,D,20050303,000000,25.7945,25.8293,25.5741,25.6942,3419544.932281,0
PPH.US,D,20050304,000000,26.0665,26.0665,25.6942,25.9027,1895896.4663328,0
PPH.US,D,20050307,000000,26,26.0813,25.8739,26.0456,1296679.5988144,0
PPH.US,D,20050308,000000,26.0615,26.0813,25.8391,25.859,1305067.4604375,0
PPH.US,D,20050309,000000,25.8699,25.8699,25.6614,25.7339,1910657.5716798,0
PPH.US,D,20050310,000000,25.7398,25.9404,25.7398,25.8659,1214234.3832195,0
PPH.US,D,20050311,000000,25.8739,25.8739,25.5631,25.6317,1436113.3182311,0
PPH.US,D,20050314,000000,25.6277,25.6734,25.4638,25.6317,1414996.0934124,0
PPH.US,D,20050315,000000,25.6317,25.7617,25.3914,25.3954,1157237.8209263,0
PPH.US,D,20050316,000000,25.3775,25.3874,25.1095,25.178,1672753.3585896,0
PPH.US,D,20050317,000000,25.0609,25.2206,25.0231,25.1363,760296.64895208,0
PPH.US,D,20050318,000000,25.1323,25.1412,24.891,25.1323,1412707.487479,0
PPH.US,D,20050321,000000,25.1254,25.1254,24.8742,24.9903,1680128.8747182,0
PPH.US,D,20050322,000000,25.1363,25.2316,24.9933,25.0151,3396140.1088379,0
PPH.US,D,20050323,000000,24.9715,25.5026,24.9715,25.44,2886980.6906464,0
PPH.US,D,20050324,000000,25.4688,25.6614,25.445,25.46,1652655.5304278,0
PPH.US,D,20050328,000000,25.5235,25.6118,25.4688,25.4828,790828.18321337,0
PPH.US,D,20050329,000000,25.4122,25.4688,25.2713,25.3101,1307618.9740067,0
PPH.US,D,20050330,000000,25.3775,25.6644,25.3775,25.6575,1783439.4878945,0
PPH.US,D,20050331,000000,25.5543,25.5791,25.4638,25.5026,1101000.7695811,0
PPH.US,D,20050401,000000,25.6485,25.6525,25.2226,25.3001,2163069.0482615,0
PPH.US,D,20050404,000000,25.2713,25.4748,25.2713,25.4033,1460791.3801865,0
PPH.US,D,20050405,000000,25.6277,26.005,25.6277,25.9772,4811629.7836356,0
PPH.US,D,20050406,000000,26.0536,26.0744,25.8947,25.9116,2063582.1798578,0
PPH.US,D,20050407,000000,25.7568,26.1409,25.4877,26.133,3690021.4875642,0
PPH.US,D,20050408,000000,26.133,26.1965,25.9295,25.9454,3378837.5630112,0
PPH.US,D,20050411,000000,26.0536,26.0536,25.9076,25.9454,1005586.4512605,0
PPH.US,D,20050412,000000,25.859,26.0784,25.6942,26.0407,1962063.5693028,0
PPH.US,D,20050413,000000,26.0407,26.531,26,26.4407,9707245.9655589,0
PPH.US,D,20050414,000000,26.4974,26.6571,26.3921,26.5152,8488172.4701456,0
PPH.US,D,20050415,000000,27.0632,27.0999,26.7416,26.7416,9495550.9240274,0
PPH.US,D,20050418,000000,26.7416,26.7416,26.3961,26.6185,4543454.929302,0
PPH.US,D,20050419,000000,26.7416,26.7664,26.3991,26.5867,7506518.672218,0
PPH.US,D,20050420,000000,26.4974,26.536,26.0615,26.1449,5822065.4201792,0
PPH.US,D,20050421,000000,26.1578,26.4765,26.1578,26.4169,3814454.362104,0
PPH.US,D,20050422,000000,26.3723,26.5222,26.2402,26.4239,3128967.5269091,0
PPH.US,D,20050425,000000,26.4199,26.4894,26.3315,26.4169,2233305.6793878,0
