<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRFZ.US,D,20060920,000000,8.66163,8.67007,8.6408,8.6408,12745.876426881,0
PRFZ.US,D,20060921,000000,8.93693,8.93693,8.59582,8.60428,10749.718392788,0
PRFZ.US,D,20060922,000000,8.81361,8.81361,8.45424,8.48527,50611.772196074,0
PRFZ.US,D,20060925,000000,8.46307,8.59426,8.43657,8.59426,14599.451744254,0
PRFZ.US,D,20060926,000000,8.76354,8.76354,8.57796,8.60603,35498.004223648,0
PRFZ.US,D,20060927,000000,8.85326,8.85326,8.62842,8.65276,24147.401524679,0
PRFZ.US,D,20060928,000000,8.69146,8.69146,8.6025,8.60603,12348.681716016,0
PRFZ.US,D,20060929,000000,8.64395,8.66673,8.56853,8.57246,33883.764180771,0
PRFZ.US,D,20061002,000000,8.54104,8.57796,8.4731,8.49684,36954.384830155,0
PRFZ.US,D,20061003,000000,8.4505,8.48684,8.44874,8.48684,8819.7594771706,0
PRFZ.US,D,20061004,000000,8.69636,8.69636,8.49313,8.64726,19600.031309256,0
PRFZ.US,D,20061005,000000,8.69146,8.76549,8.68028,8.76549,22578.991640747,0
PRFZ.US,D,20061006,000000,8.68832,8.75901,8.68832,8.75901,17619.14999481,0
PRFZ.US,D,20061009,000000,8.7158,8.77924,8.70521,8.76549,28852.631176472,0
PRFZ.US,D,20061010,000000,8.76019,8.79436,8.76019,8.79436,31755.207909721,0
PRFZ.US,D,20061011,000000,8.89234,8.89234,8.71778,8.71778,39999.544280126,0
PRFZ.US,D,20061012,000000,8.83559,8.91238,8.82717,8.91238,10795.548551734,0
PRFZ.US,D,20061013,000000,8.93515,8.98581,8.93515,8.96875,28674.402780572,0
PRFZ.US,D,20061017,000000,9.26607,9.26607,8.9438,8.97915,9644.7023381998,0
PRFZ.US,D,20061018,000000,9.01743,9.01921,8.95087,8.9658,15984.540992401,0
PRFZ.US,D,20061019,000000,8.96246,9.0155,8.96246,9.00292,16509.041700339,0
PRFZ.US,D,20061020,000000,8.94577,8.9542,8.94577,8.9542,2922.9456927806,0
PRFZ.US,D,20061023,000000,8.95578,8.99762,8.91435,8.97051,30533.070337827,0
PRFZ.US,D,20061024,000000,8.9658,9.02609,8.93693,8.97915,8875.7741158829,0
PRFZ.US,D,20061025,000000,9.02944,9.02944,8.96875,9.02275,49542.401820667,0
PRFZ.US,D,20061026,000000,9.04101,9.106,9.00468,9.106,25349.170137041,0
PRFZ.US,D,20061027,000000,9.19302,9.19302,8.99762,8.99762,11763.074129483,0
PRFZ.US,D,20061030,000000,9.06282,9.06457,9.00292,9.05222,18790.365167876,0
PRFZ.US,D,20061031,000000,9.37699,9.37699,8.98052,9.00114,92169.541880368,0
PRFZ.US,D,20061101,000000,9.17867,9.17867,8.87134,8.87134,71897.334906565,0
PRFZ.US,D,20061102,000000,8.81909,8.858,8.81026,8.84601,58189.025141821,0
PRFZ.US,D,20061103,000000,8.91985,8.91985,8.82519,8.86958,62878.97807396,0
PRFZ.US,D,20061106,000000,8.92298,9.01019,8.92298,9.00663,19890.288982581,0
PRFZ.US,D,20061107,000000,9.08224,9.08224,8.9919,9.00468,28450.344225724,0
PRFZ.US,D,20061108,000000,8.96442,9.08384,8.9489,9.06086,23765.483533462,0
PRFZ.US,D,20061109,000000,9.04612,9.04612,8.9658,8.9774,60037.508219312,0
PRFZ.US,D,20061110,000000,8.97915,9.04612,8.97915,9.04612,12155.176600465,0
PRFZ.US,D,20061113,000000,9.05574,9.09934,9.05574,9.09089,43090.533889041,0
PRFZ.US,D,20061114,000000,9.11641,9.22954,9.06282,9.22954,18938.04012448,0
PRFZ.US,D,20061115,000000,9.23855,9.91585,9.23855,9.27332,219098.71320136,0
PRFZ.US,D,20061116,000000,9.30965,9.32104,9.28217,9.28689,190974.27232814,0
PRFZ.US,D,20061117,000000,9.25527,9.26607,9.21362,9.26607,43238.208845645,0
PRFZ.US,D,20061120,000000,9.2694,9.31142,9.25918,9.27883,35997.043732172,0
PRFZ.US,D,20061121,000000,9.30299,9.31594,9.28353,9.31142,23480.318100021,0
PRFZ.US,D,20061122,000000,9.31752,9.32931,9.31142,9.32262,24223.785122922,0
PRFZ.US,D,20061124,000000,9.30652,9.33441,9.30652,9.33126,19538.924430661,0
PRFZ.US,D,20061127,000000,9.30101,9.30101,9.10446,9.11799,26403.263792801,0
PRFZ.US,D,20061128,000000,9.10109,9.13999,9.06282,9.11956,44129.350825151,0
PRFZ.US,D,20061129,000000,9.20185,9.26448,9.20185,9.2523,31291.814080377,0
PRFZ.US,D,20061130,000000,9.23148,9.30652,9.21167,9.28689,60679.130444558,0
PRFZ.US,D,20061201,000000,9.29964,9.29964,9.14175,9.2368,40961.977617992,0
PRFZ.US,D,20061204,000000,9.26763,9.38762,9.26763,9.38192,34372.619209529,0
PRFZ.US,D,20061205,000000,9.40451,9.4426,9.37699,9.41374,42606.771100167,0
PRFZ.US,D,20061206,000000,9.3715,9.42847,9.3715,9.39469,24162.678244327,0
PRFZ.US,D,20061207,000000,9.41374,9.41374,9.34697,9.35934,39337.553095349,0
PRFZ.US,D,20061208,000000,9.34697,9.39116,9.30965,9.36229,24901.053027348,0
PRFZ.US,D,20061211,000000,9.39116,9.39469,9.36957,9.36957,13850.892481469,0
PRFZ.US,D,20061212,000000,9.36957,9.38016,9.2908,9.32595,37677.482893527,0
PRFZ.US,D,20061213,000000,9.38447,9.38447,9.33795,9.33989,4766.3365303879,0
PRFZ.US,D,20061214,000000,9.38309,9.44103,9.38192,9.39271,161149.02333403,0
PRFZ.US,D,20061215,000000,9.38957,9.41001,9.36229,9.36229,31994.543184217,0
PRFZ.US,D,20061218,000000,9.38309,9.38309,9.23485,9.23485,36103.980769713,0
PRFZ.US,D,20061219,000000,9.19476,9.25721,9.19476,9.24466,27661.047043876,0
PRFZ.US,D,20061220,000000,9.26763,9.32792,9.26763,9.28689,68785.976338118,0
PRFZ.US,D,20061221,000000,9.32595,9.32595,9.22796,9.25527,189375.30900491,0
PRFZ.US,D,20061222,000000,9.24035,9.24035,9.21873,9.22068,538779.34856963,0
PRFZ.US,D,20061226,000000,9.32262,9.34344,9.31752,9.34344,1761.914999481,0
PRFZ.US,D,20061227,000000,9.37699,9.40802,9.37348,9.40272,18393.17045701,0
PRFZ.US,D,20061228,000000,9.40802,9.41178,9.38762,9.40802,12068.608522457,0
PRFZ.US,D,20061229,000000,9.38016,9.38016,9.30809,9.30809,237990.9231669,0
PRFZ.US,D,20070103,000000,9.38309,9.40099,9.2474,9.26271,60103.707337786,0
PRFZ.US,D,20070104,000000,9.29259,9.33795,9.22267,9.31928,85244.09563963,0
PRFZ.US,D,20070105,000000,9.24898,9.24898,9.15374,9.17376,124989.02792561,0
PRFZ.US,D,20070108,000000,9.17867,9.21362,9.15215,9.20695,44465.438657423,0
PRFZ.US,D,20070109,000000,9.17533,9.22425,9.11289,9.22425,57221.49956407,0
PRFZ.US,D,20070110,000000,9.14351,9.22068,9.14351,9.21362,21723.495340421,0
PRFZ.US,D,20070111,000000,9.28353,9.33795,9.28353,9.32262,53239.367975646,0
PRFZ.US,D,20070112,000000,9.33282,9.38309,9.33282,9.35934,56376.18774351,0
PRFZ.US,D,20070116,000000,9.40451,9.42298,9.34517,9.35737,56809.028133556,0
