<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRN.US,D,20140204,000000,43.1231,43.4337,42.5746,43.3152,31316.932175139,0
PRN.US,D,20140205,000000,43.0862,43.3252,42.7169,43.1997,28881.974400166,0
PRN.US,D,20140206,000000,43.354,43.7911,43.354,43.4436,670659.09399351,0
PRN.US,D,20140207,000000,43.8886,44.4112,43.8886,44.4013,44880.972948839,0
PRN.US,D,20140210,000000,44.3236,44.3236,43.9374,44.035,56443.004297821,0
PRN.US,D,20140211,000000,44.1863,44.4899,43.9762,44.4112,20739.330949702,0
PRN.US,D,20140212,000000,44.5088,44.8264,44.4212,44.7975,9752.8898668341,0
PRN.US,D,20140213,000000,44.4112,45.0374,44.4112,44.9916,18378.707694263,0
PRN.US,D,20140214,000000,44.9339,45.2504,44.8174,45.2026,8153.6931763407,0
PRN.US,D,20140218,000000,45.133,45.4446,45.0454,45.4446,85829.24800617,0
PRN.US,D,20140219,000000,45.4057,45.6058,45.0454,45.1141,41077.858206246,0
PRN.US,D,20140220,000000,45.2026,45.5591,45.0752,45.5013,36852.844839277,0
PRN.US,D,20140221,000000,45.5979,45.781,45.5591,45.5591,19802.113291266,0
PRN.US,D,20140224,000000,45.8009,46.3903,45.4914,45.9383,38884.989880023,0
PRN.US,D,20140225,000000,45.8995,46.1584,45.7532,45.8507,79785.047951711,0
PRN.US,D,20140226,000000,46.0528,46.3634,45.9194,46.1494,236272.27033559,0
PRN.US,D,20140227,000000,45.9941,46.449,45.9761,46.449,51737.830115489,0
PRN.US,D,20140228,000000,46.5167,46.8382,46.4301,46.5645,19913.615070565,0
PRN.US,D,20140303,000000,46.1205,46.3057,45.791,46.2071,68830.751525938,0
PRN.US,D,20140304,000000,46.7895,47.2633,46.7895,47.1956,33301.864750776,0
PRN.US,D,20140305,000000,47.3788,47.3788,47.0205,47.108,104883.99801997,0
PRN.US,D,20140306,000000,47.2256,47.4455,47.1469,47.4077,59449.534256769,0
PRN.US,D,20140307,000000,47.8547,47.8547,47.4167,47.4933,45138.130205602,0
