<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSC.US,D,20160928,000000,23.9273,23.9273,23.1505,23.1505,7688.1748682003,0
PSC.US,D,20160930,000000,23.1978,23.1978,23.1978,23.1978,101.44049172978,0
PSC.US,D,20161003,000000,23.1032,23.1032,23.1032,23.1032,857.17215511667,0
PSC.US,D,20161004,000000,23.0036,23.0036,23.0036,23.0036,1085.4132615087,0
PSC.US,D,20161005,000000,23.1683,23.1692,23.1683,23.1692,2163.7256885963,0
PSC.US,D,20161006,000000,23.0667,23.0667,23.0667,23.0667,113.61335073736,0
PSC.US,D,20161101,000000,22.1982,22.1982,22.1982,22.1982,324.60957353531,0
PSC.US,D,20161102,000000,23.0943,23.0943,21.8601,21.8601,10208.971087685,0
PSC.US,D,20161109,000000,22.9839,22.9839,22.9702,22.9702,3317.1040795639,0
PSC.US,D,20161110,000000,23.3655,23.3655,23.3655,23.3655,377.3586292348,0
PSC.US,D,20161114,000000,24.157,24.157,24.157,24.157,5242.4446125952,0
PSC.US,D,20161116,000000,25.2936,25.2936,25.2936,25.2936,324.60957353531,0
PSC.US,D,20161121,000000,24.7041,24.7041,24.7041,24.7041,351.99850630235,0
PSC.US,D,20161122,000000,24.8776,24.9989,24.8776,24.9989,410.83399150562,0
PSC.US,D,20161123,000000,25.2739,25.2739,25.2739,25.2739,258.67325391095,0
PSC.US,D,20161128,000000,25.4691,25.4691,24.989,24.989,7144.4538325287,0
PSC.US,D,20161129,000000,25.0265,25.0265,25.0265,25.0265,812.53833875557,0
PSC.US,D,20161201,000000,25.1714,25.1714,25.1714,25.1714,757.76047322148,0
PSC.US,D,20161202,000000,24.9329,24.9329,24.7366,24.8422,651.24795690521,0
PSC.US,D,20161205,000000,23.7617,24.8352,23.7617,24.8352,221.14027197093,0
PSC.US,D,20161208,000000,25.9936,26.0241,25.9936,26.0241,324.60957353531,0
PSC.US,D,20161212,000000,26.3199,26.3199,26.0241,26.0241,273.88932767042,0
PSC.US,D,20161214,000000,25.7569,25.8398,25.7569,25.7728,2483.2632375451,0
PSC.US,D,20161215,000000,25.8595,25.8595,25.8013,25.8013,9582.0688487954,0
PSC.US,D,20161216,000000,25.9147,25.9147,25.8013,25.8013,3667.0737760317,0
PSC.US,D,20161219,000000,25.7747,25.7747,25.7747,25.7747,101.44049172978,0
PSC.US,D,20161220,000000,26.033,26.033,26.033,26.033,950.49740750807,0
PSC.US,D,20161221,000000,26.0428,26.0428,25.969,25.969,277.94694733961,0
PSC.US,D,20161222,000000,25.969,25.969,25.7008,25.7382,1599.7165545787,0
PSC.US,D,20161223,000000,25.7925,25.7925,25.7925,25.7925,770.94773714636,0
PSC.US,D,20161228,000000,25.8172,25.8172,25.8172,25.8172,180.56407527902,0
PSC.US,D,20161229,000000,25.6594,25.6594,25.6594,25.6594,1045.8514697341,0
PSC.US,D,20161230,000000,25.6318,25.6318,25.615,25.615,448.36697344564,0
PSC.US,D,20170103,000000,25.5835,25.5835,25.5835,25.5835,101.44049172978,0
PSC.US,D,20170109,000000,25.6318,25.6318,25.6318,25.6318,103.46930156438,0
PSC.US,D,20170110,000000,25.8743,25.8743,25.8743,25.8743,275.91813750501,0
PSC.US,D,20170113,000000,25.9561,25.9561,25.8556,25.8556,382.43065382128,0
PSC.US,D,20170117,000000,25.5825,25.5825,25.5825,25.5825,218.09705721904,0
PSC.US,D,20170118,000000,25.482,25.5667,25.482,25.5657,612.70057004789,0
PSC.US,D,20170124,000000,25.5391,25.5391,25.5391,25.5391,323.59516861801,0
PSC.US,D,20170125,000000,25.9019,25.9019,25.7235,25.7235,1600.730959496,0
PSC.US,D,20170130,000000,25.4179,25.4179,25.4179,25.4179,103.46930156438,0
PSC.US,D,20170201,000000,25.6219,25.6219,25.5845,25.5845,778.04857156744,0
PSC.US,D,20170202,000000,25.5381,25.5391,25.5381,25.5391,524.44734224298,0
PSC.US,D,20170203,000000,25.9561,25.9561,25.9561,25.9561,2740.9220865388,0
PSC.US,D,20170206,000000,25.7235,25.7235,25.7235,25.7235,591.39806678464,0
PSC.US,D,20170208,000000,25.482,25.482,25.482,25.482,220.12586705363,0
PSC.US,D,20170209,000000,26.03,26.03,26.03,26.03,591.39806678464,0
PSC.US,D,20170210,000000,26.1789,26.2262,26.0665,26.2213,2775.4118537269,0
PSC.US,D,20170214,000000,26.2351,26.2351,26.2351,26.2351,101.44049172978,0
PSC.US,D,20170215,000000,26.2903,26.4441,26.2903,26.4441,1272.0637662915,0
PSC.US,D,20170216,000000,26.4214,26.4214,26.4214,26.4214,323.59516861801,0
PSC.US,D,20170217,000000,26.4303,26.4303,26.4096,26.4096,284.03337684339,0
PSC.US,D,20170221,000000,27.8006,27.8006,26.5584,26.6432,2601.948612869,0
PSC.US,D,20170223,000000,26.4214,26.4214,26.2538,26.3356,1684.9265676317,0
PSC.US,D,20170227,000000,26.3721,26.5485,26.3721,26.5485,517.3465078219,0
PSC.US,D,20170228,000000,26.3356,26.3356,26.1099,26.1306,2116.0486574833,0
PSC.US,D,20170301,000000,26.6688,26.6688,26.6688,26.6688,270.84611291852,0
PSC.US,D,20170303,000000,26.3257,26.3257,26.2449,26.2815,511.26007831811,0
PSC.US,D,20170308,000000,26.0103,26.0103,25.9561,25.9561,394.60351282886,0
PSC.US,D,20170309,000000,25.9748,25.9748,25.8654,25.8654,270.84611291852,0
PSC.US,D,20170310,000000,25.7609,25.7885,25.7491,25.7875,4227.0252903801,0
PSC.US,D,20170313,000000,25.9364,25.9364,25.9364,25.9364,193.75133920389,0
PSC.US,D,20170314,000000,25.8654,25.8654,25.8654,25.8654,215.05384246714,0
PSC.US,D,20170316,000000,26.2538,26.2815,26.2538,26.2716,2188.0714066114,0
PSC.US,D,20170317,000000,26.3721,26.3721,26.3721,26.3721,1076.283617253,0
PSC.US,D,20170320,000000,26.3721,26.3721,26.1789,26.2163,2155.6104492579,0
PSC.US,D,20170324,000000,25.7432,25.8654,25.7432,25.826,2015.6225706708,0
PSC.US,D,20170327,000000,25.7333,25.7333,25.7333,25.7333,404.74756200184,0
PSC.US,D,20170331,000000,26.382,26.382,26.382,26.382,728.34273061985,0
PSC.US,D,20170411,000000,26.0231,26.0231,25.894,26.0034,498.07281439324,0
PSC.US,D,20170420,000000,26.1335,26.2479,26.1335,26.2479,360.11374564073,0
PSC.US,D,20170425,000000,26.8503,26.8788,26.8503,26.8788,279.9757571742,0
PSC.US,D,20170427,000000,26.9912,26.9912,26.9833,26.9833,3361.737895925,0
PSC.US,D,20170501,000000,26.7221,26.7221,26.7221,26.7221,204.90979329416,0
PSC.US,D,20170502,000000,26.7221,26.7221,26.7221,26.7221,535.60579633326,0
PSC.US,D,20170504,000000,26.4805,26.4805,26.3859,26.3859,922.09406982373,0
PSC.US,D,20170509,000000,26.5348,26.5348,26.4884,26.4884,880.50346821452,0
PSC.US,D,20170517,000000,26.034,26.034,25.7353,25.7353,1517.5497562776,0
PSC.US,D,20170518,000000,25.9127,25.9127,25.9127,25.9127,978.90074519241,0
PSC.US,D,20170522,000000,26.1809,26.1809,26.1809,26.1809,694.86736834902,0
PSC.US,D,20170524,000000,26.3022,26.3022,26.2115,26.2115,324.60957353531,0
PSC.US,D,20170525,000000,26.4608,26.4608,26.3297,26.3297,2078.5156755433,0
PSC.US,D,20170526,000000,26.4608,26.4608,26.4608,26.4608,1827.9576609707,0
PSC.US,D,20170530,000000,26.2252,26.2252,26.2252,26.2252,222.15467688823,0
PSC.US,D,20170602,000000,26.8305,26.9281,26.8039,26.9281,573.13877827328,0
PSC.US,D,20170606,000000,26.5525,26.7674,26.5525,26.7309,2571.51646535,0
PSC.US,D,20170608,000000,26.8453,26.8453,26.8206,26.8206,245.48598998608,0
PSC.US,D,20170609,000000,27.1952,27.1952,27.1952,27.1952,858.18656003397,0
PSC.US,D,20170612,000000,27.0198,27.0198,27.0198,27.0198,23220.742961865,0
PSC.US,D,20170613,000000,27.1282,27.1282,27.1282,27.1282,219.11146213633,0
PSC.US,D,20170615,000000,26.8986,27.1105,26.8986,27.1105,1871.5770724145,0
PSC.US,D,20170620,000000,26.8986,26.8986,26.728,26.728,753.70285355229,0
PSC.US,D,20170628,000000,26.2843,27.0533,26.2843,27.0533,557.92270451381,0
PSC.US,D,20170629,000000,27.1381,27.1381,27.1006,27.1006,3200.4475140747,0
PSC.US,D,20170630,000000,26.8788,26.8788,26.8493,26.8493,322.58076370071,0
PSC.US,D,20170703,000000,26.863,26.863,26.863,26.863,101.44049172978,0
PSC.US,D,20170705,000000,26.7655,26.7655,26.7655,26.7655,218.09705721904,0
PSC.US,D,20170706,000000,26.6452,26.7013,26.6452,26.7013,1255.8332876147,0
PSC.US,D,20170707,000000,26.8384,26.8384,26.8384,26.8384,354.02731613695,0
PSC.US,D,20170711,000000,26.7201,26.8206,26.6629,26.6915,6309.5985855925,0
PSC.US,D,20170718,000000,26.9547,27.0701,26.9547,27.0701,407.79077675373,0
PSC.US,D,20170727,000000,27.3421,27.3421,27.3421,27.3421,3219.7212075033,0
PSC.US,D,20170731,000000,27.0898,27.1006,27.0898,27.1006,534.59139141596,0
PSC.US,D,20170803,000000,26.8296,26.8296,26.8296,26.8296,183.60729003091,0
PSC.US,D,20170807,000000,26.7566,26.8778,26.7566,26.8296,321.56635878341,0
PSC.US,D,20170811,000000,26.037,26.037,25.9738,26.0074,1165.5512499752,0
PSC.US,D,20170821,000000,25.7303,25.7303,25.7303,25.7303,218.09705721904,0
PSC.US,D,20170828,000000,26.03,26.03,25.9896,25.9896,321.56635878341,0
PSC.US,D,20170906,000000,26.2351,26.2706,26.2351,26.2706,233.3131309785,0
PSC.US,D,20170925,000000,27.1972,27.1972,27.1972,27.1972,374.3154144829,0
PSC.US,D,20170928,000000,27.9878,28.0244,27.9878,28.0065,5795.2952925225,0
PSC.US,D,20170929,000000,28.0608,28.1978,28.0608,28.1416,788.19262074042,0
PSC.US,D,20171002,000000,28.2313,28.2697,28.2313,28.2697,1223.3723302612,0
PSC.US,D,20171013,000000,28.1643,28.1643,28.1643,28.1643,213.02503263255,0
PSC.US,D,20171017,000000,28.0894,28.0894,28.0894,28.0894,231.28432114391,0
PSC.US,D,20171019,000000,28.1022,28.1022,28.1022,28.1022,149.11752284278,0
PSC.US,D,20171030,000000,28.1022,28.1022,28.0598,28.0598,1045.8514697341,0
PSC.US,D,20171031,000000,28.4551,28.4551,28.4551,28.4551,177.52086052712,0
PSC.US,D,20171201,000000,28.7233,28.7233,28.7233,28.7233,274.90373258771,0
PSC.US,D,20171204,000000,28.9924,28.9924,28.9401,28.9401,395.61791774616,0
PSC.US,D,20171208,000000,29.4084,29.4084,28.7547,28.7547,684.72331917604,0
PSC.US,D,20171214,000000,28.399,28.399,28.399,28.399,215279.04035878,0
PSC.US,D,20171220,000000,29.0575,29.0575,29.0575,29.0575,218.09705721904,0
PSC.US,D,20171221,000000,29.221,29.221,29.221,29.221,503.14483897973,0
PSC.US,D,20171222,000000,29.0821,29.0821,29.0821,29.0821,172.44883594063,0
PSC.US,D,20171226,000000,29.1728,29.23,29.1728,29.23,654.2911716571,0
PSC.US,D,20171227,000000,29.222,29.222,29.222,29.222,217.08265230174,0
PSC.US,D,20171228,000000,29.2083,29.2083,29.2083,29.2083,101.44049172978,0
PSC.US,D,20171229,000000,29.6795,29.6795,29.6795,29.6795,626.90223889006,0
PSC.US,D,20180102,000000,29.2389,29.3068,29.2389,29.2684,669.50724541657,0
PSC.US,D,20180103,000000,29.2684,29.3404,29.2684,29.2733,3571.7197138057,0
PSC.US,D,20180108,000000,29.5158,29.5158,29.5158,29.5158,217.08265230174,0
PSC.US,D,20180109,000000,31.0675,31.0675,29.5454,29.5454,295.19183093367,0
PSC.US,D,20180110,000000,29.3907,29.4872,29.3907,29.4872,275.91813750501,0
PSC.US,D,20180111,000000,30.0215,30.0215,30.0215,30.0215,160522.47732796,0
PSC.US,D,20180112,000000,30.1409,30.1409,30.1409,30.1409,163.31919168495,0
PSC.US,D,20180122,000000,30.3173,30.3853,30.3074,30.3853,786.16381090582,0
PSC.US,D,20180123,000000,30.7481,30.7481,30.6376,30.6653,1026.5777763054,0
PSC.US,D,20180125,000000,30.3725,30.3824,30.3725,30.3824,214260.57782182,0
PSC.US,D,20180126,000000,30.6179,30.6179,30.6179,30.6179,116.65656548925,0
PSC.US,D,20180130,000000,30.2059,30.2059,30.0659,30.0659,5398.6629698591,0
PSC.US,D,20180201,000000,30.1063,30.1063,30.1063,30.1063,218.09705721904,0
PSC.US,D,20180202,000000,29.6982,29.6982,29.6982,29.6982,337.79683746018,0
PSC.US,D,20180207,000000,29.9062,29.9062,29.9062,29.9062,537.63460616785,0
PSC.US,D,20180209,000000,27.3392,27.8449,27.3392,27.8449,5459.527264897,0
PSC.US,D,20180212,000000,28.1189,28.1189,28.1189,28.1189,219.11146213633,0
PSC.US,D,20180213,000000,28.321,28.321,28.321,28.321,218.09705721904,0
PSC.US,D,20180215,000000,29.1294,29.1915,29.1195,29.1915,214935.15709182,0
PSC.US,D,20180227,000000,29.2546,29.2546,29.2546,29.2546,101.44049172978,0
PSC.US,D,20180301,000000,28.7557,28.7557,28.6405,28.6405,409.81958658833,0
PSC.US,D,20180302,000000,28.9303,28.9303,28.9283,28.9283,268.81730308393,0
PSC.US,D,20180320,000000,30.0255,30.0255,30.0255,30.0255,7265.1680176871,0
PSC.US,D,20180323,000000,29.3207,29.3601,29.2871,29.2871,690.80974867983,0
PSC.US,D,20180326,000000,29.364,29.364,29.364,29.364,427.06447018239,0
PSC.US,D,20180406,000000,29.3216,29.3216,29.3216,29.3216,165.34800151955,0
PSC.US,D,20180410,000000,29.2713,29.3285,29.2624,29.3285,904.84918622967,0
PSC.US,D,20180411,000000,29.3571,29.3571,29.3384,29.3571,440.25173410726,0
PSC.US,D,20180412,000000,29.574,29.6016,29.574,29.6016,4312.2353034331,0
PSC.US,D,20180416,000000,29.6736,29.8835,29.6736,29.8303,2005.4785214978,0
PSC.US,D,20180417,000000,30.06,30.1073,30.0088,30.0787,6859.406050768,0
PSC.US,D,20180419,000000,30.0117,30.0117,29.8658,29.9249,5982.9602022226,0
PSC.US,D,20180423,000000,29.8165,29.8165,29.8165,29.8165,123.75739991034,0
PSC.US,D,20180424,000000,29.4034,29.4034,29.4034,29.4034,365.18577022722,0
PSC.US,D,20180425,000000,29.5345,29.5345,29.5345,29.5345,1067.1539729973,0
PSC.US,D,20180427,000000,29.5928,29.5928,29.5928,29.5928,1232.5019745169,0
PSC.US,D,20180504,000000,29.5345,29.5345,29.5345,29.5345,671.53605525117,0
PSC.US,D,20180507,000000,29.777,29.777,29.777,29.777,362.14255547533,0
PSC.US,D,20180508,000000,29.7386,29.7386,29.7386,29.7386,319.53754894882,0
PSC.US,D,20180509,000000,29.9575,30.1073,29.9575,30.1073,1536.8234497062,0
PSC.US,D,20180511,000000,31.8699,31.8699,30.4661,30.4751,797.3222649961,0
PSC.US,D,20180516,000000,30.4789,30.4789,30.4789,30.4789,143.031093339,0
PSC.US,D,20180517,000000,30.829,30.829,30.829,30.829,1172.6520843963,0
PSC.US,D,20180518,000000,30.8772,30.8772,30.8772,30.8772,318.52314403152,0
PSC.US,D,20180521,000000,31.0468,31.0783,31.0468,31.0566,2876.8523454567,0
PSC.US,D,20180529,000000,30.9324,30.9324,30.9324,30.9324,2238.7916524763,0
PSC.US,D,20180530,000000,31.3366,31.3425,31.3366,31.3425,404.74756200184,0
PSC.US,D,20180601,000000,31.4776,31.4875,31.4776,31.4776,1391.7635465326,0
PSC.US,D,20180604,000000,31.58,31.58,31.58,31.58,318.52314403152,0
PSC.US,D,20180605,000000,31.8325,31.8325,31.8325,31.8325,393.58910791156,0
PSC.US,D,20180608,000000,31.9942,31.9942,31.9942,31.9942,426.05006526509,0
PSC.US,D,20180611,000000,32.0405,32.0503,32.0405,32.0503,1384.6627121115,0
PSC.US,D,20180614,000000,31.9311,31.9311,31.9281,31.9281,862.24417970316,0
PSC.US,D,20180619,000000,32.0503,32.1233,32.0503,32.1233,583.28282744626,0
PSC.US,D,20180620,000000,32.4545,32.4545,32.4545,32.4545,533384.24956437,0
PSC.US,D,20180621,000000,32.3135,32.3135,32.3135,32.3135,485.89995538566,0
PSC.US,D,20180627,000000,31.7171,31.7171,31.309,31.309,2670.9281472452,0
PSC.US,D,20180628,000000,30.9225,31.3652,30.9225,31.3652,3016.8402240438,0
PSC.US,D,20180629,000000,31.4678,31.4678,31.4678,31.4678,217.08265230174,0
PSC.US,D,20180702,000000,31.4776,31.4776,31.4776,31.4776,400.68994233265,0
PSC.US,D,20180705,000000,33.5734,33.5734,31.8177,31.9754,1419.1524792997,0
PSC.US,D,20180718,000000,32.352,32.4643,32.352,32.4643,1109.7589795238,0
PSC.US,D,20180719,000000,32.4515,32.4999,32.4515,32.4999,680.66569950685,0
PSC.US,D,20180723,000000,32.624,32.624,32.624,32.624,142.0166884217,0
PSC.US,D,20180726,000000,32.4643,32.5393,32.4643,32.5294,708.05463227389,0
PSC.US,D,20180727,000000,33.8277,33.8277,31.9192,31.9192,898.76275672588,0
PSC.US,D,20180731,000000,31.9379,31.9379,31.9379,31.9379,120.71418515844,0
PSC.US,D,20180801,000000,31.9291,31.9478,31.9291,31.9478,1675.796923376,0
PSC.US,D,20180806,000000,32.3047,32.3983,32.3047,32.3983,715.15546669498,0
PSC.US,D,20180809,000000,32.5482,32.624,32.5482,32.624,254.61563424176,0
PSC.US,D,20180810,000000,32.6063,32.6063,32.6063,32.6063,142.0166884217,0
PSC.US,D,20180813,000000,32.2199,32.2199,32.2199,32.2199,383.44505873858,0
PSC.US,D,20180814,000000,32.5679,32.5679,32.5679,32.5679,317.50873911422,0
PSC.US,D,20180816,000000,32.5876,32.5964,32.5206,32.5876,104633.83840944,0
PSC.US,D,20180817,000000,32.5876,32.5876,32.5876,32.5876,425.03566034779,0
PSC.US,D,20180820,000000,32.8114,32.8114,32.8114,32.8114,54207.769970562,0
PSC.US,D,20180822,000000,33.3585,33.3585,33.3585,33.3585,254.61563424176,0
PSC.US,D,20180824,000000,33.3979,33.3979,33.3565,33.3565,271.86051783582,0
PSC.US,D,20180827,000000,33.4817,33.525,33.4699,33.4699,1038.750635313,0
PSC.US,D,20180828,000000,33.3191,33.4629,33.3191,33.4629,1290.3230548028,0
PSC.US,D,20180829,000000,33.4995,33.5931,33.4995,33.5931,1840.1305199783,0
PSC.US,D,20180830,000000,33.5931,33.5931,33.5833,33.5833,227.22670147472,0
PSC.US,D,20180906,000000,33.3092,33.3092,33.3092,33.3092,420.9780406786,0
PSC.US,D,20180910,000000,33.4442,33.4719,33.4442,33.4719,366.20017514452,0
PSC.US,D,20180913,000000,34.0712,34.0712,33.4315,33.4315,469.6694767089,0
PSC.US,D,20180917,000000,33.3368,33.3368,33.2077,33.2077,2451.8166851089,0
PSC.US,D,20180920,000000,33.3792,33.4028,33.3713,33.4028,1111.7877893584,0
PSC.US,D,20180921,000000,33.3092,33.3585,33.3092,33.3585,869.34501412425,0
PSC.US,D,20180924,000000,34.4576,34.4576,32.9996,33.0273,3253.1965697742,0
PSC.US,D,20180925,000000,34.6568,34.6568,33.253,33.253,3333.3345582407,0
PSC.US,D,20180926,000000,33.2185,33.2185,33.2185,33.2185,177.52086052712,0
PSC.US,D,20180927,000000,33.039,33.0657,33.039,33.0657,629.94545364196,0
PSC.US,D,20180928,000000,33.0273,33.0854,33.0273,33.0854,503.14483897973,0
PSC.US,D,20181001,000000,32.9001,32.9001,32.9001,32.9001,200.85217362497,0
PSC.US,D,20181002,000000,32.4545,32.4545,32.4101,32.4101,1995.3344723248,0
PSC.US,D,20181008,000000,31.5486,31.5486,31.5219,31.5219,2125.178301739,0
PSC.US,D,20181010,000000,30.8782,30.9167,30.7096,30.7096,18280.591014624,0
PSC.US,D,20181011,000000,30.3794,30.3794,30.0393,30.0393,403.73315708454,0
PSC.US,D,20181012,000000,29.919,30.5963,29.919,29.919,2148.5096148368,0
PSC.US,D,20181015,000000,29.5701,30.5529,29.504,30.5529,9127.6154458459,0
PSC.US,D,20181016,000000,31.3051,31.3051,30.9255,30.9255,7653.6851010122,0
PSC.US,D,20181017,000000,31.0222,31.0222,31.0222,31.0222,295.19183093367,0
PSC.US,D,20181018,000000,30.6357,30.6357,30.3104,30.3104,1124.9750532833,0
PSC.US,D,20181019,000000,29.9594,29.9594,29.9594,29.9594,531.54817666407,0
PSC.US,D,20181022,000000,29.8343,29.8343,29.8234,29.8234,546.76425042353,0
PSC.US,D,20181023,000000,29.22,29.3059,29.22,29.2773,7101.8488260022,0
PSC.US,D,20181024,000000,29.3344,29.3344,29.3344,29.3344,260.70206374554,0
PSC.US,D,20181026,000000,28.7686,29.7663,28.5192,29.2773,54956.400799528,0
PSC.US,D,20181029,000000,28.4187,29.2674,28.4187,28.6168,7637.4546223354,0
PSC.US,D,20181030,000000,29.0909,29.1383,29.0909,29.1383,910.93561573346,0
PSC.US,D,20181031,000000,29.7002,29.7002,29.5355,29.5355,1582.4716709846,0
PSC.US,D,20181101,000000,29.5099,29.9505,29.5099,29.9505,1346.1153252542,0
PSC.US,D,20181102,000000,30.3991,30.6544,30.0659,30.1063,1521.6073759468,0
PSC.US,D,20181105,000000,30.125,30.1723,29.9269,30.0295,1980.1183985654,0
PSC.US,D,20181106,000000,30.1536,31.2952,30.0906,30.202,5825.7274400415,0
PSC.US,D,20181107,000000,30.3281,30.824,30.3281,30.824,4412.6613902456,0
PSC.US,D,20181108,000000,31.4075,31.4075,30.7293,30.7293,2212.4171246266,0
PSC.US,D,20181109,000000,30.5676,30.5676,29.9378,30.1773,8754.3144362803,0
PSC.US,D,20181112,000000,29.8815,29.9654,29.8815,29.9654,959.62705176375,0
PSC.US,D,20181113,000000,30.1536,30.1536,30.1536,30.1536,106376.58605735,0
PSC.US,D,20181114,000000,29.9378,29.9378,29.6903,29.6903,241.42837031689,0
PSC.US,D,20181116,000000,29.6539,29.7465,29.5069,29.5878,2048.0835280243,0
PSC.US,D,20181119,000000,29.5503,29.5503,29.0899,29.1945,1779.2662249404,0
PSC.US,D,20181120,000000,28.9461,28.949,28.7312,28.7312,686.75212901064,0
PSC.US,D,20181121,000000,28.8347,28.8347,28.8347,28.8347,128.82942449683,0
PSC.US,D,20181123,000000,29.5986,29.5986,28.9461,29.0239,4360.9267394634,0
PSC.US,D,20181126,000000,29.2003,29.2013,29.1599,29.1599,1222.3579253439,0
PSC.US,D,20181127,000000,29.1068,29.1146,29.1068,29.1146,159908.762353,0
PSC.US,D,20181128,000000,29.4804,29.7663,29.4804,29.7287,6759.9943688728,0
PSC.US,D,20181129,000000,30.5391,30.5391,29.572,29.572,826.74000759774,0
PSC.US,D,20181130,000000,29.7948,29.7948,29.5966,29.7731,224794.15848304,0
PSC.US,D,20181203,000000,30.2936,32.0572,29.8993,29.9732,11517.553430999,0
PSC.US,D,20181204,000000,29.7663,29.7663,28.9845,29.0199,124242.2854608,0
PSC.US,D,20181206,000000,28.2974,28.74,28.2974,28.74,4020.0866872513,0
PSC.US,D,20181207,000000,29.7465,29.7465,28.7883,28.7883,2850.4778176069,0
PSC.US,D,20181210,000000,28.2008,28.3122,27.9297,28.0431,6340.0307331115,0
PSC.US,D,20181211,000000,27.5068,28.5517,27.5068,28.184,5084.1974454968,0
PSC.US,D,20181212,000000,28.2786,28.74,28.2786,28.6168,7376.7525585899,0
PSC.US,D,20181213,000000,28.1436,28.1436,28.1436,28.1436,198.82336379038,0
PSC.US,D,20181214,000000,27.7039,27.8814,27.3609,27.4969,13833.439857191,0
