<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCC.US,D,20110323,000000,8.56071,8.65992,8.54955,8.64942,11723.245194917,0
PSCC.US,D,20110324,000000,8.64717,8.68908,8.63832,8.67792,12019.456391558,0
PSCC.US,D,20110325,000000,8.70939,8.80662,8.70939,8.77157,34015.428034949,0
PSCC.US,D,20110328,000000,8.77157,8.79189,8.75718,8.76864,57559.637582439,0
PSCC.US,D,20110329,000000,8.80955,8.84364,8.80041,8.84364,46358.57913624,0
PSCC.US,D,20110330,000000,8.86295,8.86295,8.8256,8.84658,37609.660802447,0
PSCC.US,D,20110331,000000,8.86064,8.89311,8.86064,8.89311,117772.96103995,0
PSCC.US,D,20110401,000000,8.91829,9.01393,8.91829,8.95236,145625.97469528,0
PSCC.US,D,20110404,000000,8.9802,8.99131,8.95236,8.98312,116120.89653085,0
PSCC.US,D,20110405,000000,9.03716,9.09121,9.03128,9.03389,86719.644971409,0
PSCC.US,D,20110406,000000,9.06565,9.08824,9.02863,9.06074,49113.03789264,0
PSCC.US,D,20110407,000000,9.07119,9.07417,8.96252,8.9802,33456.596602114,0
PSCC.US,D,20110408,000000,8.99426,8.99426,8.85741,8.88326,74791.800290155,0
PSCC.US,D,20110411,000000,8.90353,8.90353,8.80041,8.8256,32509.94226233,0
PSCC.US,D,20110412,000000,8.81219,8.81219,8.74376,8.76864,23547.263271166,0
PSCC.US,D,20110413,000000,8.77485,8.78568,8.70939,8.73228,52780.560028377,0
PSCC.US,D,20110414,000000,8.70641,8.86031,8.70641,8.85443,43384.252275116,0
PSCC.US,D,20110415,000000,8.84658,8.90126,8.83217,8.89534,15882.416842605,0
PSCC.US,D,20110418,000000,8.7775,8.81741,8.76864,8.80367,15735.838106123,0
PSCC.US,D,20110419,000000,8.83804,8.83804,8.7775,8.82891,13729.54165052,0
PSCC.US,D,20110420,000000,8.92616,8.94908,8.90977,8.92943,18594.12346753,0
PSCC.US,D,20110421,000000,8.94908,8.95528,8.90353,8.94611,21174.519974356,0
PSCC.US,D,20110425,000000,8.90353,8.90353,8.84364,8.87441,17424.547299347,0
PSCC.US,D,20110426,000000,8.87147,9.04014,8.87147,9.00211,128442.67156639,0
PSCC.US,D,20110427,000000,8.98872,9.05254,8.98872,9.05254,7603.7719550255,0
PSCC.US,D,20110428,000000,9.04959,9.06827,9.00508,9.03389,13256.214480629,0
