<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCD.US,D,20110323,000000,24.1053,24.4414,23.9605,24.4414,6695.0257887189,0
PSCD.US,D,20110324,000000,24.4672,24.6815,24.4126,24.6725,3511.8636780283,0
PSCD.US,D,20110325,000000,24.7331,25.219,24.7331,24.981,11364.402961544,0
PSCD.US,D,20110328,000000,25.0177,25.1288,24.7073,24.7618,16379.622580984,0
PSCD.US,D,20110329,000000,24.6527,24.9562,24.617,24.9284,17759.9675064,0
PSCD.US,D,20110330,000000,25.0662,25.4333,25.0662,25.4333,16264.677861118,0
PSCD.US,D,20110331,000000,25.3291,25.4839,25.2686,25.4571,14978.103628225,0
PSCD.US,D,20110401,000000,25.5681,25.7476,25.4699,25.5771,59462.718503601,0
PSCD.US,D,20110404,000000,25.5582,25.6118,25.4947,25.5135,32518.264565056,0
PSCD.US,D,20110405,000000,25.4877,26.0194,25.4877,25.8468,31297.228988228,0
PSCD.US,D,20110406,000000,26.0977,26.1433,25.829,26.0095,22250.877877327,0
PSCD.US,D,20110407,000000,26.2019,26.2465,25.8894,25.9638,29327.036158234,0
PSCD.US,D,20110408,000000,25.9995,25.9995,25.4779,25.5503,27104.771574148,0
PSCD.US,D,20110411,000000,25.5582,25.5582,25.2964,25.3619,8514.9838532728,0
PSCD.US,D,20110412,000000,25.3529,25.4163,25.2636,25.2636,13166.211859803,0
PSCD.US,D,20110413,000000,25.2091,25.3529,25.1198,25.2795,5708.9210867058,0
PSCD.US,D,20110414,000000,25.1714,25.3053,25.1198,25.2964,18301.417634192,0
PSCD.US,D,20110415,000000,25.2736,25.5939,25.2736,25.5939,11420.86703446,0
PSCD.US,D,20110418,000000,25.2091,25.2736,25.0752,25.2736,7359.486932509,0
PSCD.US,D,20110419,000000,25.4947,25.4947,25.2091,25.3619,11916.944246516,0
PSCD.US,D,20110420,000000,25.9351,25.9351,25.7476,25.8805,2360.39990533,0
PSCD.US,D,20110421,000000,25.9728,26.1335,25.9351,26.0977,13062.358297116,0
PSCD.US,D,20110425,000000,26.0194,26.1235,25.9995,26.1135,7154.8046681852,0
PSCD.US,D,20110426,000000,26.0977,26.4389,26.0709,26.4389,43955.264191779,0
PSCD.US,D,20110427,000000,26.42,26.543,26.3844,26.543,3337.4300241957,0
PSCD.US,D,20110428,000000,26.3844,26.5093,26.2911,26.4766,7281.8488322482,0
