<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCE.US,D,20110323,000000,186.327,186.972,183.991,186.425,6120.0836480898,0
PSCE.US,D,20110324,000000,188.555,188.555,183.846,186.706,10978.922674536,0
PSCE.US,D,20110325,000000,188.129,191.256,186.706,190.273,32154.403833245,0
PSCE.US,D,20110328,000000,191.624,192.133,189.398,189.493,16107.364359662,0
PSCE.US,D,20110329,000000,189.398,192.703,188.081,192.471,8285.5817847116,0
PSCE.US,D,20110330,000000,194.732,194.876,191.532,193.584,47985.554587805,0
PSCE.US,D,20110331,000000,195.336,196.14,194.819,195.152,12157.943650084,0
PSCE.US,D,20110401,000000,197.296,197.906,194.964,195.672,13137.809864737,0
PSCE.US,D,20110404,000000,197.578,198.183,196.145,196.242,19704.752172388,0
PSCE.US,D,20110405,000000,196.891,198.748,196.004,197.815,16446.588547826,0
PSCE.US,D,20110406,000000,203.159,204.051,192.848,193.633,32701.666241554,0
PSCE.US,D,20110407,000000,193.584,194.876,191.256,192.848,8970.8476995344,0
PSCE.US,D,20110408,000000,195.341,196.891,191.716,192.983,5611.4539579199,0
PSCE.US,D,20110411,000000,194.223,194.223,187.069,188.129,12983.692176326,0
PSCE.US,D,20110412,000000,185.448,185.448,179.344,181.242,29556.301890279,0
PSCE.US,D,20110413,000000,183.617,184.407,181.057,183.943,6923.7268222416,0
PSCE.US,D,20110414,000000,182.606,185.859,181.522,185.859,7580.8962147804,0
PSCE.US,D,20110415,000000,186.327,188.323,185.206,188.274,14124.906802038,0
PSCE.US,D,20110418,000000,184.644,184.644,182.466,183.846,5846.762332048,0
PSCE.US,D,20110419,000000,183.943,185.723,182.975,185.496,5285.2450705199,0
PSCE.US,D,20110420,000000,189.166,190.187,188.227,188.927,17255.396523868,0
PSCE.US,D,20110421,000000,191.115,191.671,188.791,191.624,6063.2708272952,0
PSCE.US,D,20110425,000000,191.895,191.943,189.712,190.782,5606.7023401806,0
PSCE.US,D,20110426,000000,191.019,193.313,189.712,190.187,11213.198088286,0
PSCE.US,D,20110427,000000,191.256,191.256,184.973,189.446,5666.2008579585,0
PSCE.US,D,20110428,000000,189.625,191.943,188.227,190.544,5988.8976800729,0
PSCE.US,D,20110429,000000,190.632,194.256,190.632,192.887,5622.6099300033,0
PSCE.US,D,20110502,000000,193.313,194.591,187.713,189.067,15642.119005371,0
PSCE.US,D,20110503,000000,187.951,187.951,178.449,180.461,31661.475140821,0
PSCE.US,D,20110504,000000,179.9,179.9,172.915,173.666,50788.389277707,0
PSCE.US,D,20110505,000000,170.084,174.034,167.558,169.571,43882.222781893,0
PSCE.US,D,20110506,000000,170.321,176.971,170.278,173.473,11601.178006295,0
PSCE.US,D,20110509,000000,173.759,179.9,173.759,179.295,13412.990509459,0
PSCE.US,D,20110510,000000,179.247,181.43,179.008,181.333,16737.676782371,0
PSCE.US,D,20110511,000000,180.273,180.273,173.149,174.082,9165.2508426902,0
PSCE.US,D,20110512,000000,171.996,174.358,169.614,172.508,6282.4650195252,0
PSCE.US,D,20110513,000000,173.936,174.499,169.436,169.988,26955.307658256,0
PSCE.US,D,20110516,000000,167.558,173.569,166.593,167.203,31341.670607766,0
PSCE.US,D,20110517,000000,165.185,167.848,164.168,165.136,33205.957498137,0
PSCE.US,D,20110518,000000,166.356,172.964,166.356,172.368,10198.004628702,0
PSCE.US,D,20110519,000000,173.434,175.187,171.522,174.034,3703.1629554418,0
PSCE.US,D,20110520,000000,173.013,175.088,170.363,173.521,9366.8847084929,0
PSCE.US,D,20110523,000000,168.306,170.413,168.306,169.793,8267.6082741328,0
PSCE.US,D,20110524,000000,170.969,174.034,170.69,171.061,4591.5088805966,0
PSCE.US,D,20110525,000000,169.842,177.426,169.842,176.695,4296.4953966151,0
PSCE.US,D,20110526,000000,176.556,178.264,175.001,178.124,2447.4963198394,0
PSCE.US,D,20110527,000000,179.199,182.32,178.356,179.76,4993.1238755969,0
PSCE.US,D,20110531,000000,182.651,184.455,180.776,182.926,9465.4291285625,0
PSCE.US,D,20110601,000000,182.079,182.32,176.323,176.789,7791.6201319103,0
PSCE.US,D,20110602,000000,176.831,179.44,174.78,176.183,4804.2987184825,0
PSCE.US,D,20110603,000000,173.521,176.556,172.417,175.001,4277.2823335825,0
PSCE.US,D,20110606,000000,174.499,174.499,168.68,168.864,6313.867015019,0
PSCE.US,D,20110607,000000,170.321,172.915,170.321,170.64,4980.1085748332,0
PSCE.US,D,20110608,000000,170.229,171.9,167.75,168.211,2931.3349609354,0
PSCE.US,D,20110609,000000,168.632,172.046,168.632,170.785,1851.8913658344,0
PSCE.US,D,20110610,000000,169.614,169.842,168.114,169.479,2924.7240145155,0
PSCE.US,D,20110613,000000,168.065,170.462,160.82,163.476,50970.810080476,0
PSCE.US,D,20110614,000000,165.277,170.229,165.277,169.154,12336.645795493,0
PSCE.US,D,20110615,000000,167.203,169.89,165.471,167.203,2512.5728236589,0
PSCE.US,D,20110616,000000,167.203,168.772,164.643,166.864,5886.4280105665,0
PSCE.US,D,20110617,000000,168.211,168.961,165.946,166.686,6137.6439745173,0
PSCE.US,D,20110620,000000,165.708,168.26,165.136,166.728,3550.6980036363,0
PSCE.US,D,20110621,000000,168.26,172.552,168.26,171.522,27638.094468172,0
PSCE.US,D,20110622,000000,170.462,174.179,170.413,171.474,1649.8443158806,0
PSCE.US,D,20110623,000000,167.654,170.363,164.213,170.229,15890.649272339,0
PSCE.US,D,20110624,000000,169.793,170.363,165.422,165.615,1803.3422280643,0
PSCE.US,D,20110627,000000,165.519,167.606,164.213,167.01,4060.1540621087,0
PSCE.US,D,20110628,000000,168.583,173.618,167.989,173.618,10479.796219844,0
PSCE.US,D,20110629,000000,174.13,178.822,173.759,177.34,2725.3626615448,0
PSCE.US,D,20110630,000000,179.039,180.35,178.337,180.065,8692.1549895265,0
PSCE.US,D,20110701,000000,180.414,184.407,180.273,183.425,18559.612297241,0
PSCE.US,D,20110705,000000,184.455,187.52,182.883,185.675,9491.6663221657,0
