<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCF.US,D,20110323,000000,19.6817,19.7258,19.6014,19.6014,7901.3279378547,0
PSCF.US,D,20110324,000000,19.5593,19.7327,19.5593,19.6817,42117.957113696,0
PSCF.US,D,20110325,000000,19.8415,20.1079,19.8415,19.9071,5111.3629179378,0
PSCF.US,D,20110328,000000,19.913,19.9413,19.8914,19.8914,5459.4705183006,0
PSCF.US,D,20110329,000000,19.7406,20.007,19.7406,19.8856,9326.4253281964,0
PSCF.US,D,20110330,000000,20.007,20.1882,19.9491,20.1882,9718.4291948807,0
PSCF.US,D,20110331,000000,20.2676,20.3626,20.2372,20.3626,8838.4621816467,0
PSCF.US,D,20110401,000000,20.4341,20.5282,20.387,20.387,17452.338814672,0
PSCF.US,D,20110404,000000,20.5007,20.5408,20.4262,20.4703,9247.820386179,0
PSCF.US,D,20110405,000000,20.4184,20.5408,20.4184,20.5222,6187.3318645138,0
PSCF.US,D,20110406,000000,20.5634,20.6251,20.533,20.6085,9598.9905167503,0
PSCF.US,D,20110407,000000,20.6016,20.6016,20.3567,20.4038,15132.982603457,0
PSCF.US,D,20110408,000000,20.297,20.297,20.0736,20.0736,4822.4642349387,0
PSCF.US,D,20110411,000000,20.1823,20.2558,20.0521,20.0825,7971.7661326495,0
PSCF.US,D,20110412,000000,20.0002,20.0903,19.9619,19.9619,8711.8775996966,0
PSCF.US,D,20110413,000000,19.865,19.9286,19.7621,19.8061,6333.3124711176,0
PSCF.US,D,20110414,000000,19.6592,19.9619,19.6592,19.9619,11435.48779843,0
PSCF.US,D,20110415,000000,19.8914,20.2157,19.8914,20.2157,7313.3221378283,0
PSCF.US,D,20110418,000000,19.9854,19.9854,19.8267,19.8856,7782.9101031271,0
PSCF.US,D,20110419,000000,20.0736,20.0736,19.8415,19.9012,9965.473298364,0
PSCF.US,D,20110420,000000,20.1951,20.1951,19.0587,20.0667,9062.0268868651,0
PSCF.US,D,20110421,000000,20.0903,20.2078,20.0903,20.2078,6888.6512822536,0
PSCF.US,D,20110425,000000,20.3058,20.3185,20.1882,20.3185,4955.1738773058,0
PSCF.US,D,20110426,000000,20.3499,20.6085,20.3499,20.5937,7196.9459899064,0
PSCF.US,D,20110427,000000,20.6712,20.6712,20.5879,20.6359,4858.1937540375,0
PSCF.US,D,20110428,000000,20.7887,20.8905,20.7887,20.8749,4598.8995297203,0
PSCF.US,D,20110429,000000,20.8719,20.9513,20.8719,20.9288,5291.0313568347,0
PSCF.US,D,20110502,000000,20.918,20.918,20.7613,20.7887,9976.702575795,0
PSCF.US,D,20110503,000000,20.7613,20.7887,20.4576,20.6525,5111.3629179378,0
