<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCH.US,D,20110323,000000,9.70633,9.764,9.601,9.74467,75246,0
PSCH.US,D,20110324,000000,9.75433,9.81867,9.73533,9.81867,29535,0
PSCH.US,D,20110325,000000,9.82833,9.94667,9.82167,9.86667,57444,0
PSCH.US,D,20110328,000000,9.86033,9.89867,9.85367,9.876,43089,0
PSCH.US,D,20110329,000000,9.86333,9.966,9.86333,9.94033,219714,0
PSCH.US,D,20110330,000000,9.99467,10.0843,9.98467,10.078,564165,0
PSCH.US,D,20110331,000000,10.095,10.137,10.056,10.137,77577,0
PSCH.US,D,20110401,000000,10.1327,10.2257,10.1327,10.1807,73413,0
PSCH.US,D,20110404,000000,10.2513,10.3023,10.2383,10.293,52419,0
PSCH.US,D,20110405,000000,10.3023,10.4337,10.3023,10.3763,56742,0
PSCH.US,D,20110406,000000,10.4177,10.4593,10.3217,10.3667,133386,0
PSCH.US,D,20110407,000000,10.357,10.357,10.2897,10.328,59778,0
PSCH.US,D,20110408,000000,10.3697,10.3697,10.1807,10.203,53268,0
PSCH.US,D,20110411,000000,10.2417,10.3507,10.2417,10.3023,115893,0
PSCH.US,D,20110412,000000,10.3603,10.3603,10.2673,10.28,104895,0
PSCH.US,D,20110413,000000,10.3603,10.3603,10.2607,10.3057,56919,0
PSCH.US,D,20110414,000000,10.264,10.386,10.264,10.386,24177,0
PSCH.US,D,20110415,000000,10.3507,10.5203,10.3507,10.5203,55800,0
PSCH.US,D,20110418,000000,10.5233,10.5233,10.325,10.344,117036,0
PSCH.US,D,20110419,000000,10.4053,10.4433,10.3153,10.3537,414573,0
PSCH.US,D,20110420,000000,10.5397,10.5397,10.453,10.5233,279327,0
PSCH.US,D,20110421,000000,10.5907,10.639,10.5907,10.613,63849,0
PSCH.US,D,20110425,000000,10.7603,10.7603,10.4977,10.562,121581,0
PSCH.US,D,20110426,000000,10.6677,10.7697,10.6357,10.735,240768,0
PSCH.US,D,20110427,000000,10.8437,11.02,10.7793,11.0103,632067,0
PSCH.US,D,20110428,000000,11.1003,11.1003,10.9333,11.039,192480,0
PSCH.US,D,20110429,000000,11.101,11.101,10.9263,10.939,117486,0
PSCH.US,D,20110502,000000,10.9623,11.0423,10.9207,10.9783,910692,0
PSCH.US,D,20110503,000000,10.9657,10.9657,10.725,10.7827,570360,0
PSCH.US,D,20110504,000000,10.8403,10.8403,10.6197,10.6263,1130169,0
PSCH.US,D,20110505,000000,10.607,10.757,10.5203,10.5973,315837,0
PSCH.US,D,20110506,000000,10.725,10.8113,10.671,10.716,240591,0
PSCH.US,D,20110509,000000,10.7093,10.8467,10.687,10.831,326808,0
PSCH.US,D,20110510,000000,10.895,10.9493,10.8563,10.9267,462918,0
PSCH.US,D,20110511,000000,10.959,10.959,10.7537,10.8403,153363,0
PSCH.US,D,20110512,000000,10.773,10.9237,10.7093,10.9043,165177,0
PSCH.US,D,20110513,000000,10.9237,10.9367,10.7827,10.8277,354528,0
PSCH.US,D,20110516,000000,10.7793,10.8983,10.735,10.7537,142857,0
PSCH.US,D,20110517,000000,10.6357,10.735,10.6293,10.7283,126201,0
PSCH.US,D,20110518,000000,10.7503,10.8563,10.7283,10.8533,242943,0
PSCH.US,D,20110519,000000,10.9267,11.0133,10.8083,10.8983,180891,0
PSCH.US,D,20110520,000000,10.8563,10.901,10.7633,10.837,161805,0
PSCH.US,D,20110523,000000,10.821,10.821,10.5847,10.6357,250032,0
PSCH.US,D,20110524,000000,10.642,10.642,10.549,10.5717,253665,0
PSCH.US,D,20110525,000000,10.549,10.703,10.549,10.6837,121050,0
PSCH.US,D,20110526,000000,10.7,10.8627,10.6677,10.8627,47259,0
PSCH.US,D,20110527,000000,10.9043,10.9043,10.8147,10.8563,92469,0
