<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCI.US,D,20110323,000000,26.9256,27.1784,26.7353,27.1525,3274.7081664852,0
PSCI.US,D,20110324,000000,27.6204,27.6204,27.1077,27.1694,4282.2334091185,0
PSCI.US,D,20110325,000000,27.5945,27.7159,27.5238,27.5238,125775.91540913,0
PSCI.US,D,20110328,000000,27.3775,27.3775,27.3516,27.3695,1392.25322661,0
PSCI.US,D,20110329,000000,27.2322,27.4223,27.2322,27.3945,3318.9066816157,0
PSCI.US,D,20110330,000000,27.6682,27.7976,27.5686,27.7508,18184.675441068,0
PSCI.US,D,20110331,000000,27.931,28.0345,27.8952,28.0345,1417.3660192977,0
PSCI.US,D,20110401,000000,28.3272,28.3471,28.0027,28.0505,5632.297144013,0
PSCI.US,D,20110404,000000,28.2176,28.2545,28.1918,28.2176,3222.4735576946,0
PSCI.US,D,20110405,000000,28.1092,28.4556,28.1092,28.3192,2278.2325526345,0
PSCI.US,D,20110406,000000,28.5462,28.5462,28.2824,28.3571,3249.5953737974,0
PSCI.US,D,20110407,000000,28.2545,28.3849,28.146,28.146,4467.0635633005,0
PSCI.US,D,20110408,000000,28.164,28.164,27.5238,27.6204,13834.135235838,0
PSCI.US,D,20110411,000000,27.6124,27.6682,27.4313,27.5507,4106.4438603041,0
PSCI.US,D,20110412,000000,27.1973,27.3058,27.1256,27.1425,3402.2811533391,0
PSCI.US,D,20110413,000000,27.1525,27.1525,26.7543,26.8648,4705.1328379806,0
PSCI.US,D,20110414,000000,26.7543,26.8996,26.7155,26.828,1387.2306680724,0
PSCI.US,D,20110415,000000,26.9344,27.242,26.8818,27.1884,5876.3934889381,0
PSCI.US,D,20110418,000000,26.9793,26.9793,26.6528,26.6617,3886.4557963593,0
PSCI.US,D,20110419,000000,26.9703,26.9703,26.583,26.6806,6637.8133632313,0
PSCI.US,D,20110420,000000,27.1525,27.2142,26.9982,27.2142,1770.9541403415,0
PSCI.US,D,20110421,000000,27.259,27.3257,27.259,27.277,1928.6624784207,0
PSCI.US,D,20110425,000000,27.2322,27.2322,27.1157,27.1157,1055.7418045938,0
PSCI.US,D,20110426,000000,27.4412,27.7508,27.4412,27.7508,1713.6969730134,0
PSCI.US,D,20110427,000000,27.6393,27.6881,27.6034,27.6881,1304.8607080565,0
PSCI.US,D,20110428,000000,27.6961,27.7886,27.6961,27.7886,2301.3363219072,0
PSCI.US,D,20110429,000000,28.0047,28.0345,27.9499,27.9967,1907.567732563,0
PSCI.US,D,20110502,000000,27.939,28.0594,27.8494,27.8494,2275.2190175119,0
PSCI.US,D,20110503,000000,27.6781,27.7159,27.3945,27.476,7434.3911472874,0
PSCI.US,D,20110504,000000,27.2869,27.3257,27.0987,27.2142,2164.7227296858,0
PSCI.US,D,20110505,000000,27.1157,27.1157,26.9514,27.1157,936.20491140006,0
PSCI.US,D,20110506,000000,27.4501,27.5138,27.251,27.251,1930.6715018357,0
PSCI.US,D,20110509,000000,27.2052,27.485,27.2052,27.476,2119.5197028478,0
PSCI.US,D,20110510,000000,27.8932,27.9947,27.8932,27.911,3207.405882082,0
PSCI.US,D,20110511,000000,27.8682,27.92,27.4501,27.476,5537.873043507,0
PSCI.US,D,20110512,000000,27.3516,27.7429,27.269,27.6592,3116.999828406,0
PSCI.US,D,20110513,000000,27.495,27.5138,27.1525,27.251,1507.7720729737,0
PSCI.US,D,20110516,000000,26.9982,27.1973,26.9424,27.0071,5905.524328456,0
PSCI.US,D,20110517,000000,26.7453,26.8031,26.61,26.6528,4609.704225767,0
PSCI.US,D,20110518,000000,26.7453,26.9614,26.7453,26.9614,3048.6930322953,0
PSCI.US,D,20110519,000000,26.9424,27.3257,26.9424,27.0719,1631.3270129975,0
PSCI.US,D,20110520,000000,26.8369,26.9703,26.7353,26.9703,3083.8509420581,0
PSCI.US,D,20110523,000000,26.2456,26.4636,26.157,26.4357,9300.7738998424,0
PSCI.US,D,20110524,000000,26.4089,26.4089,26.1749,26.2914,2183.8084521285,0
PSCI.US,D,20110525,000000,26.3093,26.4895,26.2914,26.4895,2791.5380351725,0
PSCI.US,D,20110526,000000,26.3461,26.6985,26.2734,26.6985,5218.4383205186,0
PSCI.US,D,20110527,000000,26.8986,26.8986,26.818,26.818,1465.5825812582,0
PSCI.US,D,20110531,000000,26.9464,27.3018,26.9464,27.3018,1418.3705310052,0
PSCI.US,D,20110601,000000,26.9614,26.9614,26.5362,26.5362,1700.6383208158,0
PSCI.US,D,20110602,000000,26.4636,26.5174,26.3192,26.4179,2196.8671043261,0
PSCI.US,D,20110603,000000,25.8752,26.0674,25.7419,25.8832,2655.9289546585,0
PSCI.US,D,20110606,000000,25.7677,25.8305,25.5856,25.6324,6846.7517983936,0
PSCI.US,D,20110607,000000,25.6742,25.7817,25.6742,25.7817,1829.2158193772,0
PSCI.US,D,20110608,000000,25.3397,25.6015,25.3397,25.4103,2969.3366074019,0
PSCI.US,D,20110609,000000,25.5208,25.5388,25.4571,25.4571,1967.8384350136,0
PSCI.US,D,20110610,000000,25.0231,25.2382,25.0231,25.1844,3621.2647055764,0
PSCI.US,D,20110613,000000,25.2063,25.2063,25.0977,25.0977,560.51753279102,0
PSCI.US,D,20110614,000000,25.6194,25.7011,25.6015,25.6821,1630.32250129,0
PSCI.US,D,20110615,000000,25.4193,25.5926,25.286,25.3745,1590.1420329896,0
PSCI.US,D,20110616,000000,25.4193,25.6015,25.4193,25.5208,5339.9842371274,0
PSCI.US,D,20110617,000000,25.6294,25.7647,25.3925,25.3925,4024.0739002882,0
PSCI.US,D,20110620,000000,25.3486,25.7479,25.3486,25.5388,1110.9899485069,0
PSCI.US,D,20110621,000000,26.1729,26.1729,25.9828,26.1301,2259.1468301918,0
PSCI.US,D,20110622,000000,26.148,26.1729,26.148,26.1729,777.49206161335,0
PSCI.US,D,20110623,000000,25.6463,25.9638,25.5646,25.9638,13946.64054708,0
PSCI.US,D,20110624,000000,25.945,25.945,25.8105,25.8374,1574.0698456694,0
PSCI.US,D,20110627,000000,25.926,26.1112,25.926,26.1112,2066.2805823497,0
