<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCM.US,D,20110323,000000,25.6388,25.9492,25.5302,25.9492,2971.4475172905,0
PSCM.US,D,20110324,000000,26.5553,26.5553,25.8079,26.1094,3835.6493654034,0
PSCM.US,D,20110325,000000,26.3851,26.5921,26.3622,26.4767,3235.7325010739,0
PSCM.US,D,20110328,000000,26.4129,26.4129,26.2259,26.2259,336.63676641607,0
PSCM.US,D,20110329,000000,26.3951,26.6001,26.3951,26.6001,219.06511963792,0
PSCM.US,D,20110330,000000,26.813,26.813,26.7334,26.7334,1680.1691744707,0
PSCM.US,D,20110331,000000,27.0468,27.0468,27.0369,27.0369,562.73608714329,0
PSCM.US,D,20110401,000000,27.1952,27.4857,27.1156,27.4857,2522.2635334458,0
PSCM.US,D,20110404,000000,27.4111,27.421,27.3842,27.421,1069.1985655722,0
PSCM.US,D,20110405,000000,27.8311,27.8311,27.6409,27.6409,671.26376109235,0
PSCM.US,D,20110406,000000,27.7683,27.7683,27.7145,27.7145,1120.4477449371,0
PSCM.US,D,20110407,000000,27.7335,27.7335,27.5365,27.5365,1372.6740982817,0
PSCM.US,D,20110408,000000,27.3394,27.3663,26.9234,26.9592,4446.6199743019,0
PSCM.US,D,20110411,000000,26.8956,26.8956,26.4299,26.4299,1347.5519515342,0
PSCM.US,D,20110412,000000,26.0378,26.3263,26.0378,26.0746,2915.1739085762,0
PSCM.US,D,20110413,000000,25.9124,25.9124,25.9124,25.9124,1120.4477449371,0
PSCM.US,D,20110414,000000,25.7194,25.7194,25.7004,25.7194,449.18398384473,0
PSCM.US,D,20110415,000000,25.993,26.1622,25.993,26.1622,1253.0926797637,0
PSCM.US,D,20110418,000000,25.597,25.798,25.597,25.798,2244.9150333537,0
PSCM.US,D,20110419,000000,25.6666,25.8855,25.6666,25.8527,1151.5992069039,0
PSCM.US,D,20110420,000000,26.5195,26.5195,26.3533,26.3533,562.73608714329,0
PSCM.US,D,20110427,000000,26.9414,27.1076,26.6468,27.1076,3109.1168814667,0
PSCM.US,D,20110428,000000,27.1244,27.1414,27.1244,27.1414,5387.1931485271,0
PSCM.US,D,20110502,000000,27.3225,27.3225,26.9762,26.9762,4152.1884144215,0
PSCM.US,D,20110503,000000,26.7334,26.7334,26.4767,26.6647,526.56019582693,0
PSCM.US,D,20110504,000000,26.1901,26.3165,26.1711,26.1801,2609.688604127,0
PSCM.US,D,20110505,000000,25.9214,25.9681,25.9214,25.9681,562.73608714329,0
PSCM.US,D,20110506,000000,26.4945,26.4945,26.4767,26.4767,786.8256361307,0
PSCM.US,D,20110509,000000,26.2259,26.4767,26.2259,26.4767,1820.8531962565,0
PSCM.US,D,20110510,000000,26.7593,26.8498,26.7334,26.7941,1929.3808702055,0
PSCM.US,D,20110516,000000,25.9024,26.0746,25.9024,26.0746,841.08947310523,0
PSCM.US,D,20110517,000000,25.8855,25.9214,25.772,25.9214,982.77838076095,0
PSCM.US,D,20110523,000000,25.4556,25.5302,25.4556,25.5302,1235.0047341055,0
PSCM.US,D,20110524,000000,25.2835,25.3352,25.2835,25.3352,2522.2635334458,0
PSCM.US,D,20110525,000000,25.3352,25.7104,25.3352,25.7104,395.9250327401,0
PSCM.US,D,20110527,000000,26.0865,26.0865,26.0786,26.0786,672.26864696225,0
PSCM.US,D,20110531,000000,26.6299,26.6826,26.4309,26.6757,2075.0893213409,0
PSCM.US,D,20110601,000000,26.2099,26.2099,26.003,26.003,1468.138255922,0
PSCM.US,D,20110602,000000,25.9751,25.9751,25.9592,25.9592,278.35338596195,0
PSCM.US,D,20110603,000000,25.7273,25.7273,25.3452,25.4128,619.00969585761,0
PSCM.US,D,20110606,000000,25.0835,25.0835,25.0835,25.0835,449.18398384473,0
PSCM.US,D,20110608,000000,24.9163,24.9163,24.9163,24.9163,395.9250327401,0
PSCM.US,D,20110609,000000,25.2855,25.2855,25.2855,25.2855,562.73608714329,0
PSCM.US,D,20110610,000000,25.0575,25.0575,24.9013,24.9013,1132.5063753759,0
PSCM.US,D,20110613,000000,24.5958,24.5958,24.5958,24.5958,562.73608714329,0
PSCM.US,D,20110614,000000,24.9441,24.9441,24.9441,24.9441,219.06511963792,0
PSCM.US,D,20110615,000000,24.9441,25.0487,24.765,24.765,2218.7880007364,0
PSCM.US,D,20110617,000000,24.8735,25.0317,24.8735,24.8735,448.17909797483,0
PSCM.US,D,20110620,000000,24.9531,24.9531,24.9531,24.9531,309.50484792881,0
PSCM.US,D,20110621,000000,25.6248,25.6328,25.6078,25.6328,981.77349489105,0
PSCM.US,D,20110623,000000,25.0944,25.0944,25.0944,25.0944,107.52278807916,0
PSCM.US,D,20110624,000000,25.6158,25.6158,25.6158,25.6158,107.52278807916,0
PSCM.US,D,20110628,000000,25.9791,25.9791,25.9791,25.9791,394.9201468702,0
PSCM.US,D,20110629,000000,26.4259,26.4259,26.4159,26.4159,570.77517410248,0
PSCM.US,D,20110701,000000,26.9812,27.1544,26.9812,27.1454,4227.5548546639,0
PSCM.US,D,20110706,000000,27.0598,27.218,27.0428,27.218,736.58134263576,0
PSCM.US,D,20110707,000000,27.7215,27.7215,27.6957,27.7126,2353.4427073028,0
PSCM.US,D,20110708,000000,27.209,27.209,27.209,27.209,178.86968484197,0
PSCM.US,D,20110711,000000,26.9553,26.9553,26.8906,26.8906,219.06511963792,0
PSCM.US,D,20110713,000000,26.998,26.998,26.998,26.998,2802.6266911475,0
PSCM.US,D,20110715,000000,26.9454,26.9454,26.9454,26.9454,219.06511963792,0
PSCM.US,D,20110718,000000,26.3563,26.3563,26.3563,26.3563,394.9201468702,0
