<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCT.US,D,20110323,000000,9.89333,10,9.80633,10,20928,0
PSCT.US,D,20110324,000000,10.062,10.1567,9.99667,10.0947,39924,0
PSCT.US,D,20110325,000000,10.124,10.2923,10.124,10.189,65883,0
PSCT.US,D,20110328,000000,10.215,10.248,10.137,10.137,63096,0
PSCT.US,D,20110329,000000,10.098,10.257,10.098,10.2283,35832,0
PSCT.US,D,20110330,000000,10.299,10.3763,10.2667,10.3763,266937,0
PSCT.US,D,20110331,000000,10.3507,10.4123,10.3443,10.3927,59637,0
PSCT.US,D,20110401,000000,10.406,10.481,10.3797,10.3927,47184,0
PSCT.US,D,20110404,000000,10.4257,10.4583,10.3733,10.4027,352176,0
PSCT.US,D,20110405,000000,10.4123,10.5107,10.367,10.429,456540,0
PSCT.US,D,20110406,000000,10.4713,10.5233,10.4157,10.4843,222441,0
PSCT.US,D,20110407,000000,10.5397,10.5497,10.3927,10.4093,87330,0
PSCT.US,D,20110408,000000,10.4483,10.4483,10.2347,10.2797,65097,0
PSCT.US,D,20110411,000000,10.2923,10.2923,10.1437,10.1567,129915,0
PSCT.US,D,20110412,000000,10.062,10.114,9.971,9.971,68136,0
PSCT.US,D,20110413,000000,10.0163,10.0587,9.912,10,114462,0
PSCT.US,D,20110414,000000,9.90567,10.049,9.89,10.0423,114876,0
PSCT.US,D,20110415,000000,10.013,10.1307,9.98367,10.124,62163,0
PSCT.US,D,20110418,000000,9.94167,10.0063,9.849,9.89333,35703,0
PSCT.US,D,20110419,000000,9.95767,9.98033,9.86167,9.91533,40119,0
PSCT.US,D,20110420,000000,9.971,10.2083,9.971,10.2053,152751,0
PSCT.US,D,20110421,000000,10.2733,10.322,10.2347,10.3187,106872,0
PSCT.US,D,20110425,000000,10.2733,10.3153,10.2317,10.2733,51207,0
PSCT.US,D,20110426,000000,10.322,10.4583,10.2857,10.4257,42798,0
PSCT.US,D,20110427,000000,10.4123,10.53,10.406,10.504,433353,0
PSCT.US,D,20110428,000000,10.504,10.504,10.442,10.481,59814,0
PSCT.US,D,20110429,000000,10.514,10.6143,10.514,10.5947,37488,0
PSCT.US,D,20110502,000000,10.65,10.65,10.4157,10.4157,112977,0
PSCT.US,D,20110503,000000,10.4517,10.4517,10.1953,10.2767,191784,0
PSCT.US,D,20110504,000000,10.299,10.3287,10.137,10.2217,355455,0
PSCT.US,D,20110505,000000,10.124,10.332,10.124,10.192,32667,0
PSCT.US,D,20110506,000000,10.3153,10.3573,10.202,10.2667,44523,0
PSCT.US,D,20110509,000000,10.2083,10.3637,10.2083,10.3573,72858,0
PSCT.US,D,20110510,000000,10.4483,10.5847,10.4027,10.5847,46305,0
PSCT.US,D,20110511,000000,10.5783,10.5783,10.3603,10.4223,29943,0
PSCT.US,D,20110512,000000,10.338,10.5623,10.3057,10.5007,43098,0
PSCT.US,D,20110513,000000,10.494,10.543,10.3733,10.3733,178593,0
PSCT.US,D,20110516,000000,10.3023,10.383,10.147,10.147,77430,0
PSCT.US,D,20110517,000000,10.0553,10.1173,10.013,10.088,124305,0
PSCT.US,D,20110518,000000,10.062,10.322,10.062,10.2797,42981,0
PSCT.US,D,20110519,000000,10.248,10.3477,10.1857,10.27,43458,0
PSCT.US,D,20110520,000000,10.2283,10.2827,10.1537,10.2183,93714,0
PSCT.US,D,20110523,000000,10.0263,10.036,9.95767,9.96767,134601,0
PSCT.US,D,20110524,000000,9.987,10,9.85533,9.912,44409,0
PSCT.US,D,20110525,000000,9.80967,10.023,9.80967,9.98367,85584,0
PSCT.US,D,20110526,000000,9.96433,10.1173,9.95767,10.1047,85080,0
PSCT.US,D,20110527,000000,10.189,10.225,10.1273,10.176,32538,0
PSCT.US,D,20110531,000000,10.2183,10.3703,10.2183,10.3703,43749,0
PSCT.US,D,20110601,000000,10.3153,10.3153,10.1173,10.1207,47223,0
PSCT.US,D,20110602,000000,10.1107,10.1273,10.0523,10.0687,23007,0
PSCT.US,D,20110603,000000,9.89333,9.98033,9.88367,9.88367,43590,0
PSCT.US,D,20110606,000000,9.87133,9.88367,9.74433,9.764,36000,0
PSCT.US,D,20110607,000000,9.78333,9.83567,9.731,9.75733,83307,0
PSCT.US,D,20110608,000000,9.728,9.728,9.56933,9.61833,63069,0
PSCT.US,D,20110609,000000,9.631,9.71533,9.59867,9.67633,130944,0
PSCT.US,D,20110610,000000,9.615,9.615,9.43933,9.47833,40383,0
PSCT.US,D,20110613,000000,9.53333,9.53667,9.446,9.446,61080,0
PSCT.US,D,20110614,000000,9.504,9.68267,9.504,9.65033,30462,0
PSCT.US,D,20110615,000000,9.527,9.61833,9.47833,9.47833,96618,0
PSCT.US,D,20110616,000000,9.48133,9.553,9.371,9.45233,102780,0
PSCT.US,D,20110617,000000,9.504,9.52033,9.342,9.37733,377901,0
PSCT.US,D,20110620,000000,9.42033,9.48133,9.34533,9.423,15072,0
PSCT.US,D,20110621,000000,9.53333,9.728,9.52367,9.728,39390,0
PSCT.US,D,20110622,000000,9.67933,9.78033,9.66633,9.66967,20475,0
PSCT.US,D,20110623,000000,9.51033,9.774,9.48133,9.74433,85812,0
PSCT.US,D,20110624,000000,9.76733,9.77067,9.64367,9.65967,24357,0
PSCT.US,D,20110627,000000,9.62833,9.78033,9.59867,9.76733,23409,0
PSCT.US,D,20110628,000000,9.79667,9.90567,9.764,9.89633,33789,0
PSCT.US,D,20110629,000000,9.89,9.95133,9.85867,9.94167,48753,0
PSCT.US,D,20110630,000000,9.97067,10.101,9.97067,10.075,50919,0
PSCT.US,D,20110701,000000,10.137,10.2117,10.1337,10.1987,494709,0
PSCT.US,D,20110705,000000,10.1827,10.2317,10.1697,10.225,51123,0
PSCT.US,D,20110706,000000,10.1437,10.2347,10.1437,10.192,29418,0
PSCT.US,D,20110707,000000,10.2733,10.4027,10.257,10.354,34407,0
PSCT.US,D,20110708,000000,10.2347,10.2637,10.189,10.2603,16875,0
PSCT.US,D,20110711,000000,10.137,10.2053,10.0423,10.0523,35715,0
PSCT.US,D,20110712,000000,9.97433,9.99333,9.887,9.887,25005,0
PSCT.US,D,20110713,000000,9.95433,10.0553,9.95133,9.95433,21327,0
PSCT.US,D,20110714,000000,10.036,10.036,9.79333,9.80633,27708,0
PSCT.US,D,20110715,000000,9.839,9.849,9.73767,9.82267,35511,0
PSCT.US,D,20110718,000000,9.78667,9.78667,9.625,9.67933,36732,0
PSCT.US,D,20110719,000000,9.74433,9.961,9.74433,9.935,10365,0
PSCT.US,D,20110720,000000,9.97767,9.97767,9.829,9.87433,27747,0
PSCT.US,D,20110721,000000,9.89,9.92867,9.839,9.887,15345,0
PSCT.US,D,20110722,000000,9.86833,9.97767,9.85233,9.945,56763,0
PSCT.US,D,20110725,000000,9.82267,9.91867,9.82267,9.839,72543,0
PSCT.US,D,20110726,000000,9.81933,9.85233,9.79333,9.79333,28074,0
PSCT.US,D,20110727,000000,9.73767,9.73767,9.423,9.436,42435,0
PSCT.US,D,20110728,000000,9.34867,9.49767,9.34867,9.34867,155460,0
PSCT.US,D,20110729,000000,9.258,9.394,9.15067,9.29667,77967,0
PSCT.US,D,20110801,000000,9.41367,9.42033,9.14433,9.219,34980,0
PSCT.US,D,20110802,000000,9.21567,9.342,9.04433,9.04433,99774,0
PSCT.US,D,20110803,000000,9.041,9.14433,8.84867,9.141,135552,0
PSCT.US,D,20110804,000000,8.937,9.021,8.688,8.688,224358,0
PSCT.US,D,20110805,000000,8.76833,8.76833,8.34,8.53867,232650,0
PSCT.US,D,20110808,000000,8.289,8.421,7.84067,7.86067,135414,0
PSCT.US,D,20110809,000000,7.86067,8.26633,7.61,8.24667,108276,0
PSCT.US,D,20110810,000000,8.08033,8.165,7.87333,7.89267,49119,0
PSCT.US,D,20110811,000000,8.048,8.37567,7.90933,8.308,97632,0
PSCT.US,D,20110812,000000,8.33367,8.353,8.175,8.32067,53403,0
PSCT.US,D,20110815,000000,8.363,8.50633,8.363,8.50633,38130,0
PSCT.US,D,20110816,000000,8.44733,8.44733,8.26333,8.33033,42288,0
PSCT.US,D,20110817,000000,8.36933,8.40833,8.21733,8.276,26679,0
PSCT.US,D,20110818,000000,8.126,8.126,7.753,7.83133,59910,0
PSCT.US,D,20110819,000000,7.67533,7.85067,7.61333,7.656,30744,0
PSCT.US,D,20110822,000000,7.76933,7.84067,7.62333,7.67533,57945,0
PSCT.US,D,20110823,000000,7.76267,8.09333,7.70133,8.08667,39813,0
PSCT.US,D,20110824,000000,8.077,8.23367,8.019,8.175,104964,0
PSCT.US,D,20110825,000000,8.123,8.21733,7.90933,7.938,322668,0
PSCT.US,D,20110826,000000,7.867,8.15867,7.83133,8.12933,61404,0
PSCT.US,D,20110829,000000,8.227,8.513,8.227,8.503,265965,0
PSCT.US,D,20110830,000000,8.47033,8.56767,8.464,8.56767,18558,0
PSCT.US,D,20110831,000000,8.55967,8.61833,8.42,8.443,24348,0
PSCT.US,D,20110901,000000,8.503,8.57067,8.273,8.31467,16533,0
PSCT.US,D,20110902,000000,8.167,8.167,7.95933,7.95933,38721,0
PSCT.US,D,20110906,000000,7.698,7.906,7.636,7.906,111801,0
PSCT.US,D,20110907,000000,8.00933,8.24667,8.00933,8.24667,46863,0
PSCT.US,D,20110908,000000,8.165,8.286,8.048,8.11333,18561,0
PSCT.US,D,20110909,000000,8.01267,8.045,7.815,7.87967,25035,0
PSCT.US,D,20110912,000000,7.76933,7.95433,7.76933,7.82133,52509,0
PSCT.US,D,20110913,000000,8.045,8.11333,8.019,8.09667,31239,0
PSCT.US,D,20110914,000000,8.15233,8.39867,8.09667,8.34,11730,0
PSCT.US,D,20110915,000000,8.36933,8.40833,8.292,8.405,30171,0
PSCT.US,D,20110916,000000,8.421,8.45733,8.34967,8.40167,23661,0
PSCT.US,D,20110919,000000,8.24333,8.31133,8.188,8.276,44082,0
PSCT.US,D,20110920,000000,8.22367,8.31467,8.06367,8.06367,14310,0
PSCT.US,D,20110921,000000,8.04167,8.11967,7.84067,7.84067,40347,0
PSCT.US,D,20110922,000000,7.61333,7.71433,7.44833,7.533,98385,0
PSCT.US,D,20110923,000000,7.53633,7.73367,7.52,7.698,39189,0
PSCT.US,D,20110926,000000,7.743,7.743,7.55533,7.672,35004,0
PSCT.US,D,20110927,000000,7.89267,8.19433,7.89267,7.99667,36411,0
PSCT.US,D,20110928,000000,8.04167,8.04167,7.70467,7.71433,37809,0
PSCT.US,D,20110929,000000,7.83433,7.83733,7.594,7.75967,40911,0
PSCT.US,D,20110930,000000,7.69967,7.797,7.61167,7.61167,32430,0
PSCT.US,D,20111003,000000,7.471,7.60067,7.16,7.16,26541,0
PSCT.US,D,20111004,000000,7.066,7.62333,7.066,7.62333,1076403,0
PSCT.US,D,20111005,000000,7.61333,7.91567,7.581,7.88933,192777,0
PSCT.US,D,20111006,000000,7.919,8.05133,7.85067,8.048,46980,0
PSCT.US,D,20111007,000000,8.09667,8.14567,7.88933,7.98067,29604,0
PSCT.US,D,20111010,000000,8.09667,8.211,8.048,8.18167,28377,0
PSCT.US,D,20111011,000000,8.17167,8.30133,8.17167,8.26967,51258,0
PSCT.US,D,20111012,000000,8.353,8.48033,8.34967,8.42433,58827,0
PSCT.US,D,20111013,000000,8.38233,8.53533,8.353,8.50633,60912,0
PSCT.US,D,20111014,000000,8.59033,8.685,8.54467,8.63267,22389,0
PSCT.US,D,20111017,000000,8.57067,8.57067,8.35633,8.35967,16029,0
PSCT.US,D,20111018,000000,8.39867,8.652,8.24333,8.652,39690,0
PSCT.US,D,20111019,000000,8.577,8.577,8.405,8.40833,58770,0
PSCT.US,D,20111020,000000,8.40833,8.40833,8.15233,8.31767,56904,0
PSCT.US,D,20111021,000000,8.503,8.52533,8.40833,8.516,31056,0
PSCT.US,D,20111024,000000,8.717,8.885,8.53867,8.885,28005,0
PSCT.US,D,20111025,000000,8.84233,8.84233,8.58033,8.58033,23193,0
PSCT.US,D,20111026,000000,8.73633,8.77467,8.48367,8.76833,26052,0
PSCT.US,D,20111027,000000,9.021,9.29967,8.999,9.22233,42063,0
PSCT.US,D,20111028,000000,9.242,9.34533,9.23533,9.30267,26145,0
PSCT.US,D,20111031,000000,9.04,9.16333,9.04,9.05,19575,0
PSCT.US,D,20111101,000000,8.71367,8.81,8.61633,8.69133,95421,0
PSCT.US,D,20111102,000000,8.80367,8.87167,8.749,8.86533,18648,0
PSCT.US,D,20111103,000000,8.98933,9.19633,8.81933,9.19633,20055,0
PSCT.US,D,20111104,000000,9.07633,9.17633,9.011,9.15667,13266,0
PSCT.US,D,20111107,000000,9.19,9.19,8.96333,9.10867,15306,0
PSCT.US,D,20111108,000000,9.209,9.258,9.041,9.24833,14898,0
PSCT.US,D,20111109,000000,9.021,9.02433,8.81933,8.81933,19167,0
PSCT.US,D,20111110,000000,8.885,8.91767,8.749,8.85533,43488,0
PSCT.US,D,20111111,000000,8.95,9.164,8.95,9.121,32898,0
PSCT.US,D,20111114,000000,9.14433,9.14433,8.96333,9.00867,8781,0
PSCT.US,D,20111115,000000,8.94033,9.19633,8.924,9.18033,264069,0
PSCT.US,D,20111116,000000,9.154,9.242,9.06733,9.06733,18378,0
PSCT.US,D,20111117,000000,9.02767,9.02767,8.79733,8.85533,44910,0
PSCT.US,D,20111118,000000,8.85867,8.875,8.81333,8.85533,7881,0
PSCT.US,D,20111121,000000,8.639,8.675,8.54467,8.62933,40338,0
PSCT.US,D,20111122,000000,8.577,8.64867,8.487,8.51867,31368,0
PSCT.US,D,20111123,000000,8.41767,8.41767,8.26967,8.30467,43257,0
PSCT.US,D,20111125,000000,8.201,8.32067,8.165,8.16833,9120,0
PSCT.US,D,20111128,000000,8.42767,8.56767,8.42767,8.49633,30711,0
PSCT.US,D,20111129,000000,8.50967,8.58367,8.49333,8.516,31458,0
PSCT.US,D,20111130,000000,8.85767,9.03033,8.83467,9.03033,16131,0
PSCT.US,D,20111201,000000,9.077,9.077,8.97267,9.018,39720,0
PSCT.US,D,20111202,000000,9.13033,9.15667,8.98167,9.03667,43359,0
PSCT.US,D,20111205,000000,9.16067,9.277,9.15733,9.16733,13797,0
PSCT.US,D,20111206,000000,9.23133,9.23467,9.13367,9.23467,115389,0
PSCT.US,D,20111207,000000,9.04,9.22133,9.04,9.215,8973,0
PSCT.US,D,20111208,000000,9.173,9.173,8.94933,8.94933,16869,0
PSCT.US,D,20111209,000000,9.04,9.27633,9.04,9.27633,19587,0
PSCT.US,D,20111212,000000,9.02433,9.115,8.986,9.087,85473,0
PSCT.US,D,20111213,000000,9.22133,9.22133,8.90367,8.91,27876,0
PSCT.US,D,20111214,000000,8.803,8.83133,8.72567,8.79,131472,0
PSCT.US,D,20111215,000000,8.83233,8.862,8.82233,8.82567,16329,0
PSCT.US,D,20111216,000000,9.027,9.03033,8.85433,8.89733,16929,0
PSCT.US,D,20111219,000000,8.98833,9.011,8.75433,8.75433,20310,0
PSCT.US,D,20111220,000000,8.98167,9.137,8.83467,9.13367,32976,0
PSCT.US,D,20111221,000000,9.09867,9.09867,8.84467,8.972,35826,0
PSCT.US,D,20111222,000000,8.99833,9.15333,8.99833,9.11133,51459,0
PSCT.US,D,20111223,000000,9.108,9.15333,9.108,9.14,14877,0
PSCT.US,D,20111227,000000,9.089,9.238,9.089,9.215,23592,0
PSCT.US,D,20111228,000000,9.16333,9.16967,9.02033,9.02033,22575,0
PSCT.US,D,20111229,000000,9.089,9.15,9.089,9.14667,36675,0
PSCT.US,D,20111230,000000,9.108,9.15333,9.09533,9.09533,91449,0
PSCT.US,D,20120103,000000,9.254,9.302,9.16967,9.19567,1301961,0
PSCT.US,D,20120104,000000,9.14667,9.14667,9.02367,9.089,243714,0
PSCT.US,D,20120105,000000,9.09533,9.215,9.00467,9.19567,95835,0
PSCT.US,D,20120106,000000,9.20833,9.228,9.15333,9.17633,152775,0
PSCT.US,D,20120109,000000,9.18633,9.254,9.127,9.23467,64224,0
PSCT.US,D,20120110,000000,9.39,9.403,9.34467,9.37033,60123,0
PSCT.US,D,20120111,000000,9.40967,9.48733,9.36067,9.47133,152172,0
PSCT.US,D,20120112,000000,9.51967,9.54933,9.429,9.546,120735,0
PSCT.US,D,20120113,000000,9.42567,9.452,9.37033,9.4,73383,0
PSCT.US,D,20120117,000000,9.48133,9.52967,9.442,9.452,78045,0
PSCT.US,D,20120118,000000,9.46133,9.69833,9.46133,9.69833,444126,0
PSCT.US,D,20120119,000000,9.78633,9.86467,9.76033,9.793,344232,0
PSCT.US,D,20120120,000000,9.84867,9.86133,9.77667,9.86133,114084,0
PSCT.US,D,20120123,000000,9.842,9.90233,9.74733,9.832,65904,0
PSCT.US,D,20120124,000000,9.78,9.92833,9.78,9.90867,103371,0
PSCT.US,D,20120125,000000,9.84533,9.974,9.84533,9.93467,43857,0
PSCT.US,D,20120126,000000,9.96067,9.993,9.915,9.93167,81333,0
PSCT.US,D,20120127,000000,9.88667,10.0127,9.88667,9.98367,1090563,0
PSCT.US,D,20120130,000000,9.91167,9.93467,9.85833,9.88967,134325,0
PSCT.US,D,20120131,000000,9.97733,9.97733,9.832,9.88667,76245,0
PSCT.US,D,20120201,000000,9.90533,10.0847,9.87733,10.0717,41004,0
PSCT.US,D,20120202,000000,10.0913,10.1697,10.088,10.1303,21357,0
PSCT.US,D,20120203,000000,10.2957,10.429,10.2733,10.3797,405747,0
