<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCU.US,D,20110323,000000,19.7306,19.794,19.6583,19.794,4703.4210179589,0
PSCU.US,D,20110324,000000,19.7811,19.9564,19.7306,19.9306,35345.330466431,0
PSCU.US,D,20110325,000000,20.0782,20.1832,19.9802,19.9802,4828.6301648518,0
PSCU.US,D,20110328,000000,20.0495,20.0782,19.9742,19.9742,3085.799620198,0
PSCU.US,D,20110329,000000,19.8524,20.0406,19.8524,19.9802,5720.240460871,0
PSCU.US,D,20110330,000000,20.1268,20.2278,20.105,20.205,6071.6338731187,0
PSCU.US,D,20110331,000000,20.2426,20.3446,20.2426,20.3218,3546.2461603847,0
PSCU.US,D,20110401,000000,20.4912,20.5427,20.4526,20.4823,4199.5551768337,0
PSCU.US,D,20110404,000000,20.511,20.6031,20.511,20.5605,5712.1624513941,0
PSCU.US,D,20110405,000000,20.6031,20.6744,20.5179,20.5793,7110.6678420925,0
PSCU.US,D,20110406,000000,20.7377,20.8051,20.7189,20.7189,5483.95868367,0
PSCU.US,D,20110407,000000,20.7299,20.7299,20.5041,20.5041,6967.2831738765,0
PSCU.US,D,20110408,000000,20.5467,20.5467,20.2733,20.2733,10246.955021522,0
PSCU.US,D,20110411,000000,20.306,20.3486,20.1684,20.1902,7364.115389432,0
PSCU.US,D,20110412,000000,20.198,20.198,19.9435,19.9435,11498.036739266,0
PSCU.US,D,20110413,000000,20.0069,20.0069,19.8158,19.8643,4868.0104610519,0
PSCU.US,D,20110414,000000,19.7673,20.0406,19.7435,20.0128,9333.1301994406,0
PSCU.US,D,20110415,000000,19.9356,20.3486,19.9356,20.3486,4027.8974754483,0
PSCU.US,D,20110418,000000,20.0703,20.0703,19.9227,19.9514,4294.4717881879,0
PSCU.US,D,20110419,000000,20.1902,20.1902,19.9653,20.003,8256.7354366359,0
PSCU.US,D,20110420,000000,20.2594,20.3268,20.2278,20.3268,3209.9990159063,0
PSCU.US,D,20110421,000000,20.3416,20.4823,20.298,20.3951,10866.942248878,0
PSCU.US,D,20110425,000000,20.3822,20.3822,20.306,20.3486,2554.670497088,0
PSCU.US,D,20110426,000000,20.412,20.6031,20.3951,20.6031,3601.7824755387,0
PSCU.US,D,20110427,000000,20.6229,20.7239,20.6229,20.6427,4531.7633165736,0
PSCU.US,D,20110428,000000,20.7813,21.0022,20.7813,21.0022,5050.7754254681,0
PSCU.US,D,20110429,000000,21.0735,21.1161,21.0666,21.0666,3239.2818002602,0
PSCU.US,D,20110502,000000,21.0784,21.122,20.9814,21.0062,8433.4418939444,0
PSCU.US,D,20110503,000000,21.0349,21.0349,20.9359,20.9586,2956.5514685667,0
PSCU.US,D,20110504,000000,20.9745,20.9745,20.8517,20.8873,3813.8302243089,0
PSCU.US,D,20110505,000000,20.7665,20.9507,20.7299,20.8249,6110.0044181343,0
PSCU.US,D,20110506,000000,21.0527,21.0666,20.9438,20.9883,3780.5084352164,0
PSCU.US,D,20110509,000000,20.917,21.2002,20.917,21.2002,4552.9680914506,0
PSCU.US,D,20110510,000000,21.4052,21.5182,21.3914,21.4825,5860.5958755332,0
PSCU.US,D,20110511,000000,21.4478,21.4677,21.223,21.236,9825.8887775351,0
PSCU.US,D,20110512,000000,21.2636,21.4825,21.223,21.4825,6889.5323326607,0
PSCU.US,D,20110513,000000,21.3766,21.434,21.236,21.3835,5765.6792641789,0
PSCU.US,D,20110516,000000,21.3122,21.3122,21.1716,21.1716,2606.1678075036,0
PSCU.US,D,20110517,000000,21.0022,21.2072,21.0022,21.1854,4891.2347382982,0
PSCU.US,D,20110518,000000,21.1478,21.2924,21.1478,21.2924,5279.9889443768,0
PSCU.US,D,20110519,000000,21.3984,21.4964,21.229,21.3696,5739.4257333788,0
PSCU.US,D,20110520,000000,21.2002,21.3062,21.1854,21.1854,2903.0346557819,0
PSCU.US,D,20110523,000000,20.917,21.0596,20.917,21.0022,4944.751551083,0
PSCU.US,D,20110524,000000,21.0062,21.0062,20.8645,20.9101,2253.7646440713,0
PSCU.US,D,20110525,000000,20.8319,21.0854,20.7953,21.0854,2890.9176415664,0
PSCU.US,D,20110526,000000,20.9319,21.1854,20.917,21.1854,3779.4986840318,0
PSCU.US,D,20110527,000000,21.2746,21.2746,21.2596,21.2666,2715.2209354426,0
PSCU.US,D,20110531,000000,21.6113,21.6905,21.4657,21.6905,34106.365762902,0
PSCU.US,D,20110601,000000,21.6519,21.6519,21.2984,21.335,3513.9341224768,0
PSCU.US,D,20110602,000000,21.0349,21.0854,21.0022,21.0854,7297.4718112471,0
PSCU.US,D,20110603,000000,20.8953,20.9101,20.6971,20.8368,7907.3615267575,0
PSCU.US,D,20110606,000000,20.817,20.8319,20.7189,20.7189,6111.0141693189,0
PSCU.US,D,20110607,000000,20.6981,20.8259,20.6517,20.7467,9330.1009458867,0
PSCU.US,D,20110608,000000,20.6843,20.818,20.6843,20.7239,3931.9711129094,0
PSCU.US,D,20110609,000000,20.7387,20.7547,20.6517,20.6517,234749.98465396,0
PSCU.US,D,20110610,000000,20.5675,20.5951,20.4823,20.4823,5869.6836361948,0
PSCU.US,D,20110613,000000,20.5675,20.6309,20.5536,20.5873,2966.6489804129,0
PSCU.US,D,20110614,000000,20.6665,20.7833,20.6665,20.7833,2646.5578548884,0
PSCU.US,D,20110615,000000,20.5793,20.6595,20.4456,20.4912,22099.414426588,0
PSCU.US,D,20110616,000000,20.7615,20.7615,20.6595,20.6595,3765.3621674471,0
PSCU.US,D,20110617,000000,20.7972,20.8972,20.7071,20.7685,37608.182871163,0
PSCU.US,D,20110620,000000,20.6595,20.7467,20.6595,20.7387,1915.4979972237,0
PSCU.US,D,20110621,000000,21.0378,21.0755,20.9765,21.0151,6274.5938612273,0
PSCU.US,D,20110622,000000,20.9121,21.024,20.9121,20.9249,1945.7905327623,0
