<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSET.US,D,20161101,000000,23.342,23.3618,23.342,23.3618,1251.7420091465,0
PSET.US,D,20161103,000000,23.1129,23.1129,23.1129,23.1129,217.86968088287,0
PSET.US,D,20161115,000000,23.7742,23.8079,23.7742,23.8079,3514.1572601664,0
PSET.US,D,20161215,000000,24.5812,24.5812,24.5812,24.5812,278.38903668367,0
PSET.US,D,20161223,000000,24.493,24.5129,24.493,24.5129,16130.425632773,0
PSET.US,D,20161230,000000,24.3929,24.3929,24.3799,24.3799,301.58812307398,0
PSET.US,D,20170103,000000,24.4593,24.4593,24.4593,24.4593,100.86559300133,0
PSET.US,D,20170119,000000,24.7012,24.7389,24.7012,24.7389,228.96489611302,0
PSET.US,D,20170210,000000,25.3277,25.3654,25.3089,25.3654,2732.4489144061,0
PSET.US,D,20170315,000000,26.1497,26.1497,26.1497,26.1497,532.57033104703,0
PSET.US,D,20170317,000000,26.1497,26.1497,26.1497,26.1497,100.86559300133,0
PSET.US,D,20170320,000000,26.1754,26.1754,26.1754,26.1754,100.86559300133,0
PSET.US,D,20170405,000000,25.9464,26.1903,25.9464,26.1903,380.26328561502,0
PSET.US,D,20170407,000000,25.771,25.7808,25.6936,25.7213,6611.7396212372,0
PSET.US,D,20170417,000000,25.7412,25.7412,25.7412,25.7412,1065.1406620941,0
PSET.US,D,20170418,000000,25.8334,25.8334,25.8334,25.8334,425.65280246562,0
PSET.US,D,20170420,000000,25.9464,26.106,25.9464,26.106,321.76124167425,0
PSET.US,D,20170421,000000,26.1239,26.1239,26.1239,26.1239,155.33301322205,0
PSET.US,D,20170427,000000,26.5462,26.5651,26.5462,26.5561,2826.2539158973,0
PSET.US,D,20170504,000000,26.4431,26.4431,26.4431,26.4431,748.42270006988,0
PSET.US,D,20170519,000000,26.6038,26.6186,26.6038,26.6186,425.65280246562,0
PSET.US,D,20170530,000000,27.1758,27.1758,27.1718,27.1718,1201.3092126459,0
PSET.US,D,20170629,000000,27.5406,27.5406,27.5406,27.5406,317.72661795419,0
PSET.US,D,20170727,000000,27.5228,27.5228,27.5228,27.5228,321.76124167425,0
PSET.US,D,20170802,000000,27.5496,27.5496,27.5496,27.5496,453.89516850599,0
PSET.US,D,20170803,000000,27.6081,27.6081,27.5763,27.5793,904.76436922194,0
PSET.US,D,20170810,000000,27.383,27.383,27.3275,27.3275,625.36667660825,0
PSET.US,D,20170817,000000,27.496,27.496,27.496,27.496,434.73070583574,0
PSET.US,D,20170911,000000,28.1781,28.1781,28.1434,28.1434,308.64871458407,0
PSET.US,D,20170914,000000,28.0125,28.0125,27.9748,27.9937,4580.3065781904,0
PSET.US,D,20170915,000000,28.071,28.081,28.0423,28.0621,5856.2563296573,0
PSET.US,D,20170926,000000,28.1087,28.1087,28.1087,28.1087,1811.5460503039,0
PSET.US,D,20170927,000000,28.081,28.081,28.081,28.081,1811.5460503039,0
PSET.US,D,20170929,000000,28.2951,28.305,28.2861,28.2951,60702.931180061,0
PSET.US,D,20171003,000000,28.3823,28.3823,28.3823,28.3823,159.3676369421,0
PSET.US,D,20171005,000000,28.6134,28.6134,28.6134,28.6134,160.37629287212,0
PSET.US,D,20171006,000000,28.5965,28.5965,28.5965,28.5965,100.86559300133,0
PSET.US,D,20171010,000000,28.5955,28.5955,28.5856,28.5856,8765.2200318157,0
PSET.US,D,20171019,000000,28.759,28.8483,28.759,28.8483,9241.3056307819,0
