<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSL.US,D,20061012,000000,21.8299,21.8994,21.8299,21.8994,33884.674020496,0
PSL.US,D,20061013,000000,21.8824,21.8824,21.8636,21.8636,806.41794485785,0
PSL.US,D,20061016,000000,21.9082,21.9082,21.9082,21.9082,1838.6329142759,0
PSL.US,D,20061017,000000,21.8467,21.9876,21.8209,21.9876,40339.041646652,0
PSL.US,D,20061018,000000,22.0054,22.0054,21.935,21.9787,22246.047031335,0
PSL.US,D,20061019,000000,21.8824,21.9519,21.8735,21.9439,29157.048818767,0
PSL.US,D,20061020,000000,21.9787,22.0054,21.935,22.0054,2767.0215732935,0
PSL.US,D,20061023,000000,22.0392,22.0392,22.0392,22.0392,228.82109185342,0
PSL.US,D,20061024,000000,22.0491,22.0669,22.0392,22.0669,1614.8519345779,0
PSL.US,D,20061025,000000,22.1235,22.1334,22.0898,22.0898,28582.476033055,0
PSL.US,D,20061026,000000,22.1334,22.2456,22.1334,22.2456,1725.7344019958,0
PSL.US,D,20061027,000000,22.1523,22.2207,22.1523,22.2207,1838.6329142759,0
PSL.US,D,20061030,000000,22.0312,22.0669,22.0312,22.0669,576.58883057337,0
PSL.US,D,20061031,000000,22.1602,22.1602,22.0491,22.0491,3803.2686324359,0
PSL.US,D,20061101,000000,22.0154,22.0154,21.8467,21.8467,7602.5051751474,0
PSL.US,D,20061102,000000,21.7852,21.7852,21.7852,21.7852,228.82109185342,0
PSL.US,D,20061103,000000,21.684,21.684,21.6662,21.6662,1038.2631040045,0
PSL.US,D,20061106,000000,21.8557,21.8557,21.8557,21.8557,108.86642255581,0
PSL.US,D,20061107,000000,21.9172,21.9439,21.9082,21.9082,174381.83244093,0
PSL.US,D,20061108,000000,21.9261,22.1067,21.9261,22.0977,69616.045134716,0
PSL.US,D,20061110,000000,22.0054,22.0154,22.0054,22.0154,3576.4635854446,0
PSL.US,D,20061114,000000,22.0581,22.1602,22.0392,22.1602,12215.215819735,0
PSL.US,D,20061116,000000,22.3408,22.3408,22.3408,22.3408,346.75971628888,0
PSL.US,D,20061117,000000,22.2783,22.2872,22.2534,22.2872,1149.1455714224,0
PSL.US,D,20061120,000000,22.3507,22.3507,22.3408,22.3507,1838.6329142759,0
PSL.US,D,20061121,000000,22.3586,22.3586,22.3319,22.3319,2421.2698794357,0
PSL.US,D,20061122,000000,22.3586,22.3586,22.3586,22.3586,461.67427343112,0
PSL.US,D,20061124,000000,22.3229,22.3229,22.3229,22.3229,346.75971628888,0
PSL.US,D,20061127,000000,22.0581,22.0581,22.0581,22.0581,108.86642255581,0
PSL.US,D,20061129,000000,22.2783,22.3139,22.2783,22.3139,228.82109185342,0
PSL.US,D,20061130,000000,22.2872,22.3774,22.2872,22.3774,1383.0067754312,0
PSL.US,D,20061201,000000,22.2534,22.2614,22.1235,22.2614,7602.5051751474,0
PSL.US,D,20061204,000000,22.4628,22.5908,22.4291,22.5908,21898.279292615,0
PSL.US,D,20061205,000000,22.7247,22.7584,22.7078,22.7584,3452.4768264227,0
PSL.US,D,20061206,000000,22.7158,22.7158,22.7158,22.7158,108.86642255581,0
PSL.US,D,20061207,000000,22.7584,22.7584,22.689,22.689,2077.53423044,0
PSL.US,D,20061208,000000,22.7336,22.7336,22.7336,22.7336,108.86642255581,0
PSL.US,D,20061211,000000,22.7495,22.7495,22.7495,22.7495,1149.1455714224,0
PSL.US,D,20061214,000000,23.0015,23.0015,22.933,22.933,1725.7344019958,0
PSL.US,D,20061215,000000,22.7078,22.7078,22.7078,22.7078,6225.5465343026,0
PSL.US,D,20061218,000000,22.6989,22.6989,22.5908,22.5908,1149.1455714224,0
PSL.US,D,20061219,000000,22.6166,22.6701,22.5828,22.6701,4725.609156867,0
PSL.US,D,20061220,000000,22.6701,22.7078,22.6701,22.6701,1149.1455714224,0
PSL.US,D,20061222,000000,22.689,22.689,22.689,22.689,461.67427343112,0
PSL.US,D,20061226,000000,22.7406,22.7931,22.7247,22.7931,1038.2631040045,0
PSL.US,D,20061227,000000,22.8626,22.9063,22.8626,22.9063,21898.279292615,0
PSL.US,D,20061228,000000,22.9151,22.933,22.8973,22.8973,576.58883057337,0
PSL.US,D,20061229,000000,22.8894,22.8894,22.8279,22.8279,692.51141014668,0
PSL.US,D,20070103,000000,22.8546,22.8546,22.6989,22.6989,346.75971628888,0
PSL.US,D,20070104,000000,22.8199,22.8546,22.6701,22.8546,4840.5237140093,0
PSL.US,D,20070105,000000,22.689,22.689,22.6453,22.6543,576.58883057337,0
PSL.US,D,20070108,000000,22.5908,22.6453,22.5908,22.6354,2077.53423044,0
PSL.US,D,20070109,000000,22.7078,22.7336,22.7078,22.7336,806.41794485785,0
PSL.US,D,20070110,000000,22.7158,22.8279,22.7158,22.8279,461.67427343112,0
PSL.US,D,20070111,000000,22.9063,23.069,22.9063,23.0431,2306.3553222935,0
PSL.US,D,20070112,000000,23.0788,23.0788,23.0342,23.061,1038.2631040045,0
PSL.US,D,20070116,000000,23.061,23.061,23.0263,23.0263,461.67427343112,0
PSL.US,D,20070117,000000,23.0431,23.0868,23.0183,23.0263,4263.9348834359,0
PSL.US,D,20070118,000000,23.0431,23.0788,22.933,23.0521,3803.2686324359,0
PSL.US,D,20070119,000000,23.0104,23.061,22.9926,23.061,921.3325020001,0
PSL.US,D,20070122,000000,23.1681,23.1681,23.0788,23.1315,3340.5863365737,0
PSL.US,D,20070123,000000,23.1493,23.2296,23.1493,23.185,4379.8574630092,0
PSL.US,D,20070124,000000,23.2346,23.2346,23.1681,23.185,8068.2115383028,0
PSL.US,D,20070125,000000,23.2703,23.2703,23.0868,23.0868,5069.3448058627,0
PSL.US,D,20070126,000000,23.1582,23.1681,23.061,23.1681,3576.4635854446,0
PSL.US,D,20070129,000000,23.2613,23.2613,23.2346,23.2613,1383.0067754312,0
PSL.US,D,20070130,000000,23.2435,23.2535,23.2296,23.2346,1960.6036284357,0
PSL.US,D,20070131,000000,23.2435,23.305,23.2435,23.305,3803.2686324359,0
PSL.US,D,20070201,000000,23.444,23.4618,23.444,23.4618,806.41794485785,0
PSL.US,D,20070202,000000,23.6275,23.6275,23.4797,23.4797,2191.4407651512,0
PSL.US,D,20070205,000000,23.435,23.435,23.3993,23.3993,1500.9453998667,0
PSL.US,D,20070206,000000,23.4707,23.4707,23.3219,23.3298,1725.7344019958,0
PSL.US,D,20070207,000000,23.3655,23.3993,23.3655,23.3825,4610.6945997248,0
PSL.US,D,20070208,000000,23.3298,23.3566,23.2951,23.3566,2767.0215732935,0
PSL.US,D,20070209,000000,23.3913,23.4082,23.2872,23.2951,50945.453666395,0
PSL.US,D,20070212,000000,23.3566,23.3566,23.313,23.313,2077.53423044,0
PSL.US,D,20070213,000000,23.428,23.5917,23.4181,23.4618,43454.838981097,0
PSL.US,D,20070214,000000,23.5273,23.6096,23.5273,23.6007,15556.810178739,0
PSL.US,D,20070215,000000,23.7048,23.7643,23.686,23.7137,36999.46333251,0
PSL.US,D,20070216,000000,23.7227,23.7465,23.7227,23.7307,22931.502284464,0
PSL.US,D,20070220,000000,23.7733,23.8328,23.7307,23.8328,55437.201619254,0
PSL.US,D,20070221,000000,23.9052,23.9052,23.8695,23.8953,19939.691709041,0
PSL.US,D,20070222,000000,23.8695,23.8695,23.6692,23.7643,4379.8574630092,0
PSL.US,D,20070223,000000,23.806,23.806,23.7048,23.7385,3226.6798018625,0
PSL.US,D,20070226,000000,23.7545,23.7545,23.6692,23.7137,23280.278045616,0
PSL.US,D,20070227,000000,23.6423,23.6423,22.9826,22.9826,11755.557591165,0
PSL.US,D,20070228,000000,23.1493,23.2207,23.1146,23.1681,8297.0326301562,0
PSL.US,D,20070301,000000,22.689,23.185,22.689,23.0967,6453.359603725,0
PSL.US,D,20070302,000000,23.2118,23.2118,22.8199,22.8199,4147.0042814315,0
PSL.US,D,20070305,000000,22.6265,22.7763,22.6265,22.7673,2306.3553222935,0
PSL.US,D,20070306,000000,22.8199,23.0104,22.811,23.0104,12447.060978881,0
PSL.US,D,20070307,000000,22.9241,22.9658,22.8199,22.8279,36192.03736522,0
PSL.US,D,20070308,000000,23.0967,23.4707,22.9826,23.0521,17636.360454042,0
PSL.US,D,20070309,000000,23.194,23.194,23.0431,23.185,6107.6079098672,0
PSL.US,D,20070312,000000,23.2207,23.3398,23.1771,23.3398,7028.9404118673,0
PSL.US,D,20070313,000000,23.2535,23.2535,22.9578,22.9578,10950.147668738,0
PSL.US,D,20070314,000000,23.0104,23.0868,22.8795,23.0104,8871.6054158675,0
PSL.US,D,20070315,000000,23.1146,23.1771,23.0868,23.1771,5650.9737485914,0
PSL.US,D,20070316,000000,23.1681,23.1681,23.0015,23.0263,6453.359603725,0
PSL.US,D,20070319,000000,23.2783,23.2783,23.2038,23.2038,2306.3553222935,0
PSL.US,D,20070320,000000,23.2535,23.3913,23.2535,23.3913,2996.850687578,0
PSL.US,D,20070321,000000,23.5273,23.7465,23.5273,23.7227,8529.8858117339,0
PSL.US,D,20070322,000000,23.9052,23.9052,23.7812,23.7812,4147.0042814315,0
PSL.US,D,20070323,000000,23.8328,23.8874,23.8328,23.8874,5303.2060098715,0
PSL.US,D,20070326,000000,24.0342,24.0342,23.7643,23.9132,7725.4839117382,0
PSL.US,D,20070327,000000,23.7733,23.7733,23.686,23.7385,921.3325020001,0
PSL.US,D,20070328,000000,23.6344,23.798,23.6096,23.6959,21323.706506903,0
PSL.US,D,20070329,000000,23.815,23.815,23.7733,23.815,7028.9404118673,0
PSL.US,D,20070330,000000,23.9509,23.9509,23.7227,23.8417,2996.850687578,0
PSL.US,D,20070402,000000,23.923,23.9846,23.8953,23.9677,5069.3448058627,0
PSL.US,D,20070403,000000,24.1274,24.1909,24.1086,24.1632,6107.6079098672,0
PSL.US,D,20070404,000000,24.1086,24.1721,24.1086,24.1532,1614.8519345779,0
PSL.US,D,20070405,000000,24.1632,24.2009,24.1532,24.1632,3803.2686324359,0
PSL.US,D,20070409,000000,24.2425,24.2425,24.1364,24.1364,10141.713679018,0
PSL.US,D,20070410,000000,24.1721,24.2187,24.1532,24.2187,8644.8003688762,0
PSL.US,D,20070411,000000,24.1632,24.1632,24.0719,24.0907,5992.6933527249,0
PSL.US,D,20070412,000000,24.0154,24.1364,24.0154,24.1274,3920.1992344402,0
PSL.US,D,20070413,000000,24.1632,24.2247,24.1632,24.2247,806.41794485785,0
PSL.US,D,20070416,000000,24.3477,24.3665,24.3387,24.3576,4035.1137915825,0
PSL.US,D,20070417,000000,24.3824,24.5511,24.3824,24.5511,7379.7322178804,0
PSL.US,D,20070418,000000,24.4251,24.4251,24.3824,24.3904,2882.9441528668,0
PSL.US,D,20070419,000000,24.304,24.4251,24.304,24.3229,3226.6798018625,0
PSL.US,D,20070420,000000,24.5867,24.5947,24.5511,24.5679,26163.222198481,0
PSL.US,D,20070423,000000,24.6592,24.6592,24.6136,24.6413,10260.660325885,0
PSL.US,D,20070424,000000,24.6859,24.7197,24.5511,24.6691,13370.409525743,0
PSL.US,D,20070425,000000,24.7544,24.7643,24.6691,24.7544,24664.292843478,0
PSL.US,D,20070426,000000,24.7019,24.7019,24.6859,24.7019,3452.4768264227,0
PSL.US,D,20070427,000000,24.6314,24.6314,24.5867,24.6136,3452.4768264227,0
PSL.US,D,20070430,000000,24.6691,24.6929,24.4667,24.4667,4725.609156867,0
PSL.US,D,20070501,000000,24.4082,24.5362,24.4082,24.5362,7725.4839117382,0
PSL.US,D,20070502,000000,24.5779,24.7197,24.5779,24.6771,2421.2698794357,0
PSL.US,D,20070503,000000,24.6592,24.7108,24.5779,24.6859,14871.35492561,0
PSL.US,D,20070504,000000,24.6771,24.6859,24.5779,24.6413,13481.291993161,0
PSL.US,D,20070507,000000,24.7197,24.7454,24.6492,24.6592,14750.392233881,0
PSL.US,D,20070508,000000,24.6314,24.6314,24.5599,24.5867,4035.1137915825,0
