<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTF.US,D,20061012,000000,8.28116,8.3235,8.27816,8.3235,24477.452877579,0
PTF.US,D,20061013,000000,8.36582,8.42148,8.36249,8.41514,31210.402651701,0
PTF.US,D,20061016,000000,8.44114,8.4898,8.43148,8.4738,105569.89206884,0
PTF.US,D,20061017,000000,8.46381,8.46381,8.32982,8.41848,15911.244497401,0
PTF.US,D,20061018,000000,8.49313,8.49313,8.35249,8.35582,21729.065180121,0
PTF.US,D,20061019,000000,8.41181,8.41181,8.39515,8.40181,2448.345372408,0
PTF.US,D,20061020,000000,8.3235,8.32982,8.30716,8.3105,14687.071811198,0
PTF.US,D,20061023,000000,8.31683,8.40514,8.31683,8.37249,21116.978837019,0
PTF.US,D,20061024,000000,8.32683,8.33315,8.29716,8.29716,26316.712330135,0
PTF.US,D,20061025,000000,8.34282,8.35915,8.34282,8.35915,4896.690744816,0
PTF.US,D,20061026,000000,8.39849,8.39849,8.35915,8.39849,9181.29514653,0
PTF.US,D,20061027,000000,8.41181,8.42814,8.33315,8.33315,8263.165631877,0
PTF.US,D,20061031,000000,8.41848,8.41848,8.3235,8.34915,16217.287668953,0
PTF.US,D,20061101,000000,8.34282,8.34282,8.17652,8.17652,17138.417606856,0
PTF.US,D,20061102,000000,8.16685,8.16685,8.16352,8.16352,2448.345372408,0
PTF.US,D,20061103,000000,8.14052,8.18652,8.11752,8.17652,56611.985890434,0
PTF.US,D,20061106,000000,8.20251,8.33315,8.20251,8.3235,6426.906602571,0
PTF.US,D,20061107,000000,8.33949,8.44114,8.33649,8.38849,14687.071811198,0
PTF.US,D,20061108,000000,8.34915,8.41181,8.34915,8.41181,8566.2083801775,0
PTF.US,D,20061109,000000,8.44781,8.45448,8.41181,8.41181,2751.3881207085,0
PTF.US,D,20061110,000000,8.38215,8.38215,8.34915,8.37915,2139.3017776065,0
PTF.US,D,20061113,000000,8.45748,8.46381,8.43448,8.46048,18974.676636162,0
PTF.US,D,20061114,000000,8.42814,8.55912,8.42148,8.55912,55999.899547332,0
PTF.US,D,20061115,000000,8.60112,8.61445,8.55912,8.60112,73438.359479238,0
PTF.US,D,20061116,000000,8.60112,8.60112,8.54579,8.59479,4593.6479965155,0
PTF.US,D,20061117,000000,8.54579,8.54579,8.51313,8.52947,7038.992945673,0
PTF.US,D,20061120,000000,8.44781,8.55912,8.44781,8.54579,38861.481940476,0
PTF.US,D,20061121,000000,8.55579,8.56212,8.5198,8.55579,148106.89249118,0
PTF.US,D,20061122,000000,8.59146,8.61778,8.56546,8.61778,8566.2083801775,0
PTF.US,D,20061124,000000,8.55246,8.55246,8.55246,8.55246,609.0859198515,0
PTF.US,D,20061127,000000,8.56212,8.56212,8.36915,8.36915,71914.144467984,0
PTF.US,D,20061128,000000,8.37915,8.38849,8.32016,8.38849,44367.258605143,0
PTF.US,D,20061129,000000,8.44114,8.46048,8.39182,8.44114,45288.388543047,0
PTF.US,D,20061130,000000,8.39849,8.52613,8.39849,8.4898,93025.122458502,0
PTF.US,D,20061201,000000,8.41514,8.41514,8.39849,8.39849,32437.575761155,0
PTF.US,D,20061204,000000,8.51313,8.59479,8.51313,8.58812,3669.5176353615,0
PTF.US,D,20061205,000000,8.60779,8.62778,8.60112,8.60112,15911.244497401,0
PTF.US,D,20061206,000000,8.54579,8.61778,8.54579,8.58812,10099.424661183,0
PTF.US,D,20061207,000000,8.5198,8.56212,8.51313,8.5198,52021.338317169,0
PTF.US,D,20061208,000000,8.44781,8.54579,8.44781,8.52947,82925.697797319,0
PTF.US,D,20061211,000000,8.56546,8.56546,8.52613,8.52613,3669.5176353615,0
PTF.US,D,20061212,000000,8.4998,8.4998,8.44781,8.4868,41921.913655986,0
PTF.US,D,20061213,000000,8.57546,8.57546,8.4738,8.49313,15605.20132585,0
PTF.US,D,20061214,000000,8.54912,8.60446,8.54912,8.58512,50185.079287863,0
PTF.US,D,20061215,000000,8.62778,8.62778,8.54579,8.56212,58139.201324938,0
PTF.US,D,20061218,000000,8.50313,8.59779,8.49313,8.49313,2751.3881207085,0
PTF.US,D,20061219,000000,8.40181,8.49313,8.39182,8.4898,75580.661680095,0
PTF.US,D,20061220,000000,8.55579,8.56879,8.4998,8.5098,14077.985891346,0
PTF.US,D,20061221,000000,8.54579,8.54579,8.44448,8.44448,64263.065179209,0
PTF.US,D,20061222,000000,8.41181,8.41181,8.37582,8.39182,5814.820259469,0
PTF.US,D,20061226,000000,8.40514,8.44781,8.40514,8.44448,6732.949774122,0
PTF.US,D,20061227,000000,8.5098,8.54579,8.5098,8.54579,30598.316308599,0
PTF.US,D,20061228,000000,8.55246,8.55246,8.51313,8.53247,7038.992945673,0
PTF.US,D,20061229,000000,8.5198,8.55246,8.45448,8.45448,14996.115405999,0
PTF.US,D,20070103,000000,8.50313,8.56546,8.37249,8.44114,139843.7268593,0
PTF.US,D,20070104,000000,8.45114,8.58179,8.45114,8.56212,98842.943141221,0
PTF.US,D,20070105,000000,8.49647,8.49647,8.42148,8.44448,77416.920709401,0
PTF.US,D,20070108,000000,8.49647,8.50313,8.43781,8.48047,35492.006630164,0
PTF.US,D,20070109,000000,8.52947,8.52947,8.43148,8.49313,21729.065180121,0
PTF.US,D,20070110,000000,8.39182,8.52313,8.39182,8.52313,21417.021162069,0
PTF.US,D,20070111,000000,8.56212,8.61778,8.54579,8.59146,30907.3599034,0
PTF.US,D,20070112,000000,8.60779,8.63045,8.56879,8.61778,44367.258605143,0
PTF.US,D,20070116,000000,8.67645,8.67645,8.57546,8.60446,52021.338317169,0
PTF.US,D,20070117,000000,8.59146,8.62445,8.57212,8.57879,17138.417606856,0
PTF.US,D,20070118,000000,8.52947,8.52947,8.36915,8.39849,22953.237866325,0
PTF.US,D,20070119,000000,8.38515,8.40514,8.34282,8.38849,7038.992945673,0
PTF.US,D,20070122,000000,8.41848,8.41848,8.3005,8.33949,7960.1228835765,0
PTF.US,D,20070123,000000,8.36249,8.42814,8.35915,8.39182,11323.597347387,0
PTF.US,D,20070124,000000,8.46714,8.54246,8.43448,8.54246,26622.755501687,0
PTF.US,D,20070125,000000,8.53247,8.53247,8.41514,8.41514,12853.813205142,0
PTF.US,D,20070126,000000,8.44781,8.46381,8.42481,8.46381,2751.3881207085,0
PTF.US,D,20070129,000000,8.48047,8.48047,8.45748,8.46048,6732.949774122,0
PTF.US,D,20070130,000000,8.46381,8.52947,8.46381,8.52947,3060.43171551,0
PTF.US,D,20070131,000000,8.47047,8.54246,8.47047,8.5358,10099.424661183,0
PTF.US,D,20070201,000000,8.56546,8.58812,8.54912,8.58812,3060.43171551,0
PTF.US,D,20070202,000000,8.59479,8.64678,8.59146,8.63045,30907.3599034,0
PTF.US,D,20070205,000000,8.64345,8.65345,8.60446,8.65345,17138.417606856,0
PTF.US,D,20070206,000000,8.68944,8.68944,8.62778,8.65678,103736.63346279,0
PTF.US,D,20070207,000000,8.6861,8.76143,8.6861,8.75144,10705.510157784,0
PTF.US,D,20070208,000000,8.72544,8.76476,8.7221,8.7481,33967.791618911,0
PTF.US,D,20070209,000000,8.7481,8.75144,8.62778,8.63678,54772.726437877,0
PTF.US,D,20070212,000000,8.64011,8.64011,8.58512,8.60112,7038.992945673,0
PTF.US,D,20070213,000000,8.60446,8.64678,8.60446,8.63678,15299.158154299,0
PTF.US,D,20070214,000000,8.74144,8.76809,8.7351,8.76143,3669.5176353615,0
PTF.US,D,20070215,000000,8.75809,8.78409,8.7351,8.78076,8566.2083801775,0
PTF.US,D,20070216,000000,8.75809,8.75809,8.7381,8.7481,10705.510157784,0
PTF.US,D,20070220,000000,8.74477,8.82009,8.72844,8.82009,19277.719384462,0
PTF.US,D,20070221,000000,8.79743,8.84308,8.79743,8.83308,63957.022007658,0
PTF.US,D,20070222,000000,8.88508,8.89175,8.81376,8.86242,14077.985891346,0
PTF.US,D,20070223,000000,8.84908,8.84908,8.83308,8.84575,24477.452877579,0
PTF.US,D,20070226,000000,8.82975,8.83975,8.79409,8.80743,9181.29514653,0
PTF.US,D,20070227,000000,8.65678,8.66645,8.41181,8.4868,44061.215433593,0
PTF.US,D,20070228,000000,8.37582,8.5198,8.35915,8.47713,14381.028639646,0
PTF.US,D,20070301,000000,8.3005,8.48047,8.29383,8.47713,8875.251974979,0
PTF.US,D,20070302,000000,8.42481,8.44781,8.34915,8.36915,11011.553329335,0
