<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTH.US,D,20061012,000000,8.186,8.18933,8.17267,8.17933,25866,0
PTH.US,D,20061013,000000,8.22533,8.22533,8.18933,8.209,10956,0
PTH.US,D,20061016,000000,8.24833,8.24833,8.23833,8.23833,5781,0
PTH.US,D,20061017,000000,8.18933,8.199,8.17267,8.199,10041,0
PTH.US,D,20061018,000000,8.28133,8.28133,8.21533,8.23833,131766,0
PTH.US,D,20061019,000000,8.27467,8.27467,8.24833,8.24833,6090,0
PTH.US,D,20061020,000000,8.278,8.29433,8.26467,8.28767,7302,0
PTH.US,D,20061023,000000,8.268,8.32067,8.268,8.29433,38337,0
PTH.US,D,20061024,000000,8.28133,8.301,8.245,8.25167,16128,0
PTH.US,D,20061025,000000,8.222,8.222,8.19567,8.19567,35607,0
PTH.US,D,20061026,000000,8.28133,8.29767,8.268,8.29767,12477,0
PTH.US,D,20061027,000000,8.26133,8.35333,8.26133,8.35333,76683,0
PTH.US,D,20061030,000000,8.29767,8.29767,8.24833,8.27467,4869,0
PTH.US,D,20061031,000000,8.314,8.314,8.232,8.232,14610,0
PTH.US,D,20061101,000000,8.291,8.291,8.12033,8.12033,53556,0
PTH.US,D,20061102,000000,8.17267,8.19567,8.17267,8.19567,31647,0
PTH.US,D,20061103,000000,8.21533,8.21533,8.16933,8.16933,3651,0
PTH.US,D,20061106,000000,8.314,8.314,8.314,8.314,912,0
PTH.US,D,20061107,000000,8.37333,8.40933,8.37333,8.39933,277218,0
PTH.US,D,20061108,000000,8.32733,8.33367,8.27467,8.314,99204,0
PTH.US,D,20061109,000000,8.30433,8.30433,8.17933,8.17933,609,0
PTH.US,D,20061110,000000,8.19567,8.222,8.19567,8.222,62688,0
PTH.US,D,20061113,000000,8.26467,8.26467,8.26467,8.26467,3045,0
PTH.US,D,20061114,000000,8.24833,8.29433,8.23833,8.29433,45342,0
PTH.US,D,20061115,000000,8.38633,8.38633,8.383,8.383,1215,0
PTH.US,D,20061116,000000,8.406,8.406,8.37967,8.39933,8517,0
PTH.US,D,20061117,000000,8.35667,8.37,8.347,8.37,4260,0
PTH.US,D,20061120,000000,8.38633,8.39933,8.34367,8.34367,3957,0
PTH.US,D,20061121,000000,8.35033,8.35033,8.32067,8.32067,2742,0
PTH.US,D,20061122,000000,8.33033,8.35033,8.31067,8.347,11565,0
PTH.US,D,20061124,000000,8.314,8.32733,8.314,8.32733,1215,0
PTH.US,D,20061127,000000,8.222,8.222,8.20233,8.20233,2133,0
PTH.US,D,20061128,000000,8.209,8.232,8.186,8.21867,13998,0
PTH.US,D,20061129,000000,8.24833,8.278,8.22533,8.25833,6999,0
PTH.US,D,20061201,000000,8.29767,8.347,8.29433,8.347,372471,0
PTH.US,D,20061204,000000,8.39633,8.43233,8.39633,8.43233,9435,0
PTH.US,D,20061205,000000,8.41933,8.45867,8.41933,8.45867,3957,0
PTH.US,D,20061206,000000,8.44567,8.48833,8.44567,8.48833,8517,0
PTH.US,D,20061207,000000,8.48167,8.49167,8.475,8.475,3651,0
PTH.US,D,20061208,000000,8.48833,8.49167,8.47833,8.49167,2436,0
PTH.US,D,20061211,000000,8.498,8.498,8.48167,8.498,1824,0
PTH.US,D,20061212,000000,8.47833,8.47833,8.47833,8.47833,303,0
PTH.US,D,20061213,000000,8.498,8.498,8.48167,8.48167,6090,0
PTH.US,D,20061214,000000,8.49167,8.521,8.49167,8.498,37122,0
PTH.US,D,20061215,000000,8.52433,8.52433,8.51467,8.51467,12171,0
PTH.US,D,20061218,000000,8.53767,8.54067,8.49167,8.49467,3348,0
PTH.US,D,20061219,000000,8.47833,8.508,8.47833,8.508,8517,0
PTH.US,D,20061220,000000,8.55733,8.55733,8.53767,8.55067,1824,0
PTH.US,D,20061221,000000,8.53433,8.53433,8.53433,8.53433,1215,0
PTH.US,D,20061222,000000,8.49467,8.531,8.49467,8.508,9126,0
PTH.US,D,20061226,000000,8.49167,8.53433,8.49167,8.53433,4260,0
PTH.US,D,20061227,000000,8.567,8.57367,8.56067,8.57033,16431,0
PTH.US,D,20061228,000000,8.55067,8.55067,8.55067,8.55067,303,0
PTH.US,D,20061229,000000,8.55067,8.56067,8.51767,8.51767,7605,0
PTH.US,D,20070103,000000,8.57033,8.58667,8.521,8.52433,9126,0
PTH.US,D,20070104,000000,8.51467,8.577,8.51467,8.56367,6696,0
PTH.US,D,20070105,000000,8.49467,8.51133,8.49467,8.51133,9738,0
PTH.US,D,20070108,000000,8.50133,8.54733,8.50133,8.54733,609,0
PTH.US,D,20070109,000000,8.567,8.567,8.521,8.531,12171,0
PTH.US,D,20070110,000000,8.521,8.544,8.521,8.544,1215,0
PTH.US,D,20070111,000000,8.59333,8.659,8.59333,8.659,21606,0
PTH.US,D,20070112,000000,8.72167,8.72467,8.72167,8.72467,4869,0
PTH.US,D,20070116,000000,8.78067,8.784,8.76433,8.76767,29517,0
PTH.US,D,20070117,000000,8.79067,8.83667,8.78733,8.81367,20694,0
PTH.US,D,20070118,000000,8.784,8.79067,8.75433,8.77733,11868,0
PTH.US,D,20070119,000000,8.77733,8.80033,8.77733,8.79067,27693,0
PTH.US,D,20070122,000000,8.78067,8.78067,8.76767,8.774,6696,0
PTH.US,D,20070123,000000,8.751,8.80367,8.751,8.78067,3957,0
PTH.US,D,20070124,000000,8.81033,8.84,8.81033,8.83667,31956,0
PTH.US,D,20070125,000000,8.85633,8.85633,8.794,8.794,11259,0
PTH.US,D,20070126,000000,8.751,8.78733,8.751,8.784,17346,0
PTH.US,D,20070129,000000,8.817,8.84,8.81367,8.82333,16128,0
PTH.US,D,20070130,000000,8.85633,8.889,8.843,8.889,11565,0
PTH.US,D,20070131,000000,8.899,8.95833,8.899,8.95167,24648,0
PTH.US,D,20070201,000000,8.991,9.024,8.968,9.024,23733,0
PTH.US,D,20070202,000000,9.04033,9.04033,9.01067,9.01067,13998,0
PTH.US,D,20070205,000000,9.02067,9.04033,9.02067,9.03033,2742,0
PTH.US,D,20070206,000000,9.04033,9.04367,9.02067,9.04367,15825,0
PTH.US,D,20070207,000000,9.08967,9.08967,9.06,9.07,9126,0
PTH.US,D,20070208,000000,9.106,9.12567,9.08967,9.10933,41991,0
PTH.US,D,20070209,000000,9.106,9.106,9.047,9.05333,95244,0
PTH.US,D,20070212,000000,9.083,9.083,9.05333,9.05667,16734,0
PTH.US,D,20070213,000000,9.10267,9.10267,9.06667,9.09633,65730,0
PTH.US,D,20070214,000000,9.11933,9.139,9.09633,9.11933,29214,0
PTH.US,D,20070215,000000,9.162,9.23433,9.162,9.231,88251,0
PTH.US,D,20070216,000000,9.22433,9.24067,9.208,9.24067,34083,0
