<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PUI.US,D,20051026,000000,11.3815,11.4775,11.3401,11.3815,69584.405527862,0
PUI.US,D,20051027,000000,11.1917,11.3025,11.1917,11.3025,16616.975267233,0
PUI.US,D,20051028,000000,11.3311,11.4775,11.3094,11.4775,5000.3616318668,0
PUI.US,D,20051031,000000,11.5606,11.6447,11.5606,11.6447,4458.3608564005,0
PUI.US,D,20051101,000000,11.5092,11.5092,11.4023,11.4291,24996.752181951,0
PUI.US,D,20051102,000000,11.4023,11.436,11.4023,11.436,5134.8506302567,0
PUI.US,D,20051103,000000,11.5022,11.5022,11.4429,11.4429,5000.3616318668,0
PUI.US,D,20051104,000000,11.436,11.436,11.436,11.436,404.47819064645,0
PUI.US,D,20051107,000000,11.3955,11.3955,11.2856,11.3242,2296.4249273952,0
PUI.US,D,20051108,000000,11.2856,11.3163,11.2639,11.2778,4051.8602748008,0
PUI.US,D,20051109,000000,11.3479,11.436,11.3163,11.4023,7700.2535544318,0
PUI.US,D,20051110,000000,11.3885,11.3885,11.1759,11.1759,1757.4577383588,0
PUI.US,D,20051111,000000,11.2778,11.2778,11.2382,11.256,3242.9038935079,0
PUI.US,D,20051114,000000,11.2451,11.2451,11.2322,11.2322,811.98996772275,0
PUI.US,D,20051115,000000,11.1996,11.256,11.1818,11.1996,12568.148578862,0
PUI.US,D,20051116,000000,11.256,11.256,11.2322,11.2382,2834.380920955,0
PUI.US,D,20051117,000000,11.3539,11.4023,11.3539,11.4023,3375.3705009446,0
PUI.US,D,20051118,000000,11.4429,11.4558,11.3885,11.3885,9053.2331021442,0
PUI.US,D,20051121,000000,11.4201,11.4558,11.4201,11.4558,5811.3404041129,0
PUI.US,D,20051122,000000,11.4716,11.4844,11.4201,11.4844,10409.246236286,0
PUI.US,D,20051123,000000,11.4201,11.5754,11.4201,11.5754,5273.3844105531,0
PUI.US,D,20051125,000000,11.6447,11.6447,11.5962,11.5962,7433.2979486052,0
PUI.US,D,20051128,000000,11.6575,11.6575,11.5606,11.5675,4593.8610502671,0
PUI.US,D,20051129,000000,11.6525,11.6654,11.5903,11.5903,8513.2547176312,0
PUI.US,D,20051130,000000,11.5962,11.6307,11.524,11.524,3650.4156705842,0
PUI.US,D,20051201,000000,11.524,11.6219,11.524,11.6139,4189.3828596206,0
PUI.US,D,20051202,000000,11.6139,11.7079,11.5526,11.5903,32566.561519899,0
PUI.US,D,20051205,000000,11.6219,11.6219,11.4934,11.5606,6623.3303718357,0
PUI.US,D,20051206,000000,11.6387,11.6447,11.5754,11.5754,32289.493959307,0
PUI.US,D,20051207,000000,11.5903,11.5962,11.4775,11.5022,2296.4249273952,0
PUI.US,D,20051208,000000,11.4716,11.6387,11.4716,11.5526,9728.7116805238,0
PUI.US,D,20051209,000000,11.5962,11.7594,11.5962,11.7594,9053.2331021442,0
PUI.US,D,20051212,000000,11.8197,11.8197,11.6783,11.6783,4321.8494670573,0
PUI.US,D,20051213,000000,11.7079,11.7752,11.7079,11.7682,12429.614798566,0
PUI.US,D,20051214,000000,11.9175,11.9759,11.9027,11.9315,36888.410986956,0
PUI.US,D,20051215,000000,11.9581,11.9759,11.9097,11.9353,30534.058611901,0
PUI.US,D,20051216,000000,11.878,11.9235,11.878,11.8939,7568.7981424717,0
PUI.US,D,20051219,000000,11.8563,11.8563,11.6852,11.7208,40264.792683378,0
PUI.US,D,20051220,000000,11.6852,11.7752,11.6852,11.7514,3650.4156705842,0
PUI.US,D,20051221,000000,11.783,11.797,11.6525,11.6525,10813.724426933,0
PUI.US,D,20051222,000000,11.6525,11.7129,11.6525,11.6941,5540.3400163798,0
PUI.US,D,20051223,000000,11.7366,11.7445,11.7129,11.7445,6623.3303718357,0
PUI.US,D,20051227,000000,11.7208,11.7208,11.6525,11.6525,3106.3925041648,0
PUI.US,D,20051228,000000,11.6575,11.6654,11.5903,11.6307,13510.582763068,0
PUI.US,D,20051229,000000,11.6139,11.6307,11.5962,11.5962,2431.9251212618,0
PUI.US,D,20051230,000000,11.516,11.5833,11.4775,11.5526,5134.8506302567,0
PUI.US,D,20060103,000000,11.6575,11.7682,11.524,11.7682,8243.2655253747,0
PUI.US,D,20060104,000000,11.878,11.878,11.7129,11.7682,13780.571955324,0
PUI.US,D,20060105,000000,11.8622,11.8622,11.7752,11.7752,4051.8602748008,0
PUI.US,D,20060106,000000,11.8038,11.9175,11.8038,11.9175,944.45657515947,0
PUI.US,D,20060109,000000,11.9522,11.9522,11.8711,11.9097,34588.952473132,0
PUI.US,D,20060110,000000,11.9522,11.9522,11.8355,11.8939,47831.568434897,0
