<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PXI.US,D,20061012,000000,21.7546,22.1641,21.7546,22.1543,10615.381600669,0
PXI.US,D,20061013,000000,22.5716,22.5716,22.4446,22.4446,2450.40677776,0
PXI.US,D,20061016,000000,22.673,22.985,22.673,22.9772,4665.1193712577,0
PXI.US,D,20061017,000000,23.0174,23.0174,22.5716,22.7084,7581.8349015019,0
PXI.US,D,20061018,000000,22.8551,22.8551,22.5883,22.5883,935.66527459242,0
PXI.US,D,20061019,000000,22.8875,23.1041,22.8875,23.1041,818.83410566937,0
PXI.US,D,20061020,000000,23.1986,23.1986,22.7862,22.8393,2099.9132709908,0
PXI.US,D,20061023,000000,22.8551,22.8551,22.5795,22.7793,1518.8051959996,0
PXI.US,D,20061024,000000,23.0785,23.2832,23.0785,23.2832,13292.339253819,0
PXI.US,D,20061025,000000,23.3954,23.8345,23.3787,23.8178,7232.3573179407,0
PXI.US,D,20061026,000000,23.868,23.8945,23.5835,23.7036,5946.1985365792,0
PXI.US,D,20061027,000000,23.8413,23.868,23.7823,23.7823,2568.253869891,0
PXI.US,D,20061030,000000,23.3157,23.3157,23.1986,23.1986,2450.40677776,0
PXI.US,D,20061031,000000,23.24,23.24,22.985,23.171,4779.9186937647,0
PXI.US,D,20061101,000000,23.1887,23.1887,23.0962,23.0962,4779.9186937647,0
PXI.US,D,20061102,000000,23.0608,23.0608,23.0608,23.0608,231.63049143005,0
PXI.US,D,20061103,000000,23.3423,23.5224,23.3423,23.5224,6412.5072890634,0
PXI.US,D,20061106,000000,23.5401,23.6425,23.4142,23.6425,3380.9924363122,0
PXI.US,D,20061107,000000,23.5313,23.5313,23.3689,23.4378,1166.2798428144,0
PXI.US,D,20061108,000000,23.4644,23.7912,23.4644,23.7912,466.30875248417,0
PXI.US,D,20061109,000000,24.1229,24.1229,23.9969,23.9969,3380.9924363122,0
PXI.US,D,20061110,000000,23.8876,23.8876,23.6513,23.7036,1628.5249024665,0
PXI.US,D,20061113,000000,23.676,23.6957,23.6692,23.6692,3266.1931138052,0
PXI.US,D,20061114,000000,23.676,23.7645,23.6513,23.7645,10025.130216806,0
PXI.US,D,20061115,000000,23.8778,24.2105,23.8778,24.0973,935.66527459242,0
PXI.US,D,20061116,000000,23.5579,23.5579,23.4732,23.5224,3380.9924363122,0
PXI.US,D,20061117,000000,23.3079,23.6957,23.24,23.6692,2450.40677776,0
PXI.US,D,20061120,000000,23.7912,23.7912,23.7036,23.7134,1518.8051959996,0
PXI.US,D,20061121,000000,23.8266,23.8266,23.8266,23.8266,110.73562967489,0
PXI.US,D,20061122,000000,24.1051,24.1051,23.7912,23.9595,1166.2798428144,0
PXI.US,D,20061127,000000,24.1396,24.1396,23.7735,23.7735,1749.4197642217,0
PXI.US,D,20061128,000000,24.1485,24.1485,24.1485,24.1485,466.30875248417,0
PXI.US,D,20061129,000000,24.2273,24.8021,24.2273,24.8021,4080.9635266425,0
PXI.US,D,20061130,000000,24.9133,25.0058,24.7854,24.9557,8162.942976493,0
PXI.US,D,20061201,000000,24.869,24.9969,24.5245,24.9969,7696.6342240089,0
PXI.US,D,20061204,000000,25.0226,25.0226,24.8286,24.9379,16676.379459755,0
PXI.US,D,20061205,000000,25.0934,25.1712,24.9212,24.9901,9675.6526332445,0
PXI.US,D,20061206,000000,25.0413,25.3061,25.0413,25.0934,14693.297357688,0
PXI.US,D,20061207,000000,25.1288,25.1288,24.869,24.9812,15973.360599801,0
PXI.US,D,20061208,000000,25.0689,25.0689,24.9635,24.9635,1166.2798428144,0
PXI.US,D,20061211,000000,24.9477,24.9557,24.9133,24.9133,2568.253869891,0
PXI.US,D,20061212,000000,24.6741,24.7597,24.6741,24.6987,818.83410566937,0
PXI.US,D,20061213,000000,24.7942,24.9969,24.7942,24.9734,3029.4830063351,0
PXI.US,D,20061214,000000,25.1554,25.3858,25.1554,25.3504,5363.058615172,0
PXI.US,D,20061215,000000,25.2726,25.2726,25.1968,25.2214,1518.8051959996,0
PXI.US,D,20061218,000000,25.3061,25.3061,24.2872,24.2872,7112.4783793936,0
PXI.US,D,20061219,000000,24.1563,24.742,24.1563,24.7076,6181.8927208413,0
PXI.US,D,20061220,000000,24.6987,24.6987,24.3807,24.4143,3962.1005113034,0
PXI.US,D,20061221,000000,24.5245,24.5245,24.1652,24.1839,1518.8051959996,0
PXI.US,D,20061222,000000,24.0884,24.0884,24.0884,24.0884,347.44573714507,0
PXI.US,D,20061226,000000,24.0973,24.1141,23.8778,23.9348,2330.5278392128,0
PXI.US,D,20061227,000000,24.0806,24.1652,23.8876,24.1652,5597.7368762261,0
PXI.US,D,20061228,000000,24.175,24.1928,24.1318,24.1928,2212.6807470817,0
PXI.US,D,20061229,000000,24.0707,24.0707,23.8945,23.8945,3150.3778680902,0
PXI.US,D,20070103,000000,23.5047,23.5047,23.0608,23.1041,3150.3778680902,0
PXI.US,D,20070104,000000,22.9506,22.9506,22.7084,22.7084,2212.6807470817,0
PXI.US,D,20070105,000000,22.7182,22.7271,22.5538,22.6907,10615.381600669,0
PXI.US,D,20070108,000000,23.0027,23.0027,22.8137,22.8137,2450.40677776,0
PXI.US,D,20070109,000000,22.4623,22.6907,22.3413,22.6208,7925.2169458148,0
PXI.US,D,20070110,000000,22.5037,22.5037,22.3236,22.3236,3614.6547741583,0
PXI.US,D,20070111,000000,22.6818,22.6818,22.1877,22.1877,4548.2882023347,0
PXI.US,D,20070112,000000,22.3718,22.7862,22.3718,22.7596,10261.840324276,0
PXI.US,D,20070116,000000,22.673,22.673,22.4948,22.5037,1984.0980252758,0
PXI.US,D,20070117,000000,22.6376,22.7438,22.6376,22.6907,13526.001591665,0
PXI.US,D,20070118,000000,22.7182,22.7182,22.4062,22.4525,3846.2852655884,0
PXI.US,D,20070119,000000,22.6051,22.9417,22.6051,22.9417,935.66527459242,0
PXI.US,D,20070122,000000,23.1218,23.1218,22.8393,22.8393,2919.7632998682,0
