<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PY.US,D,20160817,000000,22.0719,22.0886,22.0719,22.0886,3033.8673495151,0
PY.US,D,20160823,000000,22.3128,22.3128,22.2698,22.2698,2259.8278170572,0
PY.US,D,20160824,000000,22.2433,22.2433,22.1738,22.1835,1169.2285813513,0
PY.US,D,20160826,000000,22.2237,22.2237,22.2237,22.2237,2246.5527327274,0
PY.US,D,20160906,000000,22.0534,22.0534,22.0534,22.0534,649.45797182483,0
PY.US,D,20160913,000000,21.6861,21.6861,21.5745,21.5745,681.11394214963,0
PY.US,D,20160919,000000,21.8262,21.8399,21.8262,21.8399,875.13440543063,0
PY.US,D,20160926,000000,21.7732,21.8144,21.7732,21.7899,584.10371050913,0
PY.US,D,20160930,000000,22.0709,22.0709,22.0631,22.0631,231.80339560415,0
PY.US,D,20161003,000000,21.7919,21.926,21.7919,21.884,15357.230248858,0
PY.US,D,20161005,000000,22.0739,22.0739,22.0063,22.0063,230.78223527109,0
PY.US,D,20161007,000000,21.8673,21.8673,21.8673,21.8673,118.45459863472,0
PY.US,D,20161020,000000,21.8673,21.8673,21.7821,21.8144,2326.2032387059,0
PY.US,D,20161021,000000,21.8927,21.8927,21.8927,21.8927,180.74537895125,0
PY.US,D,20161024,000000,22.0543,22.0543,22.0543,22.0543,118.45459863472,0
PY.US,D,20161025,000000,21.833,21.833,21.7841,21.7841,977.25043873643,0
PY.US,D,20161028,000000,21.6185,21.6185,21.6185,21.6185,458.500989543,0
PY.US,D,20161031,000000,21.6371,21.6371,21.6371,21.6371,228.73991460497,0
PY.US,D,20161101,000000,21.55,21.55,21.55,21.55,1390.8203736249,0
PY.US,D,20161103,000000,21.2513,21.2513,21.2513,21.2513,230.78223527109,0
PY.US,D,20161110,000000,22.6145,22.6145,22.6096,22.6096,548.3630988521,0
PY.US,D,20161117,000000,23.3999,23.3999,23.3852,23.3852,348.21567357275,0
PY.US,D,20161118,000000,23.3362,23.3362,23.3264,23.3342,1163.101619353,0
PY.US,D,20161129,000000,23.6632,23.6632,23.6632,23.6632,336.98290990911,0
PY.US,D,20161130,000000,23.7308,23.7308,23.7308,23.7308,171.55493595373,0
PY.US,D,20161202,000000,23.6995,23.6995,23.6995,23.6995,128.6662019653,0
PY.US,D,20161205,000000,23.8611,23.8611,23.8611,23.8611,342.0887115744,0
PY.US,D,20161206,000000,23.9296,23.9472,23.9296,23.9472,294.09417592068,0
PY.US,D,20161208,000000,24.4888,24.4888,24.4888,24.4888,171.55493595373,0
PY.US,D,20161215,000000,24.4291,24.4291,24.4291,24.4291,267.54400726117,0
PY.US,D,20161216,000000,24.7669,24.7669,24.7669,24.7669,230.78223527109,0
PY.US,D,20161219,000000,24.3106,24.3106,24.2675,24.2675,2090.3152017696,0
PY.US,D,20161222,000000,24.336,24.336,24.2587,24.2587,334.940589243,0
PY.US,D,20161228,000000,24.1764,24.1764,24.1764,24.1764,116.4122779686,0
PY.US,D,20170103,000000,24.1333,24.1333,24.051,24.1304,1152.8900160224,0
PY.US,D,20170113,000000,24.2754,24.2842,24.2411,24.2489,1156.9746573546,0
PY.US,D,20170117,000000,24.0599,24.0599,24.0491,24.0491,330.85594791076,0
PY.US,D,20170118,000000,24.0687,24.1353,24.0149,24.1343,3929.4249616069,0
PY.US,D,20170119,000000,24.0413,24.0413,24.0413,24.0413,152.15288962563,0
PY.US,D,20170120,000000,24.1098,24.1098,24.0843,24.0843,1245.8156063307,0
PY.US,D,20170123,000000,24.0482,24.0482,24.0482,24.0482,229.76107493803,0
PY.US,D,20170125,000000,24.5769,24.5769,24.5417,24.5769,1141.6572523587,0
PY.US,D,20170126,000000,24.6465,24.6465,24.5417,24.5769,1849.3213631679,0
PY.US,D,20170127,000000,24.4388,24.4388,24.4388,24.4388,409.48529355622,0
PY.US,D,20170131,000000,24.1186,24.1186,24.1186,24.1186,116.4122779686,0
PY.US,D,20170201,000000,24.2322,24.3017,24.2146,24.3017,1440.8572299447,0
PY.US,D,20170202,000000,24.2929,24.2929,24.2929,24.2929,411.52761422234,0
PY.US,D,20170206,000000,24.62,24.62,24.4908,24.4908,409.48529355622,0
PY.US,D,20170208,000000,24.4115,24.4741,24.4115,24.4741,517.72828886036,0
PY.US,D,20170210,000000,24.8982,24.9324,24.8982,24.9324,1027.2872950563,0
PY.US,D,20170217,000000,25.1401,25.1401,25.1401,25.1401,687.24090414798,0
PY.US,D,20170222,000000,25.3105,25.3105,25.3016,25.3016,992.56784373229,0
PY.US,D,20170227,000000,25.3016,25.3241,25.238,25.2703,3047.1424338448,0
PY.US,D,20170301,000000,25.5229,25.5464,25.5229,25.5464,765.87024979344,0
PY.US,D,20170302,000000,25.3378,25.3378,25.3378,25.3378,225.6764336058,0
PY.US,D,20170306,000000,24.9922,24.9922,24.9922,24.9922,116.4122779686,0
PY.US,D,20170307,000000,24.9559,25.047,24.9559,24.9922,1131.4456490282,0
PY.US,D,20170309,000000,24.8727,24.8727,24.8727,24.8727,229.76107493803,0
PY.US,D,20170314,000000,24.8511,24.8511,24.8511,24.8511,198.10510461324,0
PY.US,D,20170315,000000,24.9647,24.9647,24.9167,24.9167,544.27845751987,0
PY.US,D,20170316,000000,25.0538,25.0538,25.0538,25.0538,299.19997758597,0
PY.US,D,20170321,000000,24.6641,24.6641,24.6641,24.6641,358.42727690333,0
PY.US,D,20170404,000000,24.6308,24.6308,24.6308,24.6308,201.16858561241,0
PY.US,D,20170407,000000,24.7082,24.7082,24.6582,24.7043,365.57539923473,0
PY.US,D,20170425,000000,25.2204,25.2204,25.2204,25.2204,155.2163706248,0
PY.US,D,20170427,000000,25.2595,25.2742,25.1273,25.2742,11088.780056676,0
PY.US,D,20170502,000000,24.9285,24.9285,24.9285,24.9285,344.13103224052,0
PY.US,D,20170504,000000,24.8316,24.8316,24.8316,24.8316,398.25252989259,0
PY.US,D,20170519,000000,24.4125,24.434,24.4125,24.434,459.52214987606,0
PY.US,D,20170523,000000,24.3703,24.388,24.3703,24.3703,1461.2804366059,0
PY.US,D,20170524,000000,24.4271,24.4271,24.4271,24.4271,124.58156063307,0
PY.US,D,20170531,000000,24.5701,24.5701,24.5603,24.5603,572.87094684549,0
PY.US,D,20170601,000000,24.9197,25.2565,24.9099,25.0186,3913.0863962779,0
PY.US,D,20170602,000000,25.0686,25.0686,25.0235,25.0293,1277.4715766555,0
PY.US,D,20170606,000000,24.7816,24.7816,24.7816,24.7816,152.15288962563,0
PY.US,D,20170607,000000,24.8316,24.8316,24.8227,24.8227,256.31124359754,0
PY.US,D,20170609,000000,25.1537,25.1537,25.1018,25.1018,845.52075577195,0
PY.US,D,20170628,000000,25.4759,25.5132,25.4759,25.5132,2411.9807066828,0
PY.US,D,20170629,000000,25.5367,25.5367,25.5219,25.5219,4676.9143254053,0
PY.US,D,20170706,000000,25.2957,25.3123,25.2957,25.3123,342.0887115744,0
PY.US,D,20170711,000000,25.3026,25.3026,25.3026,25.3026,1176.3767036827,0
PY.US,D,20170713,000000,25.6326,25.6326,25.6326,25.6326,154.19521029175,0
PY.US,D,20170717,000000,25.7893,25.7893,25.7129,25.7129,576.95558817772,0
PY.US,D,20170724,000000,25.7315,25.7315,25.7315,25.7315,115.39111763554,0
PY.US,D,20170725,000000,25.8059,25.8059,25.7217,25.7629,578.99790884384,0
PY.US,D,20170727,000000,25.7629,25.7795,25.7629,25.7795,6754.9756031781,0
PY.US,D,20170731,000000,25.8882,25.8882,25.8882,25.8882,115.39111763554,0
PY.US,D,20170802,000000,25.8226,25.8226,25.8226,25.8226,653.54261315707,0
PY.US,D,20170803,000000,25.8324,25.8324,25.8324,25.8324,774.0395324579,0
PY.US,D,20170809,000000,25.6698,25.6698,25.6698,25.6698,342.0887115744,0
PY.US,D,20170810,000000,25.5327,25.5327,25.1959,25.1959,1033.4142570546,0
PY.US,D,20170817,000000,25.3809,25.3809,25.3809,25.3809,116.4122779686,0
PY.US,D,20170821,000000,24.9177,24.9569,24.9177,24.9569,411.52761422234,0
PY.US,D,20170822,000000,25.2477,25.2477,25.2477,25.2477,199.12626494629,0
PY.US,D,20170825,000000,25.38,25.38,25.38,25.38,209.33786827687,0
PY.US,D,20170828,000000,25.2222,25.2222,25.2222,25.2222,160.32217229009,0
PY.US,D,20170829,000000,25.2047,25.2047,25.2047,25.2047,1189.6517880125,0
PY.US,D,20170905,000000,25.4486,25.4486,25.233,25.2419,703.5794694769,0
PY.US,D,20170906,000000,25.4309,25.4309,25.4309,25.4309,226.69759393886,0
PY.US,D,20170911,000000,25.6297,25.6297,25.6297,25.6297,116.4122779686,0
PY.US,D,20170912,000000,25.8617,25.9646,25.8147,25.9646,535.08801452235,0
PY.US,D,20170918,000000,26.1654,26.1654,26.1202,26.1202,454.41634821077,0
PY.US,D,20170929,000000,26.5228,26.5228,26.5159,26.5159,612.69619983475,0
PY.US,D,20171005,000000,26.8626,26.8626,26.8626,26.8626,519.77060952648,0
PY.US,D,20171006,000000,26.7569,26.7569,26.7569,26.7569,115.39111763554,0
PY.US,D,20171012,000000,26.6784,26.6784,26.6589,26.6589,277.75561059175,0
PY.US,D,20171211,000000,28.1591,28.1591,28.1591,28.1591,421.73921755292,0
PY.US,D,20171214,000000,28.1816,28.1905,28.1816,28.1905,456.45866887689,0
PY.US,D,20171218,000000,28.6214,28.6214,28.5381,28.5381,569.80746584632,0
PY.US,D,20171220,000000,28.5714,28.5714,28.5626,28.5626,6564.0186208963,0
PY.US,D,20171222,000000,28.5979,28.5979,28.5107,28.5597,1271.3446146571,0
PY.US,D,20171229,000000,28.6615,28.7271,28.6615,28.7271,677.0293008174,0
PY.US,D,20180102,000000,28.5939,28.5939,28.5939,28.5939,115.39111763554,0
PY.US,D,20180103,000000,27.5638,28.8534,27.5638,28.8534,74628.439460538,0
PY.US,D,20180109,000000,29.1766,29.1766,27.4482,28.2384,633.11940649591,0
PY.US,D,20180116,000000,30.1206,30.1206,29.869,29.869,451.3528672116,0
PY.US,D,20180119,000000,30.2215,30.2313,30.2215,30.2313,24576.265735705,0
PY.US,D,20180122,000000,30.3566,30.4447,30.3566,30.4447,1246.8367666637,0
PY.US,D,20180124,000000,30.5486,30.5486,30.5398,30.5398,15680.938074438,0
PY.US,D,20180125,000000,30.5045,30.5045,30.3537,30.3537,3445.3949637374,0
PY.US,D,20180126,000000,30.6123,30.6671,30.6123,30.6671,12673.620893582,0
PY.US,D,20180201,000000,30.0119,30.0981,29.9845,29.9845,2273.1029013869,0
PY.US,D,20180206,000000,28.3903,28.3903,28.3903,28.3903,418.67573655375,0
PY.US,D,20180207,000000,28.9092,28.9455,28.875,28.9455,16776.643111808,0
PY.US,D,20180213,000000,28.3903,28.6125,28.3903,28.5939,4898.5061176788,0
PY.US,D,20180214,000000,28.5665,29.1492,28.5665,29.1492,1818.6865531761,0
PY.US,D,20180215,000000,29.1942,29.1942,29.0856,29.0856,691.32554548021,0
PY.US,D,20180216,000000,29.2892,29.2892,29.2853,29.2853,412.5487745554,0
PY.US,D,20180220,000000,28.9739,28.9739,28.9455,28.9455,2578.4298409712,0
PY.US,D,20180221,000000,29.2187,29.2187,29.019,29.019,2952.1745228704,0
PY.US,D,20180222,000000,29.1492,29.1492,29.1472,29.1472,341.06755124134,0
PY.US,D,20180227,000000,29.3598,29.3764,29.3598,29.3764,16467.231530892,0
PY.US,D,20180305,000000,28.9014,28.9014,28.9014,28.9014,563.68050384797,0
PY.US,D,20180306,000000,29.1129,29.1129,29.1041,29.1041,3603.6748153614,0
PY.US,D,20180308,000000,29.0679,29.0679,28.9377,28.9377,5336.5839005607,0
PY.US,D,20180309,000000,29.4224,29.4411,29.3333,29.4411,15540.017948476,0
PY.US,D,20180312,000000,29.4411,29.4763,29.4411,29.4763,22820.891123178,0
PY.US,D,20180313,000000,29.4411,29.4411,29.4126,29.4126,4014.1812692507,0
PY.US,D,20180314,000000,29.2187,29.2354,27.836,27.836,7205.3073100567,0
PY.US,D,20180315,000000,29.1492,29.1492,29.0552,29.0552,3690.4734436713,0
PY.US,D,20180319,000000,28.9014,28.9092,28.9014,28.9014,679.07162148351,0
PY.US,D,20180320,000000,29.0288,29.0288,28.8848,28.9739,44317.33729438,0
PY.US,D,20180326,000000,28.2051,28.2218,28.2051,28.2218,1348.9527999695,0
PY.US,D,20180327,000000,27.6764,27.7498,27.6764,27.7498,679.07162148351,0
PY.US,D,20180328,000000,27.9231,27.9299,27.8086,27.836,1395.9261752902,0
