<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QABA.US,D,20090701,000000,16.3655,16.5703,16.3477,16.4951,18403.699682409,0
QABA.US,D,20090702,000000,16.5307,16.5307,15.7879,15.8305,8353.0938183851,0
QABA.US,D,20090706,000000,15.78,15.9145,15.6929,15.9145,3015.8894771536,0
QABA.US,D,20090707,000000,15.9967,15.9967,15.7444,15.7444,9943.4371464316,0
QABA.US,D,20090708,000000,15.8305,15.873,15.3873,15.4467,6947.7681820313,0
QABA.US,D,20090709,000000,16.1103,16.1103,15.5515,15.6277,6221.8517741881,0
QABA.US,D,20090710,000000,15.5832,15.5832,15.4556,15.5515,1694.4789687259,0
QABA.US,D,20090713,000000,15.5832,16.2093,15.5832,16.2093,3841.8974231256,0
QABA.US,D,20090714,000000,16.3557,16.3557,16.0877,16.1045,2356.7007613962,0
QABA.US,D,20090715,000000,16.4071,16.4873,16.3399,16.4873,6538.3027987771,0
QABA.US,D,20090716,000000,16.5307,16.6593,16.3903,16.6327,6464.4979272276,0
QABA.US,D,20090717,000000,16.6683,16.6683,16.2023,16.2261,4936.8381887164,0
QABA.US,D,20090720,000000,15.9967,16.1767,15.9967,16.1767,3229.2158867008,0
QABA.US,D,20090721,000000,16.1599,16.1599,15.7098,15.7533,3171.5874253539,0
QABA.US,D,20090722,000000,15.873,15.9047,15.7098,15.9047,996.87127873732,0
QABA.US,D,20090723,000000,16.1045,16.3823,16.0777,16.3823,20425.750957738,0
QABA.US,D,20090724,000000,16.2023,16.4783,16.2023,16.4783,3171.5874253539,0
QABA.US,D,20090727,000000,16.5397,17.0085,16.5397,17.0085,5518.1779303735,0
QABA.US,D,20090728,000000,17.0223,17.2696,16.9817,17.2696,3893.4597306465,0
QABA.US,D,20090729,000000,17.2696,17.2696,16.8156,17.1845,3104.8597332681,0
QABA.US,D,20090730,000000,17.3725,17.6019,17.3725,17.5475,6926.5366436403,0
QABA.US,D,20090731,000000,17.6277,17.7009,17.6019,17.6099,5622.313571053,0
QABA.US,D,20090803,000000,17.9649,17.9649,17.7849,17.958,8294.4543314006,0
QABA.US,D,20090804,000000,17.958,18.3013,17.7691,18.2191,10869.536630532,0
QABA.US,D,20090805,000000,18.4139,18.4139,18.1271,18.3259,25945.950939387,0
QABA.US,D,20090806,000000,18.4971,18.4971,18.049,18.1687,24410.202995774,0
QABA.US,D,20090807,000000,18.5217,19.1687,18.4575,18.8521,12878.444572572,0
QABA.US,D,20090810,000000,18.8521,19.1687,18.7315,18.956,7729.290999946,0
QABA.US,D,20090811,000000,18.7413,18.7413,18.1193,18.3823,7129.7527968109,0
QABA.US,D,20090812,000000,18.3735,18.5949,18.3735,18.5881,6326.9984405052,0
QABA.US,D,20090813,000000,19.0143,19.0143,18.3013,18.5555,5936.7425443667,0
QABA.US,D,20090814,000000,18.6979,18.6979,17.9649,18.1193,12067.602011165,0
QABA.US,D,20090817,000000,17.6277,17.8323,17.5397,17.5397,8056.8633065494,0
QABA.US,D,20090818,000000,17.7592,17.7592,17.7187,17.7187,3512.3030652469,0
QABA.US,D,20090819,000000,17.2349,17.9333,17.2349,17.8155,5740.6035706597,0
QABA.US,D,20090820,000000,17.9085,17.9085,17.9085,17.9085,114.2458970561,0
QABA.US,D,20090821,000000,18.1271,18.3576,18.1271,18.3576,5558.6189558801,0
QABA.US,D,20090824,000000,18.6533,18.6533,18.049,18.0559,2581.1484529578,0
QABA.US,D,20090825,000000,18.1855,18.1855,18.0055,18.0055,2925.9081954014,0
QABA.US,D,20090826,000000,18.2755,18.2755,17.9491,17.9491,1948.2464037797,0
QABA.US,D,20090827,000000,17.8027,18.0055,17.7691,18.0055,3994.5622944129,0
QABA.US,D,20090828,000000,17.777,17.777,17.777,17.777,364.98025519693,0
QABA.US,D,20090831,000000,17.6435,17.6761,17.6355,17.6593,1708.6333276532,0
QABA.US,D,20090901,000000,17.6761,17.7592,17.1173,17.1173,1829.956404173,0
QABA.US,D,20090902,000000,16.8977,17.1509,16.8977,16.9135,7527.0858724131,0
QABA.US,D,20090903,000000,16.9817,17.0688,16.9749,17.0688,2252.5651207168,0
QABA.US,D,20090904,000000,17.4723,17.4723,17.1083,17.2617,93848.454816218,0
QABA.US,D,20090908,000000,17.6919,17.6919,17.3013,17.3725,10209.336889138,0
QABA.US,D,20090909,000000,17.3883,17.6761,17.3883,17.6761,9648.2176602335,0
QABA.US,D,20090910,000000,17.596,17.7009,17.5791,17.6593,7001.3525408275,0
QABA.US,D,20090911,000000,18.0935,18.0935,17.6761,17.6919,8339.9504850955,0
QABA.US,D,20090914,000000,17.7691,17.7691,17.4467,17.7087,8362.1930491241,0
QABA.US,D,20090915,000000,17.8393,17.8393,17.5307,17.7423,1819.8461477963,0
QABA.US,D,20090916,000000,18.049,18.7167,18.049,18.7167,5864.9597240925,0
QABA.US,D,20090917,000000,18.7413,18.8443,18.4407,18.5049,4699.2471638652,0
QABA.US,D,20090918,000000,18.5386,18.5386,18.5386,18.5386,116.26794833143,0
QABA.US,D,20090921,000000,18.5713,18.5713,18.3181,18.3735,1723.7987122182,0
QABA.US,D,20090922,000000,18.4971,18.4971,18.4317,18.4743,1840.0666605496,0
QABA.US,D,20090923,000000,18.7315,18.7315,18.4575,18.4575,2919.8420415754,0
QABA.US,D,20090924,000000,18.4891,18.4891,17.9649,18.1271,3768.092551576,0
QABA.US,D,20090925,000000,17.9085,17.9243,17.8393,17.8393,1783.4492248404,0
QABA.US,D,20090928,000000,18.0411,18.3339,18.0411,18.3339,1378.0279441369,0
QABA.US,D,20090929,000000,18.3339,18.4575,18.3339,18.4575,930.14358665145,0
QABA.US,D,20090930,000000,18.049,18.1687,18.0312,18.1687,1402.2925594408,0
QABA.US,D,20091001,000000,18.3181,18.3181,17.8531,17.8531,13055.374059163,0
QABA.US,D,20091002,000000,17.5397,17.7849,17.2271,17.7849,3145.3007587746,0
QABA.US,D,20091005,000000,17.7849,17.8729,17.7423,17.8631,1648.982815031,0
QABA.US,D,20091006,000000,18.0767,18.1855,17.9491,17.9491,4717.4456253431,0
QABA.US,D,20091007,000000,17.8907,17.9887,17.8027,17.9887,650.08948501835,0
QABA.US,D,20091008,000000,18.049,18.2013,18.049,18.2013,1903.7612757225,0
