<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QAT.US,D,20140505,000000,19.0754,19.0754,18.8802,18.9768,1863.8448116985,0
QAT.US,D,20140506,000000,18.9459,18.9459,18.7681,18.7681,4209.950413098,0
QAT.US,D,20140507,000000,18.7903,18.8048,18.7604,18.8048,1602.016528878,0
QAT.US,D,20140508,000000,18.9691,18.9691,18.9101,18.9101,1969.4040403455,0
QAT.US,D,20140509,000000,18.8367,18.8647,18.8367,18.8647,1481.968778652,0
QAT.US,D,20140512,000000,19.143,19.143,19.0841,19.1053,1806.925619781,0
QAT.US,D,20140513,000000,19.1517,19.2049,19.1285,19.1285,2179.487603241,0
QAT.US,D,20140514,000000,19.1962,19.1962,19.1131,19.1285,3131.590449861,0
QAT.US,D,20140515,000000,19.1053,19.1053,19.0232,19.0464,4037.1230485485,0
QAT.US,D,20140516,000000,18.9855,19.0145,18.9768,19.0145,1484.038567449,0
QAT.US,D,20140519,000000,18.657,18.7072,18.657,18.6869,10175.081726052,0
QAT.US,D,20140520,000000,18.6251,18.6251,18.2869,18.3101,9661.774104396,0
QAT.US,D,20140521,000000,18.2869,18.4898,18.2869,18.4241,4529.7327822345,0
QAT.US,D,20140522,000000,18.9014,18.9324,18.7971,18.8367,4961.283746409,0
QAT.US,D,20140523,000000,18.7681,18.9101,18.7681,18.8145,6323.204774835,0
QAT.US,D,20140527,000000,19.7054,19.7054,19.3305,19.5189,93562.732779588,0
QAT.US,D,20140528,000000,19.6609,19.6609,19.1353,19.4049,9370.9687784175,0
QAT.US,D,20140529,000000,19.7962,19.9982,19.601,19.8184,435571.52891267,0
QAT.US,D,20140530,000000,19.8407,20.3731,19.8407,20.3731,984525.05323061,0
QAT.US,D,20140602,000000,20.2146,20.2146,19.8793,19.8793,150311.16712134,0
QAT.US,D,20140603,000000,19.5112,19.5112,19.286,19.4522,100398.21028168,0
QAT.US,D,20140604,000000,19.2474,19.3305,19.2474,19.3247,149913.76767231,0
QAT.US,D,20140605,000000,19.5189,19.916,19.4658,19.916,64296.954084407,0
QAT.US,D,20140606,000000,20.2291,20.2291,19.5189,19.9846,178701.42515539,0
QAT.US,D,20140609,000000,19.1198,19.3981,18.8048,19.3981,59350.158859577,0
QAT.US,D,20140610,000000,19.0464,19.0686,18.7681,19.0532,6393.577593933,0
QAT.US,D,20140611,000000,19.0145,19.0145,18.7526,18.7526,10122.302111729,0
QAT.US,D,20140612,000000,18.7613,18.7613,18.7613,18.7613,503.9935720695,0
QAT.US,D,20140613,000000,19.0232,19.2551,18.8744,19.2551,6183.4940310375,0
QAT.US,D,20140616,000000,18.6038,18.6038,18.0038,18.2202,201758.87235397,0
QAT.US,D,20140617,000000,17.9951,18.1381,17.9719,17.9786,99487.503211001,0
QAT.US,D,20140618,000000,18.0637,18.2482,17.9951,18.2144,95926.431585762,0
QAT.US,D,20140619,000000,18.2144,18.2144,17.882,17.882,20922.460054475,0
QAT.US,D,20140620,000000,17.8685,17.9786,17.8298,17.9052,10000.184572706,0
QAT.US,D,20140623,000000,17.8443,17.8443,17.7168,17.7245,73039.741962935,0
QAT.US,D,20140624,000000,17.7168,17.8588,17.6955,17.7081,8281.224976797,0
QAT.US,D,20140625,000000,17.568,17.568,17.282,17.4868,2529.281909934,0
QAT.US,D,20140626,000000,16.9602,17.1989,16.8384,17.0568,17919.196510028,0
QAT.US,D,20140627,000000,17.1544,17.1699,17.0723,17.1177,18490.458218,0
QAT.US,D,20140630,000000,16.5534,16.5534,16.3524,16.3968,55600.736453811,0
QAT.US,D,20140701,000000,17.0645,17.4868,17.0645,17.253,73575.817261358,0
QAT.US,D,20140702,000000,17.3641,17.853,17.3641,17.6346,10794.983470754,0
QAT.US,D,20140703,000000,17.6714,17.7931,17.5593,17.6791,17588.030302508,0
QAT.US,D,20140707,000000,17.8685,17.8685,17.6482,17.6482,2142.231404895,0
QAT.US,D,20140708,000000,17.7081,18.0985,17.7081,18.0221,28995.671257173,0
QAT.US,D,20140709,000000,18.4154,18.4686,18.3101,18.4686,5943.3985305855,0
QAT.US,D,20140710,000000,18.715,18.7236,18.6183,18.6251,8408.5169878125,0
QAT.US,D,20140711,000000,18.7526,18.7604,18.6869,18.6869,3688.363636254,0
QAT.US,D,20140714,000000,18.8048,18.8348,18.7604,18.828,158565.48484377,0
QAT.US,D,20140715,000000,18.8367,19.1962,18.8367,19.1662,276870.4729027,0
QAT.US,D,20140716,000000,19.4368,19.4368,19.2628,19.3063,40526.46464526,0
QAT.US,D,20140717,000000,19.3769,19.5479,19.2773,19.2938,13159.717171326,0
QAT.US,D,20140718,000000,19.2938,19.4571,19.2938,19.4522,18165.501376871,0
QAT.US,D,20140721,000000,19.1353,19.1517,19.0145,19.0367,14439.881542271,0
QAT.US,D,20140722,000000,19.3682,19.4745,19.3247,19.3247,966.591368199,0
QAT.US,D,20140723,000000,19.5402,19.5402,19.2194,19.2194,1770.7043158335,0
QAT.US,D,20140724,000000,19.0309,19.0309,18.6686,18.8956,21778.317722034,0
QAT.US,D,20140725,000000,18.6038,18.715,18.6038,18.6966,29271.988061573,0
QAT.US,D,20140728,000000,18.6937,18.8744,18.6937,18.8744,1398.1423323735,0
QAT.US,D,20140729,000000,18.8956,18.9014,18.828,18.8744,29298.895315934,0
QAT.US,D,20140730,000000,18.7604,18.7604,18.6405,18.6628,8327.7952247295,0
QAT.US,D,20140731,000000,18.5062,19.0058,18.5062,18.5507,39078.647381759,0
QAT.US,D,20140801,000000,18.5729,18.5729,18.5285,18.5285,1243.943066997,0
QAT.US,D,20140804,000000,19.001,19.001,18.5797,18.858,89716.030300364,0
QAT.US,D,20140805,000000,18.8425,19.0957,18.8425,19.0957,6795.116620551,0
QAT.US,D,20140806,000000,19.1517,19.1517,18.8937,19.0145,13279.764921552,0
QAT.US,D,20140807,000000,18.801,18.801,18.801,18.801,280.4563819935,0
QAT.US,D,20140808,000000,19.1131,19.3836,18.7565,18.8956,11538.037648877,0
