<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QCLN.US,D,20070214,000000,18.4393,18.6261,18.4393,18.5692,5973.025619838,0
QCLN.US,D,20070215,000000,18.5782,18.6261,18.5012,18.5692,35695.986498442,0
QCLN.US,D,20070216,000000,18.5602,20.4989,18.5602,18.6541,139252.79256414,0
QCLN.US,D,20070220,000000,18.7449,18.9117,18.5782,18.8748,79717.765999662,0
QCLN.US,D,20070221,000000,18.8448,19.0506,18.8278,19.0226,52569.833933365,0
QCLN.US,D,20070222,000000,19.2083,20.301,19.1994,19.497,94512.16753911,0
QCLN.US,D,20070223,000000,19.564,19.6589,19.516,19.6109,71346.920004445,0
QCLN.US,D,20070226,000000,19.7427,19.7787,19.573,19.6968,46589.800070258,0
QCLN.US,D,20070227,000000,20.7936,20.7936,18.5312,18.6541,50761.707170136,0
QCLN.US,D,20070228,000000,18.7259,18.7539,18.3444,18.6541,32830.616179305,0
QCLN.US,D,20070301,000000,18.6441,18.6441,17.9719,18.5402,32446.163977155,0
QCLN.US,D,20070302,000000,18.4942,18.4942,18.0278,18.0748,11652.706200016,0
QCLN.US,D,20070305,000000,17.7001,18.0648,17.5792,17.5792,14414.955225348,0
QCLN.US,D,20070306,000000,17.832,18.2405,17.832,18.1925,19791.278989768,0
QCLN.US,D,20070307,000000,18.3354,18.4473,18.2595,18.3644,11951.057127725,0
QCLN.US,D,20070308,000000,18.7169,18.7169,18.5012,18.5971,12881.151127194,0
QCLN.US,D,20070309,000000,18.8927,18.9387,18.7449,18.8108,24377.673620087,0
QCLN.US,D,20070312,000000,18.8278,19.0226,18.8188,18.9677,35529.791015221,0
QCLN.US,D,20070313,000000,18.8828,18.9197,18.4673,18.4673,19174.553582156,0
QCLN.US,D,20070314,000000,18.5782,18.5782,18.0937,18.3923,13277.617460659,0
QCLN.US,D,20070315,000000,18.4293,18.5692,18.4293,18.5692,7777.1476726285,0
QCLN.US,D,20070316,000000,18.4013,18.6441,18.2974,18.4013,4958.8327011495,0
QCLN.US,D,20070319,000000,18.5782,18.5782,18.4293,18.4293,4283.0378145604,0
QCLN.US,D,20070320,000000,18.5012,18.7169,18.5012,18.6979,7677.0299116524,0
QCLN.US,D,20070321,000000,18.7918,19.1245,18.7829,19.0876,10040.8102483,0
QCLN.US,D,20070322,000000,19.1904,19.3232,19.1445,19.2843,14717.310863496,0
QCLN.US,D,20070323,000000,19.2932,19.3612,19.2543,19.3232,10422.258917619,0
QCLN.US,D,20070326,000000,22.3497,22.3497,18.6351,19.2263,7381.6825167727,0
QCLN.US,D,20070327,000000,19.3232,19.3981,17.7001,19.2173,47921.366291242,0
