<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQEW.US,D,20060425,000000,18.5153,18.6001,18.3088,18.3478,8987.5877278117,0
QQEW.US,D,20060426,000000,18.4414,18.4504,18.3567,18.3836,9608.2165546207,0
QQEW.US,D,20060427,000000,18.27,18.5532,18.27,18.4594,10804.35579595,0
QQEW.US,D,20060428,000000,19.0778,19.0778,18.3936,18.4136,17116.922990763,0
QQEW.US,D,20060501,000000,18.4884,18.4884,18.242,18.252,81447.757862679,0
QQEW.US,D,20060502,000000,18.4594,18.4594,18.2798,18.3278,7641.0537788546,0
QQEW.US,D,20060503,000000,18.3088,18.3378,18.261,18.3278,79623.971374852,0
QQEW.US,D,20060504,000000,18.4226,18.5532,18.4226,18.4973,124089.67063196,0
QQEW.US,D,20060505,000000,18.638,18.7018,18.5711,18.6938,9016.664037953,0
QQEW.US,D,20060508,000000,19.1546,19.1546,18.6649,18.7287,48762.977369715,0
QQEW.US,D,20060509,000000,19.0977,19.0977,18.638,18.7018,69690.902251755,0
QQEW.US,D,20060510,000000,18.628,18.6649,18.4973,18.5901,15037.465499969,0
QQEW.US,D,20060511,000000,18.9183,18.9183,18.1962,18.1962,74408.282914335,0
QQEW.US,D,20060512,000000,17.7613,18.1024,17.7613,17.862,64443.129586944,0
QQEW.US,D,20060515,000000,17.7613,17.8441,17.6655,17.7423,3473.1151148081,0
QQEW.US,D,20060516,000000,17.9208,17.9208,17.6555,17.7423,14245.386706465,0
QQEW.US,D,20060517,000000,17.6087,17.6087,17.4112,17.478,30974.29135155,0
QQEW.US,D,20060518,000000,17.5429,17.5429,17.2905,17.2995,14367.707735335,0
QQEW.US,D,20060519,000000,17.1978,17.4491,17.1978,17.3932,15866.641654688,0
QQEW.US,D,20060522,000000,17.071,17.3284,17.0522,17.2636,10913.642616827,0
QQEW.US,D,20060523,000000,17.9298,17.9298,17.0522,17.1,36341.377151078,0
QQEW.US,D,20060524,000000,17.0332,17.1878,16.8636,16.8636,8542.4193932347,0
QQEW.US,D,20060525,000000,17.7134,17.7134,17.11,17.2995,17339.507158052,0
QQEW.US,D,20060526,000000,16.9514,17.4112,16.9514,17.4022,11393.90304985,0
QQEW.US,D,20060530,000000,17.2636,17.2636,17.11,17.11,9867.8980831239,0
QQEW.US,D,20060531,000000,17.6365,17.6365,17.1389,17.2905,10152.645396232,0
QQEW.US,D,20060601,000000,17.4301,17.862,17.2905,17.6277,40230.584290322,0
QQEW.US,D,20060602,000000,18.0934,18.0934,17.478,17.6087,57203.128361763,0
QQEW.US,D,20060605,000000,17.6555,17.6555,17.2077,17.2077,31251.017613584,0
QQEW.US,D,20060606,000000,17.4112,17.4112,16.9892,17.119,80897.313232764,0
QQEW.US,D,20060607,000000,17.2995,17.3184,17.0432,17.0432,80701.800112847,0
QQEW.US,D,20060608,000000,16.8736,16.9244,16.6213,16.8816,42413.312813687,0
QQEW.US,D,20060609,000000,17.5429,17.5429,16.8546,16.9324,46150.119982536,0
QQEW.US,D,20060612,000000,16.6891,16.724,16.4866,16.4866,6447.9224316775,0
QQEW.US,D,20060613,000000,16.3351,16.6213,16.3351,16.3649,15209.918098048,0
QQEW.US,D,20060614,000000,16.0258,16.4767,15.9141,16.4208,86956.214687378,0
QQEW.US,D,20060615,000000,16.5943,17.0242,16.5943,17.0242,13685.918394091,0
QQEW.US,D,20060616,000000,17.0142,17.0142,16.8546,16.9145,16903.362505933,0
QQEW.US,D,20060619,000000,16.9145,16.9244,16.6691,16.744,16397.03365692,0
QQEW.US,D,20060620,000000,16.7529,16.8546,16.6891,16.716,2455.4442598629,0
QQEW.US,D,20060621,000000,16.8736,17.1778,16.7529,17.0522,4721.3911881153,0
QQEW.US,D,20060622,000000,16.8088,16.8816,16.8088,16.8816,2809.3731384793,0
QQEW.US,D,20060623,000000,17.0142,17.0142,16.8367,16.9614,4280.233379075,0
QQEW.US,D,20060626,000000,16.9424,16.9424,16.9424,16.9424,4329.3623168999,0
QQEW.US,D,20060627,000000,17.119,17.119,16.6592,16.6981,47534.753924091,0
QQEW.US,D,20060628,000000,16.6891,16.7619,16.6302,16.734,857.24983347602,0
QQEW.US,D,20060629,000000,16.734,17.2446,16.734,17.2446,21504.437927946,0
QQEW.US,D,20060630,000000,17.7134,17.7134,17.1978,17.2167,46242.36206988,0
QQEW.US,D,20060703,000000,17.5159,17.5159,17.2356,17.2905,27873.152480273,0
QQEW.US,D,20060705,000000,17.1,17.1,16.9324,16.9324,25142.987221144,0
QQEW.US,D,20060706,000000,16.9704,17.0522,16.8636,16.8996,10925.674193437,0
QQEW.US,D,20060707,000000,16.7798,16.8168,16.6402,16.6691,7842.5826870753,0
QQEW.US,D,20060710,000000,16.716,16.734,16.4387,16.4477,5484.3936714781,0
QQEW.US,D,20060711,000000,16.3549,16.5155,16.3549,16.5155,10434.384815188,0
QQEW.US,D,20060712,000000,16.4297,16.4297,16.2333,16.2891,330901.44361589,0
QQEW.US,D,20060713,000000,15.7934,16.2991,15.6288,16.0737,60550.914553548,0
QQEW.US,D,20060714,000000,15.944,16.0637,15.8214,15.9341,27510.199919199,0
QQEW.US,D,20060717,000000,15.7386,16.0059,15.7386,15.8513,10476.495333323,0
QQEW.US,D,20060718,000000,16.0927,16.0927,15.6947,15.9141,4108.7834123798,0
QQEW.US,D,20060719,000000,15.9889,16.2503,15.979,16.1954,134918.08958113,0
QQEW.US,D,20060720,000000,16.2153,16.2153,15.8862,15.8862,3321.7177757965,0
QQEW.US,D,20060721,000000,15.6558,15.7146,15.555,15.555,4385.5096744141,0
QQEW.US,D,20060724,000000,15.7566,15.9341,15.7566,15.9341,9842.8322985194,0
QQEW.US,D,20060725,000000,15.9889,16.0837,15.9341,16.0637,13391.144767141,0
QQEW.US,D,20060726,000000,15.97,16.1315,15.8862,16.0159,6278.4777277507,0
QQEW.US,D,20060727,000000,16.1595,16.1595,15.8592,15.8772,7640.0511474705,0
QQEW.US,D,20060728,000000,16.0358,16.1775,15.9341,16.1775,2672.0126388463,0
QQEW.US,D,20060731,000000,16.1026,16.2153,16.0927,16.1595,17455.812398617,0
QQEW.US,D,20060801,000000,16.0159,16.0358,15.8034,15.9241,9867.8980831239,0
QQEW.US,D,20060802,000000,15.97,16.1495,15.97,16.1026,1656.3470466694,0
QQEW.US,D,20060803,000000,15.97,16.2603,15.97,16.2603,1178.0918764144,0
QQEW.US,D,20060804,000000,16.2891,16.4029,16.0358,16.1395,10376.232194905,0
QQEW.US,D,20060807,000000,16.1026,16.1226,15.979,16.0258,30552.183538808,0
QQEW.US,D,20060808,000000,16.0537,16.1126,15.8862,15.951,21772.140507523,0
QQEW.US,D,20060809,000000,16.1775,16.1775,15.9241,15.9241,2031.3311843537,0
QQEW.US,D,20060810,000000,15.9052,16.1226,15.9052,16.0438,2836.4441858522,0
QQEW.US,D,20060811,000000,16.0438,16.0438,15.9341,15.9341,12975.052742706,0
QQEW.US,D,20060814,000000,16.1226,16.2791,16.0637,16.0637,2541.6705589026,0
QQEW.US,D,20060815,000000,16.2503,16.4966,16.2413,16.4966,2838.4494486206,0
QQEW.US,D,20060816,000000,16.5555,16.8367,16.5555,16.8367,6463.9645338244,0
QQEW.US,D,20060817,000000,16.9614,17.08,16.8367,16.9704,9209.169263716,0
QQEW.US,D,20060818,000000,16.9075,16.9514,16.8456,16.9514,2549.691609976,0
QQEW.US,D,20060821,000000,16.8456,16.8546,16.7529,16.7988,148564.90535124,0
QQEW.US,D,20060822,000000,16.8546,16.9075,16.7619,16.7798,8668.7509476417,0
QQEW.US,D,20060823,000000,16.8456,16.8456,16.5844,16.6302,7355.3038343626,0
QQEW.US,D,20060824,000000,16.724,16.724,16.5155,16.6691,4814.6359068442,0
QQEW.US,D,20060825,000000,16.6302,16.734,16.6302,16.724,1013.6603294085,0
QQEW.US,D,20060828,000000,16.8546,16.8546,16.8546,16.8546,100.26313841825,0
QQEW.US,D,20060829,000000,16.8456,16.9075,16.8456,16.9075,1072.8155810752,0
QQEW.US,D,20060830,000000,16.9614,16.9614,16.8996,16.9514,10594.805836657,0
QQEW.US,D,20060831,000000,16.9972,17.0062,16.9424,16.9704,2142.6232679979,0
QQEW.US,D,20060901,000000,17.6187,17.6187,16.9704,17.0522,11345.776743409,0
QQEW.US,D,20060905,000000,16.4966,17.1678,16.4966,17.1678,8669.7535790259,0
QQEW.US,D,20060906,000000,17.0522,17.0522,16.7988,16.7988,11680.655625726,0
QQEW.US,D,20060907,000000,16.6891,16.8456,16.6213,16.6691,7908.7563584314,0
QQEW.US,D,20060908,000000,16.5455,16.8267,16.5355,16.8267,2660.9836936203,0
QQEW.US,D,20060911,000000,16.6043,16.9972,16.6043,16.9324,3445.041436051,0
QQEW.US,D,20060912,000000,16.6592,17.3653,16.5065,17.3384,7109.6591452379,0
QQEW.US,D,20060913,000000,17.1778,17.4691,17.1778,17.4591,9972.1717470789,0
QQEW.US,D,20060914,000000,16.8996,17.4969,16.8996,17.4591,11342.768849257,0
QQEW.US,D,20060915,000000,17.5349,17.7513,17.478,17.4969,4038.599215487,0
QQEW.US,D,20060918,000000,17.5897,17.6465,17.478,17.5159,13105.39482265,0
QQEW.US,D,20060919,000000,17.4301,17.6087,17.2267,17.3833,63068.521959231,0
QQEW.US,D,20060920,000000,17.6655,17.7134,17.5159,17.6365,18762.241092207,0
QQEW.US,D,20060921,000000,17.5429,17.7134,17.2167,17.487,31403.41758398,0
QQEW.US,D,20060922,000000,17.2995,17.4391,17.2995,17.3833,5770.1436159701,0
QQEW.US,D,20060925,000000,17.3653,17.6935,17.3563,17.6655,8182.4747263132,0
QQEW.US,D,20060926,000000,17.2446,17.7323,17.2446,17.7323,15735.29694336,0
QQEW.US,D,20060927,000000,17.7713,17.7713,17.6187,17.6735,8163.4247300137,0
QQEW.US,D,20060928,000000,17.7223,17.7513,17.5617,17.7223,38547.166196279,0
QQEW.US,D,20060929,000000,17.7323,17.7713,17.6555,17.6555,15631.023279405,0
