<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQ.US,D,19990310,000000,44.1156,44.1425,43.3903,44.0609,12125940.292382,0
QQQ.US,D,19990311,000000,44.3806,44.6346,43.4092,44.2691,22458151.552256,0
QQQ.US,D,19990312,000000,44.1146,44.1415,42.8483,43.2,20264907.361269,0
QQQ.US,D,19990315,000000,43.5178,44.4862,43.0586,44.4374,14763429.697531,0
QQQ.US,D,19990316,000000,44.6277,45.0043,44.1415,44.819,11370064.180919,0
QQQ.US,D,19990317,000000,44.815,44.8708,44.3557,44.4892,9190351.2232287,0
QQQ.US,D,19990318,000000,44.4404,45.3829,44.4284,45.355,11237774.067631,0
QQQ.US,D,19990319,000000,45.9508,45.9508,44.1674,44.1983,16595941.707809,0
QQQ.US,D,19990322,000000,44.3786,44.4852,43.5687,43.6503,11647808.276994,0
QQQ.US,D,19990323,000000,43.4122,43.5716,42.0393,42.1191,25409264.251271,0
QQQ.US,D,19990324,000000,42.5017,43.5756,41.852,43.5507,19577155.152712,0
QQQ.US,D,19990325,000000,44.2212,45.1338,43.9333,45.1338,18853798.767352,0
QQQ.US,D,19990326,000000,44.7612,45.2723,44.4643,44.6506,19136925.847194,0
QQQ.US,D,19990329,000000,45.1916,46.2974,44.9216,46.2726,11853134.529355,0
QQQ.US,D,19990330,000000,46.2148,46.5924,45.7515,45.9448,11452599.585025,0
QQQ.US,D,19990331,000000,46.701,46.7508,45.1318,45.2693,19139161.145507,0
QQQ.US,D,19990401,000000,46.5974,46.6502,45.4616,46.2208,20201433.721983,0
QQQ.US,D,19990405,000000,46.966,47.9592,46.6791,47.8906,13205309.33772,0
QQQ.US,D,19990406,000000,47.8288,48.5063,47.4283,47.9822,17437326.260467,0
QQQ.US,D,19990407,000000,48.4255,48.5321,46.4549,47.4811,27639284.971298,0
QQQ.US,D,19990408,000000,47.3994,48.0918,46.427,47.8626,18433080.896005,0
QQQ.US,D,19990409,000000,47.776,48.2592,47.6415,48.1516,11466906.698697,0
QQQ.US,D,19990412,000000,47.0257,48.1576,46.9709,47.8338,25342660.993603,0
QQQ.US,D,19990413,000000,48.1326,48.2402,46.8106,47.1901,23089383.936843,0
QQQ.US,D,19990414,000000,47.784,47.8348,45.3131,45.5741,49260067.87954,0
QQQ.US,D,19990415,000000,45.7276,46.2656,44.1117,46.1928,40911693.407444,0
QQQ.US,D,19990416,000000,46.0793,46.0793,44.5958,44.8459,40038190.619176,0
QQQ.US,D,19990419,000000,45.1328,45.5135,42.2845,42.7348,45110146.72881,0
