<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQJ.US,D,20201014,000000,26.6964,26.7493,26.229,26.3077,1564994.1976202,0
QQQJ.US,D,20201015,000000,26.0007,26.2778,25.8432,26.229,528178.02963397,0
QQQJ.US,D,20201016,000000,26.3864,26.4253,26.1791,26.209,468788.83963494,0
QQQJ.US,D,20201019,000000,26.3177,26.4751,25.8931,26.1004,568459.74225262,0
QQQJ.US,D,20201020,000000,26.1692,26.219,25.8831,25.8831,492877.60476505,0
QQQJ.US,D,20201021,000000,25.9808,26.0854,25.6947,25.7545,262777.22554553,0
QQQJ.US,D,20201022,000000,25.8332,25.9429,25.5392,25.8432,204482.61458677,0
QQQJ.US,D,20201023,000000,26.0406,26.1094,25.8632,26.0804,227321.292197,0
QQQJ.US,D,20201026,000000,25.9718,26.0306,25.3409,25.618,601791.73075398,0
QQQJ.US,D,20201027,000000,25.7744,25.8422,25.5681,25.618,486692.38039906,0
QQQJ.US,D,20201028,000000,25.2322,25.2372,24.8146,24.8574,642900.1465158,0
QQQJ.US,D,20201029,000000,24.8176,25.1734,24.699,25.0339,423258.96664994,0
QQQJ.US,D,20201030,000000,24.975,24.975,24.3252,24.5914,386581.03763593,0
QQQJ.US,D,20201102,000000,24.9651,24.9651,24.4248,24.7179,327753.68472448,0
QQQJ.US,D,20201103,000000,25.015,25.282,24.9462,25.2023,291760.9963012,0
QQQJ.US,D,20201104,000000,25.608,26.2479,25.5592,26.0306,553568.04959014,0
QQQJ.US,D,20201105,000000,26.4353,26.7692,26.3177,26.6914,645754.47957682,0
QQQJ.US,D,20201106,000000,26.8489,26.9974,26.6227,26.9476,545848.80931896,0
QQQJ.US,D,20201109,000000,27.7569,27.9931,26.7692,26.8489,793440.38101154,0
QQQJ.US,D,20201110,000000,26.8788,26.8788,26.0705,26.5549,432129.97295067,0
QQQJ.US,D,20201111,000000,26.7213,27.0064,26.7213,26.9476,314876.57933318,0
QQQJ.US,D,20201112,000000,26.9775,27.0363,26.5549,26.6914,408024.15205183,0
QQQJ.US,D,20201113,000000,26.9177,27.1649,26.8738,27.0752,367824.70843529,0
QQQJ.US,D,20201116,000000,27.3134,27.3921,27.13,27.3921,535191.96370414,0
QQQJ.US,D,20201117,000000,27.3333,27.5606,27.125,27.5018,474247.68890911,0
QQQJ.US,D,20201118,000000,27.5895,27.5895,27.2137,27.2237,423024.19900978,0
QQQJ.US,D,20201119,000000,27.3233,27.7181,27.1549,27.6683,529848.49168902,0
QQQJ.US,D,20201120,000000,27.747,27.9433,27.6543,27.7769,582692.27961771,0
QQQJ.US,D,20201123,000000,27.9145,28.0709,27.7569,28.0031,663729.25325742,0
QQQJ.US,D,20201124,000000,28.2693,28.3181,28.046,28.1895,653761.66135539,0
QQQJ.US,D,20201125,000000,28.3181,28.3181,28.0609,28.2095,436039.75711194,0
QQQJ.US,D,20201127,000000,28.4177,28.5165,28.3281,28.5165,452421.32133704,0
QQQJ.US,D,20201130,000000,28.6739,28.7527,28.1845,28.6639,868216.88424675,0
QQQJ.US,D,20201201,000000,28.7965,28.9101,28.6739,28.8613,750174.91214562,0
QQQJ.US,D,20201202,000000,28.8413,28.8813,28.4765,28.7427,588489.23442496,0
QQQJ.US,D,20201203,000000,28.8315,29.2649,28.8315,29.0567,737247.64272864,0
QQQJ.US,D,20201204,000000,29.1563,29.4613,29.1065,29.4335,1022483.3025698,0
QQQJ.US,D,20201207,000000,29.4933,29.5211,29.3547,29.5121,766594.60103022,0
QQQJ.US,D,20201208,000000,29.5411,29.6896,29.4833,29.5909,685281.72524929,0
QQQJ.US,D,20201209,000000,29.7295,29.7295,28.9491,29.1663,934340.09305267,0
QQQJ.US,D,20201210,000000,29.0965,29.5121,28.8913,29.4833,512139.58734451,0
QQQJ.US,D,20201211,000000,29.4533,29.6507,29.1863,29.5033,628150.91968624,0
QQQJ.US,D,20201214,000000,29.7494,29.8969,29.5121,29.5311,1063142.2486615,0
QQQJ.US,D,20201215,000000,29.7195,29.8671,29.6209,29.8671,1051451.0208372,0
QQQJ.US,D,20201216,000000,29.9757,29.9847,29.7494,29.9457,612628.16358074,0
QQQJ.US,D,20201217,000000,30.1531,30.3693,30.1531,30.3594,1006080.6694539,0
QQQJ.US,D,20201218,000000,30.487,30.5867,30.3395,30.5667,1059993.95441,0
QQQJ.US,D,20201221,000000,30.2907,30.5667,29.9717,30.5567,1481365.750414,0
QQQJ.US,D,20201222,000000,30.7451,30.9325,30.5667,30.9325,956458.41525419,0
QQQJ.US,D,20201223,000000,31.09,31.1089,30.7302,30.8737,957424.57438873,0
QQQJ.US,D,20201224,000000,31.0312,31.0312,30.6953,30.8438,410977.80988369,0
QQQJ.US,D,20201228,000000,31.1089,31.2375,30.3993,30.4192,1046787.7730103,0
QQQJ.US,D,20201229,000000,30.6245,30.7053,29.9837,30.1711,817819.09421007,0
QQQJ.US,D,20201230,000000,30.3495,30.5667,30.2907,30.4481,493351.15316743,0
QQQJ.US,D,20201231,000000,30.5567,30.5567,30.2408,30.4681,558654.68179379,0
QQQJ.US,D,20210104,000000,30.6753,30.6953,29.6397,30.0325,1094310.1610951,0
QQQJ.US,D,20210105,000000,29.9936,30.477,29.9417,30.4581,380499.15116284,0
QQQJ.US,D,20210106,000000,30.3545,30.9724,30.2507,30.6355,734778.56938482,0
QQQJ.US,D,20210107,000000,30.9724,31.5525,30.9724,31.5136,860561.85392843,0
QQQJ.US,D,20210108,000000,31.6821,31.9791,31.4359,31.8495,818611.68581577,0
QQQJ.US,D,20210111,000000,31.5924,32.0379,31.3282,31.8595,835813.93350093,0
QQQJ.US,D,20210112,000000,32.0479,32.2044,31.9093,32.1166,1171112.2876872,0
QQQJ.US,D,20210113,000000,32.2143,32.2343,31.8864,32.0279,1198165.7467348,0
QQQJ.US,D,20210114,000000,32.2442,32.4804,32.1735,32.2741,1061182.8418186,0
QQQJ.US,D,20210115,000000,32.2741,32.3628,31.6721,31.8794,1152585.7097242,0
QQQJ.US,D,20210119,000000,32.1904,32.3628,32.1067,32.2941,963565.65441212,0
