<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQM.US,D,20201014,000000,119.959,120.338,118.006,118.604,38247.640935069,0
QQQM.US,D,20201015,000000,116.691,117.917,116.443,117.748,30952.097686732,0
QQQM.US,D,20201016,000000,118.534,119.042,117.15,117.15,51554.703788614,0
QQQM.US,D,20201019,000000,118.464,118.464,114.909,115.127,51225.415473566,0
QQQM.US,D,20201020,000000,115.577,116.741,114.969,115.567,50341.959018559,0
QQQM.US,D,20201021,000000,115.615,116.662,115.347,115.705,28544.678846838,0
QQQM.US,D,20201022,000000,115.775,116.015,114.142,115.397,25136.344000532,0
QQQM.US,D,20201023,000000,115.655,115.665,114.49,115.665,41018.481634864,0
QQQM.US,D,20201026,000000,114.689,115.645,112.538,113.863,75216.277865958,0
QQQM.US,D,20201027,000000,114.301,115.127,113.823,114.769,47505.863012428,0
QQQM.US,D,20201028,000000,112.966,112.966,110.227,110.416,140440.46244023,0
QQQM.US,D,20201029,000000,110.884,113.355,110.725,112.21,80500.953751364,0
QQQM.US,D,20201030,000000,111.412,111.722,108.444,109.609,132119.90891853,0
QQQM.US,D,20201102,000000,110.376,110.964,108.454,109.649,74944.213434927,0
QQQM.US,D,20201103,000000,110.436,112.328,110.048,112.14,62560.764147981,0
QQQM.US,D,20201104,000000,115.127,117.21,114.649,116.453,110966.14646005,0
QQQM.US,D,20201105,000000,119.142,119.929,118.654,119.55,148173.71820491,0
QQQM.US,D,20201106,000000,119.262,119.85,117.718,119.63,47654.444325315,0
QQQM.US,D,20201109,000000,120.816,121.303,117.15,117.15,155762.40836786,0
QQQM.US,D,20201110,000000,115.815,116.343,114.032,114.989,85180.261179533,0
QQQM.US,D,20201111,000000,116.133,117.837,116.133,117.748,66518.247495297,0
QQQM.US,D,20201112,000000,118.116,118.574,116.662,117.07,45401.630365048,0
QQQM.US,D,20201113,000000,117.827,118.256,116.961,118.186,40406.085683098,0
QQQM.US,D,20201116,000000,118.096,119.122,117.668,118.704,47507.870868008,0
QQQM.US,D,20201117,000000,119.192,119.262,118.494,118.694,29377.938912356,0
QQQM.US,D,20201118,000000,118.494,119.102,118.046,118.186,35638.432609429,0
QQQM.US,D,20201119,000000,117.608,118.764,117.449,118.764,53310.573492941,0
QQQM.US,D,20201120,000000,118.704,118.932,118.026,118.026,37394.302313755,0
QQQM.US,D,20201123,000000,118.405,118.804,117.011,117.937,51077.838088468,0
QQQM.US,D,20201124,000000,118.435,119.74,117.718,119.67,91949.746266025,0
QQQM.US,D,20201125,000000,120.018,120.566,119.82,120.338,44706.912334519,0
QQQM.US,D,20201127,000000,121.144,121.891,121.025,121.343,35891.422412453,0
QQQM.US,D,20201130,000000,121.563,121.752,119.77,121.603,85012.605238639,0
QQQM.US,D,20201201,000000,122.659,123.883,122.259,123.295,93880.299405773,0
QQQM.US,D,20201202,000000,122.747,123.495,122.031,123.415,142492.49084254,0
QQQM.US,D,20201203,000000,123.525,124.182,123.315,123.585,94254.764471361,0
QQQM.US,D,20201204,000000,123.615,124.093,123.355,124.013,75187.163960054,0
QQQM.US,D,20201207,000000,124.182,124.89,124.043,124.391,77576.512099732,0
QQQM.US,D,20201208,000000,124.581,125.268,123.873,125.158,55449.943612963,0
QQQM.US,D,20201209,000000,125.138,125.168,121.961,122.439,150422.51645402,0
QQQM.US,D,20201210,000000,121.543,123.246,121.045,122.847,129808.86714645,0
QQQM.US,D,20201211,000000,122.141,122.609,121.204,122.559,54843.571227936,0
QQQM.US,D,20201214,000000,123.117,124.262,123.117,123.465,186215.55394308,0
QQQM.US,D,20201215,000000,124.451,124.79,123.565,124.79,65034.442222001,0
QQQM.US,D,20201216,000000,124.989,125.786,124.541,125.458,86079.780479176,0
QQQM.US,D,20201217,000000,126.164,126.334,125.646,126.304,58609.304367404,0
QQQM.US,D,20201218,000000,126.652,126.652,124.919,125.976,85302.740369886,0
QQQM.US,D,20201221,000000,124.89,125.826,123.565,125.646,85900.077404806,0
QQQM.US,D,20201222,000000,126.006,126.414,125.049,125.996,59616.243940554,0
QQQM.US,D,20201223,000000,126.254,126.254,125.368,125.418,69646.486488254,0
QQQM.US,D,20201224,000000,125.716,126.124,125.527,125.946,32322.459119783,0
QQQM.US,D,20201228,000000,127.18,127.41,126.324,127.23,59754.785975543,0
QQQM.US,D,20201229,000000,127.828,128.027,127.001,127.38,67219.993020354,0
QQQM.US,D,20201230,000000,128.097,128.097,127.091,127.28,90804.264657885,0
QQQM.US,D,20201231,000000,127.529,127.748,126.952,127.658,74189.259737013,0
QQQM.US,D,20210104,000000,128.336,128.336,124.222,125.836,162416.44175853,0
QQQM.US,D,20210105,000000,125.517,126.922,125.517,126.852,67244.087287308,0
QQQM.US,D,20210106,000000,125.128,126.832,124.531,125.089,473977.39989469,0
QQQM.US,D,20210107,000000,126.334,128.465,126.334,128.197,98096.796122852,0
QQQM.US,D,20210108,000000,129.253,129.929,128.236,129.869,79130.592318313,0
QQQM.US,D,20210111,000000,128.725,129.043,127.708,127.928,70171.54072231,0
QQQM.US,D,20210112,000000,128.027,128.366,126.702,127.888,123285.34436845,0
QQQM.US,D,20210113,000000,127.748,128.884,127.668,128.575,57185.734761495,0
QQQM.US,D,20210114,000000,129.003,129.143,127.748,127.888,90903.653509073,0
QQQM.US,D,20210115,000000,127.579,128.236,126.464,126.852,103705.74068436,0
QQQM.US,D,20210119,000000,127.947,128.913,127.549,128.764,83105.142438056,0
QQQM.US,D,20210120,000000,130.407,132.101,130.169,131.762,121710.18166629,0
QQQM.US,D,20210121,000000,132.39,133.048,131.742,132.828,161306.09762303,0
QQQM.US,D,20210122,000000,132.3,132.808,132.181,132.47,126115.41680784,0
QQQM.US,D,20210125,000000,133.984,134.352,130.965,133.306,156764.32830207,0
QQQM.US,D,20210126,000000,133.934,134.034,133.148,133.714,76543.470404049,0
QQQM.US,D,20210127,000000,132.918,132.918,129.233,130.169,150269.91942997,0
QQQM.US,D,20210128,000000,130.627,132.738,130.328,130.796,89521.244942544,0
QQQM.US,D,20210129,000000,130.229,130.368,127.34,128.107,120437.20122884,0
QQQM.US,D,20210201,000000,129.641,131.573,128.705,131.245,132659.01814164,0
QQQM.US,D,20210202,000000,132.5,133.714,132.44,133.396,112720.0083088,0
QQQM.US,D,20210203,000000,134.372,134.372,132.898,132.898,94007.798235075,0
QQQM.US,D,20210204,000000,133.546,134.342,132.848,134.322,76951.065086699,0
QQQM.US,D,20210205,000000,134.93,135.239,134.153,134.86,184248.85940289,0
QQQM.US,D,20210208,000000,135.667,135.777,134.87,135.707,106215.56015881,0
QQQM.US,D,20210209,000000,135.508,136.215,135.508,135.677,102729.92287269,0
QQQM.US,D,20210210,000000,136.305,136.375,134.173,135.339,105665.40773001,0
QQQM.US,D,20210211,000000,136.225,136.295,135.169,136.095,137581.27609494,0
QQQM.US,D,20210212,000000,135.697,136.943,135.418,136.943,87956.121518277,0
QQQM.US,D,20210216,000000,137.391,137.579,136.095,136.563,107649.16904262,0
QQQM.US,D,20210217,000000,135.438,135.916,134.372,135.887,106091.07311288,0
QQQM.US,D,20210218,000000,134.502,135.567,133.675,135.319,100752.18512682,0
