<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQN.US,D,20200911,000000,25.1435,25.2113,24.8854,24.9202,204834.44160945,0
QQQN.US,D,20200914,000000,25.2611,25.3607,25.1435,25.3099,250890.98150669,0
QQQN.US,D,20200915,000000,25.6497,25.6895,25.4804,25.6168,379915.52552388,0
QQQN.US,D,20200916,000000,25.8371,25.857,25.4504,25.4504,383151.87678586,0
QQQN.US,D,20200917,000000,25.0737,25.4106,24.984,25.3687,299304.78934639,0
QQQN.US,D,20200918,000000,25.4952,25.5501,25.1235,25.3209,329670.29410183,0
QQQN.US,D,20200921,000000,24.9452,25.4106,24.7259,25.3966,361050.3573459,0
QQQN.US,D,20200922,000000,25.5401,25.8769,25.2611,25.868,216090.92288252,0
QQQN.US,D,20200923,000000,25.9566,26.0064,25.291,25.291,286052.30724849,0
QQQN.US,D,20200924,000000,25.1335,25.2113,24.8406,24.994,12219.860253377,0
QQQN.US,D,20200925,000000,25.1833,25.6397,25.1833,25.5899,13476.267006865,0
QQQN.US,D,20200928,000000,25.9766,26.0314,25.8401,26.0134,7935.8343503084,0
QQQN.US,D,20200929,000000,26.1261,26.2755,26.0254,26.0702,10668.418687169,0
QQQN.US,D,20200930,000000,26.1261,26.413,26.0603,26.2367,25215.441289859,0
QQQN.US,D,20201001,000000,26.5346,26.7429,26.5346,26.6562,328912.6366746,0
QQQN.US,D,20201002,000000,26.2157,26.7129,26.2157,26.4758,34938.544352597,0
QQQN.US,D,20201005,000000,26.703,27.1006,26.703,27.0876,16666.456359374,0
QQQN.US,D,20201006,000000,27.1504,27.4384,26.9412,26.974,41837.742779301,0
QQQN.US,D,20201007,000000,27.0846,27.6128,27.0846,27.5032,9562.5398993537,0
QQQN.US,D,20201008,000000,27.8021,27.8021,27.543,27.6128,29288.728040984,0
QQQN.US,D,20201009,000000,27.8918,28.12,27.8719,28.0612,28898.358850004,0
QQQN.US,D,20201012,000000,28.409,28.409,28.1509,28.1509,23957.027496828,0
QQQN.US,D,20201013,000000,28.1898,28.4828,28.1898,28.3891,15264.539239067,0
QQQN.US,D,20201014,000000,28.5664,28.5754,28.0512,28.1878,128981.39266702,0
QQQN.US,D,20201015,000000,27.7423,28.131,27.7423,28.0742,10719.598195497,0
QQQN.US,D,20201016,000000,28.1659,28.2147,27.9327,27.9327,65978.41439425,0
QQQN.US,D,20201019,000000,28.1609,28.2097,27.6925,27.7423,18443.689874092,0
QQQN.US,D,20201020,000000,27.9118,27.9915,27.6248,27.6248,21125.094702623,0
QQQN.US,D,20201021,000000,27.7324,27.842,27.3099,27.3139,11058.787878149,0
QQQN.US,D,20201022,000000,27.3637,27.3836,27.0648,27.2103,65892.111693931,0
QQQN.US,D,20201023,000000,27.3836,27.4514,27.1873,27.4514,16883.216629943,0
QQQN.US,D,20201026,000000,27.3239,27.4334,26.7817,27.0638,55522.741898567,0
QQQN.US,D,20201027,000000,27.3139,27.4135,27.1743,27.1883,183206.58350148,0
QQQN.US,D,20201028,000000,26.8555,26.8555,26.3682,26.3692,15815.471593432,0
QQQN.US,D,20201029,000000,26.3493,26.4978,26.2397,26.3931,9275.5332448029,0
QQQN.US,D,20201030,000000,26.1799,26.1799,25.4544,25.5899,28873.270855725,0
QQQN.US,D,20201102,000000,25.8809,25.9846,25.3946,25.6667,12751.72573209,0
QQQN.US,D,20201103,000000,26.0204,26.1549,25.9308,26.1549,12364.367100424,0
QQQN.US,D,20201104,000000,26.8156,27.4434,26.7717,27.2809,14168.695648963,0
QQQN.US,D,20201105,000000,27.9716,28.2297,27.8021,28.2067,32799.040200491,0
QQQN.US,D,20201106,000000,28.2197,28.5564,28.0722,28.4738,45640.079192214,0
QQQN.US,D,20201109,000000,28.2197,28.2197,26.9053,26.9053,41249.680193403,0
QQQN.US,D,20201110,000000,26.9252,26.9252,25.9108,26.5346,21033.774403448,0
QQQN.US,D,20201111,000000,26.8455,27.2641,26.8455,27.2142,14786.863827997,0
QQQN.US,D,20201112,000000,27.3437,27.5132,27.1036,27.1743,21859.67117511,0
QQQN.US,D,20201113,000000,27.4434,27.563,27.1046,27.2441,39609.928887333,0
QQQN.US,D,20201116,000000,27.2142,27.4135,26.9452,27.3447,24890.300884003,0
QQQN.US,D,20201117,000000,27.3437,27.7015,27.3437,27.6228,29297.759718925,0
QQQN.US,D,20201118,000000,27.6626,27.6626,27.4634,27.4634,9585.6208540903,0
QQQN.US,D,20201119,000000,27.553,28.0812,27.553,28.0234,26430.70373273,0
QQQN.US,D,20201120,000000,28.1898,28.419,28.141,28.2535,12142.589230998,0
QQQN.US,D,20201123,000000,28.4578,28.4578,28.1011,28.3711,61765.638394933,0
QQQN.US,D,20201124,000000,28.4578,28.5854,28.3293,28.4877,15330.771543963,0
QQQN.US,D,20201125,000000,28.5754,28.705,28.5256,28.6572,8689.4776984472,0
QQQN.US,D,20201127,000000,28.8047,29.0836,28.8047,29.0726,9821.4480003122,0
QQQN.US,D,20201130,000000,29.1235,29.4115,28.7448,29.3677,13761.266621874,0
QQQN.US,D,20201201,000000,29.5808,29.5808,29.0936,29.2729,68015.559529699,0
QQQN.US,D,20201202,000000,29.1922,29.1922,28.8345,29.0468,14770.807511658,0
QQQN.US,D,20201203,000000,29.2122,29.7802,29.2122,29.553,11834.508661253,0
QQQN.US,D,20201204,000000,29.561,29.8191,29.561,29.7593,11731.146124824,0
QQQN.US,D,20201207,000000,29.6208,29.8589,29.6208,29.829,13423.080458994,0
QQQN.US,D,20201208,000000,29.9187,30.1668,29.7901,30.1568,18566.119286173,0
QQQN.US,D,20201209,000000,30.2266,30.2266,29.2521,29.4443,19965.025847166,0
QQQN.US,D,20201210,000000,29.3517,30.0582,29.3517,30.0363,23650.953966625,0
QQQN.US,D,20201211,000000,30.0183,30.1768,29.7204,30.1468,48370.656489532,0
QQQN.US,D,20201214,000000,30.4558,30.5754,30.2665,30.2764,16785.875212141,0
QQQN.US,D,20201215,000000,30.4957,30.6452,30.4059,30.5544,22501.92382865,0
QQQN.US,D,20201216,000000,30.7248,30.8863,30.5256,30.8544,31276.700707646,0
QQQN.US,D,20201217,000000,31.1732,31.3915,31.0936,31.3447,58762.103719861,0
QQQN.US,D,20201218,000000,31.5599,31.7782,31.4653,31.6964,42492.037670095,0
QQQN.US,D,20201221,000000,31.4503,31.7482,31.1832,31.7174,50886.480555822,0
QQQN.US,D,20201222,000000,32.0063,32.1758,31.817,32.1448,92263.607760162,0
QQQN.US,D,20201223,000000,32.385,32.385,31.8778,32.0482,82785.363521586,0
QQQN.US,D,20201224,000000,32.0582,32.2156,31.9317,32.0462,9484.2653572035,0
QQQN.US,D,20201228,000000,32.1658,32.3152,31.4703,31.4852,45400.237966908,0
QQQN.US,D,20201229,000000,31.7184,31.7184,31.0637,31.237,46606.468731838,0
QQQN.US,D,20201230,000000,31.4603,31.5998,31.4205,31.54,17800.433700781,0
QQQN.US,D,20201231,000000,31.54,31.54,31.3217,31.53,27527.550842604,0
QQQN.US,D,20210104,000000,31.5499,31.5699,30.5455,30.8345,300829.13587878,0
QQQN.US,D,20210105,000000,30.695,31.3018,30.695,31.2729,23624.862452574,0
QQQN.US,D,20210106,000000,31.233,31.7284,31.1434,31.3517,26724.735025679,0
QQQN.US,D,20210107,000000,31.5599,32.3751,31.5599,32.3751,24789.948906888,0
QQQN.US,D,20210108,000000,32.6481,32.9521,32.4897,32.8922,28604.327557055,0
QQQN.US,D,20210111,000000,32.6332,33.1005,32.395,33.0109,22910.356375511,0
QQQN.US,D,20210112,000000,32.9619,33.25,32.9619,33.1822,39981.231202661,0
QQQN.US,D,20210113,000000,33.3586,33.3586,32.9521,33.1802,22848.1381497,0
QQQN.US,D,20210114,000000,33.1902,33.4781,33.1902,33.2151,68093.834071849,0
QQQN.US,D,20210115,000000,33.25,33.3686,32.6232,32.7766,33586.803220849,0
QQQN.US,D,20210119,000000,33.1603,33.2699,33.0457,33.22,68326.650658757,0
QQQN.US,D,20210120,000000,33.4134,33.6476,33.3486,33.5379,49238.701091582,0
QQQN.US,D,20210121,000000,33.9365,33.9365,33.4303,33.4881,24611.322387622,0
QQQN.US,D,20210122,000000,33.4881,33.5081,33.26,33.5081,24063.40059257,0
QQQN.US,D,20210125,000000,33.787,33.9266,32.8225,33.3376,33860.764118374,0
QQQN.US,D,20210126,000000,33.4184,33.4682,32.7626,32.7626,20366.433755629,0
QQQN.US,D,20210127,000000,32.5046,32.5445,31.7582,31.9017,40208.026670942,0
QQQN.US,D,20210128,000000,32.0761,32.5345,31.9177,32.4149,18812.985149878,0
QQQN.US,D,20210129,000000,32.2654,32.3162,31.4005,31.7981,66456.089805321,0
QQQN.US,D,20210201,000000,31.9963,32.4149,31.818,32.3152,34930.516194428,0
QQQN.US,D,20210202,000000,32.8125,33.3686,32.8125,33.3686,42340.50618465,0
QQQN.US,D,20210203,000000,33.5878,33.5878,33.0706,33.2101,38532.14865311,0
QQQN.US,D,20210204,000000,33.24,33.7074,33.24,33.7074,27094.030301464,0
QQQN.US,D,20210205,000000,33.9863,34.1149,33.827,34.095,36267.204529609,0
