<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQXT.US,D,20070215,000000,19.0431,19.0431,19.0431,19.0431,581.18675284816,0
QQXT.US,D,20070216,000000,19.0241,19.06,19.0241,19.06,1055.9731675238,0
QQXT.US,D,20070220,000000,19.0241,19.2931,19.0241,19.2732,4012.0957705252,0
QQXT.US,D,20070221,000000,19.1775,19.2343,19.1775,19.2263,416.56736171327,0
QQXT.US,D,20070222,000000,19.2543,19.2543,19.2543,19.2543,204.77046214339,0
QQXT.US,D,20070228,000000,18.4662,18.4662,18.4662,18.4662,101.38145429648,0
QQXT.US,D,20070307,000000,18.1724,18.1724,18.1425,18.1425,10660.109352759,0
QQXT.US,D,20070308,000000,18.278,18.278,18.278,18.278,101.38145429648,0
QQXT.US,D,20070313,000000,17.8984,17.9074,17.8984,17.9074,1159.3621753707,0
QQXT.US,D,20070314,000000,17.8406,17.8496,17.8406,17.8496,1055.9731675238,0
QQXT.US,D,20070316,000000,17.9542,17.993,17.9253,17.9253,3167.9195025713,0
QQXT.US,D,20070319,000000,18.0767,18.2212,18.0767,18.2212,2110.9425582723,0
QQXT.US,D,20070320,000000,18.278,18.287,18.278,18.287,1055.9731675238,0
QQXT.US,D,20070501,000000,19.5193,19.6149,19.5193,19.6149,2480.3324115506,0
QQXT.US,D,20070502,000000,19.7434,19.848,19.7434,19.8202,3481.0978564377,0
QQXT.US,D,20070503,000000,19.7912,19.7912,19.7912,19.7912,526.98280698667,0
QQXT.US,D,20070504,000000,19.858,19.858,19.858,19.858,101.38145429648,0
QQXT.US,D,20070508,000000,19.6149,19.7624,19.605,19.7624,1902.1569890281,0
QQXT.US,D,20070510,000000,19.6807,19.7176,19.4914,19.4914,2399.0264927584,0
QQXT.US,D,20070511,000000,19.4625,19.5561,19.4276,19.5561,1264.758736768,0
QQXT.US,D,20070514,000000,19.6338,19.6886,19.5193,19.5193,1792.7453205299,0
QQXT.US,D,20070516,000000,19.5193,19.595,19.5193,19.595,1264.758736768,0
QQXT.US,D,20070517,000000,19.5561,19.5561,19.5292,19.5292,1055.9731675238,0
QQXT.US,D,20070518,000000,19.595,19.595,19.595,19.595,949.57282935122,0
QQXT.US,D,20070521,000000,19.6707,19.6707,19.595,19.6618,714.68906395145,0
QQXT.US,D,20070523,000000,19.876,19.9516,19.876,19.9416,1371.1590749406,0
QQXT.US,D,20070524,000000,19.8202,19.866,19.6149,19.6338,3273.3160639686,0
QQXT.US,D,20070525,000000,19.6618,19.7176,19.6518,19.7176,1999.5233362237,0
QQXT.US,D,20070529,000000,19.7176,19.7176,19.7176,19.7176,401.51071008508,0
QQXT.US,D,20070601,000000,20.0941,20.0941,20.0941,20.0941,101.38145429648,0
QQXT.US,D,20070606,000000,19.7813,19.7813,19.6976,19.6976,1723.4847230402,0
QQXT.US,D,20070607,000000,19.6149,19.6976,19.3987,19.3987,1055.9731675238,0
QQXT.US,D,20070608,000000,19.4824,19.4824,19.4824,19.4824,886.33489251282,0
QQXT.US,D,20070611,000000,19.5292,19.605,19.5292,19.605,2257.4939674534,0
QQXT.US,D,20070612,000000,19.4914,19.4914,19.4914,19.4914,101.38145429648,0
QQXT.US,D,20070613,000000,19.6618,19.6618,19.6618,19.6618,254.95930090403,0
QQXT.US,D,20070614,000000,19.8958,19.8958,19.8958,19.8958,101.38145429648,0
QQXT.US,D,20070626,000000,19.6518,19.6518,19.6518,19.6518,204.77046214339,0
QQXT.US,D,20070627,000000,19.8112,19.8112,19.8112,19.8112,204.77046214339,0
QQXT.US,D,20070702,000000,20.0174,20.0174,20.0174,20.0174,152.57406983233,0
QQXT.US,D,20070709,000000,20.3691,20.3691,20.3691,20.3691,4467.8104264717,0
