<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QTEC.US,D,20060425,000000,18.1555,18.1555,18.0306,18.0406,9039.7037543647,0
QTEC.US,D,20060426,000000,18.1555,18.1555,18.0306,18.1315,1521.9603066625,0
QTEC.US,D,20060427,000000,18.3674,18.3764,18.3055,18.3055,332.20961328859,0
QTEC.US,D,20060428,000000,18.2035,18.2225,18.0856,18.1215,5183.2704723942,0
QTEC.US,D,20060501,000000,18.1215,18.1215,17.8908,17.8908,2286.4426697723,0
QTEC.US,D,20060503,000000,18.0956,18.0956,18.0956,18.0956,102.06439926336,0
QTEC.US,D,20060504,000000,18.2405,18.2405,18.2405,18.2405,649.40975609726,0
QTEC.US,D,20060505,000000,18.3215,18.3215,18.3215,18.3215,210.13258671868,0
QTEC.US,D,20060508,000000,18.3305,18.3305,18.3305,18.3305,182.11490848953,0
QTEC.US,D,20060510,000000,18.1126,18.1126,17.9156,17.9456,7022.4309218653,0
QTEC.US,D,20060511,000000,18.5972,18.5972,17.434,17.4699,1890.1926491028,0
QTEC.US,D,20060512,000000,18.2675,18.2675,17.2462,17.2462,8727.5067683826,0
QTEC.US,D,20060515,000000,17.1642,17.1642,16.9813,16.9913,982.62000075118,0
QTEC.US,D,20060516,000000,17.1092,17.1092,16.8993,16.8993,464.29295351176,0
QTEC.US,D,20060517,000000,16.8523,16.8523,16.7454,16.7824,1590.0032395047,0
QTEC.US,D,20060518,000000,16.8713,16.8713,16.8713,16.8713,2720.7166823243,0
QTEC.US,D,20060519,000000,16.6135,16.6705,16.5956,16.6515,3483.1977827035,0
QTEC.US,D,20060522,000000,16.6325,16.6325,16.5126,16.5126,1195.7544815658,0
QTEC.US,D,20060523,000000,16.4956,16.4956,16.4766,16.4766,6749.258559131,0
QTEC.US,D,20060524,000000,16.4236,16.5046,16.4046,16.4046,2028.279777518,0
QTEC.US,D,20060526,000000,16.5596,16.5956,16.5596,16.5956,1064.671772708,0
QTEC.US,D,20060530,000000,16.3477,16.3477,16.3397,16.3397,332.20961328859,0
QTEC.US,D,20060601,000000,16.9713,16.9713,16.6615,16.7904,2286.4426697723,0
QTEC.US,D,20060602,000000,16.7824,16.7824,16.7744,16.7744,2340.4767635,0
QTEC.US,D,20060605,000000,16.7165,16.7165,16.4516,16.4516,649.40975609726,0
QTEC.US,D,20060606,000000,16.4686,16.4686,16.2657,16.4046,38533.31324738,0
QTEC.US,D,20060607,000000,16.3207,16.4516,16.2087,16.2087,3428.1630576105,0
QTEC.US,D,20060608,000000,16.0829,16.1189,15.6861,16.0729,38038.000721543,0
QTEC.US,D,20060609,000000,16.1637,16.3027,15.9879,15.9879,21879.805434242,0
QTEC.US,D,20060612,000000,15.844,15.901,15.6011,15.6111,9400.9316772478,0
QTEC.US,D,20060613,000000,15.4493,15.743,15.4493,15.5481,11352.162839635,0
QTEC.US,D,20060614,000000,15.6011,15.6401,15.5123,15.5481,5986.7774587518,0
QTEC.US,D,20060615,000000,15.873,16.2837,15.873,16.2287,18017.368364079,0
QTEC.US,D,20060616,000000,16.0729,16.1109,16.0729,16.1009,1521.9603066625,0
QTEC.US,D,20060619,000000,16.0829,16.1189,15.901,15.924,15291.648524929,0
QTEC.US,D,20060620,000000,15.908,16.0429,15.908,15.9789,1084.6844000145,0
QTEC.US,D,20060621,000000,16.2937,16.4046,16.2837,16.3027,3931.48063437,0
