<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QYLD.US,D,20131216,000000,11.5014,11.5014,11.4753,11.4822,4584.8828478656,0
QYLD.US,D,20131217,000000,11.4898,11.4898,11.4716,11.4898,28593.848262557,0
QYLD.US,D,20131218,000000,11.4753,11.4753,11.4716,11.4716,30772.318137832,0
QYLD.US,D,20131219,000000,11.4898,11.4898,11.4839,11.4839,2615.6210208141,0
QYLD.US,D,20131220,000000,11.5157,11.6253,11.5157,11.6195,16578.436776572,0
QYLD.US,D,20131223,000000,11.681,11.6838,11.681,11.6838,2393.9229398617,0
QYLD.US,D,20131224,000000,11.6944,11.7348,11.6771,11.6771,1526.9065012074,0
QYLD.US,D,20131226,000000,11.6877,11.6877,11.6569,11.6675,5898.417956607,0
QYLD.US,D,20131227,000000,11.6877,11.6877,11.6838,11.6838,2288.7984977199,0
QYLD.US,D,20131230,000000,11.6724,11.681,11.6666,11.6724,4931.4812561152,0
QYLD.US,D,20131231,000000,11.7021,11.7021,11.7021,11.7021,547.47976798577,0
QYLD.US,D,20140102,000000,11.6599,11.6599,11.6599,11.6599,547.47976798577,0
QYLD.US,D,20140103,000000,11.6503,11.6503,11.6503,11.6503,1249.0032729713,0
QYLD.US,D,20140106,000000,11.6349,11.6349,11.6349,11.6349,1149.0830111337,0
QYLD.US,D,20140107,000000,11.6944,11.6944,11.6944,11.6944,437.15114553997,0
QYLD.US,D,20140108,000000,11.7185,11.7185,11.7176,11.7176,4895.0519939868,0
QYLD.US,D,20140109,000000,11.6732,11.6732,11.6732,11.6732,221.69808095241,0
QYLD.US,D,20140110,000000,11.6771,11.6838,11.6771,11.681,2886.2383966246,0
QYLD.US,D,20140113,000000,11.7185,11.7185,11.6599,11.6599,6109.7076769514,0
QYLD.US,D,20140114,000000,11.7176,11.7348,11.7146,11.7348,12131.985124795,0
QYLD.US,D,20140115,000000,11.751,11.7656,11.751,11.7656,10917.32944183,0
QYLD.US,D,20140116,000000,11.7722,11.7781,11.752,11.7781,6980.8874598488,0
QYLD.US,D,20140117,000000,11.7656,11.8079,11.757,11.7818,13752.566871475,0
QYLD.US,D,20140121,000000,11.7914,11.7914,11.7598,11.7838,4768.069994568,0
QYLD.US,D,20140122,000000,11.8155,11.8222,11.8155,11.8165,2707.2145941653,0
QYLD.US,D,20140123,000000,11.8165,11.8165,11.7702,11.7702,1294.8000596469,0
QYLD.US,D,20140124,000000,11.7089,11.7089,11.7089,11.7089,1946.3634337137,0
QYLD.US,D,20140127,000000,11.6271,11.6281,11.5014,11.6013,11021.413047912,0
QYLD.US,D,20140128,000000,11.5561,11.5561,11.5147,11.5349,1735.0737133693,0
QYLD.US,D,20140129,000000,11.509,11.5138,11.509,11.5138,17715.029754976,0
QYLD.US,D,20140130,000000,11.5917,11.6695,11.5917,11.6579,2802.9715117598,0
QYLD.US,D,20140131,000000,11.6271,11.6311,11.6271,11.6311,646.35919376265,0
QYLD.US,D,20140203,000000,11.4465,11.4465,11.385,11.385,435.06947341834,0
QYLD.US,D,20140204,000000,11.4839,11.4839,11.4839,11.4839,218.57557276998,0
QYLD.US,D,20140205,000000,11.4552,11.4552,11.3754,11.4552,1946.3634337137,0
QYLD.US,D,20140206,000000,11.4822,11.6165,11.4822,11.5964,22068.846997342,0
QYLD.US,D,20140207,000000,11.6732,11.6732,11.6732,11.6732,237.31062186455,0
QYLD.US,D,20140210,000000,11.7702,11.7838,11.7702,11.7838,4325.714668724,0
QYLD.US,D,20140211,000000,11.7894,11.8953,11.7894,11.8953,1192.7981256876,0
QYLD.US,D,20140212,000000,11.9058,11.9058,11.9058,11.9058,218.57557276998,0
QYLD.US,D,20140213,000000,11.9058,11.9058,11.901,11.901,1735.0737133693,0
QYLD.US,D,20140214,000000,11.9308,11.9366,11.9202,11.9366,3181.8358378944,0
QYLD.US,D,20140218,000000,11.9202,11.9202,11.9202,11.9202,1080.3878311202,0
QYLD.US,D,20140219,000000,11.949,11.949,11.949,11.949,2379.3512350103,0
QYLD.US,D,20140220,000000,11.9394,11.9394,11.9394,11.9394,2247.1650552876,0
QYLD.US,D,20140221,000000,11.949,11.9529,11.949,11.951,4325.714668724,0
QYLD.US,D,20140224,000000,11.949,11.949,11.9472,11.9472,3385.8397058131,0
QYLD.US,D,20140225,000000,11.9308,11.9308,11.9308,11.9308,435.06947341834,0
QYLD.US,D,20140226,000000,11.9452,11.9462,11.9115,11.9115,1069.9794705121,0
QYLD.US,D,20140227,000000,11.9692,11.9692,11.9692,11.9692,426.74278493187,0
QYLD.US,D,20140228,000000,12.0278,12.0288,12.0278,12.0288,1415.5370427008,0
QYLD.US,D,20140303,000000,11.9279,11.9279,11.9279,11.9279,641.15501345861,0
QYLD.US,D,20140304,000000,12.0125,12.0288,12.0125,12.0163,4201.8551774877,0
QYLD.US,D,20140305,000000,12.0125,12.0268,12.0125,12.0239,1069.9794705121,0
QYLD.US,D,20140306,000000,12.0643,12.0643,12.0288,12.0432,10905.880245161,0
QYLD.US,D,20140310,000000,12.0239,12.0239,12.0192,12.0239,691.11514437747,0
QYLD.US,D,20140311,000000,12.0528,12.0528,12.0192,12.0192,2081.6721216189,0
QYLD.US,D,20140312,000000,12.048,12.048,12.0355,12.0355,2412.6579889562,0
QYLD.US,D,20140313,000000,12.0413,12.0413,11.9394,11.9394,5611.1472038237,0
QYLD.US,D,20140314,000000,11.9231,11.9231,11.9231,11.9231,237.31062186455,0
QYLD.US,D,20140317,000000,12.0125,12.0125,12.0125,12.0125,2146.2039573891,0
QYLD.US,D,20140318,000000,12.0125,12.1066,12.0125,12.1066,2578.1509226249,0
QYLD.US,D,20140319,000000,12.0413,12.0643,12.0413,12.0643,4741.0082569869,0
QYLD.US,D,20140320,000000,12.072,12.072,12.072,12.072,2145.1631213282,0
QYLD.US,D,20140321,000000,12.0998,12.125,11.9856,11.9971,256656.64172681,0
QYLD.US,D,20140324,000000,11.9058,11.9058,11.8923,11.8923,916.97656957311,0
QYLD.US,D,20140325,000000,11.8876,11.8876,11.8876,11.8876,916.97656957311,0
QYLD.US,D,20140326,000000,11.9183,11.9183,11.7904,11.7904,1487.3547308967,0
QYLD.US,D,20140327,000000,11.751,11.751,11.751,11.751,1917.220024011,0
QYLD.US,D,20140328,000000,11.7914,11.7914,11.7914,11.7914,426.74278493187,0
QYLD.US,D,20140331,000000,11.8414,11.8414,11.8414,11.8414,639.07334133699,0
QYLD.US,D,20140401,000000,11.9298,11.9298,11.925,11.9298,1494.6405833224,0
QYLD.US,D,20140402,000000,12.0172,12.0172,11.9836,12.0106,2556.2933653479,0
QYLD.US,D,20140403,000000,12.0259,12.0259,11.9298,11.9298,6281.4456269849,0
QYLD.US,D,20140404,000000,11.9145,11.9145,11.7176,11.7176,1388.4753051198,0
QYLD.US,D,20140407,000000,11.6522,11.6579,11.5041,11.5041,15669.786895486,0
QYLD.US,D,20140408,000000,11.6003,11.682,11.5897,11.6801,5764.1501047627,0
QYLD.US,D,20140409,000000,11.852,11.852,11.852,11.852,2345.0036450036,0
QYLD.US,D,20140410,000000,11.5513,11.5513,11.5513,11.5513,641.15501345861,0
QYLD.US,D,20140411,000000,11.4859,11.4985,11.4244,11.4985,1322.9026332888,0
QYLD.US,D,20140414,000000,11.4427,11.4667,11.4042,11.4273,2765.5014135706,0
QYLD.US,D,20140415,000000,11.3254,11.4773,11.3254,11.4773,2413.698825017,0
QYLD.US,D,20140416,000000,11.5791,11.5791,11.5744,11.5744,13250.883890164,0
QYLD.US,D,20140417,000000,11.6253,11.6253,11.6253,11.6253,424.66111281025,0
QYLD.US,D,20140421,000000,11.6916,11.7146,11.6801,11.6954,27671.66751268,0
QYLD.US,D,20140422,000000,11.7454,11.7646,11.7089,11.7454,10002.434544379,0
QYLD.US,D,20140423,000000,11.6618,11.7301,11.6618,11.706,3575.2718688804,0
QYLD.US,D,20140424,000000,11.7454,11.7616,11.7301,11.7616,632.82832497214,0
QYLD.US,D,20140425,000000,11.706,11.706,11.706,11.706,860.7714222894,0
QYLD.US,D,20140428,000000,11.7108,11.7166,11.6205,11.6954,3498.2500003805,0
QYLD.US,D,20140429,000000,11.7318,11.7656,11.7318,11.7656,842.03637319482,0
QYLD.US,D,20140430,000000,11.752,11.753,11.752,11.753,419.4569325062,0
QYLD.US,D,20140501,000000,11.853,11.853,11.853,11.853,213.37139246593,0
QYLD.US,D,20140506,000000,11.7868,11.7868,11.7858,11.7858,460.04953887777,0
QYLD.US,D,20140507,000000,11.757,11.757,11.757,11.757,477.74375191153,0
QYLD.US,D,20140508,000000,11.805,11.805,11.805,11.805,2158.6939901188,0
QYLD.US,D,20140509,000000,11.7656,11.7656,11.7656,11.7656,1164.6955520458,0
QYLD.US,D,20140512,000000,11.9288,11.9288,11.8472,11.8472,496.47880100609,0
QYLD.US,D,20140513,000000,11.853,11.853,11.853,11.853,5061.5857637162,0
QYLD.US,D,20140514,000000,11.8808,11.8808,11.8559,11.8559,3674.1512946573,0
QYLD.US,D,20140515,000000,11.8625,11.8751,11.8606,11.8606,12948.000596469,0
QYLD.US,D,20140516,000000,11.8808,11.8808,11.8799,11.8808,1535.2331896939,0
QYLD.US,D,20140519,000000,11.8808,12.0317,11.6868,12.0172,1380.1486166333,0
QYLD.US,D,20140520,000000,11.9472,11.9874,11.9164,11.9874,1811.0547458084,0
QYLD.US,D,20140521,000000,11.9682,11.9904,11.9394,11.9904,3194.3258706242,0
QYLD.US,D,20140522,000000,12.0086,12.0163,11.9894,12.0163,1404.0878460319,0
QYLD.US,D,20140523,000000,12.0163,12.0268,12.0086,12.0268,3487.8416397724,0
QYLD.US,D,20140527,000000,12.0355,12.0355,12.0268,12.0268,1930.7508928015,0
QYLD.US,D,20140528,000000,12.0586,12.0586,12.0231,12.0432,31812.113362579,0
QYLD.US,D,20140529,000000,12.0586,12.0586,12.0423,12.0423,759.81032439089,0
QYLD.US,D,20140530,000000,12.0231,12.0231,12.0231,12.0231,965.89586443115,0
QYLD.US,D,20140602,000000,12.0231,12.0586,12.0231,12.0586,5026.1973376487,0
QYLD.US,D,20140604,000000,12.0653,12.0749,12.0586,12.0586,3339.0020830767,0
QYLD.US,D,20140605,000000,12.0586,12.0902,12.0586,12.0797,6466.714445809,0
QYLD.US,D,20140606,000000,12.1114,12.1114,12.049,12.0855,4194.569325062,0
QYLD.US,D,20140609,000000,12.0855,12.097,12.0653,12.0653,5626.7597447358,0
QYLD.US,D,20140610,000000,12.0797,12.0855,12.0749,12.0855,7298.3424583957,0
QYLD.US,D,20140611,000000,12.0749,12.1796,12.0749,12.0749,3339.0020830767,0
QYLD.US,D,20140612,000000,12.0902,12.0902,12.0902,12.0902,1136.5929784039,0
QYLD.US,D,20140613,000000,12.072,12.0902,12.072,12.0902,1957.8126303826,0
QYLD.US,D,20140616,000000,12.0749,12.0797,12.0749,12.0797,1958.8534664433,0
QYLD.US,D,20140617,000000,12.0749,12.0797,12.0749,12.0797,3953.0953589542,0
QYLD.US,D,20140618,000000,12.0855,12.0855,12.0797,12.0797,1237.5540763024,0
QYLD.US,D,20140619,000000,12.0797,12.0797,12.0749,12.0749,3037.1596254419,0
