<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QYLG.US,D,20200923,000000,25.6878,25.6878,25.0751,25.0751,10101.273942402,0
QYLG.US,D,20200924,000000,24.9315,25.3325,24.9315,25.1969,3410.190082955,0
QYLG.US,D,20200925,000000,25.2869,25.6978,25.1651,25.6502,7170.8943717114,0
QYLG.US,D,20200928,000000,25.879,26.0214,25.8294,25.9828,3617.2661987743,0
QYLG.US,D,20200929,000000,26.0898,26.0898,25.974,25.9848,10105.314451979,0
QYLG.US,D,20200930,000000,26.061,26.3095,25.9987,26.1304,9743.6888448413,0
QYLG.US,D,20201001,000000,26.3719,26.3719,26.2997,26.3363,855.57790292148,0
QYLG.US,D,20201005,000000,26.1739,26.3363,26.1739,26.2729,3653.6307849669,0
QYLG.US,D,20201006,000000,26.1947,26.2997,25.971,25.971,1236.39593055,0
QYLG.US,D,20201007,000000,26.261,26.3284,26.2086,26.2897,12566.994911742,0
QYLG.US,D,20201008,000000,26.3759,26.4155,26.361,26.3699,2022.2750432689,0
QYLG.US,D,20201009,000000,26.4867,26.6313,26.4867,26.6035,5444.5866549549,0
QYLG.US,D,20201012,000000,26.8461,27.1698,26.8243,27.055,3192.0025657991,0
QYLG.US,D,20201013,000000,27.1174,27.1174,27.057,27.0827,836.38548243091,0
QYLG.US,D,20201014,000000,27.1896,27.1896,26.8837,26.9679,4244.5553105975,0
QYLG.US,D,20201015,000000,26.7976,26.8837,26.7293,26.8263,3923.3347992291,0
QYLG.US,D,20201016,000000,27.1025,27.1025,26.7194,26.7194,6224.4050033083,0
QYLG.US,D,20201019,000000,26.959,26.959,26.2234,26.2313,2110.1561265678,0
QYLG.US,D,20201020,000000,26.2769,26.5383,26.2769,26.3462,2063.6902664328,0
QYLG.US,D,20201021,000000,26.4343,26.4343,26.3175,26.3175,1529.3328748797,0
QYLG.US,D,20201022,000000,26.2709,26.2709,26.1749,26.1749,2421.2753639938,0
QYLG.US,D,20201023,000000,26.261,26.3699,26.261,26.3699,1089.9274583852,0
QYLG.US,D,20201026,000000,26.1729,26.1729,25.773,25.9086,4916.2900277672,0
QYLG.US,D,20201027,000000,26.1927,26.2066,26.1363,26.2066,2533.3995047545,0
QYLG.US,D,20201028,000000,25.8403,25.8403,25.478,25.478,3487.9698923115,0
QYLG.US,D,20201029,000000,25.478,25.8502,25.3889,25.8126,2610.1691867168,0
QYLG.US,D,20201030,000000,25.5799,25.5799,25.0067,25.0563,12864.982493044,0
QYLG.US,D,20201102,000000,25.4374,25.5245,25.0563,25.2057,18177.242459353,0
QYLG.US,D,20201103,000000,25.669,25.669,25.5997,25.5997,1274.7807715312,0
QYLG.US,D,20201104,000000,26.4719,26.8174,26.3858,26.6471,4481.9352482439,0
QYLG.US,D,20201105,000000,27.0936,27.2382,27.0936,27.1658,3445.5445417534,0
QYLG.US,D,20201106,000000,26.9025,27.254,26.8927,27.245,2957.6530103354,0
QYLG.US,D,20201109,000000,28.2331,28.2331,26.8431,26.8431,5052.6572259896,0
QYLG.US,D,20201110,000000,26.7006,26.7006,26.2254,26.4155,13356.914534039,0
QYLG.US,D,20201112,000000,26.9115,27.0669,26.8352,26.8352,1820.2495644209,0
QYLG.US,D,20201113,000000,26.9253,27.0619,26.9253,27.0619,1222.2541470307,0
QYLG.US,D,20201116,000000,27.1896,27.2223,27.0669,27.2223,2132.3789292411,0
QYLG.US,D,20201117,000000,27.258,27.2758,27.2194,27.2194,771.73732919954,0
QYLG.US,D,20201118,000000,27.2758,27.2758,27.1104,27.1104,587.89414344782,0
QYLG.US,D,20201119,000000,27.1421,27.3134,27.1421,27.2688,1730.3482263335,0
QYLG.US,D,20201120,000000,27.1698,27.2708,27.156,27.1718,1557.6164419184,0
QYLG.US,D,20201123,000000,27.1223,27.2431,27.0273,27.1352,2043.487718548,0
QYLG.US,D,20201124,000000,27.4352,27.4777,27.4322,27.4322,1129.3224267606,0
QYLG.US,D,20201125,000000,27.5252,27.6421,27.5163,27.5747,2374.8095038588,0
QYLG.US,D,20201127,000000,27.6609,27.6609,27.6609,27.6609,313.13949221447,0
QYLG.US,D,20201130,000000,27.6034,27.6322,27.5896,27.6034,632.33974879439,0
QYLG.US,D,20201201,000000,27.9469,28.1133,27.9469,28.0291,2142.4802031835,0
